year, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, CMCC-CM2-SR5, MPI-ESM1-2-LR, EC-Earth3-Veg, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1
2.025000000000000000e+03, 1.627861077196800110e+01, 7.380397457407999795e+00, 1.908666689126399874e+01, 6.073008783359999718e+00, 1.298093991526399904e+01, 1.178822246399999996e+00, 3.144602091519999920e+00, 1.595530543103999888e+00, 1.003074945023999964e+00
2.026000000000000000e+03, 1.628169987686399978e+01, 7.339959123967999766e+00, 1.912814016921599958e+01, 6.073268830207999791e+00, 1.299602472960000021e+01, 1.178745307135999898e+00, 3.128191352831999783e+00, 1.572751671295999909e+00, 9.694581227519999400e-01
2.027000000000000000e+03, 1.630126630502400076e+01, 7.360020480000000198e+00, 1.917562178764799796e+01, 6.075013660671999993e+00, 1.305794314239999920e+01, 1.180548071423999978e+00, 3.116822167551999812e+00, 1.583617540095999976e+00, 9.395942850559999560e-01
2.028000000000000000e+03, 1.633283892838399964e+01, 7.325614604287999931e+00, 1.922325020671999951e+01, 6.078794301439999437e+00, 1.308767132057599980e+01, 1.183070552063999914e+00, 3.108344430592000052e+00, 1.631331942399999901e+00, 9.130987356159999679e-01
2.029000000000000000e+03, 1.636757091123200070e+01, 7.309661044735999980e+00, 1.926838720921599801e+01, 6.083559030783999511e+00, 1.309222948044799928e+01, 1.188389847040000058e+00, 3.102175657984000079e+00, 1.687259054079999876e+00, 8.923956510720000290e-01
2.030000000000000000e+03, 1.640928850739199873e+01, 7.260988768255999481e+00, 1.924155414937600028e+01, 6.083943333887999572e+00, 1.308600198758399991e+01, 1.195414388736000033e+00, 3.097996034047999725e+00, 1.735230095359999947e+00, 8.801471692800000302e-01
2.031000000000000000e+03, 1.641348071423999855e+01, 7.274878205951999632e+00, 1.924791900569599790e+01, 6.080483033087999978e+00, 1.314965159936000028e+01, 1.191798505471999947e+00, 3.072181665791999805e+00, 1.710024163328000002e+00, 8.617402695679999836e-01
2.032000000000000000e+03, 1.641805460275200090e+01, 7.293045833727999749e+00, 1.924712208793599899e+01, 6.078132125695999477e+00, 1.315402101555199899e+01, 1.189899927551999914e+00, 3.050909204479999914e+00, 1.711780003839999953e+00, 8.459525160959999734e-01
2.033000000000000000e+03, 1.642648725094399964e+01, 7.258478477311999910e+00, 1.924871382630399808e+01, 6.078985666559999501e+00, 1.315332371251199994e+01, 1.190184484863999970e+00, 3.031901143039999802e+00, 1.731762585600000071e+00, 8.310151577600000117e-01
2.034000000000000000e+03, 1.644169265152000037e+01, 7.274781212671999953e+00, 1.928207951462399805e+01, 6.081766490111999879e+00, 1.315390042931199943e+01, 1.192700674047999954e+00, 3.018541236223999835e+00, 1.756029648895999884e+00, 8.165883248640000147e-01
2.035000000000000000e+03, 1.646196896563199985e+01, 7.307886854143999855e+00, 1.932083698073600075e+01, 6.087588184063999819e+00, 1.317155740057599900e+01, 1.197453475839999948e+00, 3.007888490496000156e+00, 1.784796413952000060e+00, 8.083884605439999316e-01
2.036000000000000000e+03, 1.647526386073599980e+01, 7.277508034560000283e+00, 1.934322617548799883e+01, 6.095834185728000065e+00, 1.318816789299200032e+01, 1.200195633152000063e+00, 2.993763909631999898e+00, 1.775813132287999974e+00, 7.950649917440000269e-01
2.037000000000000000e+03, 1.649435318681599938e+01, 7.246775844863999616e+00, 1.936327075430400058e+01, 6.103577919487999992e+00, 1.316197656166399987e+01, 1.205197602816000080e+00, 2.983301742591999872e+00, 1.782306439167999912e+00, 7.827786956800000251e-01
2.038000000000000000e+03, 1.651572106854399991e+01, 7.310202634239999497e+00, 1.938984586444799874e+01, 6.110930534399999559e+00, 1.316683566284799944e+01, 1.212452044800000017e+00, 2.977427095552000136e+00, 1.801807986687999907e+00, 7.698472632320000342e-01
2.039000000000000000e+03, 1.653856534527999855e+01, 7.316443758591999469e+00, 1.942789449318399875e+01, 6.117551243263999794e+00, 1.316833198079999967e+01, 1.221780307968000079e+00, 2.974504189951999944e+00, 1.840434249727999960e+00, 7.564330926079999573e-01
2.040000000000000000e+03, 1.656191503564799916e+01, 7.333844877311999966e+00, 1.947395424255999785e+01, 6.131474235391999983e+00, 1.322170135347199960e+01, 1.232967434239999882e+00, 2.973441982464000155e+00, 1.876935180287999883e+00, 7.419281408000000244e-01
2.041000000000000000e+03, 1.666706204262399993e+01, 7.310250868735999497e+00, 1.952034743910400039e+01, 6.151571243008000067e+00, 1.334785238630399995e+01, 1.246022729727999989e+00, 2.977662500864000084e+00, 1.861892308991999867e+00, 7.402536960000000166e-01
2.042000000000000000e+03, 1.674303766527999926e+01, 7.324843900928000195e+00, 1.957318728089600057e+01, 6.173417275391999581e+00, 1.341388016844799935e+01, 1.260812107775999946e+00, 2.979009396736000070e+00, 1.866312712192000012e+00, 7.404560711679999407e-01
2.043000000000000000e+03, 1.683791177318400045e+01, 7.298338521087999631e+00, 1.962503097548799857e+01, 6.198225010687999692e+00, 1.345042828492799991e+01, 1.277613178880000033e+00, 2.984011628544000150e+00, 1.891941613568000058e+00, 7.446837985280000405e-01
2.044000000000000000e+03, 1.690565921996800114e+01, 7.290490978303999725e+00, 1.965331526451199906e+01, 6.221191446527999602e+00, 1.347779716710399889e+01, 1.295238430720000000e+00, 2.988544360447999981e+00, 1.931897077759999970e+00, 7.501649018880000019e-01
2.045000000000000000e+03, 1.699384446156799910e+01, 7.304024424447999486e+00, 1.968266490675199876e+01, 6.246474711040000294e+00, 1.341520451993599927e+01, 1.314105720831999946e+00, 2.994200117247999948e+00, 1.958723715072000049e+00, 7.571074580479999483e-01
2.046000000000000000e+03, 1.707287668326399910e+01, 7.274537943039999455e+00, 1.972105537126400066e+01, 6.273578303487999719e+00, 1.336072051097599989e+01, 1.327144239104000034e+00, 2.992562765824000159e+00, 1.930938023935999892e+00, 7.700814888960000326e-01
2.047000000000000000e+03, 1.715320704204799895e+01, 7.293923491840000217e+00, 1.974581225062399881e+01, 6.295812308991999728e+00, 1.331135250432000028e+01, 1.342549655552000010e+00, 2.989066813440000026e+00, 1.926701776895999974e+00, 7.812473159680000112e-01
2.048000000000000000e+03, 1.721652215808000008e+01, 7.281448058879999685e+00, 1.976332346982399812e+01, 6.312113471487999838e+00, 1.342781784063999950e+01, 1.359920627711999952e+00, 2.986931912704000158e+00, 1.930883497983999941e+00, 7.925408071680000166e-01
2.049000000000000000e+03, 1.729367008870400113e+01, 7.275172855807999994e+00, 1.979382654566400035e+01, 6.324813823999999585e+00, 1.346201609830399981e+01, 1.378865512448000041e+00, 2.984606171135999908e+00, 1.940952055808000010e+00, 8.003634462719999565e-01
2.050000000000000000e+03, 1.735402088038399881e+01, 7.288869879807999830e+00, 1.996862206771200121e+01, 6.363684536320000085e+00, 1.356093456384000007e+01, 1.399148642304000045e+00, 2.984363950080000105e+00, 1.960256208896000052e+00, 8.056293294080000278e-01
2.051000000000000000e+03, 1.761123867033600021e+01, 7.300603969535999660e+00, 2.008438276096000052e+01, 6.417585537024000253e+00, 1.366172788326399967e+01, 1.430061449215999980e+00, 3.003346321407999842e+00, 2.002556682239999830e+00, 8.442831831039999679e-01
2.052000000000000000e+03, 1.780025498009599971e+01, 7.234962063360000251e+00, 2.017802898636799824e+01, 6.455224172543999828e+00, 1.366714063257600031e+01, 1.463762026496000068e+00, 3.022470774783999836e+00, 2.072261558271999871e+00, 8.863393382399999965e-01
2.053000000000000000e+03, 1.798538317004799936e+01, 7.233471512576000073e+00, 2.026169905971200080e+01, 6.481382473727999916e+00, 1.371948030361599891e+01, 1.500333080576000011e+00, 3.040932528127999745e+00, 2.145113473023999795e+00, 9.275315978239999648e-01
2.054000000000000000e+03, 1.814303447449599815e+01, 7.242570530815999774e+00, 2.033043321651199875e+01, 6.501819219967999608e+00, 1.378475101388800006e+01, 1.539054764032000033e+00, 3.055552299007999739e+00, 2.228690092032000081e+00, 9.625194332159999755e-01
2.055000000000000000e+03, 1.831984535961600002e+01, 7.300363845631999915e+00, 2.041909870591999976e+01, 6.541465354239999641e+00, 1.384574982553600009e+01, 1.579062525951999918e+00, 3.071459721215999750e+00, 2.296901795839999760e+00, 9.901661880319999609e-01
2.056000000000000000e+03, 1.853490410291199808e+01, 7.297641742336000270e+00, 2.048385875968000036e+01, 6.591225528319999860e+00, 1.383157832089599992e+01, 1.610110599168000034e+00, 3.081534963711999975e+00, 2.308674682879999995e+00, 1.057176616959999871e+00
2.057000000000000000e+03, 1.873273683968000114e+01, 7.337411084288000040e+00, 2.053849795788799781e+01, 6.623974653951999692e+00, 1.385314962636799940e+01, 1.643819433983999989e+00, 3.090940166144000134e+00, 2.365918281727999783e+00, 1.106461327359999913e+00
2.058000000000000000e+03, 1.890954562764800073e+01, 7.327623675903999434e+00, 2.059424445235200096e+01, 6.640915447808000138e+00, 1.384315774566399959e+01, 1.681063411712000022e+00, 3.099125874688000160e+00, 2.432166002688000095e+00, 1.141636202496000063e+00
2.059000000000000000e+03, 1.910186914611200137e+01, 7.304398766080000271e+00, 2.064098787328000029e+01, 6.649327124480000073e+00, 1.392544160153599897e+01, 1.722670383104000003e+00, 3.103193300991999859e+00, 2.508929892352000035e+00, 1.164166430719999923e+00
2.060000000000000000e+03, 1.927278074265599983e+01, 7.339314774015999632e+00, 2.069914609254399807e+01, 6.660040949759999940e+00, 1.391602853478399915e+01, 1.767534624767999940e+00, 3.107222454271999723e+00, 2.586350452735999728e+00, 1.172588199935999942e+00
2.061000000000000000e+03, 1.946209275084800083e+01, 7.368956444671999506e+00, 2.076273803263999795e+01, 6.673513578496000243e+00, 1.392489739059199927e+01, 1.811991625727999988e+00, 3.101508763647999878e+00, 2.606284406783999863e+00, 1.169723359231999993e+00
2.062000000000000000e+03, 1.963415568383999954e+01, 7.439141306367999640e+00, 2.082691298099199884e+01, 6.683926986751999699e+00, 1.389287178240000031e+01, 1.860890656767999918e+00, 3.097468600320000043e+00, 2.643483951103999807e+00, 1.158621954048000058e+00
2.063000000000000000e+03, 1.981551738880000002e+01, 7.431598374912000260e+00, 2.087864762367999916e+01, 6.691133325312000224e+00, 1.385370642022400034e+01, 1.915515568128000057e+00, 3.094975086592000046e+00, 2.692973592576000108e+00, 1.142787670016000012e+00
2.064000000000000000e+03, 1.997914557644800126e+01, 7.483186216960000081e+00, 2.091503321088000078e+01, 6.695279394815999652e+00, 1.392079431270400036e+01, 1.973097594880000027e+00, 3.092145504255999988e+00, 2.754446884864000022e+00, 1.126989824000000029e+00
2.065000000000000000e+03, 2.014806278144000018e+01, 7.524610736127999466e+00, 2.098077682892800055e+01, 6.707424002047999601e+00, 1.397530768179199967e+01, 2.033313775616000019e+00, 3.090533056511999721e+00, 2.823047610368000004e+00, 1.105439490048000017e+00
2.066000000000000000e+03, 2.032892116992000098e+01, 7.466112253951999733e+00, 2.105087203737599921e+01, 6.721524727808000144e+00, 1.398385567334399937e+01, 2.071011917823999848e+00, 3.082660610047999850e+00, 2.846835343359999992e+00, 1.100029362176000003e+00
2.067000000000000000e+03, 2.051164182937599989e+01, 7.416594825215999442e+00, 2.110363009023999936e+01, 6.727351664639999562e+00, 1.399101115596799971e+01, 2.112580222975999789e+00, 3.076293656575999957e+00, 2.877095935999999909e+00, 1.094842122239999993e+00
2.068000000000000000e+03, 2.067703162470400002e+01, 7.468935544832000062e+00, 2.114832459366400030e+01, 6.728150155264000176e+00, 1.397262647296000004e+01, 2.158838153216000144e+00, 3.072604504063999986e+00, 2.918950633471999900e+00, 1.086817501184000001e+00
2.069000000000000000e+03, 2.085173696921599884e+01, 7.438491713536000027e+00, 2.119839409766399996e+01, 6.726347128831999811e+00, 1.396928780697600025e+01, 2.209539162111999744e+00, 3.069681336319999954e+00, 2.968229511167999934e+00, 1.072512630784000054e+00
2.070000000000000000e+03, 2.100594684723199990e+01, 7.399313768447999706e+00, 2.121943272652799806e+01, 6.735740272640000192e+00, 1.389993603891199925e+01, 2.264836603903999990e+00, 3.065146245119999779e+00, 3.003963408384000111e+00, 1.056110870528000012e+00
2.071000000000000000e+03, 2.112951314022399885e+01, 7.434311041023999422e+00, 2.125598398873599848e+01, 6.752286801919999526e+00, 1.392152412159999919e+01, 2.304746192895999801e+00, 3.050215571455999974e+00, 2.956496732159999752e+00, 1.048068423679999972e+00
2.072000000000000000e+03, 2.120241224089599896e+01, 7.469564690431999665e+00, 2.124760376934399986e+01, 6.762014441472000037e+00, 1.393160722841600041e+01, 2.349816872959999969e+00, 3.038129160191999745e+00, 2.930940575744000132e+00, 1.037411549183999915e+00
2.073000000000000000e+03, 2.133362475007999848e+01, 7.451840086015999454e+00, 2.122225549311999870e+01, 6.764135186432000069e+00, 1.394630511820800045e+01, 2.398657183744000054e+00, 3.027489259519999809e+00, 2.936194203647999768e+00, 1.028096524288000024e+00
2.074000000000000000e+03, 2.140846581350399802e+01, 7.518038261760000118e+00, 2.122480772710400032e+01, 6.766446772223999595e+00, 1.391843711385599924e+01, 2.451641991168000079e+00, 3.016055062527999819e+00, 2.961702911999999799e+00, 1.016903696383999911e+00
2.075000000000000000e+03, 2.150487398809599782e+01, 7.524819927040000245e+00, 2.122682938163200106e+01, 6.775513808896000079e+00, 1.385710485503999934e+01, 2.507198693375999987e+00, 3.008031883264000061e+00, 2.969825181695999738e+00, 1.008062955520000026e+00
2.076000000000000000e+03, 2.155450938163199837e+01, 7.580640346112000216e+00, 2.121467848294399872e+01, 6.785065287680000168e+00, 1.381297238835199970e+01, 2.521342148607999878e+00, 2.995327860735999881e+00, 2.915044163584000092e+00, 1.001661464576000027e+00
2.077000000000000000e+03, 2.155033395199999902e+01, 7.634905726976000118e+00, 2.120283376844799861e+01, 6.787168206847999485e+00, 1.385215033343999913e+01, 2.539723685888000126e+00, 2.984352153599999724e+00, 2.881589870591999780e+00, 9.928544092159999890e-01
2.078000000000000000e+03, 2.157449733734399899e+01, 7.679204392960000014e+00, 2.120522871603199988e+01, 6.781249519615999866e+00, 1.390353055743999988e+01, 2.562479095807999929e+00, 2.972184215551999742e+00, 2.867380092927999780e+00, 9.849989365760000171e-01
2.079000000000000000e+03, 2.159628255231999816e+01, 7.684103864319999921e+00, 2.121404933734400089e+01, 6.773555593215999870e+00, 1.390888144076799904e+01, 2.590010245119999777e+00, 2.959808921600000087e+00, 2.864008658943999919e+00, 9.764956405760000235e-01
2.080000000000000000e+03, 2.162405723340799923e+01, 7.690665328639999743e+00, 2.122234986495999820e+01, 6.759393525760000188e+00, 1.390104228659200025e+01, 2.620697608192000150e+00, 2.950210781183999931e+00, 2.870457663488000133e+00, 9.668353064960000243e-01
2.081000000000000000e+03, 2.161628309094399825e+01, 7.751069597695999569e+00, 2.124671457689600018e+01, 6.740842119167999691e+00, 1.380738033254399966e+01, 2.621036036096000110e+00, 2.932813856767999994e+00, 2.849158987775999741e+00, 9.557699461119999462e-01
2.082000000000000000e+03, 2.164117838233600111e+01, 7.787676958719999654e+00, 2.127536586751999792e+01, 6.726535348224000010e+00, 1.379338079436799980e+01, 2.626525593599999819e+00, 2.918036013056000133e+00, 2.847699369983999862e+00, 9.427495157759999689e-01
2.083000000000000000e+03, 2.162885551718400023e+01, 7.804021112832000284e+00, 2.130276725555199846e+01, 6.712593481727999745e+00, 1.377817119948799984e+01, 2.636569903103999746e+00, 2.901264826368000094e+00, 2.859603066880000100e+00, 9.269267005439999485e-01
2.084000000000000000e+03, 2.164527831449600015e+01, 7.815886274559999514e+00, 2.132140883968000011e+01, 6.691726295039999606e+00, 1.380962428518400031e+01, 2.651186790400000159e+00, 2.888848375808000135e+00, 2.877223600128000047e+00, 9.091743088639999693e-01
2.085000000000000000e+03, 2.163866389708799787e+01, 7.807638175743999653e+00, 2.134117869158399827e+01, 6.661903745023999512e+00, 1.380080051814399944e+01, 2.669322174463999886e+00, 2.877558620159999858e+00, 2.882900590591999990e+00, 8.900365516799999543e-01
2.086000000000000000e+03, 2.162337985331199874e+01, 7.833152651264000177e+00, 2.136560841523199983e+01, 6.628944904192000109e+00, 1.373683738214399952e+01, 2.653119315967999992e+00, 2.873044500479999819e+00, 2.824311668736000147e+00, 8.682742087679999887e-01
2.087000000000000000e+03, 2.158778698956799857e+01, 7.755970117631999727e+00, 2.140498873548800063e+01, 6.599116587007999968e+00, 1.368446205951999950e+01, 2.641819074559999869e+00, 2.869235548159999816e+00, 2.788606607359999767e+00, 8.464309944319999834e-01
2.088000000000000000e+03, 2.157041418240000041e+01, 7.720487354368000155e+00, 2.140810090905599949e+01, 6.569213296640000088e+00, 1.369977651199999968e+01, 2.634055679999999899e+00, 2.864694689792000037e+00, 2.770822758400000030e+00, 8.242696683519999956e-01
2.089000000000000000e+03, 2.154649406668799827e+01, 7.698680643583999839e+00, 2.139676580249599880e+01, 6.536552251392000024e+00, 1.375223467212799910e+01, 2.630580699135999900e+00, 2.858478469120000032e+00, 2.764020645887999894e+00, 8.030660853759999940e-01
2.090000000000000000e+03, 2.154287018803200127e+01, 7.692661817343999786e+00, 2.142364499968000047e+01, 6.502836862976000276e+00, 1.376557989888000044e+01, 2.632242167808000133e+00, 2.852287676416000117e+00, 2.756712595455999892e+00, 7.819197808639999359e-01
2.091000000000000000e+03, 2.152087735500800036e+01, 7.587193421823999806e+00, 2.147132584755199858e+01, 6.468994072575999787e+00, 1.373843121766399911e+01, 2.612176617472000029e+00, 2.842568163327999997e+00, 2.722599010304000089e+00, 7.811982295039999746e-01
2.092000000000000000e+03, 2.150171148288000111e+01, 7.548539240448000065e+00, 2.154187613798399781e+01, 6.437261017087999804e+00, 1.369698625126400060e+01, 2.595443441663999984e+00, 2.829882753024000053e+00, 2.708293550080000056e+00, 7.789818019840000218e-01
2.093000000000000000e+03, 2.147404375654399900e+01, 7.523767156735999606e+00, 2.156396334284799821e+01, 6.407082475520000209e+00, 1.370913819852800053e+01, 2.582272278527999898e+00, 2.820000186367999984e+00, 2.701802078207999891e+00, 7.739047280640000137e-01
2.094000000000000000e+03, 2.145809281843200012e+01, 7.434960109568000242e+00, 2.159094530047999783e+01, 6.376861990911999456e+00, 1.374345599385599925e+01, 2.571872763903999992e+00, 2.809473269759999781e+00, 2.703996485632000013e+00, 7.666296422399999644e-01
2.095000000000000000e+03, 2.142809725337599858e+01, 7.341019234303999497e+00, 2.159449368166399807e+01, 6.336833650687999864e+00, 1.374531826483199914e+01, 2.563735027712000125e+00, 2.798522990592000159e+00, 2.698826481663999743e+00, 7.599510650880000329e-01
2.096000000000000000e+03, 2.143601819647999918e+01, 7.279300050944000233e+00, 2.153894012518399848e+01, 6.291017170943999481e+00, 1.368393043148799926e+01, 2.536628813824000073e+00, 2.786790473727999817e+00, 2.643134513151999876e+00, 7.587416637439999834e-01
2.097000000000000000e+03, 2.135672278220799924e+01, 7.235571286015999526e+00, 2.150028961382399828e+01, 6.251495292927999436e+00, 1.367329367654400052e+01, 2.511904964608000057e+00, 2.773281669119999737e+00, 2.606860337151999829e+00, 7.557444403199999883e-01
2.098000000000000000e+03, 2.128767195545599833e+01, 7.169721761792000159e+00, 2.147542577971200117e+01, 6.217070542847999981e+00, 1.361505052262399929e+01, 2.490636173312000157e+00, 2.760577122303999875e+00, 2.582092709887999771e+00, 7.491541401600000372e-01
2.099000000000000000e+03, 2.122443233689600106e+01, 7.128599756799999909e+00, 2.145036061900799851e+01, 6.184487092223999838e+00, 1.359437260390400048e+01, 2.469346672639999962e+00, 2.744593940480000160e+00, 2.575420358655999831e+00, 7.412347699200000362e-01
2.100000000000000000e+03, 2.118273885798399903e+01, 7.073789640703999737e+00, 2.144614534348799850e+01, 5.834344497152000208e+00, 1.317093769215999899e+01, 2.453243953152000056e+00, 2.731974328319999756e+00, 2.555317583872000142e+00, 7.302800998399999743e-01
