year, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, NorESM2-LM, TaiESM1, CNRM-ESM2-1
2.042000000000000000e+03, 1.310362309754880016e+03, 1.796260147232768077e+03, 1.472682277208064079e+03, 1.887483105116160004e+03, 5.665924212326399356e+02, 8.716205959413759956e+02, 2.900270350598143978e+03, 1.214885723635711884e+03, 7.324275509821439982e+02, 1.358480304766975905e+03, 2.461323082334207811e+03, 5.152998414090239976e+02, 1.614064950181887980e+03
2.043000000000000000e+03, 1.310546859130879966e+03, 1.797014316646399948e+03, 1.473223577305087929e+03, 1.888021318205439911e+03, 5.671313725194239623e+02, 8.720561324687359956e+02, 2.900915937869824120e+03, 1.215858131075071924e+03, 7.335775284756480232e+02, 1.358674383601663976e+03, 2.461619435077631806e+03, 5.156975620915200125e+02, 1.615237878906880042e+03
2.044000000000000000e+03, 1.310612491599871873e+03, 1.797624738873343858e+03, 1.473698976497664034e+03, 1.888602480967679867e+03, 5.676746858823679531e+02, 8.723216151347199911e+02, 2.901490658181120125e+03, 1.216966366855167962e+03, 7.349706413834239811e+02, 1.359118912716799969e+03, 2.462007324311552111e+03, 5.159099616460799780e+02, 1.616125729177600078e+03
2.045000000000000000e+03, 1.310745769803776057e+03, 1.797780834091008046e+03, 1.474241081901056077e+03, 1.889160826716160045e+03, 5.681687413391359769e+02, 8.726868886814719417e+02, 2.901167730327551908e+03, 1.218479805956096016e+03, 7.352573975592960096e+02, 1.359478884663295958e+03, 2.462572380946432077e+03, 5.153507434823679887e+02, 1.617604003233791900e+03
2.046000000000000000e+03, 1.310726710886400042e+03, 1.797597492674560044e+03, 1.474878750326784029e+03, 1.889819969978367908e+03, 5.687352743690239549e+02, 8.732986530856959462e+02, 2.900955666317312080e+03, 1.219434630873088054e+03, 7.350666070589439869e+02, 1.359839393480704075e+03, 2.463048048574463792e+03, 5.153543338065919670e+02, 1.618817868365823870e+03
2.047000000000000000e+03, 1.310642422153215875e+03, 1.797601519206399871e+03, 1.475463000096767928e+03, 1.890291342639103959e+03, 5.691735623598079883e+02, 8.737262707671039834e+02, 2.901666751840255984e+03, 1.220047334801407942e+03, 7.353351767326720392e+02, 1.360421227331584078e+03, 2.463641290932223910e+03, 5.160849144545279614e+02, 1.620074683170815888e+03
2.048000000000000000e+03, 1.310607793979392000e+03, 1.798149127536639980e+03, 1.475871693078527869e+03, 1.890913441808384050e+03, 5.696701679534079403e+02, 8.739969208156160221e+02, 2.902386158862335833e+03, 1.221035445714943990e+03, 7.365547461181439530e+02, 1.360817974935552002e+03, 2.464326338215936175e+03, 5.160912897966079527e+02, 1.620893411311615864e+03
2.049000000000000000e+03, 1.310623631671295925e+03, 1.798415012855808072e+03, 1.476291526131711862e+03, 1.891619695493119934e+03, 5.701836849807359613e+02, 8.740808068956159786e+02, 2.902995507347456169e+03, 1.222205555867647945e+03, 7.372814008975359457e+02, 1.361232439279616074e+03, 2.465006285225983902e+03, 5.154044976824319519e+02, 1.622180290887680030e+03
2.050000000000000000e+03, 1.310805362475007996e+03, 1.798536748335103994e+03, 1.477051064254463881e+03, 1.892137239052287896e+03, 5.705543943454720193e+02, 8.741012750991359326e+02, 2.903230656806912066e+03, 1.223065623068672039e+03, 7.380815398830079630e+02, 1.361463159554047934e+03, 2.465514701979647725e+03, 5.157588995932160287e+02, 1.623485960945663919e+03
2.051000000000000000e+03, 1.311059570851839908e+03, 1.799458153037823877e+03, 1.477855162662911880e+03, 1.892702564122623926e+03, 5.709618793676800124e+02, 8.742433445642240031e+02, 2.903209181970431928e+03, 1.223836032827392046e+03, 7.389155017359360045e+02, 1.361643950833663894e+03, 2.465898564681727748e+03, 5.158743939481599909e+02, 1.624442530693120034e+03
