year, MIROC-ES2L, INM-CM5-0, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg, NorESM2-LM, ACCESS-ESM1-5, CMCC-CM2-SR5, TaiESM1, NorESM2-MM, CESM2-WACCM, UKESM1-0-LL, CanESM5, IPSL-CM6A-LR, INM-CM4-8, CNRM-ESM2-1
2.039000000000000000e+03, 7.540222122000000127e+01, 8.532251650799999254e+01, 8.127250570799999707e+01, 6.132150365399999714e+01, 6.363904487399999255e+01, 5.221260993599999267e+01, 5.380353806399999428e+01, 5.090405909399999729e+01, 4.708366979399999508e+01, 5.351873644799999852e+01, 5.426606474999999818e+01, 7.614938789999999358e+01, 9.732943853999999817e+01, 6.128512687799999270e+01, 8.602036876799999732e+01, 5.290907855399999704e+01
2.040000000000000000e+03, 7.599069086400000117e+01, 8.605251183599999365e+01, 8.402599270799998976e+01, 6.203011363199999550e+01, 6.546533405399999594e+01, 5.289713429399999711e+01, 5.400398087999999319e+01, 5.105728857599999770e+01, 4.835137363199999783e+01, 5.363375218199999495e+01, 5.529175343999999370e+01, 7.657622766000000070e+01, 9.885772828799998990e+01, 6.338070590399999560e+01, 8.498896811999999557e+01, 5.396927551199999584e+01
2.041000000000000000e+03, 7.652543104799998730e+01, 8.650924772399999085e+01, 8.424859744799999817e+01, 5.965421898599999651e+01, 6.586516322999999318e+01, 5.269407398999999259e+01, 5.532561127799999667e+01, 5.098933243799999815e+01, 4.863126745799999640e+01, 5.258788439399999248e+01, 5.493693007799999606e+01, 7.564967632799999819e+01, 1.005594108479999989e+02, 6.180798981599999564e+01, 8.569121965199998670e+01, 5.306531183999999257e+01
2.042000000000000000e+03, 7.596092087999998910e+01, 8.694813423599998714e+01, 8.439594152399999416e+01, 5.963965329599999876e+01, 6.328545535799999300e+01, 5.339142167399999295e+01, 5.377774555799999234e+01, 5.092991467199999533e+01, 4.759249526999999347e+01, 5.264980532999999241e+01, 5.538309352199999580e+01, 7.850583665999999994e+01, 1.004075571239999931e+02, 6.134119000199999761e+01, 8.670958804799998632e+01, 5.450472131399999398e+01
2.043000000000000000e+03, 7.658270830799999374e+01, 8.750250557999999046e+01, 8.272314593999999488e+01, 6.211371950999999569e+01, 6.297999371999999596e+01, 5.380405446599999664e+01, 5.289640502399999633e+01, 5.003250654599999336e+01, 4.785349508999999557e+01, 5.437073273399999351e+01, 5.521980011399999455e+01, 7.704008279999999331e+01, 9.766417741199998659e+01, 6.340408984799999814e+01, 8.610304827599999555e+01, 5.533441770599999643e+01
2.044000000000000000e+03, 7.662864049199998817e+01, 8.652979342799999074e+01, 7.945297311599999546e+01, 6.193204849799999323e+01, 6.381834674399999585e+01, 5.375883184199999931e+01, 5.398376236199999312e+01, 5.284768584599999741e+01, 4.837983487199999644e+01, 5.444693159399999871e+01, 5.637734476199999278e+01, 7.767379083599999490e+01, 9.865589788799999837e+01, 6.103224757799999622e+01, 8.712605246399999714e+01, 5.632301611799999819e+01
2.045000000000000000e+03, 7.770244129199998895e+01, 8.853009037199998943e+01, 8.321091325199999744e+01, 6.024283054199999299e+01, 6.511779944999999259e+01, 5.444558342999999923e+01, 5.559048214199999904e+01, 5.427008164799999435e+01, 4.868349107399999554e+01, 5.428782458999999250e+01, 5.619336767999999438e+01, 7.748484289199998898e+01, 9.810658018799999525e+01, 6.299727938999999566e+01, 8.739153827999999180e+01, 5.457362747399999847e+01
2.046000000000000000e+03, 7.584054008399999702e+01, 8.841236648399998899e+01, 8.066203970399999434e+01, 6.178230768599999578e+01, 6.558674371200000053e+01, 5.463551687399999679e+01, 5.434825939199999567e+01, 5.089198080599999940e+01, 4.769630389799999648e+01, 5.467109342399999861e+01, 5.644971199799999795e+01, 7.464555431999998802e+01, 1.012332720959999932e+02, 6.451879283999998904e+01, 8.885443813199999852e+01, 5.405384323799999891e+01
2.047000000000000000e+03, 7.600332103199998812e+01, 8.658783543599999177e+01, 8.431874139599999296e+01, 6.119373160799999312e+01, 6.518062704599999790e+01, 5.465239651799999621e+01, 5.403548140199999494e+01, 5.036571986399999901e+01, 4.728502715399999801e+01, 5.415857429399999745e+01, 5.726218579199999681e+01, 7.655240221199998985e+01, 1.064553814079999938e+02, 6.308901367199999299e+01, 8.642952471599998887e+01, 5.381790665399999796e+01
2.048000000000000000e+03, 7.807653709199999525e+01, 8.913347654399998987e+01, 8.390599034399998857e+01, 5.890943721599999350e+01, 6.654293888399999446e+01, 5.374432528199999837e+01, 5.429639843999999727e+01, 5.165508893399999835e+01, 4.963095865799999729e+01, 5.637010724999999667e+01, 5.755250226599999763e+01, 7.706643112799999074e+01, 1.039464087839999991e+02, 6.507632172599998910e+01, 8.942240149199999166e+01, 5.691345676199999559e+01
2.049000000000000000e+03, 7.874992530000000102e+01, 9.033726085200000000e+01, 8.354519485199999451e+01, 6.303603713399999720e+01, 6.608628971999999635e+01, 5.285333078999999401e+01, 5.352683725799999337e+01, 5.164921535399999897e+01, 4.887363738599999863e+01, 5.632536554999999368e+01, 5.701616162999999915e+01, 7.689262834799998814e+01, 1.010871658079999946e+02, 6.268784421599999490e+01, 8.977993300799998622e+01, 5.316869867399999805e+01
2.050000000000000000e+03, 7.573382225999999662e+01, 8.793730029599998943e+01, 8.576759195999999008e+01, 6.251649730199999766e+01, 6.655906954799999653e+01, 5.500032926399999411e+01, 5.424743485799999831e+01, 5.397922906199999460e+01, 4.802251622399999320e+01, 5.530532574599999407e+01, 5.815859264999999567e+01, 7.723447858799998755e+01, 1.003334317559999960e+02, 6.298729036199999598e+01, 8.928742741199999955e+01, 5.521947292799999474e+01
