year, EC-Earth3-Veg, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-MM, ACCESS-ESM1-5, CNRM-ESM2-1, TaiESM1, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, MIROC-ES2L
1.870000000000000000e+03, 1.716763487578669478e+00, 1.017432913262616800e+01, 1.098641149424053109e+00, 9.931524276789694738e+00, 3.931796426847752546e+00, 1.351882237806879328e+00, 1.185982432099428552e+00, 7.217489819573873255e+00, 6.859941780335575556e-01, 1.775285014686490248e+00, 2.567104819715553266e+00, 1.271913661051690791e+00, 7.431137932002833679e+00
1.871000000000000000e+03, 1.708342390035636926e+00, 1.015146382767471600e+01, 1.120912900857850225e+00, 9.968186522060975108e+00, 3.933561196609169475e+00, 1.321907032406280935e+00, 1.188775111777781390e+00, 7.171224675367563250e+00, 5.531084540037852770e-01, 1.413808152871371737e+00, 2.523394954107775146e+00, 1.242971591689307598e+00, 7.431418074896358306e+00
1.872000000000000000e+03, 1.707943711558042033e+00, 1.011318706013397950e+01, 1.146617560494283650e+00, 1.000507983880297225e+01, 3.923400330135146330e+00, 1.368553539014144338e+00, 1.201508403436213124e+00, 7.208618356040226161e+00, 5.125271001093314460e-01, 1.575633093394275264e+00, 2.567455162724539885e+00, 1.226441129206875980e+00, 7.391561403096488903e+00
1.873000000000000000e+03, 1.660122582939508096e+00, 1.019025940613926551e+01, 1.096059083048647409e+00, 9.995698492345823638e+00, 3.915248080012590393e+00, 1.354873144707053001e+00, 1.208552950466453391e+00, 7.253067198465027232e+00, 6.248074173755492344e-01, 1.966617376025888708e+00, 2.614450627644723024e+00, 1.299463929479685254e+00, 7.353080723990193412e+00
1.874000000000000000e+03, 1.635429372894269706e+00, 1.014884061334032594e+01, 1.095745878992771427e+00, 1.003095333556344393e+01, 3.907475542672619095e+00, 1.361526982269627428e+00, 1.201966511499974688e+00, 7.202930776389830925e+00, 4.800574726532952918e-01, 1.655389660487347703e+00, 2.633682714177419282e+00, 1.273908624798888223e+00, 7.344826860533731683e+00
1.875000000000000000e+03, 1.652192086892274814e+00, 1.004331396102404916e+01, 1.107138947172543908e+00, 1.001112818797796677e+01, 3.887217255766997059e+00, 1.377327135474979647e+00, 1.200093810828267937e+00, 7.144551195254270404e+00, 5.214090254496166477e-01, 1.653066622713055933e+00, 2.602260974673601179e+00, 1.249372218526551226e+00, 7.340422374662181504e+00
1.876000000000000000e+03, 1.663860400532638950e+00, 1.011185218539620045e+01, 1.148566846993038570e+00, 9.932538374768816070e+00, 3.901078667635990094e+00, 1.339662719882096731e+00, 1.210120845023370473e+00, 7.231098772047183765e+00, 6.846006448335956174e-01, 1.609706180786351748e+00, 2.672105298098276904e+00, 1.274140356670834251e+00, 7.270678387093171047e+00
1.877000000000000000e+03, 1.681184273623872460e+00, 1.015826326896203113e+01, 1.164875732547255183e+00, 9.990321116172996341e+00, 3.906202687557055686e+00, 1.360591822131391959e+00, 1.217712793518922476e+00, 7.250625413616266890e+00, 5.428725180116562576e-01, 1.631917862258449370e+00, 2.547104855249996636e+00, 1.259182661887373822e+00, 7.248751361149707861e+00
1.878000000000000000e+03, 1.673428833496062529e+00, 1.013415602504188051e+01, 1.133350170605923246e+00, 1.006229511617130257e+01, 3.902722784087657715e+00, 1.318264958270289666e+00, 1.224651104116369682e+00, 7.220138581453675819e+00, 4.983193563343176202e-01, 1.655995401844378323e+00, 2.642741139487092106e+00, 1.303645309335769831e+00, 7.255297803337092510e+00
1.879000000000000000e+03, 1.694860659508650835e+00, 1.008457774585911970e+01, 1.129899626048396444e+00, 1.013169941846170019e+01, 3.922711305829624795e+00, 1.350311503182768602e+00, 1.232802446430142362e+00, 7.199085635805733574e+00, 5.441264362408978483e-01, 1.735778673362363689e+00, 2.602227220979811850e+00, 1.292019324417576831e+00, 7.323543400642812173e+00
