year, MPI-ESM1-2-LR, NorESM2-LM, CNRM-ESM2-1, CanESM5, EC-Earth3-Veg, NorESM2-MM, INM-CM4-8, TaiESM1, IPSL-CM6A-LR, INM-CM5-0, CMCC-CM2-SR5, UKESM1-0-LL, CESM2-WACCM, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5
1.860000000000000000e+03, 4.355457234121589138e+00, 3.167052025334297305e+00, 2.687497159372373545e+00, 3.607585048451810827e+00, 4.004468428396960711e+00, 3.657061204636797402e+00, 5.293793125910947417e+00, 3.507175560015743265e+00, 2.353727116295782462e+00, 5.099349589580506326e+00, 3.031901505801406937e+00, 4.763963264803824593e+00, 3.524464604256143385e+00, 2.851061050027474675e+00, 4.463876807716999906e+00, 2.295638382976802561e+00
1.861000000000000000e+03, 4.022517562954988968e+00, 3.101307918630225924e+00, 2.734323444538673709e+00, 3.701798637322861740e+00, 3.745813419795351429e+00, 3.789921328825426983e+00, 5.116738498235454458e+00, 3.688397337822271194e+00, 2.238025907593528263e+00, 5.324205242127246329e+00, 3.003539858735603474e+00, 4.350032427219574060e+00, 3.734896247994639928e+00, 2.700773942614597356e+00, 4.215252244272827298e+00, 2.391456529547447474e+00
1.862000000000000000e+03, 4.132736436812422198e+00, 3.197559437148400185e+00, 2.502775643074746981e+00, 3.702622161678533974e+00, 4.182858378017438206e+00, 3.699810813148728172e+00, 5.382545902522078762e+00, 4.325488069515113665e+00, 2.440901392899785360e+00, 5.079217464706671237e+00, 3.122007966130177614e+00, 4.215549081796620356e+00, 3.655702316922254447e+00, 2.798195431226652818e+00, 4.342503192645091659e+00, 2.335848439926057729e+00
1.863000000000000000e+03, 4.350055348621401308e+00, 2.749542667394393458e+00, 2.610476463989194862e+00, 3.627598352017307626e+00, 4.048082702727960225e+00, 3.714024642028841416e+00, 5.314746764926732148e+00, 3.878531218118412394e+00, 2.372979453236172098e+00, 5.128778350728366853e+00, 3.237656799834368826e+00, 4.327482124769283622e+00, 3.639568810728301518e+00, 2.860247822556832187e+00, 4.492204297995026074e+00, 2.259511183597302519e+00
1.864000000000000000e+03, 4.259045934350790041e+00, 2.884669717696814573e+00, 2.453944526387976666e+00, 3.762501582231446928e+00, 4.019402006128259153e+00, 3.613439183791493203e+00, 5.159506427375885274e+00, 3.780396179541388957e+00, 2.166127611982672896e+00, 5.008744221579595646e+00, 3.087657969611296238e+00, 4.267775537907672501e+00, 3.485814068597615112e+00, 2.873866065265260783e+00, 4.381213399770501837e+00, 2.013381778249076159e+00
1.865000000000000000e+03, 4.516563095802067274e+00, 3.229656148612449762e+00, 2.801341923455718863e+00, 3.873193115204692116e+00, 3.822393617672841692e+00, 3.518354092766461161e+00, 5.069978026567953933e+00, 3.798114409847088702e+00, 2.275655111664878660e+00, 5.047383983843516830e+00, 3.082754916433592118e+00, 4.594611375539746412e+00, 3.399190886913431964e+00, 2.776012131963177865e+00, 4.199156034201632970e+00, 2.215182357246091360e+00
1.866000000000000000e+03, 4.569830341678994934e+00, 3.093186740253341949e+00, 2.571481749844934495e+00, 3.730844945573338567e+00, 4.073333445679531373e+00, 3.394526422860253412e+00, 5.208384213269136254e+00, 3.813587870834237670e+00, 2.278007545423010427e+00, 5.273609799944763310e+00, 3.284485425860669050e+00, 4.890676929211680068e+00, 3.260559263503599148e+00, 2.797875355998055813e+00, 4.067048395712244968e+00, 2.218638619172144111e+00
1.867000000000000000e+03, 4.237760976976755245e+00, 2.955873923406264314e+00, 2.660480096697397823e+00, 3.593049249716297577e+00, 3.822360552395718258e+00, 3.653053143671257885e+00, 5.099586323693581669e+00, 4.108514637170849859e+00, 2.280119845971097625e+00, 5.137575404509890475e+00, 3.107886223948152171e+00, 4.430460883644785852e+00, 3.447173398516832243e+00, 2.717232639902789071e+00, 4.137458434819098585e+00, 2.277155184094448614e+00
1.868000000000000000e+03, 4.128000433300927696e+00, 2.882301541205174900e+00, 2.535420157605098090e+00, 3.710478442964498580e+00, 3.933075244368527734e+00, 3.804672501829017062e+00, 5.195840814350701109e+00, 4.104437256385851107e+00, 2.395381399584394888e+00, 5.116999705141864752e+00, 3.092105029778126291e+00, 4.588376220580306253e+00, 3.310808510532591509e+00, 2.847083694292428024e+00, 4.247871914518553282e+00, 2.067316429939384470e+00
1.869000000000000000e+03, 4.343972765994691621e+00, 3.030931428694726648e+00, 2.415156820484602562e+00, 3.828820866884341090e+00, 3.911290323476448449e+00, 3.888357183103384074e+00, 5.110762761558009792e+00, 4.142005442752508593e+00, 2.355320093892093070e+00, 5.098225913983510438e+00, 2.951582535247565087e+00, 4.714689044645886895e+00, 3.485822401410711535e+00, 2.785815549318138018e+00, 4.486070494020054866e+00, 2.281096216239170360e+00
