year, NorESM2-MM, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-CM2-SR5, CESM2-WACCM, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-LM, CNRM-ESM2-1, CanESM5, TaiESM1, INM-CM4-8
1.875000000000000000e+03, 7.387134937308590388e+00, 6.584101729337965558e+00, 6.021220666598844140e+00, 8.015352322986961653e+00, 6.641305986489719260e+00, 7.843581369641302814e+00, 8.534014874770456061e+00, 5.816442331846326752e+00, 8.711183854661769033e+00, 7.570593283481826141e+00, 8.987981365557397240e+00, 7.449468204610568023e+00, 6.852328499278621088e+00, 7.233875357020846941e+00, 6.687866673407103946e+00, 8.445660828245042495e+00
1.876000000000000000e+03, 7.711408459795833892e+00, 7.025971267411926569e+00, 5.428455770522674584e+00, 7.767781221184072216e+00, 6.237512017912574258e+00, 8.072074289876177033e+00, 7.887623772827565993e+00, 6.139471413634362662e+00, 8.804971728399603847e+00, 7.500406334637936823e+00, 9.772845117362734868e+00, 6.647801306326637238e+00, 6.609701009826246754e+00, 8.114767482289789058e+00, 7.200290707212551489e+00, 8.317073525170284753e+00
1.877000000000000000e+03, 7.618148301305162740e+00, 7.102302484433856478e+00, 5.609525839151365822e+00, 8.293386396180267184e+00, 5.930746271728676966e+00, 7.803361875017834848e+00, 7.962517684954206310e+00, 6.326362504348550964e+00, 8.782897867001629777e+00, 7.057321489179726015e+00, 9.369297079880086088e+00, 6.321249776485816874e+00, 6.779308041013146102e+00, 7.790610557880781606e+00, 7.382023620429722932e+00, 8.682915240065037565e+00
1.878000000000000000e+03, 7.982419762090865234e+00, 6.551423947990726582e+00, 5.773754206955159063e+00, 7.845287289152421017e+00, 6.377378333647238051e+00, 7.675518643739042801e+00, 6.700566647804122589e+00, 6.260792354824910255e+00, 9.033228285910587019e+00, 7.108549817432963991e+00, 9.035646556175036537e+00, 7.212453135476543764e+00, 6.981514296077587112e+00, 8.006216106554788325e+00, 6.942949194894477039e+00, 8.247113124019046282e+00
1.879000000000000000e+03, 7.740084125223659406e+00, 7.023487219378685253e+00, 5.367831154480319000e+00, 8.313532952427015843e+00, 6.899186999415087840e+00, 7.767960467124582102e+00, 8.444374128558216341e+00, 6.071572504173833096e+00, 9.043860289047305656e+00, 6.302347209219020918e+00, 9.293514273711229734e+00, 6.162068125903388705e+00, 6.839097191088113092e+00, 7.657795059973966367e+00, 7.239551958770974238e+00, 8.672160957796851477e+00
1.880000000000000000e+03, 7.134876373731368737e+00, 6.679544939462725317e+00, 5.659749093281027932e+00, 8.063311740676054384e+00, 6.811066921331252466e+00, 7.794871547422741465e+00, 8.730845113710293148e+00, 6.192033974939787910e+00, 8.847810863377658208e+00, 7.320891897174794494e+00, 9.455211584887909027e+00, 7.003021458518048803e+00, 6.168943578774396030e+00, 7.804158064001651240e+00, 7.113331928178099339e+00, 8.249802509262863737e+00
1.881000000000000000e+03, 6.383912037602212486e+00, 6.389880449097950610e+00, 6.035612037475446279e+00, 7.669649326708192660e+00, 6.469202782357498016e+00, 7.039178226310574438e+00, 8.024205835467951076e+00, 6.236230417609594845e+00, 8.796990841983935994e+00, 7.401122772737813271e+00, 9.359760901656116516e+00, 6.865317718821941639e+00, 6.898403364692319961e+00, 7.598278137120693110e+00, 6.317774925025975818e+00, 8.572974902949988874e+00
1.882000000000000000e+03, 8.605589753144336385e+00, 6.234540761894916905e+00, 5.935020899733947530e+00, 7.902965961367416803e+00, 5.649537037253375971e+00, 7.989411930270485129e+00, 6.762161779456899779e+00, 5.892676281810398820e+00, 8.804589412536037329e+00, 7.031754262562664337e+00, 9.352169337776780722e+00, 7.723889459019600778e+00, 6.553377580218008092e+00, 7.608202631870081944e+00, 7.577201222184165808e+00, 8.567973672192872314e+00
1.883000000000000000e+03, 7.276575920468035363e+00, 7.029526353104762926e+00, 5.429453508065872569e+00, 7.329134904454602584e+00, 6.398316831478654265e+00, 7.752987837846275099e+00, 7.651275547486257267e+00, 6.267319517016373354e+00, 8.490582906588665324e+00, 6.091886977844708007e+00, 8.772070542332093268e+00, 6.385367229374443454e+00, 6.557149678662992365e+00, 7.632894797728450698e+00, 7.165672959088916549e+00, 8.374212616231680784e+00
1.884000000000000000e+03, 7.662450498208317917e+00, 6.519044394660630459e+00, 5.389793147510053117e+00, 7.985712720848478163e+00, 6.004580593762950613e+00, 7.327467721487613161e+00, 7.263089396371856132e+00, 6.243574656443466431e+00, 8.795512037581680431e+00, 6.830465979190565307e+00, 9.032627932464601272e+00, 6.572567310114971306e+00, 6.679035301415731318e+00, 7.686414096750564973e+00, 5.849359444972125566e+00, 7.909909508337890749e+00
