year, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1
1.869000000000000000e+03, 5.598441732752086775e-10, -4.546243979803287616e-10, 1.481795058072915888e-10, 2.269818732316427247e-11
1.870000000000000000e+03, 6.325925258247609673e-10, -4.654406283840720282e-10, 1.489262556711498821e-10, 2.459140322044836179e-11
1.871000000000000000e+03, 6.089971362886781416e-10, -4.566677765856834172e-10, 1.590347075377082682e-10, 2.675071181965854043e-11
1.872000000000000000e+03, 5.152292766356999940e-10, -4.649711529766562244e-10, 1.609500411004288658e-10, 2.750485570794669863e-11
1.873000000000000000e+03, 5.892320283689632901e-10, -4.589988144710617476e-10, 1.626030166754790184e-10, 2.800740782349055135e-11
1.874000000000000000e+03, 6.175590725676491461e-10, -4.634885099749880225e-10, 1.630006962781623517e-10, 2.819198998537160179e-11
1.875000000000000000e+03, 6.212256129432948600e-10, -5.013057203840566075e-10, 1.640330152739172830e-10, 2.962162926589878502e-11
1.876000000000000000e+03, 6.294676352270881782e-10, -4.726746671560076793e-10, 1.654194486888806157e-10, 3.365995847790074734e-11
1.877000000000000000e+03, 6.032897258181765524e-10, -4.644606870709578862e-10, 1.659715389263466876e-10, 3.670803478115312736e-11
1.878000000000000000e+03, 5.958065349712030562e-10, -5.015488390010578068e-10, 1.667267569530129207e-10, 3.755809576071799089e-11
1.879000000000000000e+03, 6.462922328618164687e-10, -4.972063071160466694e-10, 1.664750057743693005e-10, 3.806776427253392922e-11
1.880000000000000000e+03, 6.678046335135080271e-10, -5.023175269100564168e-10, 1.668586431299072722e-10, 3.883711911858215959e-11
1.881000000000000000e+03, 7.015516481270407167e-10, -4.972715100626854899e-10, 1.889761977377509095e-10, 4.899760192250185947e-11
1.882000000000000000e+03, 6.290656307659961852e-10, -5.234668158267533022e-10, 1.917590515857667296e-10, 5.039919576390385064e-11
1.883000000000000000e+03, 6.337032094479314114e-10, -5.438318872494227505e-10, 1.920520252583844929e-10, 5.120625521772586662e-11
1.884000000000000000e+03, 6.588469999793746957e-10, -5.131326727198125246e-10, 1.931627709302788706e-10, 5.353929335556363384e-11
1.885000000000000000e+03, 7.051020293382491210e-10, -5.221961674378402250e-10, 1.943634813216245995e-10, 5.638137940298377444e-11
1.886000000000000000e+03, 7.486970366988318356e-10, -5.455532378276915713e-10, 1.951486371549329719e-10, 5.767465641577725454e-11
1.887000000000000000e+03, 7.296062664697321702e-10, -5.691036118497796280e-10, 1.955337280209698322e-10, 5.816179484952257772e-11
1.888000000000000000e+03, 6.759015219065103410e-10, -6.046399165061598516e-10, 1.962562093885323480e-10, 5.901509738662050924e-11
1.889000000000000000e+03, 7.104258378787371681e-10, -5.775310887677161261e-10, 1.982944132590752449e-10, 6.150209726110329208e-11
1.890000000000000000e+03, 7.763803914086291723e-10, -5.761137157874411956e-10, 1.992251498740891246e-10, 6.397679698952493457e-11
1.891000000000000000e+03, 6.999062745177181001e-10, -6.429883757165189102e-10, 2.459319998125342113e-10, 8.416164136757746120e-11
1.892000000000000000e+03, 7.533026883462513678e-10, -6.286489212886532431e-10, 2.512381841400282764e-10, 8.639707639639623175e-11
1.893000000000000000e+03, 8.425439751372010295e-10, -6.366870789696198027e-10, 2.560083670137443530e-10, 8.840125207309325778e-11
1.894000000000000000e+03, 8.194272236683717455e-10, -6.415873229282705585e-10, 2.589379500275142039e-10, 8.925128781877130234e-11
1.895000000000000000e+03, 8.565533905667570753e-10, -6.401482638852517351e-10, 2.608639541654644656e-10, 9.142000790405667541e-11
