year, EC-Earth3-Veg, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, CMCC-CM2-SR5, MIROC-ES2L
1.893000000000000000e+03, 2.729231344550897206e-02, 3.386677853029553820e-01, 2.961949708629777259e-02, 1.450776653715436793e-02, 8.423516354094168213e-02, 2.357921354877215957e-04, 4.057785286670844704e-01, 5.882699196916363338e-02, 5.515482413930676842e-01
1.894000000000000000e+03, 2.766628787520104479e-02, 3.494960056624433764e-01, 3.142044253583446689e-02, 1.545653642874794502e-02, 8.694310995834012012e-02, 2.455652819086004651e-04, 4.106096254482121122e-01, 6.082803753397246493e-02, 5.601217135732370345e-01
1.895000000000000000e+03, 2.810869904974132652e-02, 3.614290562330759182e-01, 3.307653922569425003e-02, 1.633747142297684377e-02, 8.814555194354320444e-02, 2.518960039686791606e-04, 4.143807303946960285e-01, 6.236692745426439255e-02, 5.693606090594517388e-01
1.896000000000000000e+03, 2.856046924495699371e-02, 3.720389909673372242e-01, 3.460815200433479955e-02, 1.707156221339576826e-02, 9.095097911370872423e-02, 2.588509849051356146e-04, 4.181895837359925205e-01, 6.364452933266011303e-02, 5.759164304852057992e-01
1.897000000000000000e+03, 2.909849413432018944e-02, 3.832489474467007384e-01, 3.599239350177042829e-02, 1.751458952032369787e-02, 9.277260056650780962e-02, 2.638465571360387274e-04, 4.215274126186975834e-01, 6.477481728240654102e-02, 5.857986743288692288e-01
1.898000000000000000e+03, 2.955034747278932269e-02, 3.923204272648447288e-01, 3.721538414228774821e-02, 1.782274468536398232e-02, 9.247558692613273845e-02, 2.677160326894947027e-04, 4.263776619185720151e-01, 6.579147649262050146e-02, 5.919794342185293878e-01
1.899000000000000000e+03, 2.997322783472517946e-02, 4.030407863133759760e-01, 3.832907949542107423e-02, 1.805192410680614423e-02, 9.368141365236261342e-02, 2.722705326122101615e-04, 4.307234980186957496e-01, 6.671924642845815379e-02, 5.991250482759457041e-01
1.900000000000000000e+03, 3.042759977351434941e-02, 4.129391167731082946e-01, 3.913778400404419738e-02, 1.829878129515377302e-02, 9.624213192257018157e-02, 2.876174773183231529e-04, 4.373133905493650220e-01, 6.875580796069240275e-02, 6.106973189887230369e-01
1.901000000000000000e+03, 3.099287743458824934e-02, 4.307915519482160560e-01, 4.066433083045924157e-02, 1.904884672469727910e-02, 1.001410782913679381e-01, 2.996577896457277602e-04, 4.444424848131722783e-01, 7.158547237871562552e-02, 6.233600064105082605e-01
1.902000000000000000e+03, 3.165026160762807877e-02, 4.435500495442521451e-01, 4.205294162822994369e-02, 1.986265505166754861e-02, 1.033766116131163565e-01, 3.109022507338038356e-04, 4.497785052361369384e-01, 7.394321094970293662e-02, 6.335359533679880695e-01
1.903000000000000000e+03, 3.225756333242641577e-02, 4.578044314109825930e-01, 4.335217220427003970e-02, 2.051185244050293677e-02, 1.078523977570204073e-01, 3.200040711406600211e-04, 4.530302399480534148e-01, 7.596707354255714806e-02, 6.448384987719686379e-01
1.904000000000000000e+03, 3.291144750630377314e-02, 4.699287026750603724e-01, 4.450774622043451867e-02, 2.115864623499906852e-02, 1.079850042427051016e-01, 3.319863204753631413e-04, 4.552315638427897881e-01, 7.771684701683338747e-02, 6.533479723841301157e-01
1.905000000000000000e+03, 3.354927103738667565e-02, 4.821336639097584253e-01, 4.557777154107413992e-02, 2.169142260068624914e-02, 1.110014369254669758e-01, 3.389921614930584376e-04, 4.579453982813203594e-01, 7.924623612014550234e-02, 6.614900220987858237e-01
1.906000000000000000e+03, 3.424970371556404491e-02, 4.935314980289430276e-01, 4.656770722088034165e-02, 2.212506180378172316e-02, 1.123303483427285226e-01, 3.411667087566893578e-04, 4.604941322083209165e-01, 8.059205054690400660e-02, 6.683324651281299378e-01
1.907000000000000000e+03, 3.487893870765954030e-02, 5.068119685834614474e-01, 4.741110105955344267e-02, 2.235025134834691882e-02, 1.123478989731499650e-01, 3.431463319973610373e-04, 4.670739860062916304e-01, 8.179464803713457077e-02, 6.781284047838281870e-01
1.908000000000000000e+03, 3.550053395625052399e-02, 5.184018512934549516e-01, 4.814214594377618645e-02, 2.260101083886675855e-02, 1.164415324521595324e-01, 3.435184923092304506e-04, 4.733793703744957337e-01, 8.288171023409772464e-02, 6.816997518708406423e-01
1.909000000000000000e+03, 3.611954182395217539e-02, 5.294107076898333375e-01, 4.875488532040762185e-02, 2.275504817637015106e-02, 1.181392381137263553e-01, 3.458054377883186992e-04, 4.781313559807770508e-01, 8.385709999323374964e-02, 6.916766255134174646e-01
1.910000000000000000e+03, 3.672768164538436214e-02, 5.393987228278208645e-01, 4.922823627654530215e-02, 2.290211880379453349e-02, 1.174700912644720402e-01, 3.614801591103566870e-04, 4.833908710385295682e-01, 8.572457003773946427e-02, 7.003261036825915165e-01
1.911000000000000000e+03, 3.732872392990610466e-02, 5.551716724401271064e-01, 4.995484982462500972e-02, 2.351368547962198047e-02, 1.199451544172318029e-01, 3.815820350399268452e-04, 4.876092618306225868e-01, 8.831296943467030480e-02, 7.118960946691880176e-01
1.912000000000000000e+03, 3.796852600994878035e-02, 5.687091961176555799e-01, 5.062090394449186154e-02, 2.414750549688396072e-02, 1.237309942756753683e-01, 3.924765509599092614e-04, 4.921349044114152749e-01, 9.048879690670029452e-02, 7.208433319949483220e-01
1.913000000000000000e+03, 3.855715763014474357e-02, 5.822017901447134047e-01, 5.138536733924706223e-02, 2.488996880272006246e-02, 1.270922349205833857e-01, 3.881121635845897490e-04, 4.979737718184814588e-01, 9.237040766619923626e-02, 7.338705395277972388e-01
1.914000000000000000e+03, 3.926997920477696968e-02, 5.944990341549138968e-01, 5.208624934340572860e-02, 2.562297120407147979e-02, 1.297091498190446612e-01, 3.919423701182376488e-04, 5.030460997482432139e-01, 9.401174517816900111e-02, 7.403413424542141241e-01
1.915000000000000000e+03, 3.984146779092505308e-02, 6.073351363295992345e-01, 5.268652405230166841e-02, 2.636810842632037605e-02, 1.318047722536128397e-01, 4.002071465066730843e-04, 5.080696546994001306e-01, 9.545710204741024441e-02, 7.493843005770766119e-01
1.916000000000000000e+03, 4.045959640414988762e-02, 6.185746006395217433e-01, 5.323754750142301734e-02, 2.687594199266162345e-02, 1.327001260569731222e-01, 4.005720762517929923e-04, 5.121845544515636339e-01, 9.674202385582753028e-02, 7.576402906952538485e-01
1.917000000000000000e+03, 4.111617123167223692e-02, 6.303738260624168754e-01, 5.368667294007441887e-02, 2.724798104927792647e-02, 1.335138338693938054e-01, 4.107887077358696225e-04, 5.167333983859166979e-01, 9.784328768053394965e-02, 7.665200453785750989e-01
1.918000000000000000e+03, 4.177730934455661099e-02, 6.434060998064067283e-01, 5.437946365352377964e-02, 2.736018597193730015e-02, 1.343131050872553023e-01, 4.202976312885314640e-04, 5.201793963498726470e-01, 9.884600551687683367e-02, 7.743637473798486992e-01
1.919000000000000000e+03, 4.233646162464427959e-02, 6.554809988429515233e-01, 5.506609642743699046e-02, 2.747417859902112625e-02, 1.379267767654648036e-01, 4.216996010287905818e-04, 5.237338079951313619e-01, 9.976955224820066581e-02, 7.814735432972493845e-01
