year, NorESM2-MM, MPI-ESM1-2-LR, INM-CM4-8, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, GFDL-ESM4, CMCC-CM2-SR5, UKESM1-0-LL, MIROC-ES2L, EC-Earth3-Veg, TaiESM1, CanESM5, CESM2-WACCM, NorESM2-LM, INM-CM5-0
1.860000000000000000e+03, 9.271011083066955649e+00, 8.653219807333016433e+00, 1.342403528200233431e+01, 7.931208188919770308e+00, 8.111672637928677432e+00, 6.606046224847433201e+00, 9.942419826475697775e+00, 8.612431683325752374e+00, 1.093632509822845478e+01, 5.883469443970663626e+00, 1.027727764398485988e+01, 1.166285624854062597e+01, 8.820291382607413411e+00, 8.797871268976768633e+00, 7.849022564268298474e+00, 1.305966723023011156e+01
1.861000000000000000e+03, 9.261419659926870551e+00, 8.190905869746217149e+00, 1.304961964476224523e+01, 8.056863683875851834e+00, 8.423465477049415284e+00, 6.417056635392055952e+00, 9.503122848005570944e+00, 8.403977769176181667e+00, 1.009291192982650287e+01, 5.653233623591312984e+00, 1.013202012240880379e+01, 1.123667018391301475e+01, 8.929884499560801103e+00, 9.016984398116729693e+00, 7.796705485404963554e+00, 1.338421649171977457e+01
1.862000000000000000e+03, 9.228840405996567853e+00, 8.275155316257851723e+00, 1.358494531094122415e+01, 7.982698600091280738e+00, 7.857177419643843308e+00, 6.729598693786640773e+00, 9.660499136158980704e+00, 8.565170383619914674e+00, 9.835850572635617795e+00, 5.751032827029045613e+00, 1.019241103584476349e+01, 1.248838564964534825e+01, 8.896156717917802936e+00, 9.054073936221895380e+00, 7.889489308959100278e+00, 1.292648035737121504e+01
1.863000000000000000e+03, 9.239697616922500245e+00, 8.581147698670918089e+00, 1.349214104821612992e+01, 7.849787954602579276e+00, 8.047314324817705256e+00, 6.686861916185751653e+00, 1.004079192674734422e+01, 8.926801797648794334e+00, 9.999800235252434888e+00, 5.850988031903160191e+00, 1.001868283236518664e+01, 1.235539653170574503e+01, 8.827226450697713389e+00, 8.990190337702347989e+00, 7.565312414054685242e+00, 1.308280948834888058e+01
1.864000000000000000e+03, 9.125813350015883785e+00, 8.526496035435615184e+00, 1.311694659515987205e+01, 7.402599914227228517e+00, 7.677676896916211469e+00, 6.331820016100454751e+00, 9.783017393388060867e+00, 8.903653769124789008e+00, 9.974126976167836389e+00, 5.882658503668581673e+00, 1.001582584153568689e+01, 1.201075022296620354e+01, 9.013001942260590482e+00, 8.856603680031163606e+00, 7.450883089656660907e+00, 1.282827585263616044e+01
1.865000000000000000e+03, 8.931412926598264690e+00, 8.932415061157829683e+00, 1.301471623161885383e+01, 7.678703023601270772e+00, 8.325503827480476460e+00, 6.419707657941323475e+00, 9.505119337888913833e+00, 8.804311029000874811e+00, 1.060904884461922393e+01, 5.782101893398726489e+00, 9.885876681814638189e+00, 1.169217532254421066e+01, 9.136864729392192075e+00, 8.757975426250826700e+00, 7.712083250799091516e+00, 1.292550787160861248e+01
1.866000000000000000e+03, 8.823639267114931073e+00, 8.928086858471948162e+00, 1.330363134014019977e+01, 7.700865126912648684e+00, 8.097613693500985477e+00, 6.481930684005813958e+00, 9.218889835243889053e+00, 9.239333614262948302e+00, 1.120670204825060701e+01, 5.792260472971205942e+00, 1.023695276175663871e+01, 1.148252908417946117e+01, 8.970049939326273147e+00, 8.550256657566078999e+00, 7.780197575464365300e+00, 1.334464774526174757e+01
1.867000000000000000e+03, 8.939454203221483652e+00, 8.442071762489783637e+00, 1.317991740584736426e+01, 7.901972818978750368e+00, 8.195308317939272058e+00, 6.434543392657826821e+00, 9.263715532459912083e+00, 9.000174745675954213e+00, 1.043361233289047618e+01, 5.602366926427622573e+00, 9.977659912611610338e+00, 1.217774837843594504e+01, 8.826850967727933650e+00, 8.619579473637159595e+00, 7.661948322713283410e+00, 1.304857259147959248e+01
1.868000000000000000e+03, 9.132475496896720557e+00, 8.270907937042117908e+00, 1.328474887789373682e+01, 7.466691390372777626e+00, 8.016777464801474906e+00, 6.647380562116652847e+00, 9.527853040678532892e+00, 8.622504152397986843e+00, 1.057211429705500727e+01, 5.816965180725712337e+00, 1.014210974178790536e+01, 1.267737624546025188e+01, 8.967202286241535703e+00, 8.507184810735282099e+00, 7.548226326875142611e+00, 1.306771359918944064e+01
1.869000000000000000e+03, 9.368294276592667558e+00, 8.679522891063406576e+00, 1.307241178136347237e+01, 7.745392481784169725e+00, 7.695574588431970398e+00, 6.646968364873160340e+00, 9.956188429425360198e+00, 8.227643984079682227e+00, 1.085255921440738192e+01, 5.732015084889531487e+00, 9.969577664682587326e+00, 1.301264669520401185e+01, 9.104153978947532977e+00, 8.597610127605959107e+00, 7.615572780221580018e+00, 1.296646944583655525e+01
1.870000000000000000e+03, 9.340780202914922725e+00, 8.498089924801350392e+00, 1.361779077266325899e+01, 7.888515091583209404e+00, 8.049845665151899254e+00, 6.466942010051234924e+00, 9.740469629136486063e+00, 8.170220682942181512e+00, 1.167826160981411832e+01, 5.731555402651607345e+00, 1.009703472614883601e+01, 1.218273975358138017e+01, 8.907228184486550404e+00, 8.589306668042610227e+00, 7.753305311715583237e+00, 1.301330223164677946e+01
1.871000000000000000e+03, 9.541778684333232619e+00, 8.641571942744178614e+00, 1.285503011226136927e+01, 7.764262751938161955e+00, 8.502400896081889314e+00, 6.379612513783646577e+00, 9.815260844094552795e+00, 8.976611838391649556e+00, 1.110521068465598837e+01, 5.890923669623107095e+00, 9.971776293505726585e+00, 1.239961495115064061e+01, 9.059986906064427359e+00, 8.823572863663729393e+00, 7.642394582030758166e+00, 1.299157891107037166e+01
1.872000000000000000e+03, 9.365862990799447729e+00, 8.623804142589113653e+00, 1.344453525999068155e+01, 8.051690759285477839e+00, 8.092841328709752702e+00, 6.425759994178664947e+00, 9.738349330007833871e+00, 9.084077819979349044e+00, 9.404460913592425086e+00, 5.673708574966870977e+00, 1.020089462637900191e+01, 1.252492303034548549e+01, 9.040320279582626739e+00, 9.029069333503157324e+00, 7.589738460440411671e+00, 1.293531124062513804e+01
1.873000000000000000e+03, 9.330517741604895221e+00, 8.365739972005979297e+00, 1.330216432099279267e+01, 7.687643726911567832e+00, 7.436285085891561231e+00, 6.324602984471010103e+00, 9.867199978006876648e+00, 8.284335035849004214e+00, 1.023496004173799534e+01, 5.646044704497003686e+00, 9.895248846610234850e+00, 1.180125579804948366e+01, 8.972808006730904395e+00, 8.763599839867456609e+00, 7.830425680348645834e+00, 1.320102094983845653e+01
1.874000000000000000e+03, 9.192307987801331848e+00, 8.886789508528481818e+00, 1.313466501922302143e+01, 7.872001596183160643e+00, 8.072104889090745417e+00, 6.406610615085218008e+00, 9.554118719814113092e+00, 8.777837374542819759e+00, 1.097732289617158941e+01, 5.696466523998404696e+00, 9.972129216430335674e+00, 1.253047917859842286e+01, 8.995789446512141296e+00, 8.810822012783022572e+00, 7.891505981180103824e+00, 1.315294731807958684e+01
1.875000000000000000e+03, 9.068966833235750258e+00, 8.962029981164734593e+00, 1.325040781971792825e+01, 7.766921045582583893e+00, 8.610589992603387088e+00, 6.860395367527767796e+00, 9.486528484546361994e+00, 8.722127374674318645e+00, 1.096299088650978426e+01, 5.911360355729539329e+00, 1.006723171784271109e+01, 1.255853433710698042e+01, 8.980065860782994847e+00, 8.887837243944701981e+00, 7.966156306428747058e+00, 1.304416081294289320e+01
1.876000000000000000e+03, 9.173464292990162861e+00, 8.635110615484101970e+00, 1.336285756149087156e+01, 7.930130327225129783e+00, 8.005198589827331901e+00, 6.312151333210375803e+00, 9.907566120545761024e+00, 8.941027452419701760e+00, 1.070893745962830756e+01, 5.670955319995485411e+00, 1.028459229286167442e+01, 1.161373571237297142e+01, 8.850678571522356819e+00, 8.857291901054152206e+00, 7.767042775195229787e+00, 1.293991190594931595e+01
1.877000000000000000e+03, 9.069893197250154415e+00, 8.275502935995646681e+00, 1.322843991839411082e+01, 7.940899881124164672e+00, 7.862333985188965535e+00, 6.432048340280269727e+00, 9.929218858643729106e+00, 8.922795272311203618e+00, 9.984959046148034645e+00, 5.595900074938612967e+00, 1.003142269393297781e+01, 1.198887890454832217e+01, 9.290757939628402795e+00, 8.941468227008378733e+00, 7.561770457355371455e+00, 1.268160110056295586e+01
1.878000000000000000e+03, 9.224605175082007946e+00, 8.089599335582992268e+00, 1.334987691669176790e+01, 7.940159973978176744e+00, 7.798545680537826819e+00, 6.766086438797269231e+00, 1.001946309705344085e+01, 9.007333316476263008e+00, 9.837827071381864741e+00, 5.638904884240309556e+00, 9.943498399192700177e+00, 1.222877741830669507e+01, 8.961914781269463504e+00, 8.617781045001159157e+00, 7.564558557347274004e+00, 1.297299146980998863e+01
1.879000000000000000e+03, 9.223736807921721237e+00, 8.348610040372767216e+00, 1.351330618994558996e+01, 7.963329498356505276e+00, 8.202245590669701159e+00, 6.584324344806398166e+00, 9.353315976394851461e+00, 8.779267482960618096e+00, 1.078185848568215199e+01, 5.668703537685736649e+00, 1.030608014852006171e+01, 1.201701824553956754e+01, 9.019998604555777177e+00, 8.535812727367268593e+00, 7.520476626482701654e+00, 1.298301863971206593e+01
1.880000000000000000e+03, 9.181910797442588645e+00, 8.786209367501378154e+00, 1.317193789166723938e+01, 7.920096406836743874e+00, 7.798799248211495616e+00, 6.506121885346764167e+00, 9.656674389333465669e+00, 8.675157694051417678e+00, 1.094113760601237573e+01, 5.781103941232146326e+00, 9.770039145592653185e+00, 1.269722930186620147e+01, 8.966503242059358669e+00, 8.764944097078982921e+00, 7.640080424993193731e+00, 1.308929183448481659e+01
1.881000000000000000e+03, 8.985052679273776377e+00, 8.791327266542944940e+00, 1.337382378057191090e+01, 8.222204101609577265e+00, 8.051499045791008058e+00, 6.265298586431541139e+00, 9.895054831485019520e+00, 8.671162873874001420e+00, 1.103461373705341764e+01, 5.849775031313807716e+00, 9.780302646164649616e+00, 1.236442614847487320e+01, 8.870702745978107373e+00, 8.989006818936347898e+00, 7.715968208115953075e+00, 1.309413062440910913e+01
1.882000000000000000e+03, 9.182898327144270567e+00, 9.200390745088244060e+00, 1.343666587243254007e+01, 7.799559649051079901e+00, 8.148854531065735429e+00, 6.671588326279084491e+00, 9.715540108631874006e+00, 8.677686480790740120e+00, 9.870929989028777385e+00, 5.857752968768540569e+00, 9.921021359738139367e+00, 1.146622935423023470e+01, 9.188620470984830035e+00, 8.657311554112117946e+00, 7.843784354642374446e+00, 1.298252123627615617e+01
1.883000000000000000e+03, 9.388357030200490172e+00, 8.745545184732581134e+00, 1.349301368195204986e+01, 7.828007095765220136e+00, 8.602069739218379141e+00, 6.746083362959796048e+00, 9.356961780989648148e+00, 9.262023597159799948e+00, 9.974220822597905212e+00, 5.616505208128927507e+00, 1.028311560816036874e+01, 1.241662532505197802e+01, 8.919643023414799643e+00, 8.649439417586235024e+00, 7.799361274923789722e+00, 1.292574758145928904e+01
1.884000000000000000e+03, 9.414860768144180270e+00, 8.256879670333985288e+00, 1.349581973943054081e+01, 8.057999168935333856e+00, 8.347881332187885306e+00, 6.450237847948333325e+00, 9.269021646773962786e+00, 8.737848379772911400e+00, 1.012093531274081570e+01, 5.660408538718911586e+00, 1.008412585423487151e+01, 1.155715365297016284e+01, 8.785825593962572455e+00, 8.724586857827421937e+00, 7.849219361200652223e+00, 1.286381993516998179e+01
1.885000000000000000e+03, 9.349427961394047415e+00, 8.503147486059871696e+00, 1.309319640267893270e+01, 8.128703201250676358e+00, 8.444119640005629535e+00, 6.412998452680429118e+00, 9.325508884615485883e+00, 8.143422466672593174e+00, 1.067677348758170019e+01, 5.819182580453677645e+00, 1.009024366152939933e+01, 1.164667128553246478e+01, 9.063094127068785255e+00, 8.678574579312034132e+00, 7.798636017967175427e+00, 1.268619665588908951e+01
1.886000000000000000e+03, 9.289367419019377792e+00, 8.567465696690028665e+00, 1.358812060304766511e+01, 7.795332612373789161e+00, 8.241027437464707006e+00, 6.535893142769644726e+00, 9.935546289257626285e+00, 8.598740617101807260e+00, 1.097315498553842517e+01, 5.718926092072623923e+00, 9.990177859082296052e+00, 1.252997368045158488e+01, 9.160381798150408983e+00, 8.674954259942841972e+00, 7.812421698841133910e+00, 1.326029500027232011e+01
1.887000000000000000e+03, 9.155587826643424521e+00, 8.796726812223932157e+00, 1.356419267032241471e+01, 7.856095155866709590e+00, 8.205031583401542150e+00, 6.844867739073728252e+00, 1.004686836040431963e+01, 8.858877328051802280e+00, 1.053706220850727604e+01, 5.860395604374149414e+00, 1.005318558378697169e+01, 1.176503736748082396e+01, 9.148385892382673745e+00, 8.720257626267160944e+00, 7.849864424609029889e+00, 1.338143485873106719e+01
1.888000000000000000e+03, 8.947847213353702145e+00, 8.629370874874561892e+00, 1.306774320504301734e+01, 7.877594971874699148e+00, 8.134749634102954374e+00, 6.914539889587634214e+00, 9.395268521496095815e+00, 9.156833889762443945e+00, 9.818864986431542263e+00, 5.730369858457597942e+00, 1.003251929592110692e+01, 1.134454586057922398e+01, 9.102113416347632935e+00, 8.957313294797581094e+00, 7.802585338777412893e+00, 1.320697856929058034e+01
1.889000000000000000e+03, 9.047319128378862985e+00, 7.884513043296108137e+00, 1.330172958412637563e+01, 7.487353657441539134e+00, 8.512434737996422029e+00, 6.723273497494243855e+00, 9.459718606408168640e+00, 8.818817044360837798e+00, 1.016317017552110258e+01, 5.521187963037469615e+00, 9.814281272818503155e+00, 1.216352393731840209e+01, 9.173514941055115557e+00, 9.007329877529922868e+00, 7.837687061531546817e+00, 1.310376272195835767e+01
1.890000000000000000e+03, 9.236790214054860115e+00, 8.276403990222828355e+00, 1.345519064478070526e+01, 7.746946948334257677e+00, 7.929595700392017221e+00, 6.538469071015327039e+00, 9.414658360370161461e+00, 8.989462913972893432e+00, 1.066785017081340037e+01, 5.776970272840933340e+00, 9.902766564500771196e+00, 1.214648861234426924e+01, 8.987400851230519905e+00, 8.898568575133111835e+00, 7.731871410600676953e+00, 1.293768485107539412e+01
1.891000000000000000e+03, 9.158602130054900314e+00, 8.565612971887752281e+00, 1.334512535341043105e+01, 8.048795899396623099e+00, 7.948874911533312826e+00, 6.787398149630406330e+00, 9.985404634322934569e+00, 9.249308141976564812e+00, 9.681310898009465760e+00, 5.886758823332648660e+00, 1.010302493837390436e+01, 1.209293167274667447e+01, 9.227672502680590583e+00, 8.930827315423861990e+00, 7.538201035634150671e+00, 1.316626707875585822e+01
1.892000000000000000e+03, 9.154152810490733927e+00, 8.976883576883926352e+00, 1.339444369765627840e+01, 8.194353553430499204e+00, 8.524847277807191759e+00, 6.539248391337205923e+00, 9.969235967925001773e+00, 8.820361186043614410e+00, 1.017753355396992276e+01, 5.874095742967645251e+00, 9.891069812694109231e+00, 1.252184108147191921e+01, 9.049770615511667060e+00, 9.077052371388139917e+00, 7.829604260519779757e+00, 1.280334537560616148e+01
1.893000000000000000e+03, 9.236915398558112500e+00, 8.699740708558847402e+00, 1.307385304277564764e+01, 7.837094172565433503e+00, 7.960790684174059884e+00, 6.786103554464297360e+00, 9.452301299103053722e+00, 8.245276492379639777e+00, 1.110064620694158322e+01, 5.671964999077839131e+00, 1.007576175004955665e+01, 1.243571253687925449e+01, 9.137240395646818669e+00, 8.962985348020339416e+00, 7.887251663149068115e+00, 1.290976457420781642e+01
1.894000000000000000e+03, 9.251553187202301132e+00, 8.535528097251464885e+00, 1.324240144941089170e+01, 8.055066974805235702e+00, 8.150419577979580055e+00, 6.611102317334991874e+00, 9.645974539555453475e+00, 7.994409150936165886e+00, 1.073376531558646541e+01, 5.725206443265969725e+00, 1.003867222540797322e+01, 1.186731277919446903e+01, 9.077035692667713818e+00, 8.805127380434051076e+00, 7.724415240774115787e+00, 1.335352658198022269e+01
1.895000000000000000e+03, 9.284949910901573844e+00, 8.812291119995990130e+00, 1.342022989919657761e+01, 7.967137338575654759e+00, 8.431254769209640898e+00, 6.520404219816998470e+00, 9.566329106127305693e+00, 8.819628635603883993e+00, 1.073787097901884735e+01, 5.696749712541197219e+00, 9.979002374802474762e+00, 1.135469809009538444e+01, 8.791135551532523351e+00, 8.793226863714636465e+00, 7.618762669328305037e+00, 1.309538619405220672e+01
1.896000000000000000e+03, 9.178394034402813872e+00, 8.293474814589368194e+00, 1.333673233114137702e+01, 7.880912419978208128e+00, 8.164567410191482466e+00, 6.894119190439825573e+00, 9.357482246331471742e+00, 8.993474402884304553e+00, 1.043008516142053388e+01, 5.670641310761624254e+00, 9.817806693573778887e+00, 1.269028164563592398e+01, 9.069796647183936855e+00, 8.816760699896704523e+00, 7.758658523283028075e+00, 1.323322548403584342e+01
1.897000000000000000e+03, 9.203171260839614121e+00, 8.700683864439596960e+00, 1.314216243965329234e+01, 7.807132757071779672e+00, 8.296023747720118635e+00, 6.826503597137036472e+00, 1.006278362649437419e+01, 8.941073980789157716e+00, 1.068037361741129132e+01, 5.838830764916036919e+00, 1.010620868962806718e+01, 1.298319854001211482e+01, 8.866348285887905689e+00, 8.910142806369439228e+00, 7.801646345676682692e+00, 1.284610586088971829e+01
1.898000000000000000e+03, 9.141847775714202484e+00, 8.691047571363592184e+00, 1.339355485601444862e+01, 7.537612764500178031e+00, 8.567120441074592918e+00, 6.907761683294446620e+00, 1.009631060386249146e+01, 9.095094757233722405e+00, 1.066429550927178127e+01, 5.701890379609067416e+00, 1.004710786414506707e+01, 1.198672623632075052e+01, 9.127443525412150649e+00, 8.699748705857283326e+00, 7.959365071167545658e+00, 1.321398699446931424e+01
1.899000000000000000e+03, 9.179310572243297273e+00, 8.919748067448546536e+00, 1.332276240157600888e+01, 7.426269454558365624e+00, 8.669084993841082110e+00, 6.544331909913934986e+00, 9.318257852543368358e+00, 9.026514336197555721e+00, 1.047269069164290656e+01, 5.673554484622700400e+00, 9.962238835800540926e+00, 1.193746374942293187e+01, 9.078200292465261612e+00, 8.663389944033154322e+00, 7.811806433827183760e+00, 1.308937592048459742e+01
1.900000000000000000e+03, 9.161527435369935191e+00, 9.343499136681979067e+00, 1.348641671557180288e+01, 7.590800835266630742e+00, 8.328007559692656159e+00, 6.460183887277394454e+00, 9.143176152712095828e+00, 8.810953280774315388e+00, 1.092393976867390215e+01, 5.735499703039669050e+00, 1.012612763958996887e+01, 1.214135866526021523e+01, 9.219460852324639077e+00, 8.739238660129366565e+00, 7.845751092787023317e+00, 1.320411637374935943e+01
1.901000000000000000e+03, 9.103305449225880253e+00, 9.263887210020618213e+00, 1.342309774479707762e+01, 7.714139081249057561e+00, 7.734909535891320687e+00, 6.891989108165185840e+00, 9.647859791469231894e+00, 8.377894018395634745e+00, 1.080720748496416839e+01, 5.787113232823899445e+00, 1.005458642683031734e+01, 1.206821608095270193e+01, 9.252622008747275473e+00, 8.884351386177117504e+00, 7.839868140288541731e+00, 1.295326630131497581e+01
1.902000000000000000e+03, 9.234637675874845186e+00, 8.711608700936645633e+00, 1.345766743726260195e+01, 8.126668923162663205e+00, 8.024281548398247921e+00, 6.790489071099200302e+00, 1.037241095766422028e+01, 8.845598973211158622e+00, 1.092800261273897711e+01, 5.638908472780918224e+00, 9.670918284560036327e+00, 1.269625764711778970e+01, 9.051955387390805186e+00, 8.936251875766794583e+00, 7.847821669712812032e+00, 1.294293887085949812e+01
1.903000000000000000e+03, 9.097671262130003100e+00, 8.433677073330374085e+00, 1.360407740391960907e+01, 7.994787689685506571e+00, 7.906829826693211771e+00, 6.545814320018600974e+00, 9.885150110478301499e+00, 8.953994330971662308e+00, 1.057305041406609014e+01, 5.754896995307464458e+00, 9.827253536547670976e+00, 1.169991216790496402e+01, 9.109693043113336941e+00, 8.861189325131372030e+00, 7.617667420523393851e+00, 1.309834612009187538e+01
1.904000000000000000e+03, 9.048722308675994697e+00, 8.350662373267075722e+00, 1.329575787609683957e+01, 7.968638862925415900e+00, 8.300640317672899116e+00, 6.245494239080450427e+00, 8.939800171834374254e+00, 9.209132788017321047e+00, 1.129624331678804339e+01, 5.732660109914636593e+00, 9.960350048943194423e+00, 1.109919000821773771e+01, 9.037707450709161705e+00, 8.759033049194032472e+00, 7.620782719579952236e+00, 1.311619890097845698e+01
1.905000000000000000e+03, 9.230257240977215005e+00, 8.048832421509363400e+00, 1.324356923805347108e+01, 8.119030526996210639e+00, 8.679181207417366650e+00, 6.820354292670455898e+00, 9.220707253413987559e+00, 9.390619614759236455e+00, 1.097227512048641351e+01, 5.735976200381818657e+00, 9.558379159578485940e+00, 1.178439364654625621e+01, 9.150551477412410151e+00, 8.875568678280663093e+00, 7.552347488510589457e+00, 1.319333758198236772e+01
1.906000000000000000e+03, 9.272193495392865970e+00, 8.645426514519611416e+00, 1.336523842505018678e+01, 7.843857362411594814e+00, 8.467983648989907408e+00, 6.580087134655462577e+00, 9.888098904937503875e+00, 9.213571716581583360e+00, 1.062629531212864542e+01, 5.740980265000688476e+00, 9.667306358098990415e+00, 1.233156981594551205e+01, 9.089351721349405722e+00, 8.547440904938113704e+00, 7.763642481067191348e+00, 1.306515313903461717e+01
1.907000000000000000e+03, 9.269726358372579966e+00, 9.293007274465226786e+00, 1.344584983115105459e+01, 7.978999134584822350e+00, 8.247579207152076819e+00, 6.917913007552942695e+00, 9.760749746387194392e+00, 9.086821526467955934e+00, 1.010612366546320118e+01, 5.786188156318730513e+00, 9.846833797456627124e+00, 1.173626412406395758e+01, 9.189679481723931787e+00, 8.702123965706064723e+00, 7.795719010127081461e+00, 1.267182363629201269e+01
1.908000000000000000e+03, 9.256086762888612540e+00, 9.030052439427235456e+00, 1.315832775162205337e+01, 7.717753362371101211e+00, 8.406772626383595792e+00, 6.738663139345496766e+00, 9.638005447924264502e+00, 9.271731580090444069e+00, 9.844896097381683475e+00, 5.717423678531667441e+00, 9.746346764525043227e+00, 1.213237816065325347e+01, 9.123097914325343893e+00, 8.964144181494935637e+00, 7.844927688290082912e+00, 1.312337004052395883e+01
1.909000000000000000e+03, 9.366554597544611838e+00, 8.806011045593450604e+00, 1.369396735652211738e+01, 8.115842359395438521e+00, 7.954161099888906961e+00, 6.699353124844702911e+00, 9.585566017383744253e+00, 7.957522505799698997e+00, 1.054735750154850749e+01, 5.592474265955327262e+00, 9.889121529338881444e+00, 1.241200545269936661e+01, 9.089973525202863058e+00, 8.980696463151918607e+00, 7.723097335222789184e+00, 1.314648498812511512e+01
1.910000000000000000e+03, 9.356989593633398883e+00, 8.610961771464678449e+00, 1.370524138560597294e+01, 8.187120651635652280e+00, 8.392857121494044392e+00, 6.649959401704678363e+00, 9.181465805154809701e+00, 8.234255515728085228e+00, 1.127213047228728549e+01, 5.690701660344053003e+00, 9.614579896325141206e+00, 1.150158207902897622e+01, 9.053458744811711867e+00, 8.834427193579974968e+00, 7.700650238082738852e+00, 1.297550227728526018e+01
1.911000000000000000e+03, 9.087735583786868077e+00, 8.834668423086256439e+00, 1.348826871206712674e+01, 7.871744449055362303e+00, 8.153423481164841391e+00, 6.710288449491994101e+00, 9.258591681339362722e+00, 9.039670261270879692e+00, 1.121055902488973821e+01, 5.854343581469051649e+00, 9.647666740882257841e+00, 1.153617900789833683e+01, 8.982108827153101771e+00, 8.719224908465477597e+00, 7.818102615374441733e+00, 1.335910593913365219e+01
