year, CMCC-CM2-SR5, MPI-ESM1-2-LR, CanESM5, EC-Earth3-Veg, NorESM2-LM, TaiESM1, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CESM2-WACCM, GFDL-ESM4, IPSL-CM6A-LR, ACCESS-ESM1-5, NorESM2-MM
1.882000000000000000e+03, 7.027258491103363269e+01, 2.234412701590475336e+01, 5.132773738063993108e+01, 4.937574758625686400e+01, 3.290331864326789457e+01, 2.868724789326278213e+01, 4.224814581942517577e+01, 6.071269514963665159e+01, 2.566271043178602795e+01, 3.792624209199767193e+01, 1.610053222989613531e+01, 2.343287934683238660e+01, 1.545811427731520027e+01, 4.021576249007872406e+01
1.883000000000000000e+03, 7.023306565497945542e+01, 2.246406371976100758e+01, 5.131074407475593802e+01, 4.932739714832955258e+01, 3.289626875534960959e+01, 2.865616701668445998e+01, 4.224296176660600821e+01, 6.073220070879266075e+01, 2.560710356594947257e+01, 3.794684832348906411e+01, 1.606016433660798270e+01, 2.343781601612319321e+01, 1.545911918719379408e+01, 4.017185349735542133e+01
1.884000000000000000e+03, 7.020401138204567815e+01, 2.259965565258346487e+01, 5.130208765492685075e+01, 4.932864748847995884e+01, 3.290998262081392056e+01, 2.864303879065486313e+01, 4.225592418523585536e+01, 6.082949933876994919e+01, 2.560205981847181533e+01, 3.794309777215318036e+01, 1.589605919387347299e+01, 2.344848081984428489e+01, 1.546337456180468983e+01, 4.016289885103503821e+01
1.885000000000000000e+03, 7.031342171235664296e+01, 2.250782723464782364e+01, 5.132284453077492259e+01, 4.933413660283277125e+01, 3.291167896886832978e+01, 2.872467581369340905e+01, 4.224513454278337576e+01, 6.095517964775435615e+01, 2.561516265729499864e+01, 3.794102123845551233e+01, 1.591060456625387509e+01, 2.345604806162959477e+01, 1.548396787546958819e+01, 4.017188793073848530e+01
1.886000000000000000e+03, 7.041853883344411713e+01, 2.241015122226234269e+01, 5.134070974283160638e+01, 4.934020257311799185e+01, 3.291558845016406565e+01, 2.860690384488956539e+01, 4.224038311877001917e+01, 6.102077323493552541e+01, 2.563101230779060558e+01, 3.792605410905635921e+01, 1.593273685287195462e+01, 2.345828615014209007e+01, 1.549805653477499057e+01, 4.018229952992012954e+01
1.887000000000000000e+03, 7.039640379115886049e+01, 2.239818903338741407e+01, 5.135490008337718848e+01, 4.932805986580210345e+01, 3.290658312841406286e+01, 2.860413727556705155e+01, 4.225462579749707714e+01, 6.113133687384523540e+01, 2.564363993726576396e+01, 3.792599245415261322e+01, 1.609080034517111457e+01, 2.346178869265423472e+01, 1.549880782484624753e+01, 4.019526833032731616e+01
1.888000000000000000e+03, 7.035288491325204063e+01, 2.246107134639397174e+01, 5.136274648158907752e+01, 4.933092722994695833e+01, 3.289711191850027205e+01, 2.873309880535388672e+01, 4.225798797197908385e+01, 6.113164863475274302e+01, 2.560718884749983104e+01, 3.789133562864325455e+01, 1.608743979945418445e+01, 2.346982340570283654e+01, 1.550007520771355374e+01, 4.021230992074946897e+01
1.889000000000000000e+03, 7.037593905630888003e+01, 2.258298136493533903e+01, 5.134979842493626734e+01, 4.934207406269003826e+01, 3.291380001864788341e+01, 2.869132749385014947e+01, 4.224721081511688681e+01, 6.104689498300388095e+01, 2.561442010825504667e+01, 3.786582247855520933e+01, 1.593837395780313138e+01, 2.348135199947406448e+01, 1.549794431260276184e+01, 4.020882579946004398e+01
1.890000000000000000e+03, 7.044986731351589526e+01, 2.257514869946697189e+01, 5.134622519963432552e+01, 4.932003626028338061e+01, 3.292200628375795901e+01, 2.864461162004635497e+01, 4.227723502201846628e+01, 6.106898102910379578e+01, 2.562508723353116480e+01, 3.786775027088145862e+01, 1.591581530575884607e+01, 2.349171729123553831e+01, 1.547418932792401769e+01, 4.019070677552245030e+01
1.891000000000000000e+03, 7.044303505780246155e+01, 2.248509124269182990e+01, 5.136421381622647431e+01, 4.929495350297477785e+01, 3.292478419720127647e+01, 2.868088454776846774e+01, 4.231944630392528239e+01, 6.114777530076258216e+01, 2.563876489655919499e+01, 3.787551483586601364e+01, 1.600550568092853965e+01, 2.349552243182506572e+01, 1.546966375607582478e+01, 4.017842720485222685e+01
1.892000000000000000e+03, 7.045719587109081772e+01, 2.241796932508872331e+01, 5.138540939031526023e+01, 4.928055927330541408e+01, 3.292123331276603437e+01, 2.866214193884076522e+01, 4.230056929763681239e+01, 6.102307036275571761e+01, 2.557702047419287084e+01, 3.786135775067373288e+01, 1.603960341269297984e+01, 2.350446995786589355e+01, 1.548515936064874232e+01, 4.018546738958847442e+01
1.893000000000000000e+03, 7.054317009407373007e+01, 2.250604093654180460e+01, 5.141948660898215451e+01, 4.925306175672088216e+01, 3.289376497932107668e+01, 2.863835648386982413e+01, 4.232050009745042729e+01, 6.090261510059941941e+01, 2.553000887465557511e+01, 3.785757945930193813e+01, 1.606441818862383997e+01, 2.350928621641217475e+01, 1.550364992894648353e+01, 4.017096178918929894e+01
1.894000000000000000e+03, 7.062790088175712810e+01, 2.254863147746302587e+01, 5.145210943231158041e+01, 4.923631102913963531e+01, 3.289469081781020776e+01, 2.861886177558460531e+01, 4.233630439692738889e+01, 6.097452985276932225e+01, 2.551859048986690937e+01, 3.787063535413249582e+01, 1.611036688399551764e+01, 2.351217705815316705e+01, 1.550748623393364944e+01, 4.016187572300479047e+01
1.895000000000000000e+03, 7.064049029837285332e+01, 2.245425351417953408e+01, 5.146645088453965400e+01, 4.922227789763338990e+01, 3.291115455256331046e+01, 2.871524763930596791e+01, 4.231388748651863096e+01, 6.099387732018919905e+01, 2.551382970808736417e+01, 3.787819363910609383e+01, 1.617576533600164979e+01, 2.350875952844045713e+01, 1.552040695637649392e+01, 4.015889472323593168e+01
1.896000000000000000e+03, 7.053522238831426705e+01, 2.255123511411031600e+01, 5.148365149411431219e+01, 4.915438566554676925e+01, 3.289900964702751196e+01, 2.860600040358869833e+01, 4.233439717257856927e+01, 6.099005915733905425e+01, 2.550224671694456546e+01, 3.787003801842217143e+01, 1.618076702755868368e+01, 2.350644213367795743e+01, 1.552135496880254983e+01, 4.016447545339374159e+01
1.897000000000000000e+03, 7.051755396974917289e+01, 2.248289913533897888e+01, 5.147576968911707240e+01, 4.909671397868357445e+01, 3.287300212734125893e+01, 2.851841374063864620e+01, 4.233896467508547090e+01, 6.104127003325396572e+01, 2.548466108631733462e+01, 3.785591952614343114e+01, 1.622037639453496283e+01, 2.351172728078458718e+01, 1.552180760564409034e+01, 4.016973262603759309e+01
1.898000000000000000e+03, 7.057364984747067638e+01, 2.245622397150089711e+01, 5.147788184866963235e+01, 4.907297889546198633e+01, 3.285975624194200151e+01, 2.861503092877143928e+01, 4.232749931556615053e+01, 6.108969652237831838e+01, 2.542870023514584688e+01, 3.785498361699721670e+01, 1.622888362748361857e+01, 2.351398762482542182e+01, 1.551373594749957086e+01, 4.016893683837177775e+01
1.899000000000000000e+03, 7.061783079254772133e+01, 2.246099954713733027e+01, 5.146811708046957534e+01, 4.903435919964270084e+01, 3.284892593910545600e+01, 2.871050817588751514e+01, 4.230884570857290328e+01, 6.114607809974052799e+01, 2.540727062231551514e+01, 3.786449582473521502e+01, 1.617962408245320916e+01, 2.352199163256218739e+01, 1.548903899036663212e+01, 4.016825240241867334e+01
1.900000000000000000e+03, 7.066205225161051828e+01, 2.241567485501153456e+01, 5.147833198141769628e+01, 4.899758152384427490e+01, 3.285465967125160347e+01, 2.865279016049797178e+01, 4.231129958841363248e+01, 6.114465298334663146e+01, 2.539415125128940431e+01, 3.785151946844732151e+01, 1.597220950902310932e+01, 2.352199282019356374e+01, 1.545929421596293274e+01, 4.015561531461857925e+01
1.901000000000000000e+03, 7.072246060102378351e+01, 2.245246522856480453e+01, 5.147862835326766628e+01, 4.899529802348929053e+01, 3.285006393919860557e+01, 2.867892025000783107e+01, 4.236284229620247288e+01, 6.111279091846705569e+01, 2.536623973910053920e+01, 3.783078715498126599e+01, 1.592452914845028289e+01, 2.351923825093654585e+01, 1.543502879185442112e+01, 4.015844136177756951e+01
1.902000000000000000e+03, 7.076714122760154169e+01, 2.252008593579132523e+01, 5.147176147938164092e+01, 4.898837613043349393e+01, 3.284027226456254311e+01, 2.863082449855119549e+01, 4.239472685583192657e+01, 6.112394925984157368e+01, 2.533614512026173315e+01, 3.780695542493652539e+01, 1.611624401010810104e+01, 2.352470994184226072e+01, 1.542297114517947598e+01, 4.014254225318696712e+01
1.903000000000000000e+03, 7.071792480621438415e+01, 2.252468631375962005e+01, 5.146187466611137751e+01, 4.899044250821213353e+01, 3.285264690919628805e+01, 2.865147724686883635e+01, 4.240572175059273974e+01, 6.114190968898198264e+01, 2.529496266352612821e+01, 3.779909827931309962e+01, 1.621058893073843521e+01, 2.352748162390723508e+01, 1.543326456168732008e+01, 4.013524171882822600e+01
1.904000000000000000e+03, 7.069934793149647589e+01, 2.257677169501819137e+01, 5.146234977073267913e+01, 4.899454958579796937e+01, 3.286130105846179106e+01, 2.877876290306373264e+01, 4.241694723701807845e+01, 6.109964647383861802e+01, 2.529477778944328747e+01, 3.781241625765238012e+01, 1.603611373417579244e+01, 2.352963480019411335e+01, 1.543597338536089580e+01, 4.014549848111038699e+01
1.905000000000000000e+03, 7.069532036234616612e+01, 2.263136979984116692e+01, 5.146925928021538965e+01, 4.899469847116122878e+01, 3.285803638453162279e+01, 2.874035744809788184e+01, 4.239195119380827492e+01, 6.112342119150231667e+01, 2.531763114305267592e+01, 3.779881606187315413e+01, 1.587295729818748491e+01, 2.352036085131476639e+01, 1.544654931609714765e+01, 4.013131174860368588e+01
1.906000000000000000e+03, 7.071851454693991457e+01, 2.251856021969134503e+01, 5.146128543757138374e+01, 4.897491890465724396e+01, 3.284813457468672482e+01, 2.865998143521322206e+01, 4.239859203349573136e+01, 6.111778577775150723e+01, 2.529129459717312045e+01, 3.779075506302090304e+01, 1.597954579947891496e+01, 2.351806746965823791e+01, 1.545905272128125496e+01, 4.011810375260982653e+01
1.907000000000000000e+03, 7.078371327645409394e+01, 2.244775147749085420e+01, 5.146727265703859899e+01, 4.895062533691856288e+01, 3.281952833632046662e+01, 2.870767411020307236e+01, 4.241959101551884004e+01, 6.126602488296116178e+01, 2.520733090497864737e+01, 3.780133119338204040e+01, 1.609409833022861136e+01, 2.351734924399229243e+01, 1.546310531469496929e+01, 4.011117875551305190e+01
