year, UKESM1-0-LL, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR
1.894000000000000000e+03, 3.774627565918467920e-13, 1.395899003855896997e-10, 2.408437040147767913e-10, 1.257119484559894397e-09, 6.162880011368735516e-10, 7.942969884584803441e-11, 2.618181160409406502e-11, 1.936177347436352019e-09
1.895000000000000000e+03, 3.797789116894360057e-13, 1.443494356557725445e-10, 2.316661372409156806e-10, 1.278310221018672151e-09, 6.143636925419384650e-10, 8.167518590436611687e-11, 2.757291364638117689e-11, 1.951851806057488905e-09
1.896000000000000000e+03, 3.888189637521057874e-13, 1.457264227276065100e-10, 2.498863587921612819e-10, 1.279511449915325560e-09, 6.654722593717130169e-10, 8.359265369452462916e-11, 2.899342238057436411e-11, 1.968897263375470435e-09
1.897000000000000000e+03, 3.888678457032683267e-13, 1.491154946167088947e-10, 2.572029657961807526e-10, 1.311039702332494191e-09, 6.766441007939665360e-10, 8.505437190802690886e-11, 3.047911392894331782e-11, 1.978985999817552468e-09
1.898000000000000000e+03, 3.845442689209910015e-13, 1.479159227297507334e-10, 2.363622899488928161e-10, 1.311949068395484055e-09, 6.816309482887281753e-10, 8.622523537296474391e-11, 3.201319771422217715e-11, 2.010354510299746081e-09
1.899000000000000000e+03, 3.860650508393416013e-13, 1.518107602863334187e-10, 2.395570867384904971e-10, 1.326318132444567040e-09, 6.508983274626390854e-10, 8.727173843214657289e-11, 3.349745964125704941e-11, 2.034355429515130408e-09
1.900000000000000000e+03, 4.395432249164455260e-13, 1.533842577417514277e-10, 2.642791937621741266e-10, 1.367104673596826236e-09, 6.431549991512485214e-10, 8.991717119109936226e-11, 3.500128154081773314e-11, 2.086762305283564307e-09
1.901000000000000000e+03, 4.662560591260737893e-13, 1.717374040462491871e-10, 2.711465194131278112e-10, 1.403196686831107276e-09, 7.191188646866079470e-10, 9.374365112197443601e-11, 3.553859010977109481e-11, 2.135036465600215458e-09
1.902000000000000000e+03, 4.808199246868798487e-13, 1.730117373473798942e-10, 2.764753937319998680e-10, 1.419512674176679650e-09, 7.408455953611338233e-10, 9.700281983701963501e-11, 3.670120675653840414e-11, 2.154295746772964722e-09
1.903000000000000000e+03, 4.924007650666523189e-13, 1.785633222873768590e-10, 3.062763193179684883e-10, 1.446880885656632705e-09, 7.585196455695984860e-10, 9.971281692051995169e-11, 3.783288659777182667e-11, 2.155454075377690350e-09
