year, MIROC-ES2L, GFDL-ESM4, IPSL-CM6A-LR, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, CanESM5, NorESM2-MM, CMCC-ESM2, UKESM1-0-LL, TaiESM1, CESM2-WACCM, NorESM2-LM
1.892000000000000000e+03, 2.489812487688077169e+00, 4.167579861190784385e+00, 2.712542173038602566e+00, 2.579742258333732163e+00, 4.076898663934342970e+00, 2.886004128639776845e+00, 1.909955703288277240e+00, 4.162895659438438756e+00, 2.529372741375891298e+00, 2.906703234881516718e+00, 2.991514869206426397e+00, 3.563531539668175707e+00, 4.194619205704864129e+00, 4.080561270366043658e+00, 3.127730335196315270e+00, 2.432952575206852153e+00
1.893000000000000000e+03, 2.488695910785344356e+00, 3.927797956981034400e+00, 2.761264263193687007e+00, 2.571707583812714137e+00, 3.853492677382368115e+00, 2.798886002630669001e+00, 1.848260955778431747e+00, 4.108639693465853782e+00, 2.531721926714860516e+00, 2.937239398515217204e+00, 2.957114834196255426e+00, 3.461562992907293079e+00, 4.196621229505569595e+00, 4.067049032154069543e+00, 3.181403715775856345e+00, 2.508532775986106245e+00
1.894000000000000000e+03, 2.495896853919508551e+00, 4.018624362050227106e+00, 2.778844373991421257e+00, 2.563946361069126212e+00, 3.829970883272765914e+00, 2.820122809630129623e+00, 1.871010826748099376e+00, 4.174285554474974624e+00, 2.557544927647588118e+00, 2.909767445289696219e+00, 3.007361473721707146e+00, 3.739156220123163177e+00, 4.196007854657094249e+00, 4.078585182645039886e+00, 3.093444884860429678e+00, 2.519289603744892414e+00
1.895000000000000000e+03, 2.494412278620391277e+00, 3.944235985393948152e+00, 2.731221338217337813e+00, 2.577042424986073499e+00, 3.911531500460578403e+00, 2.933635876854429725e+00, 1.874404776923928706e+00, 4.166497526599913570e+00, 2.533714099297701861e+00, 2.801506988913843088e+00, 3.005260861629347691e+00, 3.688812708517308359e+00, 4.204213118475529143e+00, 3.511311345790985694e+00, 3.075885948627051114e+00, 2.515911483586020125e+00
1.896000000000000000e+03, 2.482368989816364557e+00, 3.881191477095117470e+00, 2.754775664415030967e+00, 2.580767300087073668e+00, 3.654024074040251424e+00, 2.829163490132591718e+00, 1.853182721149096324e+00, 4.046997454684936102e+00, 2.544693262055737648e+00, 2.878511802485448356e+00, 3.033840836833349819e+00, 3.197436327504485476e+00, 4.198946679793725600e+00, 3.986763330242367953e+00, 3.065052008093111180e+00, 2.456187846475967440e+00
1.897000000000000000e+03, 2.478613808518435935e+00, 4.153093801162160759e+00, 2.819044731685688365e+00, 2.575884827820539069e+00, 3.906481097746314024e+00, 2.888280853057073383e+00, 1.833952584409729303e+00, 3.882990199491322514e+00, 2.517443599499437745e+00, 2.797844941773782512e+00, 2.986001353659681889e+00, 3.048940197610214842e+00, 4.207360216663141195e+00, 4.657576979789418203e+00, 3.072919429167967564e+00, 2.486587849661028748e+00
1.898000000000000000e+03, 2.472377385201861344e+00, 4.194125068558654412e+00, 2.852404334952263643e+00, 2.582238019448037214e+00, 3.932608766346452178e+00, 2.943294410938558148e+00, 1.770632171896077356e+00, 4.014074996257414263e+00, 2.541586532095248430e+00, 2.898260421186634073e+00, 2.955913621300937155e+00, 3.325599559256970483e+00, 4.198956128593865245e+00, 4.244741182764866672e+00, 3.108204219172085114e+00, 2.502774196593792411e+00
1.899000000000000000e+03, 2.478311577360377882e+00, 3.815567944250736421e+00, 2.778146968012975560e+00, 2.583839587254112224e+00, 3.982310928607601497e+00, 2.975741121306343384e+00, 1.730700522313721068e+00, 4.070995987919491910e+00, 2.537061246861524122e+00, 2.902237821988628230e+00, 2.935723597898054926e+00, 3.839338548620595315e+00, 4.196545913152387008e+00, 3.781580314583564473e+00, 3.022122975138542333e+00, 2.539809808122676760e+00
1.900000000000000000e+03, 2.470596120702595933e+00, 3.735376157275920317e+00, 2.673524010975794063e+00, 2.578581618439957257e+00, 4.150858888854306983e+00, 2.910097208543251934e+00, 1.752766660943546606e+00, 4.118103905201119019e+00, 2.550167687530162652e+00, 2.968327060746937640e+00, 2.986125025597527127e+00, 3.942032653312621981e+00, 4.202440764821088415e+00, 3.906862628029961204e+00, 3.005838003062160091e+00, 2.501662254762095472e+00
1.901000000000000000e+03, 2.479052584689712901e+00, 3.922795383484004805e+00, 2.776739743804579330e+00, 2.581772960214654855e+00, 4.090556127741881376e+00, 2.714241821401182531e+00, 1.784479679444658684e+00, 4.199842315646788116e+00, 2.524916797671017399e+00, 2.964093854650601489e+00, 2.940151056661619133e+00, 3.762904954871222341e+00, 4.200360964680145415e+00, 3.937182218835282743e+00, 3.024461706206279743e+00, 2.536828500489616278e+00
