year, UKESM1-0-LL, EC-Earth3-Veg, CESM2-WACCM, NorESM2-MM, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, IPSL-CM6A-LR
1.899000000000000000e+03, 8.936030892325752336e-10, 9.810165317600148746e-11, 1.225955627672145731e-10, 2.914236072566482122e-11, 2.658567234989147444e-11, 3.467066986360504808e-10, 3.258405758135330874e-11, 4.623740850729396761e-10
1.900000000000000000e+03, 9.414958640468068902e-10, 9.728738856443366907e-11, 1.461274713484566679e-10, 2.966458022791401607e-11, 2.702888780913627802e-11, 3.582068032016023128e-10, 3.324236530604990041e-11, 4.534865310167111649e-10
1.901000000000000000e+03, 9.597901314615752148e-10, 1.009287282741332093e-10, 1.476788651437023250e-10, 3.016005044580932608e-11, 2.746292313033235647e-11, 3.725392576885621681e-10, 3.379891798530249129e-11, 5.031203802202690494e-10
1.902000000000000000e+03, 9.843047772072190454e-10, 9.919858439143153420e-11, 1.485866668829459261e-10, 3.103397419964337700e-11, 2.804368936938541029e-11, 3.819840133120960904e-10, 3.646942858144154787e-11, 5.230485841973154850e-10
1.903000000000000000e+03, 9.706859296476257640e-10, 1.062710773310400139e-10, 1.746895560034427471e-10, 3.161290451480123475e-11, 2.857012349771391658e-11, 3.774878424906773758e-10, 3.726838422090889191e-11, 5.393026922843460930e-10
1.904000000000000000e+03, 1.080824608084109761e-09, 1.017891649889094928e-10, 1.448936252445916933e-10, 3.221568541129134837e-11, 2.908035619920938348e-11, 3.679874019318879580e-10, 3.788576525491477209e-11, 4.896638472597663486e-10
1.905000000000000000e+03, 1.035975730420912072e-09, 1.081272103219328501e-10, 1.619306423573035598e-10, 3.280472528315423077e-11, 2.956140599891924639e-11, 3.690090050260460706e-10, 3.866326909894097192e-11, 5.430587064180657146e-10
1.906000000000000000e+03, 1.030627362788108841e-09, 9.959605120919096432e-11, 1.581606135540366415e-10, 3.334054129235074782e-11, 3.004434013034791417e-11, 3.661389233908779110e-10, 3.954635805617370573e-11, 5.181836766353690511e-10
1.907000000000000000e+03, 9.881559192542396539e-10, 1.099691508094254358e-10, 1.410601893166991268e-10, 3.389149617571490432e-11, 3.051994508068668234e-11, 3.882587374307606112e-10, 4.032654034219391528e-11, 5.619580016264796287e-10
1.908000000000000000e+03, 1.008704834501579604e-09, 1.083351670389876001e-10, 1.850166066062999340e-10, 3.441123944483255463e-11, 3.097883774015608099e-11, 4.126720263859528076e-10, 4.117150002294012077e-11, 5.767443364713637400e-10
1.909000000000000000e+03, 1.068670345555368834e-09, 1.118251687524151875e-10, 1.952175328967285069e-10, 3.495909128663717203e-11, 3.143851132465436397e-11, 4.273656500421237101e-10, 4.203062670626780511e-11, 5.933831018420008687e-10
1.910000000000000000e+03, 1.190231918398430688e-09, 1.142656281286261908e-10, 1.723230182017429955e-10, 3.552063133700606033e-11, 3.192967260883906289e-11, 4.370509055701880602e-10, 4.276941839587804109e-11, 5.659813746495436002e-10
1.911000000000000000e+03, 1.206901566545121563e-09, 1.124050376304684685e-10, 1.630578908199379617e-10, 3.613843711585169828e-11, 3.245535988633927081e-11, 4.353547577802216990e-10, 4.349991299078818701e-11, 5.897858690178350993e-10
1.912000000000000000e+03, 1.116892906059783876e-09, 1.132088980340948594e-10, 1.804352429403374785e-10, 3.687765622233864942e-11, 3.302924975770527414e-11, 4.394192768318856564e-10, 4.458281527607872123e-11, 5.910308411027707167e-10
1.913000000000000000e+03, 1.106287566221347603e-09, 1.186132317892995941e-10, 1.976941996693447468e-10, 3.758379714191830065e-11, 3.363530886065068480e-11, 4.529445573927840278e-10, 4.563548772267014458e-11, 6.444799921138909594e-10
1.914000000000000000e+03, 1.171627581334859188e-09, 1.246536812448944485e-10, 2.084909548486645257e-10, 3.825019348154155087e-11, 3.419232922553611959e-11, 4.612324530049676920e-10, 4.652023507672841215e-11, 6.261674174675492326e-10
1.915000000000000000e+03, 1.192612856749295586e-09, 1.267540822492354051e-10, 2.153193589401332015e-10, 3.892323017314449902e-11, 3.474100349989674651e-11, 4.722293047604705572e-10, 4.750518101025470296e-11, 6.408389848559560697e-10
1.916000000000000000e+03, 1.237608385341772182e-09, 1.261679791704188957e-10, 2.073048613068638761e-10, 3.955769033432087857e-11, 3.528977751159494535e-11, 4.769304863980175559e-10, 4.838365931620775213e-11, 6.238051368734830028e-10
1.917000000000000000e+03, 1.315259869707638291e-09, 1.252074565312946483e-10, 2.004423322046922631e-10, 4.022180965243017954e-11, 3.587245692024493634e-11, 4.867751150127602972e-10, 4.916960214352384916e-11, 6.621018273822918288e-10
1.918000000000000000e+03, 1.280862238347106928e-09, 1.220833806684600782e-10, 1.958348096191291153e-10, 4.090273467718551943e-11, 3.643644570609405187e-11, 4.885908911060812027e-10, 5.028425241782973482e-11, 6.537072207020035077e-10
1.919000000000000000e+03, 1.253831443408304248e-09, 1.299669750311939728e-10, 2.337189284303511020e-10, 4.138966596063623220e-11, 3.694216484556558627e-11, 4.960470755005849498e-10, 5.131465005873352406e-11, 7.389996042556488391e-10
1.920000000000000000e+03, 1.300742743520598770e-09, 1.277617419179766064e-10, 2.128975422257025107e-10, 4.206063392603420005e-11, 3.752848803057472622e-11, 4.992097097729472209e-10, 5.225892350149598000e-11, 7.187097618023283877e-10
1.921000000000000000e+03, 1.313389902439571644e-09, 1.375413126400198115e-10, 1.962637966163321419e-10, 4.208298360910638142e-11, 3.753412919360999511e-11, 4.992205999878786439e-10, 5.262590158587296629e-11, 7.278293445906711590e-10
1.922000000000000000e+03, 1.392486381769995926e-09, 1.330246708883222274e-10, 1.896650405042530841e-10, 4.903847213947062208e-11, 4.304499487219646793e-11, 5.003348873578513638e-10, 6.156012815512482645e-11, 7.104864248669811808e-10
1.923000000000000000e+03, 1.318250905926755034e-09, 1.361605313956974083e-10, 2.181417846553807099e-10, 5.597327674944270778e-11, 4.866336367665190599e-11, 5.137290253139796067e-10, 7.012911351149763265e-11, 7.542402118368038478e-10
1.924000000000000000e+03, 1.311921020575385747e-09, 1.369779977409935130e-10, 1.995330590136883882e-10, 6.311526998393628894e-11, 5.451713034631911954e-11, 5.341524163066302799e-10, 7.878738281499186814e-11, 7.319286594931948153e-10
1.925000000000000000e+03, 1.454245392874159349e-09, 1.369627153490877006e-10, 2.286943831995290606e-10, 7.038842121816661348e-11, 6.040138557783358034e-11, 5.547604090281179135e-10, 8.819803931074351760e-11, 6.990604243666439291e-10
1.926000000000000000e+03, 1.395713298268084956e-09, 1.323795503299140578e-10, 2.339003179237206391e-10, 7.792914450512331423e-11, 6.652038244371456425e-11, 5.801181809073394984e-10, 9.799176986591981599e-11, 7.339123309096864402e-10
1.927000000000000000e+03, 1.580451290069869893e-09, 1.418584166445828755e-10, 2.145776015238812201e-10, 8.561054236334975178e-11, 7.269786037932198154e-11, 5.869919133282212535e-10, 1.076674128527337794e-10, 7.814494996573141383e-10
1.928000000000000000e+03, 1.416755635275611276e-09, 1.346111367499328235e-10, 2.203854680414842148e-10, 9.353364686710841101e-11, 7.900868035714979010e-11, 5.918065712177249112e-10, 1.170572323558005598e-10, 7.486967609387993828e-10
1.929000000000000000e+03, 1.440583032544115008e-09, 1.424473480229001630e-10, 2.294296977836295557e-10, 1.015110512017975342e-10, 8.545004055625582358e-11, 5.993406227125304640e-10, 1.273237896391950191e-10, 7.639272667512461859e-10
1.930000000000000000e+03, 1.357553628727829688e-09, 1.398941553743266232e-10, 2.432134351776889212e-10, 1.097091290124836253e-10, 9.263418465353008824e-11, 6.145397916713336528e-10, 1.376592967582465600e-10, 7.256400095864855168e-10
1.931000000000000000e+03, 1.502505237638089476e-09, 1.483638558463676107e-10, 2.188784767901888341e-10, 1.181054624715251808e-10, 9.937228270215491321e-11, 6.350433695754360366e-10, 1.474185107371769247e-10, 7.944994389017224022e-10
1.932000000000000000e+03, 1.485527426219140915e-09, 1.379255645798260609e-10, 2.143008649181536072e-10, 1.268479140461624987e-10, 1.051620976190406874e-10, 6.546602752338366969e-10, 1.590238355433560301e-10, 7.844008434853470376e-10
1.933000000000000000e+03, 1.522794485721249892e-09, 1.513305195371007842e-10, 2.537508490303362754e-10, 1.356653876691075232e-10, 1.130863053326468061e-10, 6.757194060401930163e-10, 1.704817599713166822e-10, 8.161564102606021512e-10
1.934000000000000000e+03, 1.555064707481432004e-09, 1.443781688650098557e-10, 2.596124510455877285e-10, 1.447807600982802648e-10, 1.204773686874906026e-10, 6.916914997722537882e-10, 1.816521688329714959e-10, 7.647508705902895466e-10
1.935000000000000000e+03, 1.564483104016101786e-09, 1.511112613543669208e-10, 2.284525225769103121e-10, 1.543763245620279821e-10, 1.281296280919591094e-10, 7.016403780240571184e-10, 1.940962444627310228e-10, 8.547137781882549701e-10
1.936000000000000000e+03, 1.569438959007348141e-09, 1.582249553578394395e-10, 1.990147226497467958e-10, 1.638239047141428286e-10, 1.358195020195847799e-10, 7.111640540493492632e-10, 2.059029362903212887e-10, 8.645204765852607024e-10
1.937000000000000000e+03, 1.727378298345267330e-09, 1.530622206174945420e-10, 2.669795371965845676e-10, 1.734542945689610268e-10, 1.435862412341605238e-10, 7.317923990887204029e-10, 2.172162249718653506e-10, 7.827388536222924273e-10
1.938000000000000000e+03, 1.769851723090098464e-09, 1.498312479810467955e-10, 2.672396864774146180e-10, 1.833550804085445343e-10, 1.514238162501422459e-10, 7.530536891329812293e-10, 2.296670558755242074e-10, 8.030867164884715100e-10
1.939000000000000000e+03, 1.680490943289007949e-09, 1.561334954516829972e-10, 2.580484599681041414e-10, 1.933548121772656022e-10, 1.593595434946422261e-10, 7.653056251785737858e-10, 2.424148334538465867e-10, 8.603746720055751001e-10
1.940000000000000000e+03, 1.650956049022774239e-09, 1.516458187600960749e-10, 2.629574678536136931e-10, 2.034447763301832956e-10, 1.676253047405155271e-10, 7.864057240451649034e-10, 2.546694759182456485e-10, 9.068516141346583242e-10
1.941000000000000000e+03, 1.682103708141987317e-09, 1.534482783419272540e-10, 2.649880342726322902e-10, 2.141479948549285386e-10, 1.763194895684664608e-10, 7.985139547690220205e-10, 2.684680044194195670e-10, 9.146991855548737308e-10
1.942000000000000000e+03, 1.621324517104923086e-09, 1.628281933663384204e-10, 2.534205717545505769e-10, 2.244654482728138181e-10, 1.845049267277218855e-10, 7.991580927080960921e-10, 2.815313712146616981e-10, 8.610415962992941830e-10
1.943000000000000000e+03, 1.705629318581068339e-09, 1.526662838472665557e-10, 2.572075634955682525e-10, 2.349616793926764682e-10, 1.926797401471009718e-10, 8.099914580950813233e-10, 2.941118445100051190e-10, 8.719058927588693725e-10
1.944000000000000000e+03, 1.683649208179978971e-09, 1.646767700236033178e-10, 2.317015309106948640e-10, 2.455572907230745066e-10, 2.011326129582891952e-10, 8.308385385910949096e-10, 3.072655796916653476e-10, 9.703619343117218139e-10
1.945000000000000000e+03, 1.880810123960511365e-09, 1.551805387194743696e-10, 3.035558424392880165e-10, 2.563958062206380049e-10, 2.096081080293470825e-10, 8.678390125838339994e-10, 3.211963146609459680e-10, 9.648607245541551703e-10
1.946000000000000000e+03, 1.856987584077665607e-09, 1.557121927494683090e-10, 3.171701190549729495e-10, 2.675578307750016515e-10, 2.184554775006468078e-10, 9.002796712990256258e-10, 3.353945096799712628e-10, 9.512273732467073769e-10
1.947000000000000000e+03, 1.629020021201278330e-09, 1.618420106555685178e-10, 3.168779418067570734e-10, 2.787280347139313852e-10, 2.272259826654895186e-10, 9.126864973100392534e-10, 3.484312878792299497e-10, 9.563787754921017222e-10
1.948000000000000000e+03, 1.764778575295007080e-09, 1.635866410306833540e-10, 3.272920110055928451e-10, 2.901990235074830623e-10, 2.363232197919509336e-10, 9.223786429268550521e-10, 3.599450123636157998e-10, 9.647395252474828994e-10
1.949000000000000000e+03, 1.853991801144065730e-09, 1.627987869693834609e-10, 2.731995618071412794e-10, 3.016462459341508441e-10, 2.454948895088677820e-10, 1.015585384524680743e-09, 3.743457771489597609e-10, 9.569900126909782446e-10
1.950000000000000000e+03, 2.054090580374475402e-09, 1.591532347497920569e-10, 2.624148602747982037e-10, 2.997238340832819948e-10, 2.919899347762627008e-10, 1.077917677998967112e-09, 3.847627310594217383e-10, 1.109949526421869636e-09
1.951000000000000000e+03, 2.021122401115980472e-09, 1.726413535919073469e-10, 3.032222168261182030e-10, 3.087441020081093308e-10, 3.014664901986694189e-10, 1.096849044107540338e-09, 3.979948829861914555e-10, 1.001674825431507869e-09
1.952000000000000000e+03, 1.991553066972634391e-09, 1.690561055461299496e-10, 2.607158846877945606e-10, 3.321415516824494669e-10, 3.223098924834004842e-10, 1.115142885707544930e-09, 4.114594347678836692e-10, 9.896522580516880742e-10
1.953000000000000000e+03, 1.886852906184352619e-09, 1.731362043322915468e-10, 3.005634209556693984e-10, 3.500685632175398062e-10, 3.391969964774130550e-10, 1.137127195075358632e-09, 4.289512344234014220e-10, 9.416641583170083536e-10
1.954000000000000000e+03, 1.664143899649536403e-09, 1.820380136879208619e-10, 3.788654735879170405e-10, 3.721023726416094525e-10, 3.534424534445553574e-10, 1.156599732498954149e-09, 4.517928504816048462e-10, 1.085106023052170359e-09
1.955000000000000000e+03, 1.927179293959368140e-09, 1.779212397860095740e-10, 3.595639678418483531e-10, 3.900316218423282749e-10, 3.698757274549556331e-10, 1.202487704712541154e-09, 4.684028073975487193e-10, 1.090188064454472628e-09
1.956000000000000000e+03, 2.124388352574066780e-09, 1.911681502555476814e-10, 3.105645606955497659e-10, 4.061171100017013954e-10, 3.866522025114825001e-10, 1.260428445422871025e-09, 4.837941104963580484e-10, 1.091548265457149890e-09
1.957000000000000000e+03, 2.078626194596393344e-09, 1.783086885673655034e-10, 2.970710608504903096e-10, 4.227172749807028835e-10, 4.040040392704452661e-10, 1.293927320042660963e-09, 4.999883031196429447e-10, 1.117453878193225390e-09
1.958000000000000000e+03, 2.059453538273418058e-09, 1.974184857399813775e-10, 2.982334643463842048e-10, 4.414631250216069989e-10, 4.219341556801141147e-10, 1.342500640007270942e-09, 5.173486557299218354e-10, 1.082971262935629317e-09
1.959000000000000000e+03, 2.234701399057903092e-09, 1.921918600766685261e-10, 4.315657525535668104e-10, 4.606593859891548704e-10, 4.401118898313401849e-10, 1.401451266057914067e-09, 5.340588663557680744e-10, 1.167781650607388159e-09
1.960000000000000000e+03, 2.306205069768379710e-09, 2.069379273058078295e-10, 4.444726041759795686e-10, 4.804249796625387825e-10, 4.585389892354793520e-10, 1.418083069065243261e-09, 5.515418226912474062e-10, 1.115313787789569582e-09
1.961000000000000000e+03, 2.424867781220618067e-09, 2.044367796240996060e-10, 3.941273864037563084e-10, 5.011654573933301143e-10, 4.778704924901872565e-10, 1.463948045956834528e-09, 5.694638550000164657e-10, 1.176867396524206390e-09
1.962000000000000000e+03, 2.081480975728130318e-09, 2.117533608334131534e-10, 4.589268208085421508e-10, 5.636469764832516568e-10, 5.365661998040400521e-10, 1.467307180050779815e-09, 6.351887386240505298e-10, 1.074316530227645190e-09
1.963000000000000000e+03, 2.160999559066125483e-09, 2.242447365164722776e-10, 4.106595930463003212e-10, 5.603758826252463045e-10, 5.330654144530271789e-10, 1.499554250001376808e-09, 6.222574125340566617e-10, 1.150291873477521084e-09
1.964000000000000000e+03, 2.325296147813598518e-09, 2.172730074301136789e-10, 3.255824352142215469e-10, 5.566394611219459342e-10, 5.299164501498864419e-10, 1.527509751671506978e-09, 6.055456075301635220e-10, 1.156170016972465022e-09
1.965000000000000000e+03, 2.163911457352283488e-09, 2.185299319886835294e-10, 3.683730968898686185e-10, 5.604669049242470011e-10, 5.328495875655238179e-10, 1.534358075068176299e-09, 5.949211376317763854e-10, 1.134409295703617900e-09
1.966000000000000000e+03, 2.074043464268766169e-09, 2.215054505617954196e-10, 3.634587720343904926e-10, 5.625698317449259421e-10, 5.343309035385412781e-10, 1.517626121611381276e-09, 5.855660067012433031e-10, 1.183836683380550487e-09
1.967000000000000000e+03, 2.415955598418806873e-09, 2.249508773601001468e-10, 3.616167732095394338e-10, 5.655917507549273658e-10, 5.371924927600390852e-10, 1.495400279655439190e-09, 5.739926137715353224e-10, 1.129077437186611254e-09
1.968000000000000000e+03, 2.367924293011225816e-09, 2.309091926317985674e-10, 3.321568472854527033e-10, 5.629587813938492026e-10, 5.095876050334383386e-10, 1.444550140520776932e-09, 5.976405823773960916e-10, 1.171220818201553577e-09
