year, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, UKESM1-0-LL, NorESM2-MM, INM-CM4-8, CanESM5, CESM2-WACCM, CMCC-CM2-SR5, INM-CM5-0, ACCESS-ESM1-5, EC-Earth3-Veg, IPSL-CM6A-LR, NorESM2-LM
1.873000000000000000e+03, 2.973785305670028833e+02, 2.969689884445400025e+02, 2.972762539227954903e+02, 2.976218056225931150e+02, 2.963279258732960102e+02, 2.987717035063361664e+02, 2.975447319378641851e+02, 2.974349522576017080e+02, 2.979100582171307110e+02, 2.979898986510708028e+02, 2.981096728056938332e+02, 2.971973985191065708e+02, 2.996647137926292430e+02, 2.963418683930054840e+02, 2.966734237345752945e+02, 2.986288002383965363e+02
1.874000000000000000e+03, 2.972426849529286415e+02, 2.967834554958011495e+02, 2.970917472305851561e+02, 2.974363649768226878e+02, 2.965629300980113499e+02, 2.981646881003559315e+02, 2.982264060803037751e+02, 2.976192115224297936e+02, 2.979215580137068287e+02, 2.979000656964335008e+02, 2.980921739570634372e+02, 2.973590171487734892e+02, 2.995359672953121049e+02, 2.962239750092351755e+02, 2.967763112449484879e+02, 2.984306349736271500e+02
1.875000000000000000e+03, 2.970604917143616603e+02, 2.963701523183484028e+02, 2.967685670754240732e+02, 2.980784368786023038e+02, 2.965455247378623653e+02, 2.982468154554623538e+02, 2.980368011080810788e+02, 2.975696920869364703e+02, 2.978968189023694322e+02, 2.979291309228642604e+02, 2.981045343135265853e+02, 2.973111836182130787e+02, 2.995437922760575589e+02, 2.962348501191484047e+02, 2.966067971799651559e+02, 2.982090641058708229e+02
1.876000000000000000e+03, 2.973992961066916223e+02, 2.966687271273904685e+02, 2.969028013305723448e+02, 2.982045183450238142e+02, 2.964131392461275709e+02, 2.980503901626188394e+02, 2.976902275307799641e+02, 2.975007476276745138e+02, 2.983036740993769627e+02, 2.979122762977781917e+02, 2.981339178405805228e+02, 2.972341168062754377e+02, 2.993229437133318811e+02, 2.962294033525256509e+02, 2.967198808675320834e+02, 2.982482838784017645e+02
1.877000000000000000e+03, 2.974359351516106926e+02, 2.968630064443067340e+02, 2.973130816432803272e+02, 2.978289198739549306e+02, 2.965888868325721432e+02, 2.984643361334730685e+02, 2.981033793121176814e+02, 2.974597013690233780e+02, 2.980528999739657365e+02, 2.980303745393982240e+02, 2.980213893274541874e+02, 2.974743032522461021e+02, 2.994558360379701867e+02, 2.961629667204633733e+02, 2.967613687628898447e+02, 2.985177383551961725e+02
1.878000000000000000e+03, 2.974574607390205756e+02, 2.969887897878094236e+02, 2.973332146267900953e+02, 2.975543829374360030e+02, 2.964148919928782107e+02, 2.988538896741973190e+02, 2.977907581844756351e+02, 2.973581338643876393e+02, 2.981688120809469638e+02, 2.979024538255440007e+02, 2.982491060745461482e+02, 2.974118788674960570e+02, 2.993732175629206722e+02, 2.966438648615442730e+02, 2.965567049700932785e+02, 2.987592945530212774e+02
1.879000000000000000e+03, 2.974089079293077589e+02, 2.965084045130886352e+02, 2.971814665329177387e+02, 2.976751092573591109e+02, 2.967293756036715990e+02, 2.985141918796455229e+02, 2.975557785731557487e+02, 2.973988732310847354e+02, 2.980900569225417485e+02, 2.983433550160009986e+02, 2.980763349241853462e+02, 2.974016556177433586e+02, 2.993790976176085223e+02, 2.961423943480912726e+02, 2.962877311831879297e+02, 2.983874426144051313e+02
1.880000000000000000e+03, 2.973693552181275663e+02, 2.964750097549836028e+02, 2.972176964146116802e+02, 2.978289236664093096e+02, 2.966895899265599041e+02, 2.983753804083522709e+02, 2.976468994448332523e+02, 2.975456738372105292e+02, 2.980372055911594202e+02, 2.981549132550239847e+02, 2.984435913658263644e+02, 2.972490820140067171e+02, 2.993210605228398435e+02, 2.960808531975647497e+02, 2.964295168313646514e+02, 2.986965610186463778e+02
1.881000000000000000e+03, 2.970686785424981622e+02, 2.967520470697689348e+02, 2.969845814501230166e+02, 2.978393859438389200e+02, 2.965568822422028461e+02, 2.980397257643001581e+02, 2.980922131614793216e+02, 2.975530645082429260e+02, 2.981077462140611942e+02, 2.979585476443379548e+02, 2.982324446202338777e+02, 2.973871404374937697e+02, 2.992353797817211216e+02, 2.964443315402143639e+02, 2.964621684533108237e+02, 2.986448049949842130e+02
1.882000000000000000e+03, 2.977388403574789777e+02, 2.966102518810344009e+02, 2.966971849608924003e+02, 2.979012981662837092e+02, 2.964356231693990367e+02, 2.981561393161749152e+02, 2.982177475149413794e+02, 2.975284850298068591e+02, 2.980831103711744277e+02, 2.980269540237692922e+02, 2.982946900280978184e+02, 2.973754139824615095e+02, 2.994253000266563731e+02, 2.965933593587636778e+02, 2.965612942125790710e+02, 2.984722137406627667e+02
