year, NorESM2-LM, TaiESM1, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-MM, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4, MIROC-ES2L, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, CMCC-CM2-SR5
2.062000000000000000e+03, 9.778635969112269288e-01, 1.544707793520052386e+00, 9.331797301041203641e-01, 1.159850732621053426e+00, 1.584851885782014191e+00, 1.173892715477423243e+00, 1.477056479341322337e+00, 1.275839958264983531e+00, 8.287350590095684533e-01, 1.501305842396105650e+00, 3.980469223311264848e+00, 1.297125700741643239e+00, 1.853387345999253588e+00, 1.527977849332651017e+00
2.063000000000000000e+03, 1.118401941143934542e+00, 1.271540295675118504e+00, 9.418354266082780146e-01, 1.095506911659766436e+00, 1.648714609049266588e+00, 1.139863931736912583e+00, 1.392043283440217882e+00, 1.282045319548613227e+00, 8.785561541437066913e-01, 1.563334637847654696e+00, 4.530494733874331104e+00, 1.282356752572959779e+00, 1.856423166652790835e+00, 1.640985124258375727e+00
2.064000000000000000e+03, 1.120407203262809626e+00, 1.630630034047895194e+00, 9.638142685561255085e-01, 1.162900606989770491e+00, 1.502339634715639916e+00, 1.320412400452655621e+00, 1.528215716071488872e+00, 1.144163169878156028e+00, 8.948901973573406554e-01, 1.584819595195466890e+00, 4.402241610068471367e+00, 1.229224851393438733e+00, 1.656181155989945308e+00, 1.793427283822838669e+00
2.065000000000000000e+03, 9.654614279268205479e-01, 1.378124422331927112e+00, 9.757133098917841751e-01, 1.075337922941340008e+00, 1.500302141775169629e+00, 1.243853313598879629e+00, 1.525039772873879373e+00, 1.289321034199363725e+00, 9.092920275267127872e-01, 1.519458401882036513e+00, 4.343181358560768146e+00, 1.305101474242091886e+00, 1.987772078122967523e+00, 1.776055063093232356e+00
2.066000000000000000e+03, 1.198571548619809413e+00, 1.468652467518846816e+00, 1.029369352221401135e+00, 1.106584841141268427e+00, 1.553740757219047142e+00, 1.187963175042008990e+00, 1.378360216891968415e+00, 1.178316647758615110e+00, 8.779802040824682408e-01, 1.502615215364488055e+00, 4.063479582926699862e+00, 1.293698909969485999e+00, 1.789576551398664783e+00, 1.738934786410748723e+00
2.067000000000000000e+03, 1.182638750177012366e+00, 1.437331463114232211e+00, 9.867326608755054851e-01, 1.119137394155300669e+00, 1.718722588825962516e+00, 1.157178869515061104e+00, 1.513085680743524009e+00, 1.175164437368413584e+00, 8.802796816735353191e-01, 1.527269057864627522e+00, 4.294456897262932671e+00, 1.303237387576843931e+00, 1.745164452184268855e+00, 1.511362187115886435e+00
2.068000000000000000e+03, 1.161586523178813835e+00, 1.469874244728614832e+00, 9.801842161631345585e-01, 1.190623045354354037e+00, 1.491199617541238309e+00, 1.271273518720242635e+00, 1.465693431401408509e+00, 1.102541470166369830e+00, 8.706517390445280835e-01, 1.591834425281496213e+00, 4.304720312328461418e+00, 1.242030389104382682e+00, 1.834902281073885089e+00, 1.845291423081828697e+00
2.069000000000000000e+03, 1.149063248160636652e+00, 1.430855640380106708e+00, 9.929590944665553920e-01, 1.171030669285184178e+00, 1.412412551427983498e+00, 1.296668948034326085e+00, 1.379969710168035713e+00, 1.291121863579437257e+00, 8.959723168522576442e-01, 1.565597372773534612e+00, 4.414811909030038173e+00, 1.175498833212043071e+00, 1.645053789645559261e+00, 1.871284142971152864e+00
2.070000000000000000e+03, 1.170766553199150017e+00, 1.256934814690094049e+00, 1.001395959857962259e+00, 1.154619688039424830e+00, 1.667428049463341555e+00, 1.240414285731160193e+00, 1.436532641726250281e+00, 1.168887539743953097e+00, 8.992289057573163991e-01, 1.542530799041051504e+00, 4.619871270978158861e+00, 1.245422928531076279e+00, 1.662942299898499510e+00, 1.757670066256474151e+00
2.071000000000000000e+03, 1.181137971359537797e+00, 1.532262457865141148e+00, 1.002048261230297221e+00, 1.223215610855131974e+00, 1.704834083824827040e+00, 1.180274783543499462e+00, 1.541634001432727219e+00, 1.271953218730956792e+00, 9.294496070402803456e-01, 1.535587440718105823e+00, 4.093876949477755822e+00, 1.346038220571964095e+00, 1.795728713484222361e+00, 1.804799229760627233e+00
2.072000000000000000e+03, 1.103452060985291583e+00, 1.686488805748766584e+00, 1.012332185707292220e+00, 1.304216812755250032e+00, 1.556377666095301038e+00, 1.274875959123120461e+00, 1.450515866843190782e+00, 1.418995373515500757e+00, 9.634435430395053013e-01, 1.542250809197264205e+00, 4.603854883170235723e+00, 1.258985896061589393e+00, 1.704731950843201060e+00, 1.643027193314454237e+00
2.073000000000000000e+03, 1.108402446932424734e+00, 1.430582063463238462e+00, 1.023273205515841777e+00, 1.176527987012577547e+00, 1.489874296050991864e+00, 1.301817062887156595e+00, 1.422639545308798326e+00, 1.343129179610817348e+00, 9.626425368592914644e-01, 1.539092779333844030e+00, 4.460746825360744516e+00, 1.239178526137385550e+00, 1.943473568862983392e+00, 1.688005814703056551e+00
2.074000000000000000e+03, 1.120326670611803133e+00, 1.298854410246425672e+00, 9.935060442720201612e-01, 1.153664119822092049e+00, 1.515810508084117991e+00, 1.372720942540869293e+00, 1.518013326994878565e+00, 1.153032208121374413e+00, 9.181251238377123869e-01, 1.636292793284098046e+00, 4.450796126085564630e+00, 1.320495900860740424e+00, 1.864709750856637704e+00, 1.732963045669531743e+00
2.075000000000000000e+03, 1.215780711947647141e+00, 1.623441775578545521e+00, 9.692001431996665195e-01, 1.097543921359502406e+00, 1.622544038915570308e+00, 1.283913156599840510e+00, 1.536290260735037716e+00, 1.348557087846409486e+00, 8.729788836577196953e-01, 1.552354714974748751e+00, 4.022936326686769704e+00, 1.341843792917305933e+00, 1.725048835567149386e+00, 1.704090804414524429e+00
2.076000000000000000e+03, 1.093972617432898531e+00, 1.430197413097321846e+00, 1.009113275473043636e+00, 1.107916343711618179e+00, 1.657119554956490104e+00, 1.324141156060482105e+00, 1.487859650758958319e+00, 1.039611402132010198e+00, 9.188477326415535051e-01, 1.569452609341025928e+00, 4.811205856283064186e+00, 1.235452441140334479e+00, 1.787403007187537085e+00, 1.590386277175223517e+00
2.077000000000000000e+03, 1.197461572729064061e+00, 1.427450109246133358e+00, 9.827874733922735695e-01, 1.095823950591405582e+00, 1.683737511722730895e+00, 1.334934871036705495e+00, 1.544487566320680294e+00, 1.481981693248449972e+00, 9.180984482908695066e-01, 1.567704262684306737e+00, 4.079409118458496408e+00, 1.276655159643275583e+00, 1.684742639021039601e+00, 1.831985829517042141e+00
2.078000000000000000e+03, 1.131436326843729301e+00, 1.530008637490717582e+00, 9.421794441360421546e-01, 1.152631924850876954e+00, 1.583440199369181789e+00, 1.166723097133518960e+00, 1.450784551900284658e+00, 1.341057792504331214e+00, 9.109794061670380971e-01, 1.562288176326468658e+00, 4.809744445389927847e+00, 1.323090852697486275e+00, 1.683195599339513127e+00, 1.812135921752214607e+00
2.079000000000000000e+03, 1.149380151053760235e+00, 1.442634916096492859e+00, 9.693169089565398799e-01, 1.215167365449492332e+00, 1.633537695883324092e+00, 1.353243677849047977e+00, 1.448600662796590166e+00, 1.195903259678197550e+00, 9.227262134886697886e-01, 1.581942731101410926e+00, 4.648164638613779154e+00, 1.251590077938005363e+00, 1.647872024664836843e+00, 1.670505122126791253e+00
2.080000000000000000e+03, 1.209091159055847298e+00, 1.482302993833129801e+00, 9.752138008909272404e-01, 1.181447983531592527e+00, 1.575230200738672703e+00, 1.156540425035273767e+00, 1.521722870752545198e+00, 1.389348589587665161e+00, 9.633551166031038004e-01, 1.604543561862081136e+00, 4.152198376414676595e+00, 1.277136903987329708e+00, 1.771829586982312854e+00, 1.744283004686885574e+00
2.081000000000000000e+03, 1.125278798622141307e+00, 1.276799237312813862e+00, 1.007400729595149702e+00, 1.108222894240639800e+00, 1.561395910263118525e+00, 1.297555184709899390e+00, 1.507752538786548246e+00, 1.282027905391293521e+00, 9.368493862738920264e-01, 1.544299630854926386e+00, 4.554655180218055044e+00, 1.249966090722615331e+00, 1.764881146872430806e+00, 1.520209565409114782e+00
2.082000000000000000e+03, 1.063561842116315992e+00, 1.451429774797901029e+00, 9.805584575283753379e-01, 1.131914402833426925e+00, 1.583747932457432839e+00, 1.262631085124020114e+00, 1.422342862270271846e+00, 1.233914253247367032e+00, 9.091772254343184478e-01, 1.533733170866717899e+00, 4.447398766786281321e+00, 1.303543815939421258e+00, 1.909935128671392146e+00, 1.747886847682196487e+00
2.083000000000000000e+03, 1.036072018842021825e+00, 1.481918327668328317e+00, 1.019345060701663863e+00, 1.115189009587307378e+00, 1.594168812772206234e+00, 1.332362002315916838e+00, 1.514082866628768009e+00, 1.167126096277449010e+00, 8.900739209053285528e-01, 1.549738166621873914e+00, 4.519341524148485334e+00, 1.338514767882212242e+00, 1.706910466248622971e+00, 1.823553960137007213e+00
