year, GFDL-ESM4, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, EC-Earth3-Veg, TaiESM1, MPI-ESM1-2-LR, NorESM2-LM
2.028000000000000000e+03, 1.467520904698006402e-09, 3.636732682696914295e-10, 1.282660968345285955e-09, 2.911445096970921673e-09, 1.061631761298030187e-09, 3.116390528961867148e-09, 8.091247010348300806e-10, 2.078639249880105070e-09, 3.265700749321717724e-10
2.029000000000000000e+03, 1.342599290966856922e-09, 3.647774657226531426e-10, 1.369169006201027735e-09, 2.387453596501660013e-09, 1.303431305904814861e-09, 3.587693148145064657e-09, 7.514904941367196640e-10, 2.042036027339193243e-09, 3.297482885151728086e-10
2.030000000000000000e+03, 1.485461874721801515e-09, 3.583664493201564152e-10, 1.390730526042140014e-09, 2.416324687843285984e-09, 1.350047113384972637e-09, 3.266055085233768804e-09, 7.274983070216147530e-10, 1.920698025111375720e-09, 3.262425033594001080e-10
2.031000000000000000e+03, 1.234704012991573920e-09, 3.598165622806290075e-10, 1.545846412437676993e-09, 2.578961753684152944e-09, 1.228497805309029600e-09, 3.027456846097478953e-09, 7.262368357432316350e-10, 1.805722078474967850e-09, 3.268780125892219235e-10
2.032000000000000000e+03, 1.466410660204734594e-09, 3.590118111219048911e-10, 1.374373780116608443e-09, 2.590720856924789839e-09, 1.475748780401040053e-09, 3.198584466336370527e-09, 7.172534915463212168e-10, 1.907092238703073783e-09, 3.266031859643313056e-10
2.033000000000000000e+03, 1.532974321717490143e-09, 3.635638744362261390e-10, 1.227148256779622456e-09, 2.815914202891291279e-09, 1.520427250834840350e-09, 3.399223477758350018e-09, 7.158587028588684905e-10, 1.970040519246380345e-09, 3.209251262734141482e-10
2.034000000000000000e+03, 1.196332841692470655e-09, 3.626577359438160346e-10, 1.394408245038049362e-09, 2.703529789634743268e-09, 1.370717026679768575e-09, 3.161073687010528550e-09, 6.894145323418254664e-10, 2.124597113835893788e-09, 3.217810742927454603e-10
2.035000000000000000e+03, 1.513374801587307273e-09, 3.602512746520088023e-10, 1.380506760982556217e-09, 2.938829190843570973e-09, 1.322199390701915706e-09, 2.990926009839092216e-09, 6.872190015563071552e-10, 2.176730811172885735e-09, 3.340094678251986373e-10
2.036000000000000000e+03, 1.426380303870382928e-09, 3.619346132260717230e-10, 1.382478442449596790e-09, 2.676565520386004133e-09, 9.007938729258769188e-10, 2.990403776331686233e-09, 6.888111638462617596e-10, 1.988426556965855923e-09, 3.330983519110879560e-10
2.037000000000000000e+03, 1.258071328100599660e-09, 3.624638091398611226e-10, 1.424920671212229221e-09, 2.463072587718611896e-09, 9.956216340209722552e-10, 3.337380029996378021e-09, 6.934269592957678492e-10, 1.886287052638469164e-09, 3.326912592684962094e-10
2.038000000000000000e+03, 1.320160885512032483e-09, 3.611014860086368680e-10, 1.419719003030847901e-09, 2.148493016740128461e-09, 1.602649065337061122e-09, 3.239325329987839929e-09, 7.002258348059137804e-10, 1.947611993553330957e-09, 3.421800172641400741e-10
2.039000000000000000e+03, 1.591391586433072783e-09, 3.559847543879275828e-10, 1.364704788319074375e-09, 3.061080418532028778e-09, 1.630851757560699785e-09, 3.298620126317437707e-09, 6.996605500600328510e-10, 2.058687448904295535e-09, 3.407480928784437318e-10
2.040000000000000000e+03, 1.506363096562222808e-09, 3.551418584188157621e-10, 1.257997198181123858e-09, 3.314690866446120040e-09, 1.450922655383542483e-09, 3.510295879283171088e-09, 6.877086339833839795e-10, 2.075036995045915406e-09, 3.389942320541476023e-10
2.041000000000000000e+03, 1.486054064212387639e-09, 3.543606572664616192e-10, 1.391050331922150289e-09, 2.712338915315776601e-09, 1.548323902329690386e-09, 2.942086397436875625e-09, 6.680294592775755993e-10, 2.038474387588472597e-09, 3.379318225052828844e-10
2.042000000000000000e+03, 1.436061114886389230e-09, 3.531166966609383736e-10, 1.317797871582400402e-09, 3.016298264330542921e-09, 1.266129369276157134e-09, 3.428616705750838666e-09, 6.851494591796612364e-10, 2.066400303070606011e-09, 3.370107703998710245e-10
2.043000000000000000e+03, 1.453858586803072569e-09, 3.520826073362752335e-10, 1.313837472182441170e-09, 3.147507648726242045e-09, 1.404102064929029493e-09, 3.478130551391493186e-09, 6.781599107063110948e-10, 1.941942111654797260e-09, 3.376491704066113229e-10
2.044000000000000000e+03, 1.519860085391170225e-09, 3.517752750093607299e-10, 1.288325387826409207e-09, 3.301760479432931758e-09, 1.400240142659967920e-09, 3.229841762383174830e-09, 6.658844527231817177e-10, 1.754938258361898710e-09, 3.367532093438765434e-10
2.045000000000000000e+03, 1.631368681732593316e-09, 3.449042920964472321e-10, 1.363759120412349186e-09, 2.604208822649488621e-09, 1.603384900594282751e-09, 3.374886772638872004e-09, 6.564273141871345843e-10, 1.829650083466878069e-09, 3.256024669642086716e-10
2.046000000000000000e+03, 1.402808823741337656e-09, 3.474046268217560965e-10, 1.338042799875480290e-09, 2.979280360294926724e-09, 1.767477585618071294e-09, 3.055855335212665482e-09, 6.712915704538303984e-10, 1.916270326099444776e-09, 3.272986100074196636e-10
2.047000000000000000e+03, 1.583661710189373340e-09, 3.442688462372320490e-10, 1.337202728195805611e-09, 2.905459139038969890e-09, 1.616700921568330692e-09, 3.511383875497937832e-09, 6.833126549801572083e-10, 1.905528688201669945e-09, 3.256610290679424789e-10
2.048000000000000000e+03, 1.655537880665125301e-09, 3.476369091623725495e-10, 1.396163362397411511e-09, 2.700938627646710737e-09, 1.794594876142735340e-09, 3.539802404161656564e-09, 6.770478893406041480e-10, 1.840541285958175386e-09, 3.400902533753825972e-10
2.049000000000000000e+03, 1.440951480752221142e-09, 3.466510459452728867e-10, 1.327194708930783380e-09, 3.015726410780768563e-09, 1.566268711550963909e-09, 3.362986679846068183e-09, 6.674076615643927113e-10, 1.875065580057608969e-09, 3.428584575705457856e-10
2.050000000000000000e+03, 1.511804297461023721e-09, 3.454444838485625411e-10, 1.245419652941711841e-09, 2.817635282663135555e-09, 1.348584503437378294e-09, 3.139983732116751483e-09, 6.727138226456269716e-10, 1.852009122858307207e-09, 3.391393627013274198e-10
2.051000000000000000e+03, 1.592901384352050212e-09, 3.452452224592450067e-10, 1.361482649142603880e-09, 2.850973133216767071e-09, 1.270793621655565092e-09, 3.811604013136815114e-09, 6.508839462244128292e-10, 1.807296477350180456e-09, 3.302642470930251270e-10
2.052000000000000000e+03, 1.414846768085426173e-09, 3.446030966303161324e-10, 1.407585734200393061e-09, 3.359165886350052504e-09, 1.301987728795610748e-09, 3.189383434540749429e-09, 6.539624747950749440e-10, 1.789302702537992206e-09, 3.288878986121403325e-10
2.053000000000000000e+03, 1.595049440286529342e-09, 3.460710169867150521e-10, 1.404114765327807182e-09, 3.125053036760284653e-09, 1.579126830344263108e-09, 3.118795331087541195e-09, 6.554409348813144623e-10, 1.894623923030989846e-09, 3.351854394339224754e-10
2.054000000000000000e+03, 1.631524224985190437e-09, 3.439874454304070023e-10, 1.334682656158148733e-09, 3.035323360554930135e-09, 1.450516262038450919e-09, 3.725032491798662507e-09, 6.566936647096687285e-10, 2.077240862861751125e-09, 3.336690238436627109e-10
2.055000000000000000e+03, 1.433413803047655861e-09, 3.439865097918496998e-10, 1.393475510006086070e-09, 3.445165285424608343e-09, 1.258356999009815032e-09, 3.199204399080681013e-09, 6.808763153113102031e-10, 2.117633467560754188e-09, 3.329100521888557203e-10
2.056000000000000000e+03, 1.427554561674853532e-09, 3.441204565990937801e-10, 1.369759247527166722e-09, 2.889435739402998883e-09, 1.277488513969863389e-09, 3.313627616533028808e-09, 6.853627803077189180e-10, 1.964084381328505598e-09, 3.328283630635405454e-10
2.057000000000000000e+03, 1.505007116399980261e-09, 3.428025122549550535e-10, 1.358599301361339965e-09, 2.907617385251685593e-09, 1.418840986537914851e-09, 2.972797664782928939e-09, 6.901525329627493407e-10, 1.989346202065985726e-09, 3.320835626479629177e-10
2.058000000000000000e+03, 1.588006507052336659e-09, 3.422623217273210989e-10, 1.281830041717819916e-09, 2.880151638526442767e-09, 1.268859838293733616e-09, 3.476386345441393894e-09, 6.664690505651132325e-10, 2.048262284113304013e-09, 3.317100190111826826e-10
2.059000000000000000e+03, 1.821813661457827565e-09, 3.615360795761434890e-10, 1.428463183765103376e-09, 2.389145645431246997e-09, 1.361038664822112984e-09, 3.097668154687745385e-09, 6.568285600761346253e-10, 2.009138691122086329e-09, 3.388487303520664236e-10
2.060000000000000000e+03, 1.579688726389323828e-09, 3.575406309397611369e-10, 1.400241269567075781e-09, 2.979539609415063728e-09, 1.580904903206217092e-09, 3.021447613501433661e-09, 6.647444131126242122e-10, 1.790690451957649773e-09, 3.347586896573161288e-10
2.061000000000000000e+03, 1.464119865725005221e-09, 3.527945972803737620e-10, 1.415134092496912170e-09, 3.270445657627568780e-09, 1.558640507547035912e-09, 3.867980911352400428e-09, 6.566469810861511040e-10, 1.756827099010805857e-09, 3.332132115525615131e-10
2.062000000000000000e+03, 1.470838053660306945e-09, 3.484642660095173058e-10, 1.485571893746675927e-09, 3.073052330753925591e-09, 1.470019661244407403e-09, 3.399952913552756827e-09, 6.493908579357882280e-10, 1.910542917000128263e-09, 3.247485227800696293e-10
2.063000000000000000e+03, 1.627250707140139871e-09, 3.552516476125196070e-10, 1.467579285781880100e-09, 2.883594447757033324e-09, 1.136006980140107106e-09, 3.655224262553724174e-09, 6.601657771226674647e-10, 2.159183136665100914e-09, 3.216509824419543104e-10
2.064000000000000000e+03, 1.823620984088672061e-09, 3.503092307599830297e-10, 1.390216384915236226e-09, 2.889173171685045613e-09, 1.449314078934190406e-09, 4.006693604149238719e-09, 6.727373712898949672e-10, 2.212685705974147377e-09, 3.200978678017226830e-10
2.065000000000000000e+03, 1.664382170200309586e-09, 3.453087452682449148e-10, 1.467078995891589894e-09, 2.889417789986414401e-09, 1.697623471572312277e-09, 2.947195886881451346e-09, 6.745776392682454177e-10, 2.154468166238401770e-09, 3.181977171754355899e-10
2.066000000000000000e+03, 1.516961866502888363e-09, 3.440502070534263423e-10, 1.417289109446333212e-09, 2.766214950590011005e-09, 1.266798739886269470e-09, 3.420798816472878016e-09, 6.714517301385761679e-10, 2.177714421068416012e-09, 3.180234094517202315e-10
2.067000000000000000e+03, 1.560930049426299706e-09, 3.410924422099085666e-10, 1.411226331214572335e-09, 2.922208891678042787e-09, 1.417406507753843917e-09, 3.431793687974223816e-09, 6.750355973315267394e-10, 2.036976274668339227e-09, 3.169721062209470302e-10
2.068000000000000000e+03, 1.601529816889198683e-09, 3.403065366306650940e-10, 1.279583293827642642e-09, 3.207168719813147226e-09, 1.381764173764024951e-09, 3.553025108935447105e-09, 6.715480172023248197e-10, 1.922999826925025086e-09, 3.162661370765658246e-10
2.069000000000000000e+03, 1.594542667215415230e-09, 3.387947594525792977e-10, 1.365352458438158971e-09, 3.296536512769288025e-09, 1.243207226536140195e-09, 2.800644488214584728e-09, 6.664511661535871456e-10, 1.995977842832048726e-09, 3.155679422393274848e-10
2.070000000000000000e+03, 1.574153316526734463e-09, 3.371296173846056215e-10, 1.387832405294877290e-09, 2.840565538651517581e-09, 1.241167482510004201e-09, 4.182730760895974085e-09, 6.598130347587036554e-10, 2.002172526157325252e-09, 3.155339738260246091e-10
2.071000000000000000e+03, 1.730347846720528790e-09, 3.364676003731163975e-10, 1.369593162771426288e-09, 3.285657645370756163e-09, 1.448195084580228946e-09, 3.534001274717848683e-09, 6.540997710784608717e-10, 1.868245441642542458e-09, 3.165585206096993866e-10
2.072000000000000000e+03, 1.672065531440465077e-09, 3.356377467326135200e-10, 1.536195125658575175e-09, 3.725463894886785606e-09, 1.429408808819294183e-09, 3.272673197582593009e-09, 6.577020756156456661e-10, 1.951800549889189635e-09, 3.158168616179101912e-10
2.073000000000000000e+03, 1.755657360861334011e-09, 3.309752993367768518e-10, 1.413191522910591639e-09, 3.447998429279566550e-09, 1.294757040090644552e-09, 3.498850508838565387e-09, 6.457990322268774366e-10, 1.873523696734010010e-09, 3.178358937006133310e-10
2.074000000000000000e+03, 1.504569053716829597e-09, 3.298494389768768344e-10, 1.379659611440489221e-09, 2.881724089636970357e-09, 1.392202288188940861e-09, 3.598792789374738267e-09, 6.648698797813919669e-10, 1.989330029059806792e-09, 3.180852357122550909e-10
2.075000000000000000e+03, 1.589262045693031212e-09, 3.286944602027518367e-10, 1.365056897414379902e-09, 2.681092684858760317e-09, 1.626832121917612064e-09, 3.342674094922565286e-09, 6.656805676585551335e-10, 2.066824259635046318e-09, 3.183564389288864482e-10
2.076000000000000000e+03, 1.613609859212928518e-09, 3.289859867752066986e-10, 1.334611464044963546e-09, 2.678809929757574533e-09, 1.532365650973996292e-09, 2.905961979040610586e-09, 6.651384068589157206e-10, 1.985102219794919246e-09, 3.186023725647350383e-10
2.077000000000000000e+03, 1.642789206829104521e-09, 3.285730099440079909e-10, 1.456428427349919845e-09, 2.697473450402600856e-09, 1.647206795382542737e-09, 3.522775873805023079e-09, 6.661661635144774675e-10, 1.968314998586997402e-09, 3.165883851902029252e-10
2.078000000000000000e+03, 1.401925258765067441e-09, 3.275740345883667730e-10, 1.525039718557656470e-09, 3.218779011003522965e-09, 1.463283726980575498e-09, 3.309859440445232416e-09, 6.618651714222075076e-10, 1.958036892439715857e-09, 3.166270390353515018e-10
2.079000000000000000e+03, 1.702231843351189646e-09, 3.269146224883548234e-10, 1.519408968944505328e-09, 3.366279974430466372e-09, 1.297701787783820896e-09, 3.529456542925051498e-09, 6.444416363176146988e-10, 1.920780286140745330e-09, 3.164248293230980852e-10
2.080000000000000000e+03, 1.733785395510006610e-09, 3.309770613271001014e-10, 1.512715087474710203e-09, 2.960220151931432388e-09, 1.523152378447528930e-09, 3.811398133944013740e-09, 6.349683401609048050e-10, 1.868762620539190397e-09, 3.163455517108868982e-10
2.081000000000000000e+03, 1.745365028624454610e-09, 3.293452470088499617e-10, 1.438820462636048818e-09, 2.840018013497719890e-09, 1.598134041046319934e-09, 3.553703827139443326e-09, 6.140527135816782381e-10, 1.877651992055545474e-09, 3.148878025481188725e-10
2.082000000000000000e+03, 1.620751978068877731e-09, 3.266238041175983589e-10, 1.300872354854627683e-09, 3.080354004773471184e-09, 1.173367946243549107e-09, 3.518057030348307096e-09, 6.048308426730503705e-10, 1.966784061824383234e-09, 3.133807685912970185e-10
2.083000000000000000e+03, 1.550771722672566815e-09, 3.276939533297299947e-10, 1.484861572578867643e-09, 2.700533013247800131e-09, 1.397904213362781639e-09, 3.167919949890681403e-09, 6.018197368612213681e-10, 2.108365801419543400e-09, 3.109997395971530030e-10
2.084000000000000000e+03, 1.650955915876769010e-09, 3.251626405122806730e-10, 1.507499423682037246e-09, 3.087290177199116372e-09, 1.426598105354346960e-09, 3.713690020856892020e-09, 6.198267665491488986e-10, 2.105009405750622658e-09, 3.080232922472407181e-10
2.085000000000000000e+03, 1.636744316142506790e-09, 3.234456940073397423e-10, 1.475038176260214567e-09, 3.441902996839959542e-09, 1.428559317543057839e-09, 3.326422688819310896e-09, 6.194613731218888729e-10, 1.958413604045060818e-09, 3.061446735097154580e-10
2.086000000000000000e+03, 1.586443365835345662e-09, 3.227831377671012864e-10, 1.400030113348923270e-09, 3.417392944142221678e-09, 1.402595396859897777e-09, 3.502750905078588285e-09, 6.217280613598980838e-10, 1.961844667566205757e-09, 3.043988047758985792e-10
2.087000000000000000e+03, 1.642719308360771131e-09, 3.218605559590163010e-10, 1.408311033860968604e-09, 2.796499492862920090e-09, 1.326160751912575714e-09, 3.055802801980595673e-09, 6.195607835711125563e-10, 1.740521140706276601e-09, 3.026917062868264863e-10
2.088000000000000000e+03, 1.486714489469967140e-09, 3.203096953335648619e-10, 1.270146817873273877e-09, 2.485481374966331688e-09, 1.414650410170459215e-09, 3.623595306143930248e-09, 6.103962745631861152e-10, 1.814587479364499448e-09, 3.017110721155385550e-10
2.089000000000000000e+03, 1.658091133930391774e-09, 3.189052246868641780e-10, 1.342088161842348708e-09, 2.899641565098539514e-09, 1.439970649218810777e-09, 3.641078776474322083e-09, 6.159479414629420700e-10, 1.730558802931595815e-09, 3.006744262487196810e-10
2.090000000000000000e+03, 1.699786816117813373e-09, 3.171111424844953536e-10, 1.429471951843677461e-09, 2.779370508129562330e-09, 1.357782471266493218e-09, 3.400355172714449245e-09, 6.155012102196759139e-10, 1.794456051849191425e-09, 3.002598003481686884e-10
2.091000000000000000e+03, 1.468764683760971834e-09, 3.267113349609657123e-10, 1.361392899209015451e-09, 3.367301987230812843e-09, 1.330454189637462602e-09, 3.190242651739122789e-09, 5.985730477241331808e-10, 1.826651674390327368e-09, 3.062168316333745115e-10
2.092000000000000000e+03, 1.510495940775957054e-09, 3.443770857670935358e-10, 1.393748789841399137e-09, 3.532549971975909323e-09, 1.363152302324644599e-09, 3.155383749010157496e-09, 6.101634877627004292e-10, 1.767832942750364526e-09, 3.159976874284035183e-10
2.093000000000000000e+03, 1.445653017949316565e-09, 3.430260467237381701e-10, 1.444265237428188676e-09, 2.989513061380655362e-09, 1.605043999090085511e-09, 3.427500829064056489e-09, 6.156874602206656564e-10, 1.792756094333220251e-09, 3.165286560417414378e-10
2.094000000000000000e+03, 1.490484400731493561e-09, 3.423703424468222160e-10, 1.577083404904209245e-09, 3.013477984087188243e-09, 1.757892894849606559e-09, 4.191221160846283652e-09, 6.126196196976894359e-10, 1.839627450845424287e-09, 3.162791031375037564e-10
2.095000000000000000e+03, 1.708011483724660869e-09, 3.419212973966468162e-10, 1.544325100637136353e-09, 3.783688108616528687e-09, 1.959226067323273455e-09, 3.096911544824820069e-09, 6.171194270261387484e-10, 1.942347008400675791e-09, 3.172326094056306573e-10
2.096000000000000000e+03, 1.656027106337686032e-09, 3.425876330358049523e-10, 1.342797469566588022e-09, 3.663736597081464598e-09, 1.775745194926679324e-09, 3.577969836808120856e-09, 6.318245985864543302e-10, 2.112969495610254894e-09, 3.184669864327501276e-10
2.097000000000000000e+03, 1.476525855240706777e-09, 3.396799082171374266e-10, 1.449570948231182293e-09, 2.998436061852654681e-09, 1.809284925972892717e-09, 3.240363898352794888e-09, 6.046241700887180079e-10, 2.097982840581645348e-09, 3.192899309031738909e-10
2.098000000000000000e+03, 1.712668268366617924e-09, 3.379328759217835291e-10, 1.388328402544724384e-09, 3.177372687485105360e-09, 1.873059021761913647e-09, 3.277177877455687681e-09, 6.080067901569162891e-10, 1.852000807630984612e-09, 3.197686618819992100e-10
2.099000000000000000e+03, 1.597843525038261056e-09, 3.358292979695441021e-10, 1.356651423926726438e-09, 2.983861643421742141e-09, 1.497828763842322234e-09, 4.025408360272564897e-09, 5.995667948512596088e-10, 1.842120272199446579e-09, 3.207711312500674860e-10
2.100000000000000000e+03, 1.513548374456331313e-09, 3.339774010045335818e-10, 1.308710374787013439e-09, 2.883229753327663338e-09, 1.235628113735400056e-09, 3.286328822909637872e-09, 6.033093367354338102e-10, 1.834758658471720753e-09, 3.214019711934474341e-10
