year, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, ACCESS-ESM1-5, INM-CM4-8, IPSL-CM6A-LR, CanESM5, GFDL-ESM4, CESM2-WACCM, CMCC-ESM2, EC-Earth3-Veg, TaiESM1, INM-CM5-0, MIROC-ES2L, CNRM-ESM2-1, NorESM2-LM
2.049000000000000000e+03, 1.613053753183259165e+00, 1.300378400711942772e+00, 1.251609441281263280e+00, 7.851724323248268078e-01, 1.576498778150112301e+00, 1.085829083623093494e+00, 1.246470176017483000e+00, 7.613648279772301519e-01, 1.136178109662288938e+00, 1.410082676858465112e+00, 1.779024211741778716e+00, 1.515428715247595592e+00, 1.524355662557554281e+00, 1.080213155175945072e+00, 1.406818965625858731e+00, 1.136003490850993503e+00
2.050000000000000000e+03, 1.567884237464076680e+00, 1.302785398156170116e+00, 1.257354407817361297e+00, 7.388519923376303256e-01, 1.565970218824566551e+00, 1.005726127015055926e+00, 1.278424122899547433e+00, 8.592420124519331015e-01, 1.200751301661040493e+00, 1.097987231302543387e+00, 1.780589834018282414e+00, 1.748632334807392441e+00, 1.523556115707600744e+00, 1.078730228346922893e+00, 1.474261873369993925e+00, 1.165565883546465065e+00
2.051000000000000000e+03, 1.527985601751583156e+00, 1.192589781628183410e+00, 1.243267246691255989e+00, 7.048419597213256838e-01, 1.611435442114166783e+00, 9.839577975963846868e-01, 1.336623338995032606e+00, 7.375001229737290220e-01, 1.199799762059077901e+00, 1.350229253051108635e+00, 1.806079511888880162e+00, 1.491729223079357958e+00, 1.485422058755241359e+00, 1.053416041772035516e+00, 1.521817155509177510e+00, 1.244462425115724358e+00
2.052000000000000000e+03, 1.554766788827329549e+00, 1.254113593173961760e+00, 1.302336953356165283e+00, 7.611274849474771731e-01, 1.612241270056045561e+00, 1.121387945400978747e+00, 1.322569710732009129e+00, 8.073441827250310565e-01, 1.205529801354821240e+00, 1.464853843596448213e+00, 1.773858636682984269e+00, 1.462686810256800696e+00, 1.542480822346308234e+00, 1.080359184397114980e+00, 1.566438735195529119e+00, 1.234868014298445393e+00
2.053000000000000000e+03, 1.615660600416105819e+00, 1.395772305039227001e+00, 1.305738749140985977e+00, 8.260300426783715455e-01, 1.637399908697730444e+00, 1.040317946896332169e+00, 1.245859083413092483e+00, 9.380854237092872694e-01, 1.157267434130991424e+00, 1.357279808423905276e+00, 1.822074450562338299e+00, 1.665591190453149073e+00, 1.532000138136241141e+00, 1.070705616591007381e+00, 1.505011581575731894e+00, 1.182283985901445789e+00
2.054000000000000000e+03, 1.592433066385766649e+00, 1.418499513685552271e+00, 1.274031531989972876e+00, 8.056418927984062561e-01, 1.673011450913572951e+00, 1.068902855216143033e+00, 1.218153245010420438e+00, 7.923547350089346075e-01, 1.090765717733595430e+00, 1.522240025419321130e+00, 1.836322097801217579e+00, 1.682868027353372486e+00, 1.499200649036966926e+00, 1.070183664072339447e+00, 1.492979300543102017e+00, 1.116621495043221390e+00
2.055000000000000000e+03, 1.538795514331448899e+00, 1.283666294769972849e+00, 1.266976767678574811e+00, 8.051288188915027844e-01, 1.672610132473370870e+00, 1.167407801430283998e+00, 1.202911677108696509e+00, 7.445148658699519695e-01, 1.174214319165714615e+00, 1.890694943234735081e+00, 1.700745682663391989e+00, 1.819473225080602941e+00, 1.566536409940870067e+00, 1.058260026091304873e+00, 1.496905139247028504e+00, 1.165112275660818542e+00
2.056000000000000000e+03, 1.499720188047012348e+00, 1.320705127558373881e+00, 1.303032417835791268e+00, 7.750616131696210775e-01, 1.610387356027262129e+00, 1.020710399220729814e+00, 1.243452000871658525e+00, 9.356205712951664033e-01, 1.291405946667308458e+00, 1.741703706809741403e+00, 1.734233753591551963e+00, 1.755110983711016814e+00, 1.465933600056735564e+00, 1.009562951152933152e+00, 1.531872494849698008e+00, 1.147413623683402273e+00
2.057000000000000000e+03, 1.531612207449607022e+00, 1.352994137187065515e+00, 1.277901120700530857e+00, 7.106805598818893843e-01, 1.596814164951695370e+00, 1.046101577294417551e+00, 1.294143954504487493e+00, 8.179877901336213286e-01, 1.302377898399625478e+00, 1.795343011861573412e+00, 1.748784145636619325e+00, 1.880977266248532676e+00, 1.570732726062251672e+00, 1.092556128969598417e+00, 1.877605465303903376e+00, 1.095124002155345666e+00
2.058000000000000000e+03, 1.547359642873137764e+00, 1.465156641626090162e+00, 1.237970023127124231e+00, 7.257783776456838698e-01, 1.612414115816401816e+00, 1.008768282407963346e+00, 1.208875374168282502e+00, 9.463680683882780276e-01, 1.202721089984926550e+00, 1.550689763511569286e+00, 1.678584880741169183e+00, 1.759706563352212205e+00, 1.538529925712783353e+00, 1.115213779895988910e+00, 1.554709888714753907e+00, 1.088328567017497805e+00
