year, ACCESS-ESM1-5, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, INM-CM4-8, CESM2-WACCM, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, INM-CM5-0, UKESM1-0-LL, MIROC-ES2L
2.036000000000000000e+03, 3.111079918724930948e+00, 2.270965776862166940e+00, 3.616063189249521415e+00, 2.237810091513209532e+00, 3.476108307928871266e+00, 3.536675294089975274e+00, 1.657332675843066205e+00, 3.484967614335512387e+00, 3.530107759139890611e+00, 2.417544451201089739e+00, 2.247292549578888465e+00, 2.547760864969818684e+00, 2.666799830773235680e+00, 3.900284578116643086e+00, 1.631984775760070727e+00, 3.603438669599890787e+00
2.037000000000000000e+03, 2.817075856152355673e+00, 2.158841431936485922e+00, 4.214812313799360055e+00, 2.269653759700807072e+00, 3.798313066618399958e+00, 2.957024185423331009e+00, 1.595151809364453666e+00, 2.795858996087708270e+00, 3.654279412482915657e+00, 1.587294464746132006e+00, 2.360745542938123887e+00, 2.615113047405919655e+00, 2.294710472580306249e+00, 3.327413398809547562e+00, 2.131404368039640396e+00, 3.062428708544285172e+00
2.038000000000000000e+03, 2.443892991645143731e+00, 2.357251117971797427e+00, 4.238609678488086452e+00, 2.310982244200133096e+00, 3.821141185935351459e+00, 2.653780893566771493e+00, 1.515461249305696700e+00, 3.104307460803828800e+00, 3.252091741545965586e+00, 2.508757865606565218e+00, 2.443345913401317571e+00, 3.045511145886334869e+00, 2.531012371369584013e+00, 3.909047152276060366e+00, 2.600802522023860863e+00, 3.188291111002167000e+00
2.039000000000000000e+03, 2.772670088547809275e+00, 2.206781299147551945e+00, 3.642255888079897641e+00, 2.561961321734256281e+00, 3.472856524124366739e+00, 3.092600345526802741e+00, 1.447279653583417591e+00, 2.437225741046422645e+00, 2.584450101331228655e+00, 2.726378406714282665e+00, 2.302225583233521444e+00, 2.798492932216935181e+00, 2.820919676166428580e+00, 3.484868870157784126e+00, 2.270860429021497318e+00, 3.721267403377891636e+00
2.040000000000000000e+03, 2.598944270795447320e+00, 2.114726173294817269e+00, 3.633257123730032401e+00, 2.246981785568677115e+00, 4.131273069741296489e+00, 2.649298836003086688e+00, 1.895029938302031258e+00, 3.119805865906750686e+00, 3.403122257816027840e+00, 2.587710241126480071e+00, 2.479622354419379171e+00, 2.318131107785511347e+00, 2.958092058497949761e+00, 3.086214977089294820e+00, 2.370382294318595928e+00, 3.457600174085240230e+00
2.041000000000000000e+03, 2.854725510758896245e+00, 2.174949989944932938e+00, 3.715515177209562481e+00, 2.070304851182908301e+00, 3.925081263411536181e+00, 3.857267175454240249e+00, 1.471656505896831835e+00, 2.643500472874251717e+00, 4.097511700233419596e+00, 2.836530615267950584e+00, 2.429822261550961926e+00, 2.844045698880086182e+00, 2.591669220349562597e+00, 3.573890296428179347e+00, 2.196220514870791174e+00, 3.647373482697966018e+00
2.042000000000000000e+03, 2.737162652078572567e+00, 2.184734596092285486e+00, 4.030154682354043949e+00, 2.316874131448153573e+00, 4.256244609078385643e+00, 2.523460461553346246e+00, 9.376560370171135306e-01, 3.040439571286748244e+00, 3.519915956819921199e+00, 1.665985005838219735e+00, 2.109241411547323697e+00, 2.655842223318927608e+00, 2.746889719970829091e+00, 3.558760132626640704e+00, 2.056293528643714730e+00, 3.421545079376435261e+00
2.043000000000000000e+03, 2.789829385193819178e+00, 2.528558824904798552e+00, 3.602698643149239377e+00, 2.435587155513885715e+00, 3.477470101937099933e+00, 2.943906447033223017e+00, 1.464373863998694958e+00, 3.087680913172103914e+00, 3.947917013302050915e+00, 2.915900408866597182e+00, 1.942680844990789302e+00, 2.509545414557611487e+00, 2.941746902659422958e+00, 3.531960165785060557e+00, 2.254821121268434592e+00, 3.232742798559683273e+00
2.044000000000000000e+03, 2.602832740780462117e+00, 2.402732118869828071e+00, 3.643294252749423201e+00, 2.271886689829458739e+00, 3.873174742347452515e+00, 3.390745591622700950e+00, 2.052533309299293229e+00, 3.031300468533460357e+00, 3.778068081720634019e+00, 3.082807088403009210e+00, 2.042713626153742190e+00, 3.008140887650748052e+00, 2.909570150492185370e+00, 3.229740904920236577e+00, 2.363973964351757218e+00, 3.496173358601901260e+00
2.045000000000000000e+03, 2.414175922815352315e+00, 2.225910716611114282e+00, 4.036627341049119799e+00, 2.166395914046289839e+00, 3.547024297822012340e+00, 2.692217757373550846e+00, 1.606793262267877553e+00, 2.902164617809521729e+00, 3.434085907624045308e+00, 2.851780452019653023e+00, 2.277046780020617778e+00, 2.394149798944913421e+00, 2.632543036279432425e+00, 3.489511862478371640e+00, 2.468479582219797130e+00, 3.533782613270158190e+00
2.046000000000000000e+03, 2.301175890426194748e+00, 2.485288227901011116e+00, 3.570266760549668739e+00, 2.487035972945769835e+00, 3.984486505323769912e+00, 2.892086495501498877e+00, 1.816527667690312153e+00, 2.907831729032425816e+00, 3.540501650036723458e+00, 2.890680679003076570e+00, 2.168294832755731871e+00, 2.423864110236469749e+00, 3.206775898680480630e+00, 3.274782626843842248e+00, 2.714668507652028939e+00, 3.213483917324874373e+00
2.047000000000000000e+03, 2.747637511016337797e+00, 2.354320347193486818e+00, 3.694321562864131270e+00, 2.377537980600938461e+00, 3.729690357189183292e+00, 2.492308818683895311e+00, 1.980528954071424597e+00, 2.588693871821440506e+00, 3.109097659488300636e+00, 2.468679133329219955e+00, 2.208084317320059498e+00, 2.437217301973053196e+00, 2.527481663596757855e+00, 3.129147805367050950e+00, 2.637549881271908703e+00, 3.299241249558910294e+00
2.048000000000000000e+03, 2.780154612617442567e+00, 2.369534296945558172e+00, 3.476497146195335120e+00, 2.087184844773527725e+00, 4.019575834268644066e+00, 2.684620111773356133e+00, 1.787589047576417789e+00, 2.909949492519234848e+00, 3.358827671343811883e+00, 2.385040982729517811e+00, 2.032346747904476114e+00, 3.341651248017817100e+00, 2.868334740247049375e+00, 3.145019839277158447e+00, 2.790257130866369284e+00, 3.392394023219620358e+00
2.049000000000000000e+03, 2.778739147728833458e+00, 2.302294527658533152e+00, 3.816023187832718655e+00, 2.322736042280789004e+00, 3.763096879702904296e+00, 2.509425479095782396e+00, 1.615189152213089008e+00, 2.257897658794784768e+00, 3.585896464628534730e+00, 2.487468260822988775e+00, 2.153043405688089162e+00, 2.994688006187203211e+00, 2.824216242108079644e+00, 3.575135916405846270e+00, 1.966120708475593171e+00, 3.314955459717933817e+00
2.050000000000000000e+03, 2.667202880233002560e+00, 2.280901559844243476e+00, 3.931945339967796382e+00, 2.700709595271065577e+00, 3.537807882737725507e+00, 3.208505649977910767e+00, 2.033432838950858468e+00, 2.925828605573495000e+00, 3.378825996743266558e+00, 3.192630455344049878e+00, 2.116936960173990467e+00, 2.733911083647813545e+00, 2.678605102609330046e+00, 3.237596224398688882e+00, 2.132847791794139081e+00, 3.079032134058238057e+00
2.051000000000000000e+03, 2.558390304830010287e+00, 2.204922917606944921e+00, 2.986869204430929514e+00, 2.392762845867880017e+00, 3.629387040577953361e+00, 2.356643930642308149e+00, 2.183041386291471042e+00, 2.615706790608379517e+00, 3.282631557922836674e+00, 3.372119703184454753e+00, 1.979140832058076338e+00, 3.053379115621457807e+00, 2.914347145527691918e+00, 3.027459360842581493e+00, 2.149293494149785211e+00, 3.453450288980186134e+00
2.052000000000000000e+03, 2.911068504244288757e+00, 2.305834256314622799e+00, 4.263561183960533185e+00, 2.038861876809069607e+00, 3.939443885753354913e+00, 3.102231263924203120e+00, 1.803682596476005928e+00, 2.934524517570642477e+00, 3.612360227544090918e+00, 2.202081673659568306e+00, 2.285738534624341067e+00, 3.123871706808463600e+00, 2.846052630117764437e+00, 3.787265223714537221e+00, 2.316889818424701097e+00, 3.647672421516946706e+00
