year, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1
2.044000000000000000e+03, 1.699561842479436249e-09, 2.546357355286402590e-10, 4.015932411929979877e-13, 1.771219577388383805e-09, 2.009693264583859374e-09, 2.728701059130997201e-09, 4.777321436658720346e-11, 3.313949858120016489e-09, 1.627433194256808966e-11
2.045000000000000000e+03, 1.772007430259047835e-09, 2.549218991111057895e-10, 3.620085313931140596e-13, 1.909521214529994707e-09, 2.084792023206672865e-09, 2.722488705056584215e-09, 4.961505483423283154e-11, 2.616234954222723213e-09, 1.583994214225863080e-11
2.046000000000000000e+03, 1.744085842228098454e-09, 2.546206034932828650e-10, 2.049240307356278072e-13, 1.666189373237249390e-09, 2.173612012259836716e-09, 2.721789204757740348e-09, 4.169950995248725967e-11, 2.989613295022202225e-09, 1.701461869400167243e-11
2.047000000000000000e+03, 1.741041417368143662e-09, 2.541051936015179084e-10, 1.713436818334173013e-13, 1.849159631300213832e-09, 2.161957753458699347e-09, 2.675665088111241402e-09, 3.911992262800345351e-11, 2.915617185403106703e-09, 1.777552495432105803e-11
2.048000000000000000e+03, 1.798427272015182372e-09, 2.541349664480153044e-10, 1.515013126300505093e-13, 1.909853165917970625e-09, 2.097673162571038096e-09, 2.624183486951670249e-09, 3.682205784915834927e-11, 2.712078350335457201e-09, 1.827417757069038962e-11
2.049000000000000000e+03, 1.727888515775479569e-09, 2.547562378665176778e-10, 1.356093440265068691e-13, 1.693205838001946746e-09, 2.134689898420881777e-09, 2.610451753959945985e-09, 3.830816579436858905e-11, 3.026952223838291481e-09, 1.839742978152007606e-11
2.050000000000000000e+03, 1.644353759522762088e-09, 2.548479950772617874e-10, 1.359726330294301406e-13, 1.746639471571650810e-09, 2.108097845150737955e-09, 2.578716747128509672e-09, 4.096505116866261924e-11, 2.829088899590196381e-09, 1.897015732935563876e-11
2.051000000000000000e+03, 1.758119926436714394e-09, 2.547805140131335060e-10, 2.088431469149555103e-13, 1.845738233960609483e-09, 2.058632210567235460e-09, 2.559277288651330816e-09, 3.975054270513552328e-11, 2.857461368290207621e-09, 1.802803097051400206e-11
2.052000000000000000e+03, 1.802173086818506929e-09, 2.552445517744477313e-10, 2.208960547230943050e-13, 1.643463211312448661e-09, 2.037287405029905084e-09, 2.513086824910007997e-09, 3.931166738188332041e-11, 3.365497779181056086e-09, 1.722167252245622404e-11
2.053000000000000000e+03, 1.797400400251760836e-09, 2.556399631331483875e-10, 2.417085100462553352e-13, 1.839022628827811303e-09, 2.146537035420683420e-09, 2.509635297734257778e-09, 3.857584433399005922e-11, 3.131413317923236460e-09, 1.601746148804328998e-11
