year, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, CanESM5, CMCC-ESM2, UKESM1-0-LL, MIROC-ES2L, MPI-ESM1-2-LR
2.059000000000000000e+03, -8.572092456191114228e-10, 1.251757278223025492e-09, 8.368391505945691681e-10, 5.841794247340969664e-10, -1.793309184777677087e-09, 1.178422542843637301e-10, -1.103182938977512068e-10, -9.926544864362635821e-10
2.060000000000000000e+03, -9.786857465900878715e-10, 6.328419747360226445e-10, -7.866469268715608832e-10, -2.704622846253649573e-09, -2.166955783440458356e-09, 9.678445371978026311e-10, 1.094046433337322407e-09, -1.056638542111191046e-09
2.061000000000000000e+03, -2.785025389352010682e-10, -3.527835322470759463e-10, 1.462666417993580265e-11, 2.003894072856154907e-09, -8.591547347232181038e-10, 7.514083247670896972e-10, 6.876578970129432063e-10, 1.353767634130313347e-09
2.062000000000000000e+03, 4.664322982933338910e-10, 1.582833537209132167e-09, 5.190546360971473944e-10, 3.257549001180381231e-09, 1.205806692148974633e-09, 2.616044257147363896e-10, 8.227351570567857517e-10, 8.010471778721985291e-10
2.063000000000000000e+03, 8.775535964665378962e-10, 1.174976328442891225e-10, 8.597735882466221912e-11, -7.847264716242592230e-10, -7.071126712609853049e-10, -5.449108259524711654e-10, -6.151145040923529817e-10, 2.121690018571275063e-09
2.064000000000000000e+03, -7.509829237574573406e-11, -1.432885192668636732e-10, -4.877261983762826201e-11, -5.025907377958681802e-10, 5.914673006972695122e-10, 5.341482533522372392e-10, -1.420278659909146832e-09, 9.234484050720328307e-10
2.065000000000000000e+03, -6.153102631164256413e-10, 3.422250823191630463e-10, -2.605632468692239309e-10, 1.826950627710352998e-09, -1.580318964561950189e-09, 7.760447908483180519e-10, 3.494931957651566093e-10, 9.298693786412787810e-12
2.066000000000000000e+03, -3.404008405676649502e-10, 1.004460054290363200e-09, -1.612772527134543172e-10, 1.335626239409747975e-09, 3.954705188646517205e-10, -3.837705184549029228e-10, 1.740216427938900454e-09, 6.942608218069665067e-10
2.067000000000000000e+03, -6.843119034754837919e-11, 2.183691328983313875e-10, 1.724741783681409555e-09, 4.109300392847630518e-10, 5.914219803536254414e-10, 4.649075481872232392e-10, 4.795441480584167059e-10, -6.911558619824069767e-10
2.068000000000000000e+03, -2.067432095709896576e-10, -3.139050899407390758e-10, -1.525727641682575628e-09, 8.808624608609223381e-10, -6.965703591375665582e-10, 2.689219016542470469e-10, -2.994485796651408138e-10, 7.085681009549294338e-10
