year, EC-Earth3-Veg, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, CanESM5, NorESM2-LM, CNRM-ESM2-1, IPSL-CM6A-LR, NorESM2-MM, CMCC-CM2-SR5, TaiESM1, MIROC-ES2L, ACCESS-ESM1-5
2.063000000000000000e+03, 1.037867209430116011e+00, 9.177399180438424731e-01, 5.780100892472407992e+00, 7.314163728311415813e-01, 6.530567136468826916e+00, 7.542444084073874899e-01, 7.459899882137814409e+00, 2.336551603024362045e+00, 7.831724188385584817e-01, 1.216681811259617163e+00, 2.408381319342735027e-01, 4.951694406490164013e+00, 7.615062471677128686e-01
2.064000000000000000e+03, 1.062129718560662184e+00, 9.796347762541883775e-01, 5.880133027489111264e+00, 7.688879251597628972e-01, 6.586182925803038657e+00, 6.869782342461006053e-01, 7.485241682317423262e+00, 2.311605731483367787e+00, 7.595091711504280418e-01, 1.819928983434377257e+00, 4.539182080672254371e-01, 4.915407931781873074e+00, 7.646437236262921822e-01
2.065000000000000000e+03, 1.063787148199526023e+00, 1.012508930920096306e+00, 5.877342831046175498e+00, 7.554080912273769544e-01, 6.466641014996667991e+00, 7.454397468239430946e-01, 7.514783058040206853e+00, 2.301426851395447226e+00, 6.895146832345142585e-01, 1.715102046714232387e+00, 2.695740538539190823e-01, 4.875652169758265764e+00, 7.948941168078902386e-01
2.066000000000000000e+03, 1.096199844011013669e+00, 1.004279391717377568e+00, 5.884351215383181177e+00, 6.988735071463745285e-01, 6.700028875976686393e+00, 7.734849037552558038e-01, 7.456976868464253450e+00, 2.300155374288552768e+00, 7.374449134419518437e-01, 1.280301033562712520e+00, 3.691215146737386599e-01, 4.889923631601135412e+00, 8.043151571815251311e-01
2.067000000000000000e+03, 1.050280283546103588e+00, 9.978658542946449161e-01, 5.896236359280488060e+00, 7.470512724047019271e-01, 6.833508339662439646e+00, 6.799939960980206921e-01, 7.406913399722204971e+00, 2.294799076771792734e+00, 8.012034158770998671e-01, 1.004748415093284386e+00, 3.486536373002630529e-01, 4.901689226621809503e+00, 7.902468967922097187e-01
2.068000000000000000e+03, 1.002385158399515142e+00, 1.004565093546440968e+00, 5.859958860172313599e+00, 7.842028810724989141e-01, 6.880228933747124742e+00, 6.864153778807819961e-01, 7.498352754372531237e+00, 2.297042393352691558e+00, 7.366509089074138039e-01, 1.513707118389401307e+00, 3.815909407076761850e-01, 4.898415521321623167e+00, 7.971499639156901518e-01
2.069000000000000000e+03, 9.981328159954514501e-01, 9.975688259960900917e-01, 5.909441276857134717e+00, 7.056550683094775511e-01, 6.962927296409783473e+00, 7.305204882103297770e-01, 7.467871156148050638e+00, 2.343490847302563740e+00, 7.102381184837375239e-01, 1.625996598660715886e+00, 3.222861542929969514e-01, 4.861150371276411697e+00, 7.957356947682627801e-01
2.070000000000000000e+03, 1.052683407314615183e+00, 9.816536094460605044e-01, 5.952744197477185750e+00, 6.625476641745424722e-01, 6.725024032571002230e+00, 7.217284443609768285e-01, 7.395935565060979933e+00, 2.364050011526144690e+00, 7.507762535036049956e-01, 1.456295039354296161e+00, 2.419446093408537946e-01, 4.907748538282681317e+00, 7.977730899183983482e-01
2.071000000000000000e+03, 1.094131098747188613e+00, 1.054127406809163059e+00, 5.965539208964263374e+00, 6.958206349754779696e-01, 6.662634711533837795e+00, 6.803299161623882485e-01, 7.444477428725400969e+00, 2.327409558139054813e+00, 7.833689293506440610e-01, 1.602318385416909852e+00, 4.204250475579970892e-01, 4.921510873486004911e+00, 7.993112831183816214e-01
2.072000000000000000e+03, 1.078890510626284716e+00, 1.047355043911207373e+00, 5.975547871887891382e+00, 6.712850390666196265e-01, 6.769535966295388896e+00, 7.317614706863125873e-01, 7.497726138066540535e+00, 2.363889583161895569e+00, 7.497928939949060068e-01, 1.318904584998232821e+00, 4.886332016830043368e-01, 4.943866637716213042e+00, 8.091919945753449639e-01
2.073000000000000000e+03, 1.056079770596399792e+00, 1.110326865751285030e+00, 5.909713517639822555e+00, 6.802054348149247920e-01, 6.674305628877093888e+00, 7.580379428364715233e-01, 7.474747990194117619e+00, 2.430424740887466850e+00, 7.116555590677307030e-01, 1.356699059990726930e+00, 2.910578344542215645e-01, 4.994485658875713163e+00, 8.074747149984718986e-01
2.074000000000000000e+03, 1.095483647955180828e+00, 1.084650562866614321e+00, 5.879395105419829903e+00, 7.634242374830231270e-01, 6.675135698057832911e+00, 7.966824591443703030e-01, 7.433591400648978720e+00, 2.452472324219777899e+00, 6.971219103764324521e-01, 1.320617762702300357e+00, 2.414944442147491932e-01, 4.969549939026747687e+00, 7.824529837984047775e-01
2.075000000000000000e+03, 1.089688586889819399e+00, 1.028884517496855722e+00, 5.950517994222908946e+00, 7.545666546026342791e-01, 6.745806622241200756e+00, 7.068386428047165326e-01, 7.448442879310387177e+00, 2.443282349095455608e+00, 7.493126715484166311e-01, 1.237259356737435256e+00, 4.457596359799199659e-01, 4.929373671453504357e+00, 7.703107447504002891e-01
2.076000000000000000e+03, 1.057188375907435862e+00, 1.032685486316149870e+00, 5.960397402891951302e+00, 7.860273231134072836e-01, 6.824023369397468564e+00, 7.403817388954345713e-01, 7.418551191795972777e+00, 2.388700335026835209e+00, 7.691782007078082906e-01, 1.210018897959823647e+00, 3.222597405730341924e-01, 4.960167615558552789e+00, 7.778384990695509371e-01
2.077000000000000000e+03, 1.057251819095737178e+00, 1.062279277053978843e+00, 5.995949379354580167e+00, 7.572153686478698686e-01, 6.705939615542968468e+00, 7.739961699086059799e-01, 7.462706007829385868e+00, 2.367469039866252789e+00, 7.374956252509259347e-01, 1.834710619931170239e+00, 3.164247394412456060e-01, 4.986342588414919952e+00, 7.614354341427567174e-01
2.078000000000000000e+03, 1.100547401667287151e+00, 1.016239307034915829e+00, 6.052639827676493667e+00, 6.613831981989948261e-01, 6.809188881527328263e+00, 7.188514516721299374e-01, 7.455647198746619075e+00, 2.367806233222150780e+00, 7.924238590465817467e-01, 1.505579169472914591e+00, 3.533556919383641359e-01, 4.992802543708673824e+00, 7.556858882502406338e-01
2.079000000000000000e+03, 1.061233893009257745e+00, 1.031480510129394679e+00, 6.041333155065483851e+00, 7.779519179533119777e-01, 6.530971335346686502e+00, 7.102457015773414595e-01, 7.422789704998033145e+00, 2.391937567084324368e+00, 7.435045854391659770e-01, 1.361135736729420564e+00, 3.684000015651968662e-01, 4.984570384417484235e+00, 7.607573501375297642e-01
2.080000000000000000e+03, 1.065492743991398150e+00, 1.087140822910199534e+00, 6.047638832739724357e+00, 7.438756440116691682e-01, 6.579181393698471325e+00, 7.186847645765075399e-01, 7.432970880004424075e+00, 2.425705781864289978e+00, 7.221332316106527927e-01, 1.342063659668617959e+00, 3.462116407798699891e-01, 4.958928938971439493e+00, 7.760653408854394364e-01
2.081000000000000000e+03, 1.060659775862539345e+00, 1.075858205946502943e+00, 6.022223638245548294e+00, 6.915944367517097291e-01, 6.561338170489459110e+00, 7.282508450352487284e-01, 7.479779186820431747e+00, 2.398936962851841770e+00, 7.322697506393642808e-01, 9.895810004621427014e-01, 2.333355421367216687e-01, 4.977656781203900316e+00, 7.850011541456003439e-01
2.082000000000000000e+03, 1.061357606566188272e+00, 1.050118713561077222e+00, 6.032113753385945465e+00, 7.328912928056325882e-01, 6.578196206513603705e+00, 7.447760859728638216e-01, 7.493694602736603372e+00, 2.395878427123610432e+00, 7.528865016733791160e-01, 1.419290590605723157e+00, 3.306462267541883659e-01, 5.004699000853493729e+00, 7.836481073176821965e-01
2.083000000000000000e+03, 1.076778556203821458e+00, 1.015600188636422097e+00, 6.086537767629958573e+00, 7.939164603901577300e-01, 6.447223681458878808e+00, 7.501983880153084705e-01, 7.418386318043410199e+00, 2.379092220987311990e+00, 7.377241693328385752e-01, 1.782680039551461482e+00, 3.483095262193708352e-01, 5.064145681909530516e+00, 7.897732286271700319e-01
2.084000000000000000e+03, 1.020182021057137955e+00, 1.031160587826828623e+00, 6.157699730258624271e+00, 7.658232486612898127e-01, 6.579173812071878125e+00, 6.957195559794615569e-01, 7.437618686115273547e+00, 2.372156688767650401e+00, 7.535835324270739877e-01, 1.441899449943535583e+00, 3.041014987682196802e-01, 5.025419622840072265e+00, 7.691326189279281689e-01
2.085000000000000000e+03, 1.028007522545948849e+00, 1.017268637435737810e+00, 6.157541632529003550e+00, 7.380679504305627248e-01, 6.683131860201033447e+00, 6.447919965235422435e-01, 7.495637702415058001e+00, 2.403330337942896300e+00, 8.107986093878368772e-01, 1.166471597441457453e+00, 4.114757977584682092e-01, 4.976850907776187327e+00, 7.525061707190227045e-01
2.086000000000000000e+03, 1.048319991964802522e+00, 9.946668134004477135e-01, 6.191591361451773246e+00, 7.825841727066343845e-01, 6.506291423502939431e+00, 6.545804784252232666e-01, 7.413367525842113892e+00, 2.435851074317842535e+00, 7.790836031271511919e-01, 1.634418834735170911e+00, 3.595623698713989458e-01, 4.965119706111869036e+00, 7.415820025992719833e-01
2.087000000000000000e+03, 1.048500234002502252e+00, 9.995545195132904404e-01, 6.154958107590257299e+00, 6.892050409690119173e-01, 6.506718638897144302e+00, 6.803839442674164406e-01, 7.396407482948886170e+00, 2.473728760066475463e+00, 7.101046966281877593e-01, 1.434391692214126435e+00, 2.807419408482875745e-01, 5.023996456125054522e+00, 7.378513835468820670e-01
2.088000000000000000e+03, 1.025356206774027612e+00, 9.619061041965026870e-01, 6.183486254750704347e+00, 7.443541616238317227e-01, 6.357098415610724196e+00, 7.979370321674338351e-01, 7.365882218613390542e+00, 2.413396998068825017e+00, 7.341141998734863616e-01, 1.249635847410807576e+00, 4.222894445708090805e-01, 4.998148909706380927e+00, 7.201612346821342214e-01
2.089000000000000000e+03, 1.003591791862897376e+00, 9.384036449798959234e-01, 6.105792261034478585e+00, 7.275166259380770883e-01, 6.410483758445640667e+00, 8.691214455490907653e-01, 7.346145778073154275e+00, 2.383134202450114536e+00, 7.269666603229600899e-01, 1.379703527026183485e+00, 2.399682210585610820e-01, 4.955208211167525967e+00, 7.191472850504568859e-01
