year, GFDL-ESM4, CNRM-ESM2-1, TaiESM1, NorESM2-LM, NorESM2-MM
2.032000000000000000e+03, 1.205823932948236013e-10, 1.253112602562905990e-10, 1.874270399543105398e-10, 1.889328209601708727e-10, 4.025333232904958441e-10
2.033000000000000000e+03, 1.242177455452402066e-10, 1.211345377112640205e-10, 1.816280291562955862e-10, 1.661986761890102693e-10, 3.182194747293261874e-10
2.034000000000000000e+03, 1.246219929885085859e-10, 1.077739519896527589e-10, 2.859372046889529533e-10, 2.164872780018477527e-10, 2.257471768237513486e-10
2.035000000000000000e+03, 1.522232664797707301e-10, 1.373348496593910384e-10, 2.959907223346469484e-10, 1.771429445015351295e-10, 2.316832369142062188e-10
2.036000000000000000e+03, 1.070597475795839800e-10, 1.258243842436207257e-10, 3.239456543893504394e-10, 1.709637606182011817e-10, 2.089490316741236123e-10
2.037000000000000000e+03, 1.214815753728119449e-10, 1.536704783579599566e-10, 2.233377202592309885e-10, 2.891754660473413915e-10, 2.514309334010427714e-10
2.038000000000000000e+03, 1.310983358427772259e-10, 1.504180353215451300e-10, 2.069263210557871467e-10, 1.949795611063923907e-10, 1.608036249850363757e-10
2.039000000000000000e+03, 1.444828486055395749e-10, 1.695752977917817447e-10, 2.029310122016499153e-10, 1.527206513529137501e-10, 2.681855765253002326e-10
2.040000000000000000e+03, 1.420610216821321267e-10, 1.056869553880826336e-10, 3.309574108610081163e-10, 1.885964940570282408e-10, 2.759268399473365467e-10
2.041000000000000000e+03, 1.066515834602763970e-10, 1.682544587678729667e-10, 4.332789748353876056e-10, 1.887712045471247948e-10, 3.118026994160757635e-10
2.042000000000000000e+03, 1.366335491432069338e-10, 1.296542616732717788e-10, 2.216941625095990897e-10, 2.343450529466515853e-10, 3.277607992467033252e-10
2.043000000000000000e+03, 1.492971696430023657e-10, 1.370656436586437487e-10, 3.525317180340081798e-10, 1.605808332031920697e-10, 2.894033787580954979e-10
2.044000000000000000e+03, 1.287166643030150340e-10, 1.293916519105732477e-10, 3.894406638833662640e-10, 2.525417299196133907e-10, 3.343658963920253076e-10
2.045000000000000000e+03, 1.724971804968591917e-10, 1.933549577123364026e-10, 3.036213935318792054e-10, 1.755510971136226507e-10, 3.447498923890852236e-10
2.046000000000000000e+03, 1.361198759581677933e-10, 1.447554716107499191e-10, 2.934552733880340366e-10, 2.515620447576603979e-10, 2.961101978686565370e-10
2.047000000000000000e+03, 1.331060327695537084e-10, 1.629531276599830532e-10, 2.652458134891858981e-10, 2.266958720661229035e-10, 2.750619328354422164e-10
2.048000000000000000e+03, 1.482311906841612819e-10, 1.199473521916575474e-10, 3.285566052914419659e-10, 1.635810526176074302e-10, 1.740966553753564543e-10
2.049000000000000000e+03, 1.645799810642153467e-10, 1.818629223387324765e-10, 3.373997784284510782e-10, 1.856037369496056138e-10, 1.703426691043626761e-10
2.050000000000000000e+03, 1.591478947608162224e-10, 1.618721585888415448e-10, 2.414688943814433169e-10, 1.814382238972359192e-10, 3.008506078446903670e-10
2.051000000000000000e+03, 1.671816439784181635e-10, 1.620356551807225456e-10, 4.719200079145820361e-10, 1.458435776608867303e-10, 2.561087743569709676e-10
2.052000000000000000e+03, 1.295324476490440249e-10, 1.494570036054949437e-10, 2.990117984739049051e-10, 2.016177807239222693e-10, 2.241619478725199046e-10
2.053000000000000000e+03, 1.346778397984604043e-10, 1.193184464413389354e-10, 2.540206535871568914e-10, 2.537737054370144645e-10, 1.851503697076930562e-10
2.054000000000000000e+03, 2.045505398390083275e-10, 1.060819263032456378e-10, 2.831972110404634405e-10, 3.133245383991527275e-10, 3.375092375101743947e-10
2.055000000000000000e+03, 1.698525838232979675e-10, 1.636279542778837816e-10, 1.892425758712286821e-10, 1.988570909343706951e-10, 2.613630059020193251e-10
2.056000000000000000e+03, 1.262516031599532381e-10, 1.539818754594253382e-10, 2.436153919555613860e-10, 1.942020813396729215e-10, 1.944114769325368264e-10
2.057000000000000000e+03, 2.257964515630707463e-10, 1.430767311127196098e-10, 1.560165178004345486e-10, 3.221868103236122953e-10, 2.794840044524134710e-10
2.058000000000000000e+03, 1.632973626771201329e-10, 1.394394032652382389e-10, 2.579786255435129786e-10, 2.353313673481629280e-10, 2.472417329065114294e-10
2.059000000000000000e+03, 2.034652263747668879e-10, 1.176597957598242536e-10, 3.960085074274541719e-10, 2.488610856189473867e-10, 2.595833127850620710e-10
2.060000000000000000e+03, 1.869372319192089411e-10, 1.523662288086463449e-10, 1.739018914907171965e-10, 1.639596671242476883e-10, 2.024428014507894802e-10
2.061000000000000000e+03, 1.287094355211307176e-10, 1.790909452395146392e-10, 2.812587450112442918e-10, 1.669524648574834986e-10, 2.452954630282336844e-10
2.062000000000000000e+03, 1.272032446569085816e-10, 1.394979030997346084e-10, 2.628125416595116531e-10, 1.962015222968116274e-10, 3.337472280117814691e-10
2.063000000000000000e+03, 1.311287215821449211e-10, 1.346434033707007521e-10, 1.371028120892730199e-10, 1.981058860152488337e-10, 3.053034855470306017e-10
2.064000000000000000e+03, 2.245120699581531669e-10, 1.683828024586838180e-10, 2.574202342815553692e-10, 1.604425560005302157e-10, 2.001812649131017561e-10
2.065000000000000000e+03, 1.898574841605552908e-10, 1.317514972460581231e-10, 2.294563282443753400e-10, 2.863345048513215657e-10, 2.419925259606006446e-10
2.066000000000000000e+03, 1.951166302555809994e-10, 1.162513901304640897e-10, 2.840551738769874559e-10, 1.504747454956592027e-10, 2.546015941860803349e-10
2.067000000000000000e+03, 2.236927091029497731e-10, 1.334038752590329469e-10, 2.959495591009776149e-10, 1.483198395346341289e-10, 3.359441234408928636e-10
2.068000000000000000e+03, 1.975525046745106819e-10, 1.889530482822105854e-10, 3.173687402801261957e-10, 1.737928920918909423e-10, 2.651207219988797918e-10
2.069000000000000000e+03, 1.632983805137781534e-10, 1.264863939028036092e-10, 2.572094504775109615e-10, 2.025335461581421367e-10, 1.433708598393205510e-10
2.070000000000000000e+03, 1.496175340444797577e-10, 9.848172795166317858e-11, 1.456990638936659331e-10, 2.443147895101198534e-10, 2.526920418413210235e-10
2.071000000000000000e+03, 2.224254066116264427e-10, 1.504907950906374259e-10, 2.371380206561965789e-10, 2.322651963126681020e-10, 2.960533626047940776e-10
2.072000000000000000e+03, 1.540726014200686942e-10, 1.548684955288617708e-10, 3.057232177759081271e-10, 2.812765947697602372e-10, 2.703763217928321349e-10
2.073000000000000000e+03, 2.378978584097837422e-10, 1.328364363385315896e-10, 3.099696402876570881e-10, 2.189401303140956583e-10, 2.417456396570670309e-10
2.074000000000000000e+03, 2.001644209235528430e-10, 1.476221098584824703e-10, 1.653570231234985617e-10, 2.477001741446609049e-10, 1.603725943050015987e-10
2.075000000000000000e+03, 2.201656348306905991e-10, 1.585909790999255327e-10, 3.048229366627229177e-10, 1.488859141112646546e-10, 2.729726877265990129e-10
2.076000000000000000e+03, 1.327770638321929363e-10, 1.493679908044186829e-10, 2.731823174776013615e-10, 2.027802922627501577e-10, 2.918139200165807185e-10
2.077000000000000000e+03, 1.977899142113642258e-10, 1.260971515628257083e-10, 3.023268505532263637e-10, 2.009160037136495717e-10, 2.737133398093990979e-10
2.078000000000000000e+03, 1.792413283877369673e-10, 1.347869532984000546e-10, 2.917731071730507672e-10, 2.711118603536725697e-10, 4.187319182139738337e-10
2.079000000000000000e+03, 1.916799403489516684e-10, 1.135482104343845013e-10, 3.237956468344472808e-10, 2.564676262079772527e-10, 3.383283614805872703e-10
2.080000000000000000e+03, 2.323731410107338754e-10, 1.788274629298227274e-10, 5.916539645174736003e-10, 2.064158876799028949e-10, 4.217111280163973712e-10
2.081000000000000000e+03, 2.001904469464771381e-10, 1.372308476596004687e-10, 3.411220371481637256e-10, 3.506139938876898205e-10, 3.400587427586392611e-10
2.082000000000000000e+03, 2.359249511840516345e-10, 1.515858672424574059e-10, 4.029584055033348020e-10, 4.422336117523365139e-10, 4.654933843938994286e-10
2.083000000000000000e+03, 1.791075635011253354e-10, 1.277359876692425009e-10, 3.425386074280640195e-10, 3.877753750561383732e-10, 4.281368686825784385e-10
2.084000000000000000e+03, 1.618083698325123249e-10, 1.404544772748871455e-10, 1.926743721360145834e-10, 2.652594205111807371e-10, 3.716697864223232012e-10
2.085000000000000000e+03, 1.833742672985058020e-10, 2.426043694773402917e-10, 2.841915607474788642e-10, 2.803500437032826817e-10, 5.724244102026426794e-10
2.086000000000000000e+03, 1.353067775003070004e-10, 1.131214341408695111e-10, 3.335248389419902992e-10, 2.131996630811920330e-10, 3.419724041986745929e-10
2.087000000000000000e+03, 1.909824676084940709e-10, 1.670315516340776905e-10, 2.957946669615709010e-10, 2.403553470542979643e-10, 1.908852238718045134e-10
2.088000000000000000e+03, 1.768734632409958092e-10, 1.825279600294854480e-10, 4.862351282092754522e-10, 3.772689256103657685e-10, 2.543512570655533926e-10
2.089000000000000000e+03, 1.574360038761240115e-10, 1.147520524463826925e-10, 2.788260496704729471e-10, 3.912339048391776596e-10, 3.549040530468832697e-10
2.090000000000000000e+03, 1.461992604580129126e-10, 1.428127092632854650e-10, 3.148116911811163618e-10, 2.837130972275786019e-10, 3.273744274310052297e-10
2.091000000000000000e+03, 2.299312250522948533e-10, 1.177998006054825702e-10, 3.705805334883029060e-10, 2.659990573967970705e-10, 3.374904119957355685e-10
2.092000000000000000e+03, 1.532035324433450478e-10, 2.015239855379907602e-10, 2.217721998897822196e-10, 2.270022836236251616e-10, 2.589346730072592408e-10
2.093000000000000000e+03, 1.859620670219761284e-10, 1.211748486975231668e-10, 3.409968515666197374e-10, 1.583406904894859275e-10, 3.474057928165740306e-10
2.094000000000000000e+03, 1.580313823414303838e-10, 1.476170145315480177e-10, 4.702318161189385450e-10, 2.579535499681695916e-10, 3.448602593132796769e-10
2.095000000000000000e+03, 1.222715065495244490e-10, 9.740326235571460195e-11, 4.488320877418056590e-10, 1.855678996267102835e-10, 2.592280817645424802e-10
2.096000000000000000e+03, 1.821016022408525351e-10, 1.719891920129907335e-10, 4.356036580416645756e-10, 2.509569502832345408e-10, 2.923672584424129507e-10
2.097000000000000000e+03, 1.664196458523460842e-10, 2.012233990771497222e-10, 5.267100345094053667e-10, 2.418454645699401236e-10, 3.664391357720554886e-10
2.098000000000000000e+03, 2.071665234894458540e-10, 1.057863439039098663e-10, 2.701976047147809792e-10, 2.947742169903478927e-10, 4.522970136694476411e-10
2.099000000000000000e+03, 2.075255498952671306e-10, 1.691040141128491943e-10, 3.618575812460303952e-10, 2.247079926804834618e-10, 2.891066609457478107e-10
2.100000000000000000e+03, 1.725535851521176709e-10, 1.307536215906972014e-10, 3.042888338925193847e-10, 2.698891150000440709e-10, 3.020287555595313084e-10
