year, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4
2.086000000000000000e+03, 7.354456169282285632e-11, 6.215618331944839028e-10, 9.201242082926588503e-11
2.087000000000000000e+03, 6.857342932789965273e-11, 6.126094195840776836e-10, 1.117820783632421988e-10
2.088000000000000000e+03, 6.964022138549409216e-11, 5.858683095590805596e-10, 9.085839922245570817e-11
2.089000000000000000e+03, 7.278662224627892962e-11, 6.321409915040143411e-10, 9.258672045718893519e-11
2.090000000000000000e+03, 7.122727995332866301e-11, 6.582450013335283007e-10, 1.033580937483332493e-10
2.091000000000000000e+03, 6.869715892157840603e-11, 6.248438989215615057e-10, 1.048634104785362670e-10
2.092000000000000000e+03, 5.714342287605171018e-11, 5.676880466096490197e-10, 1.006024677770330362e-10
2.093000000000000000e+03, 8.009884118219346703e-11, 6.655960296289939372e-10, 7.370655945979375323e-11
2.094000000000000000e+03, 7.585903999020465507e-11, 6.613607406144886619e-10, 1.191687686167692328e-10
2.095000000000000000e+03, 6.777835976471126083e-11, 7.540902829484163633e-10, 1.122588695197455690e-10
2.096000000000000000e+03, 6.407049580076903248e-11, 8.159728042526246466e-10, 1.173176396014586905e-10
2.097000000000000000e+03, 7.217768045756861226e-11, 6.478312124167925572e-10, 9.590661222033572875e-11
2.098000000000000000e+03, 7.376785511729425308e-11, 6.009448245454348704e-10, 1.017606756712406282e-10
2.099000000000000000e+03, 7.224044097324668170e-11, 6.604397916319213056e-10, 1.009384276907829942e-10
2.100000000000000000e+03, 6.667989186706752453e-11, 7.603173812635447820e-10, 8.804115004401997244e-11
