year, UKESM1-0-LL, EC-Earth3-Veg, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM
2.033000000000000000e+03, 1.348514373799668124e-04, 1.208833534371382169e-02, 1.241534183441795648e-02, 1.915987636030582197e-01, 3.833777789051216467e-01, 2.401245781015581560e-01, 8.326191480917067844e-01, 1.202392413792715331e+00, 5.953061454049674017e-01
2.034000000000000000e+03, 1.339016103570367941e-04, 1.217165860295633256e-02, 1.240047822826651804e-02, 1.924406038340272518e-01, 3.828627155793462578e-01, 2.431264352492701064e-01, 8.529767636555959376e-01, 1.208304675178261345e+00, 6.052410397813544618e-01
2.035000000000000000e+03, 1.327548441036603786e-04, 1.225653026747772559e-02, 1.230327428772260388e-02, 1.934304507137763751e-01, 3.822697674247502175e-01, 2.459407368266332272e-01, 8.605193644535377162e-01, 1.209595391081898619e+00, 6.040556642844723267e-01
2.036000000000000000e+03, 1.268283853520467397e-04, 1.230812080081905742e-02, 1.143307994978168263e-02, 1.938006663524505790e-01, 3.816967412382331060e-01, 2.422149772267474244e-01, 8.352254654016162405e-01, 1.209939912064837308e+00, 6.035296940071950278e-01
2.037000000000000000e+03, 1.238652150322866485e-04, 1.238465759062859668e-02, 1.060257004741614953e-02, 1.940440977526590449e-01, 3.812266609069726031e-01, 2.395860565391052799e-01, 8.209724559177743464e-01, 1.210103519959691898e+00, 6.059628334915955206e-01
2.038000000000000000e+03, 1.400528195586078480e-04, 1.247940292192044852e-02, 9.793109598387876938e-03, 1.940705684993994096e-01, 3.805533801722817411e-01, 2.374176375215469037e-01, 8.288618304782006119e-01, 1.209086389768196268e+00, 6.043474739260311646e-01
2.039000000000000000e+03, 1.469625703312801618e-04, 1.258245440203025443e-02, 8.998321371287887685e-03, 1.939797615177761003e-01, 3.797891065606094907e-01, 2.353054128062746497e-01, 8.438150408117122137e-01, 1.208700917358181526e+00, 5.992733270582636385e-01
2.040000000000000000e+03, 1.442318872796645988e-04, 1.264080536058364776e-02, 8.172382598372142370e-03, 1.945803948777161396e-01, 3.792056153077691949e-01, 2.334308727231035330e-01, 8.458650966840022267e-01, 1.210384774843978439e+00, 5.909282899049115301e-01
2.041000000000000000e+03, 1.517555557789795873e-04, 1.271325684254542496e-02, 8.230041492691244145e-03, 1.944298548601337551e-01, 3.789200819277375176e-01, 2.348920497470039503e-01, 8.407483278309125785e-01, 1.214590434716264156e+00, 5.978477801951043169e-01
2.042000000000000000e+03, 1.437750024133462544e-04, 1.282396973566428226e-02, 8.292626256619072336e-03, 1.945153778676188272e-01, 3.790483026186788895e-01, 2.346241410067831379e-01, 8.442026981349822767e-01, 1.218278229293088044e+00, 5.918305034194654146e-01
2.043000000000000000e+03, 1.368507746182694228e-04, 1.297750795324706732e-02, 8.396405102157566275e-03, 1.946571901659983617e-01, 3.795416171392732019e-01, 2.348737857926516681e-01, 8.275056421846995747e-01, 1.217793074789320640e+00, 5.899658681034221086e-01
2.044000000000000000e+03, 1.339662298673853101e-04, 1.321503452770690645e-02, 8.518386012660823098e-03, 1.953408060730593143e-01, 3.800032228858979400e-01, 2.361675883851301339e-01, 8.020393068243454326e-01, 1.215275704699701587e+00, 5.866684526775935993e-01
2.045000000000000000e+03, 1.273241567871197483e-04, 1.333678040340764356e-02, 8.835646856716387887e-03, 1.961638777471736983e-01, 3.803110184287379347e-01, 2.375207243208024011e-01, 8.118115838828552366e-01, 1.213927093084170572e+00, 5.888160747239571391e-01
2.046000000000000000e+03, 1.047500195159199249e-04, 1.346456545504855044e-02, 8.737947490394878600e-03, 1.957282793626249906e-01, 3.803692947283894843e-01, 2.348619556826768151e-01, 8.231483226507440021e-01, 1.214349099534501208e+00, 5.852070345260317330e-01
2.047000000000000000e+03, 9.970777527497616066e-05, 1.359895352872689429e-02, 8.577834524973078356e-03, 1.957579196978644909e-01, 3.802121574021294914e-01, 2.330240276466113425e-01, 8.213520142767389842e-01, 1.210004624092836600e+00, 5.831482299809096492e-01
2.048000000000000000e+03, 9.625094817445818717e-05, 1.374339755547833962e-02, 8.407819790304828927e-03, 1.958763681623504338e-01, 3.799608819565046258e-01, 2.309343019514965289e-01, 8.119953203401820696e-01, 1.201536634422976535e+00, 5.852716931418714408e-01
2.049000000000000000e+03, 9.340008687994957133e-05, 1.385173005560080307e-02, 8.249546273274371844e-03, 1.961744278719869117e-01, 3.799170045289438358e-01, 2.302193400161351711e-01, 8.160028013908240396e-01, 1.196019550375493123e+00, 5.794897100757394615e-01
2.050000000000000000e+03, 9.299224001067801912e-05, 1.392368608902587630e-02, 8.005682543839216792e-03, 1.966613550450818926e-01, 3.795987370543830730e-01, 2.304424392767480401e-01, 8.120686937607086708e-01, 1.189457437244019422e+00, 5.727557336925862552e-01
2.051000000000000000e+03, 1.020537971180415971e-04, 1.387946073708808473e-02, 7.662803820361004103e-03, 1.965288255337022671e-01, 3.791030208520116962e-01, 2.295465500149566074e-01, 8.049859890672815821e-01, 1.184261300755960367e+00, 5.779024242726068517e-01
2.052000000000000000e+03, 1.026647044816678714e-04, 1.385612372691186547e-02, 7.440826887109282944e-03, 1.961499522023452124e-01, 3.788997905621809270e-01, 2.287998907698244322e-01, 8.018173784314535091e-01, 1.175679222320506812e+00, 5.788727630480681174e-01
2.053000000000000000e+03, 1.046940919526165390e-04, 1.383425630952476483e-02, 7.272651029263898365e-03, 1.964835824913886142e-01, 3.786667216362067934e-01, 2.278933262135860449e-01, 8.150818114521308777e-01, 1.170856339288207426e+00, 5.772444505302105622e-01
2.054000000000000000e+03, 1.062271333600374207e-04, 1.386069784375878154e-02, 7.115091429277600917e-03, 1.960604829353292111e-01, 3.787055086248506952e-01, 2.271931895122405176e-01, 8.393350983228712314e-01, 1.168758705747236837e+00, 5.715665054395534517e-01
2.055000000000000000e+03, 1.022571889215572518e-04, 1.384184164038555070e-02, 7.008080063279816148e-03, 1.962668155188300179e-01, 3.792991372696232211e-01, 2.259822115175409984e-01, 8.441487020053181078e-01, 1.165459293075782110e+00, 5.738912329069321139e-01
2.056000000000000000e+03, 8.852376228530775808e-05, 1.373966315609526437e-02, 6.760576934949891724e-03, 1.966716870085880309e-01, 3.793788799316102911e-01, 2.366007325946270501e-01, 8.228310981051291106e-01, 1.156910170709409158e+00, 5.711106952914003498e-01
2.057000000000000000e+03, 8.148203876963649832e-05, 1.372598387520238168e-02, 6.531322886529405437e-03, 1.964839409785976154e-01, 3.788313623593330126e-01, 2.335164849323782821e-01, 8.253260827486076368e-01, 1.148715503977537189e+00, 5.689293703884731324e-01
2.058000000000000000e+03, 7.801798137655334051e-05, 1.365002040489954327e-02, 6.325240118276639553e-03, 1.966715684357812355e-01, 3.784480866864091686e-01, 2.430680855463366596e-01, 8.326721191182391291e-01, 1.144854503722291916e+00, 5.628287222014155544e-01
2.059000000000000000e+03, 7.756099940803107371e-05, 1.355517244858931401e-02, 6.116301111244045428e-03, 1.964553002068388232e-01, 3.796160448522701292e-01, 2.395604180029321795e-01, 8.268779004186762593e-01, 1.141544624669191821e+00, 5.732242517219210409e-01
2.060000000000000000e+03, 7.938215948952132787e-05, 1.343117195829696478e-02, 5.883068888194610720e-03, 1.964344584739678712e-01, 3.814534264592537860e-01, 2.480138431853469161e-01, 7.968532076697544264e-01, 1.136975214574774684e+00, 5.718196490754560157e-01
2.061000000000000000e+03, 9.515527194053949691e-05, 1.328905049999581055e-02, 5.424857154637341937e-03, 1.968624887549451641e-01, 3.826927996464740134e-01, 2.442054156089057682e-01, 7.912467302289143412e-01, 1.135010452492140942e+00, 5.724063617906210988e-01
2.062000000000000000e+03, 1.048755312650346378e-04, 1.311986044207606901e-02, 5.018813738531082216e-03, 1.971460794015738316e-01, 3.836120018223929118e-01, 2.409838468283584667e-01, 8.112469894639046109e-01, 1.134508076845806235e+00, 5.758791198826365143e-01
2.063000000000000000e+03, 9.985359341600930506e-05, 1.297677335051429341e-02, 4.654935880517042761e-03, 1.966184440370584430e-01, 3.844430871816198469e-01, 2.386484852107972066e-01, 8.439255409192042423e-01, 1.132130528743580111e+00, 5.747567024716900841e-01
2.064000000000000000e+03, 1.009774654439876923e-04, 1.287465136180472938e-02, 4.333641240553629155e-03, 1.964738222974566073e-01, 3.850784891010162747e-01, 2.371740689706992866e-01, 8.506301704465183411e-01, 1.125066388835621600e+00, 5.691376317592045098e-01
2.065000000000000000e+03, 1.034194031758138950e-04, 1.264590212175860547e-02, 4.060041707281555716e-03, 1.963218219114892804e-01, 3.852975165068536212e-01, 2.357422187521088230e-01, 8.417414316328236668e-01, 1.118286928867048724e+00, 5.727222462006998915e-01
2.066000000000000000e+03, 8.655412799021121480e-05, 1.258681872122318669e-02, 3.838193528679299284e-03, 1.959448647449025804e-01, 3.850370203086901366e-01, 2.332343528395338372e-01, 8.446039828704680064e-01, 1.115739323908524705e+00, 5.685206989476827566e-01
2.067000000000000000e+03, 7.765947471994139940e-05, 1.257297633025024342e-02, 3.649773018289924082e-03, 1.958639302171394647e-01, 3.846054073147872066e-01, 2.308613723819643859e-01, 8.250735736916577912e-01, 1.117017502012862318e+00, 5.666674787028321836e-01
2.068000000000000000e+03, 7.372747789535662297e-05, 1.257836166700369157e-02, 3.497370998667947897e-03, 1.955787901991079547e-01, 3.845427913621787264e-01, 2.294167887658662697e-01, 8.089194208397388897e-01, 1.115983832334166426e+00, 5.570358802938235598e-01
2.069000000000000000e+03, 7.060949501773959580e-05, 1.257983156739998255e-02, 3.360840353770299868e-03, 1.953742715288159792e-01, 3.845611530812511614e-01, 2.274512072190242873e-01, 8.181767146546754521e-01, 1.113119824852802253e+00, 5.609503049400448305e-01
2.070000000000000000e+03, 7.479378320445503967e-05, 1.258146953807813204e-02, 3.256887636394372940e-03, 1.948071980315745633e-01, 3.842984043638993374e-01, 2.262342761260096591e-01, 8.183706216549311296e-01, 1.112874204152768387e+00, 5.609256974210362623e-01
2.071000000000000000e+03, 7.818907247945809712e-05, 1.263099136278911933e-02, 3.739663438420108652e-03, 1.941150979002823351e-01, 3.838706865448037187e-01, 2.255913876682859587e-01, 7.994666167215701558e-01, 1.110990015108465290e+00, 5.585433963495411991e-01
2.072000000000000000e+03, 7.877100542646797232e-05, 1.259087712605699849e-02, 4.349351823974267721e-03, 1.940591760245458652e-01, 3.834043351165991043e-01, 2.247715667489922076e-01, 8.097294164164480224e-01, 1.112890361337199652e+00, 5.675893722920257733e-01
2.073000000000000000e+03, 7.649448684373235047e-05, 1.256854088775960672e-02, 4.883336748668669000e-03, 1.940472928120791640e-01, 3.836727047933661816e-01, 2.237875270192303534e-01, 7.989417938025702437e-01, 1.113448287724275065e+00, 5.583428611005089026e-01
2.074000000000000000e+03, 7.555576956883033684e-05, 1.248224984763176594e-02, 5.344125591720465945e-03, 1.940094627250767700e-01, 3.843009837035912812e-01, 2.230057785796416558e-01, 8.144006888034711622e-01, 1.112245643212434798e+00, 5.546867818872344147e-01
2.075000000000000000e+03, 8.108629039564644269e-05, 1.243936991340801289e-02, 5.748212567686971156e-03, 1.935205457686614006e-01, 3.845155376316338192e-01, 2.222274192353729527e-01, 8.248129485342998723e-01, 1.108230112935396416e+00, 5.524208195047795034e-01
2.076000000000000000e+03, 8.463685259494284168e-05, 1.226800747626022661e-02, 6.730896490827560120e-03, 1.935596055180093533e-01, 3.847146395881362313e-01, 2.203968575736207358e-01, 8.140093621642994215e-01, 1.102653998379476086e+00, 5.500229181472565676e-01
2.077000000000000000e+03, 8.535880483406425379e-05, 1.222830421404880186e-02, 7.682407404933372028e-03, 1.938584351121152571e-01, 3.850096710557778246e-01, 2.191151482481741297e-01, 8.114571186588928065e-01, 1.098825843445432993e+00, 5.569583658315894192e-01
2.078000000000000000e+03, 8.864642010052746284e-05, 1.218507213739100994e-02, 8.510858148330711914e-03, 1.941164014947847072e-01, 3.847484035907622335e-01, 2.176612398313740593e-01, 8.092823069456618335e-01, 1.095600984608088746e+00, 5.604007731884453891e-01
2.079000000000000000e+03, 8.380842548454365637e-05, 1.210980646787933497e-02, 9.213582049710580812e-03, 1.943902782886540725e-01, 3.839542082721739691e-01, 2.159810935554168365e-01, 8.037907529421547403e-01, 1.090177135765489469e+00, 5.590934537274669935e-01
2.080000000000000000e+03, 8.423165301899085140e-05, 1.205199364212183009e-02, 9.741853175717265362e-03, 1.946100149284233083e-01, 3.836763172062991889e-01, 2.292950121997239521e-01, 7.966620607430521250e-01, 1.085118296346639033e+00, 5.583447001018526645e-01
2.081000000000000000e+03, 8.944748724983760395e-05, 1.196984530840715724e-02, 1.216807241999267805e-02, 1.944854894567563663e-01, 3.840010435353746199e-01, 2.256951700412880846e-01, 7.972338952794426614e-01, 1.082203887515374552e+00, 5.538334240227920091e-01
2.082000000000000000e+03, 9.258869655603244628e-05, 1.188923772673099871e-02, 1.422621401073235689e-02, 1.945134769311191725e-01, 3.844516898675560124e-01, 2.239175789529980198e-01, 8.087901526428556975e-01, 1.080034838208261405e+00, 5.448461800396735555e-01
2.083000000000000000e+03, 9.495682557587277809e-05, 1.186501835227895055e-02, 1.604285563977798576e-02, 1.947152859306270078e-01, 3.846546471436486647e-01, 2.360854432953958526e-01, 8.272088145177348695e-01, 1.077004733202992393e+00, 5.558788699350344364e-01
2.084000000000000000e+03, 9.337545173652173091e-05, 1.186002012022104209e-02, 1.763793704316832245e-02, 1.945986161816529447e-01, 3.845569138303073231e-01, 2.324932599484186568e-01, 8.260779507208395600e-01, 1.072980771881920870e+00, 5.566047837569770840e-01
2.085000000000000000e+03, 8.966685425482950422e-05, 1.181769079943162555e-02, 1.889923947699558709e-02, 1.948283822246978936e-01, 3.842699566557976620e-01, 2.433259777771834553e-01, 8.062618161589505394e-01, 1.069057810429193012e+00, 5.536799936446648029e-01
2.086000000000000000e+03, 8.284918349027826175e-05, 1.181117255685048412e-02, 1.810501938217040294e-02, 1.951745900184235216e-01, 3.840896753735219549e-01, 2.394715388735567385e-01, 8.068378293847702221e-01, 1.066740574257085905e+00, 5.478264074389441740e-01
2.087000000000000000e+03, 7.956621843506386359e-05, 1.180575051272510050e-02, 1.731826750340125995e-02, 1.955332850427874969e-01, 3.838045988489514060e-01, 2.491210649407276656e-01, 7.764594489528396926e-01, 1.063782038662651308e+00, 5.472169901059014130e-01
2.088000000000000000e+03, 7.871975697778792343e-05, 1.184104626528841540e-02, 1.650530733696977878e-02, 1.952534949530379538e-01, 3.835342613075822804e-01, 2.446931869487012912e-01, 7.859152030724418925e-01, 1.060026744648287833e+00, 5.374155479521609546e-01
2.089000000000000000e+03, 7.909007286236608705e-05, 1.192643610579177497e-02, 1.578987853933595462e-02, 1.950356288470575516e-01, 3.836331303671363657e-01, 2.533523374122512162e-01, 7.737320061757824163e-01, 1.056927658935325365e+00, 5.406400572344016719e-01
2.090000000000000000e+03, 8.211579805964647986e-05, 1.214546198734058405e-02, 1.493973418679047857e-02, 1.951781630266270773e-01, 3.836352491756245819e-01, 2.490173150459240037e-01, 7.814666733253913256e-01, 1.060963554247523977e+00, 5.448807574817280397e-01
2.091000000000000000e+03, 1.183164532131761863e-04, 1.220926874337731685e-02, 1.465282790644483954e-02, 1.947225758046403632e-01, 3.836993735107377401e-01, 2.566164459221838556e-01, 7.849546428203767467e-01, 1.062598498985463769e+00, 5.404072152084845593e-01
2.092000000000000000e+03, 1.493214913901106788e-04, 1.224850399304584433e-02, 1.444225962957411402e-02, 1.948967858969194999e-01, 3.845069421167086055e-01, 2.525711066097409141e-01, 7.762710141082199700e-01, 1.059846956421784725e+00, 5.445758677205027043e-01
2.093000000000000000e+03, 1.632738575544823883e-04, 1.234888830008601217e-02, 1.427594315417375984e-02, 1.947095029290820678e-01, 3.855767087964019901e-01, 2.600621412295913704e-01, 7.785548461521830665e-01, 1.054966639189117261e+00, 5.491930754710766527e-01
2.094000000000000000e+03, 1.694239496034230562e-04, 1.252768324702575702e-02, 1.416081322486410950e-02, 1.945569861813113699e-01, 3.865081440929869494e-01, 2.560861569676902150e-01, 7.841478958149444844e-01, 1.050985905748061500e+00, 5.585091822025310959e-01
2.095000000000000000e+03, 1.616194282528216584e-04, 1.263872132119452096e-02, 1.426067817926842014e-02, 1.942468164048378187e-01, 3.875917923687721700e-01, 2.632549517372834158e-01, 7.968218852873563129e-01, 1.042607587049314111e+00, 5.573021514161811130e-01
2.096000000000000000e+03, 1.043630898289925416e-04, 1.267111669684943716e-02, 1.430771413167831324e-02, 1.948216008568134927e-01, 3.886315867691657600e-01, 2.583531173475010490e-01, 8.192354961944018354e-01, 1.034429667009631126e+00, 5.457043450330519851e-01
2.097000000000000000e+03, 7.770463202821099023e-05, 1.263224019688190779e-02, 1.434575580091099894e-02, 1.954274470081066306e-01, 3.893246041899059984e-01, 2.540597672163651954e-01, 8.167428871349958763e-01, 1.024024141225114315e+00, 5.530488184770298021e-01
2.098000000000000000e+03, 6.733012063982307649e-05, 1.262590091340130144e-02, 1.427892281348912100e-02, 1.955029032123304644e-01, 3.899658816264849892e-01, 2.508982096775587145e-01, 7.828857324341721435e-01, 1.014203120553275994e+00, 5.496318911114906891e-01
2.099000000000000000e+03, 6.337424706600046408e-05, 1.266807585121084920e-02, 1.421632278047409333e-02, 1.956116767806036216e-01, 3.909056276221274939e-01, 2.478453477222946622e-01, 7.809340976153595903e-01, 1.009450360170175420e+00, 5.476843882381647877e-01
2.100000000000000000e+03, 5.934837856128313225e-05, 1.269619350738907838e-02, 1.407941127710718096e-02, 1.960582901760579977e-01, 3.728053477527376036e-01, 2.450906699270720690e-01, 7.787829203436731351e-01, 1.009051660258534211e+00, 5.445900869760128549e-01
