year, TaiESM1, UKESM1-0-LL, CMCC-CM2-SR5, MIROC-ES2L, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CanESM5, GFDL-ESM4, INM-CM4-8, EC-Earth3-Veg, NorESM2-MM, ACCESS-ESM1-5, CNRM-ESM2-1, INM-CM5-0, NorESM2-LM
2.056000000000000000e+03, 4.299466849712031191e+00, 2.943933507601302679e+00, 3.586732443324899489e+00, 3.313050126525669992e+00, 3.699299700811846670e+00, 3.069642569615912642e+00, 6.101332849742244768e+00, 7.137696142923649845e+00, 2.179625682280960319e+00, 5.881312115476410973e+00, 5.292211078493181731e+00, 3.592463083260218681e+00, 2.302688445332271350e+00, 4.298875737238573080e+00, 5.135676423663509738e+00, 3.075149396205228314e+00
2.057000000000000000e+03, 4.694692759630554768e+00, 3.033917650705030056e+00, 4.251919378180550879e+00, 3.557902543296705300e+00, 3.400980704150597944e+00, 3.463145388671080571e+00, 5.945065827630198640e+00, 7.447801618573282489e+00, 2.034108056586044988e+00, 5.883161379541831160e+00, 5.214061500484864276e+00, 3.305243387018914625e+00, 1.997054094934341828e+00, 5.298252409038182620e+00, 5.870903709677611104e+00, 2.792301528106350794e+00
2.058000000000000000e+03, 4.139016440387412565e+00, 2.813251250505533374e+00, 3.109565449369249723e+00, 3.666729657031817080e+00, 3.030646781609878104e+00, 3.114208655639551626e+00, 6.761105062406958410e+00, 7.031077130536115938e+00, 2.346759088825879136e+00, 5.987152766394078007e+00, 5.235535172103648272e+00, 3.227099433364312375e+00, 2.062641044729142337e+00, 4.192079589441758181e+00, 5.465611445126887347e+00, 2.826252547355948774e+00
2.059000000000000000e+03, 3.957141912423974173e+00, 3.143473666806103406e+00, 3.663365634291782857e+00, 3.415065305034766130e+00, 3.668652011971448967e+00, 2.924774660080820432e+00, 5.556190139598336408e+00, 7.222896872381496358e+00, 2.004708854437716514e+00, 6.174064022261964269e+00, 5.108253244122357373e+00, 3.300240385883475014e+00, 2.129665153768191210e+00, 4.670194610134694280e+00, 5.312087093737971166e+00, 2.464198402354198514e+00
2.060000000000000000e+03, 4.703880796319030999e+00, 3.393966422104898406e+00, 3.695062468253365040e+00, 3.653799340397898110e+00, 3.416992420769495276e+00, 3.539425035009558851e+00, 5.426813824353708959e+00, 7.651776962342062838e+00, 1.880985013415317209e+00, 6.226940871485565410e+00, 5.282914514641555925e+00, 3.534301648323211698e+00, 2.060947053182095257e+00, 3.873068064958075762e+00, 5.711363103069145630e+00, 2.860020993116994426e+00
2.061000000000000000e+03, 4.395361791811360774e+00, 3.233132773669971094e+00, 4.114882519914594639e+00, 3.565808463069640943e+00, 3.276500540171951137e+00, 3.780629497207874223e+00, 5.899641671751797212e+00, 7.270544458775198393e+00, 1.983139159275101537e+00, 6.406556996896775047e+00, 5.996219782893776440e+00, 3.240118918235659340e+00, 1.974171710854112582e+00, 4.162406109238149909e+00, 5.892146559455469834e+00, 2.869674945752263451e+00
2.062000000000000000e+03, 4.276679125546280602e+00, 3.147495994195968372e+00, 4.693672291530122997e+00, 3.579397659137932841e+00, 3.751981925562806630e+00, 3.385383710944801283e+00, 6.424111816859903179e+00, 7.216635004086244365e+00, 2.146305896669678859e+00, 6.062265318770252875e+00, 5.541616270485606677e+00, 3.155524734832049649e+00, 2.073849288298370563e+00, 4.319066870797804825e+00, 5.038515058869706742e+00, 2.811848205167342130e+00
2.063000000000000000e+03, 4.871519895780045850e+00, 2.707731200150146567e+00, 4.736167385547534359e+00, 3.394665168497273289e+00, 3.419853603571471723e+00, 3.273539361454449459e+00, 7.132243947286236008e+00, 7.181722507373978104e+00, 2.346562457283515091e+00, 6.400099441202733885e+00, 5.561204872448596070e+00, 3.135436966557894944e+00, 2.102554569651811089e+00, 4.406858398759227136e+00, 5.417374295480138713e+00, 2.874862353966582518e+00
2.064000000000000000e+03, 4.063746198602761872e+00, 3.254683036008555685e+00, 3.514191448153047848e+00, 3.237941516969600642e+00, 3.074151671876513614e+00, 3.392752932129123433e+00, 6.253019082286344066e+00, 7.094264906128244341e+00, 2.268110175378819982e+00, 6.263064137829294609e+00, 5.732269552904806886e+00, 3.283022725808796061e+00, 2.348468146347007846e+00, 4.097603183984031006e+00, 5.594375691764630787e+00, 3.029225028303287104e+00
2.065000000000000000e+03, 4.630857767842545769e+00, 3.428788313076942540e+00, 3.193013736866378238e+00, 3.475332288769880318e+00, 3.244832232577095965e+00, 3.251965023009995015e+00, 6.602980224506888263e+00, 7.417664546124882463e+00, 2.100655722485179400e+00, 6.056184337914191751e+00, 5.335465069791410109e+00, 3.449140017275333925e+00, 2.374531074105506789e+00, 3.887574154868642218e+00, 5.541283163065495287e+00, 2.766286054691399876e+00
