year, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR
2.032000000000000000e+03, 4.444789617319393607e-10, 1.475748780401040053e-09, 6.124776318796825385e-11, -2.889668638494831708e-09
2.033000000000000000e+03, 4.414354042170115438e-10, 1.520427250834840350e-09, 6.100447279282853116e-11, -3.115384996582806865e-09
2.034000000000000000e+03, 4.397454394698011231e-10, 1.370717026679768575e-09, 6.129209851933393365e-11, -3.001762213696000042e-09
2.035000000000000000e+03, 4.399623766915678926e-10, 1.322199390701915706e-09, 6.292267497227238945e-11, -3.239327146045621456e-09
2.036000000000000000e+03, 4.337289718329776672e-10, 9.007938729258769188e-10, 3.681925795183825543e-11, -2.970345260324655738e-09
2.037000000000000000e+03, 4.339052823125212507e-10, 9.956216340209722552e-10, 3.604302133852335368e-11, -2.753367680681978134e-09
2.038000000000000000e+03, 4.322202287854814916e-10, 1.602649065337061122e-09, 3.453469604179367443e-11, -2.435892804345379951e-09
2.039000000000000000e+03, 4.294451871207565251e-10, 1.630851757560699785e-09, 3.402641504626650202e-11, -3.344267077622034712e-09
2.040000000000000000e+03, 4.275736231953896063e-10, 1.450922655383542483e-09, 3.206106743955847102e-11, -3.601518910519553478e-09
2.041000000000000000e+03, 4.326752030037475439e-10, 1.548323902329690386e-09, 4.777651828844116421e-11, -3.002182328026042972e-09
2.042000000000000000e+03, 4.330522645015177780e-10, 1.266129369276157134e-09, 4.857903315665826862e-11, -3.306378676807206731e-09
2.043000000000000000e+03, 4.308801588896420191e-10, 1.404102064929029493e-09, 4.905950550186326176e-11, -3.435908044112989678e-09
2.044000000000000000e+03, 4.291955709011876253e-10, 1.400240142659967920e-09, 4.922272728672961240e-11, -3.595328875820529548e-09
2.045000000000000000e+03, 4.275185763208610261e-10, 1.603384900594282751e-09, 5.256163837773945786e-11, -2.900865857670924399e-09
2.046000000000000000e+03, 4.203200877157250116e-10, 1.767477585618071294e-09, 4.298924121880251304e-11, -3.268785540728515155e-09
2.047000000000000000e+03, 4.165621423539677638e-10, 1.616700921568330692e-09, 4.427187931106107387e-11, -3.194233073749697674e-09
2.048000000000000000e+03, 4.154715049164577540e-10, 1.794594876142735340e-09, 4.353962026907931298e-11, -2.988878844637779932e-09
2.049000000000000000e+03, 4.137418599359765035e-10, 1.566268711550963909e-09, 4.362936459559498902e-11, -3.303740416994140444e-09
2.050000000000000000e+03, 4.127466953059164206e-10, 1.348584503437378294e-09, 4.378419871950625658e-11, -3.107590466415851473e-09
2.051000000000000000e+03, 4.045098734480625981e-10, 1.270793621655565092e-09, 3.280800700704111723e-11, -3.133876942646490290e-09
2.052000000000000000e+03, 4.025373643868889584e-10, 1.301987728795610748e-09, 3.292760525276225512e-11, -3.638309416756203290e-09
2.053000000000000000e+03, 4.015716041362580609e-10, 1.579126830344263108e-09, 3.212436499020207221e-11, -3.407237570306951881e-09
2.054000000000000000e+03, 3.996615760739363739e-10, 1.450516262038450919e-09, 3.062441695792060852e-11, -3.314068865119386691e-09
2.055000000000000000e+03, 3.978227321837934085e-10, 1.258356999009815032e-09, 2.931694667615321044e-11, -3.724905639223093076e-09
2.056000000000000000e+03, 3.954690785644996669e-10, 1.277488513969863389e-09, 3.058120795663264468e-11, -3.172887615485229126e-09
2.057000000000000000e+03, 3.938613979915614814e-10, 1.418840986537914851e-09, 3.048984575674663952e-11, -3.187717278892647639e-09
2.058000000000000000e+03, 3.923478406962817505e-10, 1.268859838293733616e-09, 3.060280230462808374e-11, -3.161675735419998795e-09
2.059000000000000000e+03, 3.938381612472239920e-10, 1.361038664822112984e-09, 2.965293358603462834e-11, -2.666226557161825222e-09
2.060000000000000000e+03, 3.948399398666621505e-10, 1.580904903206217092e-09, 2.788001697619214745e-11, -3.254196826444948886e-09
2.061000000000000000e+03, 3.932498911220666625e-10, 1.558640507547035912e-09, 1.626004669926888713e-11, -3.548144850555684227e-09
2.062000000000000000e+03, 3.921861561057729250e-10, 1.470019661244407403e-09, 1.605883019430212211e-11, -3.353543340947962601e-09
2.063000000000000000e+03, 3.931217097968225215e-10, 1.136006980140107106e-09, 1.526688150853386943e-11, -3.160354307369566189e-09
2.064000000000000000e+03, 3.920400498251480683e-10, 1.449314078934190406e-09, 1.478985824658533901e-11, -3.164885890354944348e-09
2.065000000000000000e+03, 3.901247009211701905e-10, 1.697623471572312277e-09, 1.404100889005519840e-11, -3.164160411055190391e-09
2.066000000000000000e+03, 3.910303913771720436e-10, 1.266798739886269470e-09, 1.444205847222428306e-11, -3.037113220818349159e-09
2.067000000000000000e+03, 3.901634605627910258e-10, 1.417406507753843917e-09, 1.396294600406296951e-11, -3.194547526599651430e-09
2.068000000000000000e+03, 3.877927026922800515e-10, 1.381764173764024951e-09, 1.385852481040130117e-11, -3.478029650158647994e-09
2.069000000000000000e+03, 3.860489318581847999e-10, 1.243207226536140195e-09, 1.261591468534359345e-11, -3.568479943771343275e-09
2.070000000000000000e+03, 3.857230917694957195e-10, 1.241167482510004201e-09, 1.184732382178217718e-11, -3.113719873077955517e-09
2.071000000000000000e+03, 3.858650484777151750e-10, 1.448195084580228946e-09, 3.113572694214223544e-11, -3.556390148253317980e-09
2.072000000000000000e+03, 3.842520905430153235e-10, 1.429408808819294183e-09, 3.748820399175291400e-11, -3.994804945408227180e-09
2.073000000000000000e+03, 3.831805638752551709e-10, 1.294757040090644552e-09, 3.854186777252373140e-11, -3.718991365228856864e-09
2.074000000000000000e+03, 3.816926516236606434e-10, 1.392202288188940861e-09, 3.944411150366034539e-11, -3.155341492704775348e-09
2.075000000000000000e+03, 3.793327535680923965e-10, 1.626832121917612064e-09, 4.103383842430080728e-11, -2.949880066644493717e-09
2.076000000000000000e+03, 3.891650480893553033e-10, 1.532365650973996292e-09, 3.878749840393359879e-11, -2.947297394843497039e-09
2.077000000000000000e+03, 3.885202534883931573e-10, 1.647206795382542737e-09, 4.127386473650566620e-11, -2.967003046978884869e-09
2.078000000000000000e+03, 3.886246229190059748e-10, 1.463283726980575498e-09, 4.254912521824679341e-11, -3.487403535857879666e-09
2.079000000000000000e+03, 3.881911876766530500e-10, 1.297701787783820896e-09, 4.367724237770751073e-11, -3.637290497967975935e-09
2.080000000000000000e+03, 3.860284591735181741e-10, 1.523152378447528930e-09, 4.494490944485178041e-11, -3.230293330472337258e-09
2.081000000000000000e+03, 3.989330668227208020e-10, 1.598134041046319934e-09, 7.775458916138105940e-11, -3.114083232498119964e-09
2.082000000000000000e+03, 3.999100348612145183e-10, 1.173367946243549107e-09, 7.679061546000466429e-11, -3.354398629724145414e-09
2.083000000000000000e+03, 3.984660041442874037e-10, 1.397904213362781639e-09, 7.891094810815493135e-11, -2.976797549234981538e-09
2.084000000000000000e+03, 3.961305061746951439e-10, 1.426598105354346960e-09, 8.172314003037917076e-11, -3.358827044862061471e-09
2.085000000000000000e+03, 3.953755316931308448e-10, 1.428559317543057839e-09, 8.239940605892056687e-11, -3.712829267154843362e-09
2.086000000000000000e+03, 3.903125457508176601e-10, 1.402595396859897777e-09, 6.156646382003737229e-11, -3.685867867920247118e-09
2.087000000000000000e+03, 3.885243039253699260e-10, 1.326160751912575714e-09, 6.231907605731276694e-11, -3.069063899715728785e-09
2.088000000000000000e+03, 3.899211384442034404e-10, 1.414650410170459215e-09, 6.228484437915990371e-11, -2.754186468055426769e-09
2.089000000000000000e+03, 3.856687386500506438e-10, 1.439970649218810777e-09, 6.858479859532754908e-11, -3.167082441361993720e-09
2.090000000000000000e+03, 3.859345002869054421e-10, 1.357782471266493218e-09, 6.949980323186120895e-11, -3.049192357723486107e-09
2.091000000000000000e+03, 3.733649677066687419e-10, 1.330454189637462602e-09, 8.770988105971161179e-11, -3.633819982213218596e-09
2.092000000000000000e+03, 3.756390411798820211e-10, 1.363152302324644599e-09, 8.895754523117400785e-11, -3.802176671010091390e-09
2.093000000000000000e+03, 3.781409259579099781e-10, 1.605043999090085511e-09, 8.832162549055745844e-11, -3.255652558028675832e-09
2.094000000000000000e+03, 3.788740795289644130e-10, 1.757892894849606559e-09, 8.837342923549882085e-11, -3.276121014058805907e-09
2.095000000000000000e+03, 3.805293092276464750e-10, 1.959226067323273455e-09, 8.853858947878462876e-11, -4.044116618419750154e-09
2.096000000000000000e+03, 3.819090578530570915e-10, 1.775745194926679324e-09, 7.581431994530895735e-11, -3.928296427214141093e-09
2.097000000000000000e+03, 3.818776252512785963e-10, 1.809284925972892717e-09, 7.698506700514338273e-11, -3.267231205901013088e-09
2.098000000000000000e+03, 3.823889279792827564e-10, 1.873059021761913647e-09, 7.638412672629818456e-11, -3.444033222685355438e-09
2.099000000000000000e+03, 3.817972257960514893e-10, 1.497828763842322234e-09, 7.799346176327542504e-11, -3.250001364010086829e-09
2.100000000000000000e+03, 3.800328949875457643e-10, 1.235628113735400056e-09, 7.772571409483547559e-11, -3.149542654048634971e-09
