year, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, ACCESS-ESM1-5, CNRM-ESM2-1, MIROC-ES2L
1.884000000000000000e+03, 2.513749147647999838e+00, 8.604481617920000103e-01, 7.306817536000000113e-02, 5.243403239423999551e+00, 3.856546201600000168e-01, 1.866193174528000043e+00, 3.289376882687999881e+00, 5.900755927040000071e-01, 6.775641735167999613e+00
1.885000000000000000e+03, 2.547551830015999830e+00, 8.608620871679999453e-01, 7.491597107200000105e-02, 5.282550251520000018e+00, 3.933655859199999827e-01, 1.890670215167999935e+00, 3.346655346687999799e+00, 5.825721139199999676e-01, 6.831551807488000172e+00
1.886000000000000000e+03, 2.575580266495999915e+00, 8.611040460800000185e-01, 7.680182681599999339e-02, 5.330935742463999816e+00, 4.023231774719999709e-01, 1.915916517375999994e+00, 3.413273477119999733e+00, 5.754769899520000287e-01, 6.888930410496000079e+00
1.887000000000000000e+03, 2.606163558400000024e+00, 8.626184519680000218e-01, 7.918396211200000312e-02, 5.368490491903999740e+00, 4.117621964800000089e-01, 1.941416050688000050e+00, 3.472741367808000135e+00, 5.688573296639999333e-01, 6.947619733504000195e+00
1.888000000000000000e+03, 2.647617437695999776e+00, 8.657544806399999349e-01, 8.225736294400000370e-02, 5.402647855104000030e+00, 4.213895331839999647e-01, 1.967447867391999949e+00, 3.532195364864000098e+00, 5.633228799999999703e-01, 7.000129273855999479e+00
1.889000000000000000e+03, 2.684190720000000141e+00, 8.692175994880000367e-01, 8.493677772799999859e-02, 5.418606657535999460e+00, 4.313483837439999746e-01, 1.994198089728000056e+00, 3.592987344896000135e+00, 5.587058032639999894e-01, 7.057729650687999623e+00
1.890000000000000000e+03, 2.718280187903999945e+00, 8.746770759679999285e-01, 9.054247321599999399e-02, 5.412050436096000006e+00, 4.416371425280000151e-01, 2.031547449344000000e+00, 3.653067079679999996e+00, 5.559737384959999584e-01, 7.184094593023999664e+00
1.891000000000000000e+03, 2.780587360255999840e+00, 9.060050534399999300e-01, 1.002163322880000040e-01, 5.439430328320000285e+00, 4.606384865279999907e-01, 2.076586409983999904e+00, 3.781585797119999981e+00, 5.782734766079999922e-01, 7.292935733248000041e+00
1.892000000000000000e+03, 2.843394965503999838e+00, 9.346464481280000181e-01, 1.126146129919999989e-01, 5.461548466175999650e+00, 4.811641651199999870e-01, 2.118415024127999757e+00, 3.900381069312000015e+00, 5.980463431679999831e-01, 7.377239670784000225e+00
1.893000000000000000e+03, 2.898029182975999873e+00, 9.621689466880000152e-01, 1.245032529919999909e-01, 5.504963706879999918e+00, 5.028851548159999352e-01, 2.158301282303999979e+00, 4.013876314112000188e+00, 6.152839495680000326e-01, 7.455886540799999906e+00
1.894000000000000000e+03, 2.944265879551999809e+00, 9.871375073279999857e-01, 1.358947532800000024e-01, 5.558392848383999940e+00, 5.257100001279999546e-01, 2.196755185663999743e+00, 4.120539037696000051e+00, 6.301119283199999588e-01, 7.531864260607999739e+00
