year, MIROC-ES2L, GFDL-ESM4, INM-CM5-0, TaiESM1, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5, CMCC-CM2-SR5, MPI-ESM1-2-LR, EC-Earth3-Veg, CanESM5, UKESM1-0-LL, IPSL-CM6A-LR, CNRM-ESM2-1, INM-CM4-8, NorESM2-MM
1.870000000000000000e+03, 5.692300428599999407e+01, 5.270478046199999511e+01, 6.515413286399999038e+01, 4.254887971799999491e+01, 3.732389274599999851e+01, 3.868078827599999414e+01, 4.243872446999999681e+01, 3.840422149799999829e+01, 6.053182250399999731e+01, 4.949703314999999293e+01, 6.238170455399999526e+01, 6.116540045399999315e+01, 3.889998712799999936e+01, 4.008184603199999430e+01, 6.631768511999999305e+01, 3.792293089199999656e+01
1.871000000000000000e+03, 5.767860290399999457e+01, 5.215989751199999347e+01, 6.682185903599999222e+01, 4.313377002599999344e+01, 3.656560174199999835e+01, 3.938068643399999758e+01, 4.186096129799999943e+01, 4.026738414599999771e+01, 6.236484856199999172e+01, 4.895081386199999685e+01, 6.150859097399999342e+01, 5.922523871999999301e+01, 3.835853371799999678e+01, 3.900143449799999473e+01, 6.597697017599999469e+01, 3.783001006799999999e+01
1.872000000000000000e+03, 5.700310178399999472e+01, 5.138851118399999507e+01, 6.557999894999998958e+01, 4.140096143399999562e+01, 3.661772286599999404e+01, 3.911302069199999920e+01, 4.263062891399999899e+01, 3.776489611199999530e+01, 6.237184166999999491e+01, 5.025307327199999463e+01, 6.318671614199999453e+01, 5.740042384799999553e+01, 3.954746851199999469e+01, 4.132011495599999762e+01, 6.567966453599998999e+01, 3.778879251599999378e+01
1.873000000000000000e+03, 5.670923356799999482e+01, 5.110137196199999465e+01, 6.391137400199999519e+01, 4.318963999199999648e+01, 3.642540056999999365e+01, 3.883572858599999478e+01, 4.193808258600000016e+01, 3.899232453599999815e+01, 5.903683082999999243e+01, 4.942295508599999465e+01, 6.240741033599999810e+01, 5.920498866599999843e+01, 3.915287825399999377e+01, 3.944186627399999878e+01, 6.542855913599998985e+01, 3.705746873399999686e+01
1.874000000000000000e+03, 5.739458574599999707e+01, 5.118780031199999314e+01, 6.487563844799998947e+01, 4.288431632399999671e+01, 3.699356102999999507e+01, 3.893983680599999531e+01, 4.140442645199999561e+01, 3.967393969799999809e+01, 5.983602796799999624e+01, 4.983596236799999701e+01, 6.347460828599999161e+01, 6.153858959399999407e+01, 3.946696104599999444e+01, 4.147398698399999972e+01, 6.470270684999999844e+01, 3.695873740199999702e+01
1.875000000000000000e+03, 5.794596511199999611e+01, 5.116520082599999597e+01, 6.619167514800000163e+01, 4.215729720599999553e+01, 3.719875395599999734e+01, 3.940192198799999801e+01, 4.136985511199999621e+01, 3.888965514599999551e+01, 6.163543664999999550e+01, 4.904004103199999776e+01, 6.364349144999999197e+01, 5.978347322399999797e+01, 4.152280865399999499e+01, 3.912928144199999991e+01, 6.591274711199999103e+01, 3.740932377000000031e+01
1.876000000000000000e+03, 5.641659131399999438e+01, 5.307041672999999804e+01, 6.587195529599999588e+01, 4.231840280399999443e+01, 3.749892937199999920e+01, 3.906121886999999759e+01, 4.169209390199999632e+01, 3.890963320199999487e+01, 6.110126805599999500e+01, 4.906803317399999287e+01, 6.114608465399999204e+01, 6.061542443999999819e+01, 3.997273147199999954e+01, 3.970453750199999376e+01, 6.513016156199999784e+01, 3.750804327599999510e+01
1.877000000000000000e+03, 5.655997367999999881e+01, 5.213017877399999378e+01, 6.564901154399998973e+01, 4.396876052399999679e+01, 3.635251298999999392e+01, 3.898362059999999474e+01, 4.225822817399999565e+01, 3.951687464999999833e+01, 6.038724176999999571e+01, 4.994094571199999422e+01, 6.318945977399999236e+01, 5.898913262999999318e+01, 3.946187586599999975e+01, 4.093744136399999434e+01, 6.642351205199999242e+01, 3.697079203799999902e+01
1.878000000000000000e+03, 5.762300099399999453e+01, 5.241943484999999470e+01, 6.499454493599999694e+01, 4.228831745999999470e+01, 3.751797317399999798e+01, 3.905633473199999628e+01, 4.318855594199999359e+01, 3.892369825799999461e+01, 6.003065239199999326e+01, 4.870858190399999899e+01, 6.177839327999999597e+01, 5.740977821399999215e+01, 4.114735680599999768e+01, 4.097771677799999424e+01, 6.683176922399999853e+01, 3.852207941399999669e+01
1.879000000000000000e+03, 5.796480787199999440e+01, 5.238782000999999866e+01, 6.682383791999998834e+01, 4.279724936999999585e+01, 3.630103835399999923e+01, 3.892969009799999469e+01, 4.263293498399999493e+01, 3.827222756999999831e+01, 5.854434888599999454e+01, 5.009609888999999328e+01, 6.234263933399999758e+01, 6.141182275799999246e+01, 4.086173919599999493e+01, 4.161071131199999940e+01, 6.665200613999999746e+01, 3.717381292199999621e+01
