year, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, UKESM1-0-LL, CMCC-CM2-SR5, CNRM-ESM2-1, NorESM2-LM, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM
1.883000000000000000e+03, 5.027448802508799872e+02, 1.331081097773055944e+03, 1.428699798831103863e+03, 3.452046409728000071e+02, 5.308311142400000335e+02, 1.760976319807487926e+03, 2.885342118019072132e+03, 1.481167790407680059e+03, 2.428843734335488080e+03, 8.229562005585919451e+02, 1.181590734503935892e+03, 6.890709298708479764e+02, 1.415429557846015996e+03, 1.858957408731135956e+03
1.884000000000000000e+03, 5.027553492336639920e+02, 1.330981508218879981e+03, 1.428649467183103980e+03, 3.445107353190400090e+02, 5.310121739550719440e+02, 1.761885108043775972e+03, 2.884891146452991961e+03, 1.481295699902463866e+03, 2.428913795989503797e+03, 8.231990004285439682e+02, 1.181088625983487873e+03, 6.893355401215999336e+02, 1.415332384210943928e+03, 1.858928954572799967e+03
1.885000000000000000e+03, 5.029405025894399728e+02, 1.330896279961599930e+03, 1.428669868277759861e+03, 3.448552051179519822e+02, 5.312059507998719710e+02, 1.762601293840383960e+03, 2.885011137101823806e+03, 1.481590442033151930e+03, 2.428955135049728142e+03, 8.236573539696639727e+02, 1.181273041141759904e+03, 6.897769822289919830e+02, 1.415453582819327949e+03, 1.858931102056448026e+03
1.886000000000000000e+03, 5.026499547627519746e+02, 1.330854269812735993e+03, 1.428842338058239875e+03, 3.453012441825279666e+02, 5.313097682124799803e+02, 1.763648192118783982e+03, 2.885303194877952137e+03, 1.481777675763712068e+03, 2.428960503758848063e+03, 8.241487250718720361e+02, 1.181783202725888032e+03, 6.904236432424960412e+02, 1.415535858286591974e+03, 1.858902782115839955e+03
1.887000000000000000e+03, 5.029161420718079967e+02, 1.330689853095936087e+03, 1.428971992383487986e+03, 3.456077974732800158e+02, 5.313726492180479681e+02, 1.763795563184128014e+03, 2.885109384478720131e+03, 1.482305285652480052e+03, 2.429028686364672012e+03, 8.245124551147520151e+02, 1.182210015100927876e+03, 6.906395995668480055e+02, 1.415602832932863976e+03, 1.858954321723392013e+03
1.888000000000000000e+03, 5.032006501007359702e+02, 1.330578855034880007e+03, 1.429183519522815914e+03, 3.453263428976640057e+02, 5.315498166190079701e+02, 1.763171719184384074e+03, 2.884629153447936005e+03, 1.482572915802111993e+03, 2.428994326626303973e+03, 8.247602210406399763e+02, 1.182255917563903949e+03, 6.904938391142400178e+02, 1.415501498548223935e+03, 1.858821714608127877e+03
1.889000000000000000e+03, 5.029719095377919871e+02, 1.330518457057279875e+03, 1.429340822700032049e+03, 3.447825933271039958e+02, 5.316771892428799902e+02, 1.762103748722687897e+03, 2.884636132769791857e+03, 1.482777732055039905e+03, 2.429013922414591889e+03, 8.248675952230399844e+02, 1.182492409200639941e+03, 6.902265445089279865e+02, 1.415338692444159960e+03, 1.858742526148608022e+03
1.890000000000000000e+03, 5.025843222937600103e+02, 1.330283441815551896e+03, 1.429360821141503948e+03, 3.446856545730560129e+02, 5.318469746688000441e+02, 1.762652430794752036e+03, 2.884850881134591873e+03, 1.483425735245823944e+03, 2.429063582973951725e+03, 8.247714282209279872e+02, 1.182582871949311993e+03, 6.895716962140160149e+02, 1.415197763829759879e+03, 1.858709374369791931e+03
1.891000000000000000e+03, 5.027897089720319741e+02, 1.330045339566079974e+03, 1.429388335775744054e+03, 3.447200814202880110e+02, 5.319266328903679550e+02, 1.762607333638143928e+03, 2.884624321609727758e+03, 1.483752421195775923e+03, 2.429082373455872130e+03, 8.247093525217279648e+02, 1.182745543835648050e+03, 6.893999646310400067e+02, 1.415151056060416067e+03, 1.858789502353407897e+03
1.892000000000000000e+03, 5.029666750463999847e+02, 1.329889781219327915e+03, 1.429586709577728016e+03, 3.445576779694080187e+02, 5.319519664865280220e+02, 1.760731909324799972e+03, 2.884616805416959778e+03, 1.484045284278271993e+03, 2.429066804199424041e+03, 8.247965940449279287e+02, 1.182995188809728006e+03, 6.894561347502079798e+02, 1.415223802068991972e+03, 1.858732459819008000e+03
1.893000000000000000e+03, 5.032390028165119702e+02, 1.329826430451711985e+03, 1.429678782939135999e+03, 3.444042671063040189e+02, 5.320005197496319624e+02, 1.760089543278591918e+03, 2.884851954876416130e+03, 1.484664296439807913e+03, 2.429073515085824056e+03, 8.250100002324479647e+02, 1.183030353854464011e+03, 6.895708909076479358e+02, 1.415352785305600037e+03, 1.858805071609855986e+03
1.894000000000000000e+03, 5.030691167272959774e+02, 1.329749926346751863e+03, 1.429675024842752009e+03, 3.442079401246720067e+02, 5.321237316239360098e+02, 1.761174022520832068e+03, 2.884926043062272129e+03, 1.484889111134207951e+03, 2.429014727720959854e+03, 8.253122585559040090e+02, 1.183056660529151941e+03, 6.895008963624959506e+02, 1.415459219963903934e+03, 1.858910835179520063e+03
1.895000000000000000e+03, 5.027603152895999870e+02, 1.329314389819391863e+03, 1.429770856300543983e+03, 3.438933673246719991e+02, 5.321334288547840288e+02, 1.761854506401791923e+03, 2.884758807773183889e+03, 1.485108557119488069e+03, 2.428950303211519895e+03, 8.256886050652159383e+02, 1.183305231761407867e+03, 6.894834480578559806e+02, 1.415468346769408072e+03, 1.858882649456639911e+03
