year, EC-Earth3-Veg, ACCESS-ESM1-5, TaiESM1, CESM2-WACCM, MIROC-ES2L, NorESM2-LM, CNRM-ESM2-1, INM-CM4-8, CMCC-CM2-SR5, GFDL-ESM4, MPI-ESM1-2-LR, INM-CM5-0, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, CanESM5
1.863000000000000000e+03, 1.314211396319999778e+02, 9.934684376399999906e+01, 1.219377677399999840e+02, 9.708910268399999666e+01, 1.065430593719999877e+02, 9.263923905599999387e+01, 8.627039405999998678e+01, 1.419105335759999775e+02, 9.245755227599998705e+01, 1.143947349719999949e+02, 1.201883002559999909e+02, 1.392778452239999751e+02, 9.813347251199999732e+01, 9.367113639599999431e+01, 1.190963110679999915e+02, 1.218988050119999969e+02
1.864000000000000000e+03, 1.330373754000000019e+02, 9.708758107199999188e+01, 1.216711860479999956e+02, 9.783391204799998775e+01, 1.069380083519999971e+02, 9.201157016399999122e+01, 8.470499432399999762e+01, 1.403785777679999853e+02, 9.350910442799998634e+01, 1.114491621959999890e+02, 1.169254910879999869e+02, 1.392372426239999754e+02, 9.629092652399999963e+01, 9.337906573199998661e+01, 1.165542256439999846e+02, 1.208481595199999958e+02
1.865000000000000000e+03, 1.347913131119999832e+02, 9.992484345599999074e+01, 1.220594178599999964e+02, 9.595963295999999332e+01, 1.077766530839999888e+02, 9.476103632399998844e+01, 8.744995083599999930e+01, 1.420598723039999811e+02, 9.397576627199998711e+01, 1.097136099719999862e+02, 1.184178297959999924e+02, 1.388303020799999956e+02, 9.600071648399999447e+01, 9.249788681999999085e+01, 1.218558608639999932e+02, 1.231340464799999950e+02
1.866000000000000000e+03, 1.346395776479999995e+02, 1.013535503999999889e+02, 1.232254141559999852e+02, 9.722721459599999605e+01, 1.080615414239999978e+02, 9.380805782399998805e+01, 8.615069917199998883e+01, 1.417383785520000004e+02, 9.370891652399998861e+01, 1.090643941079999877e+02, 1.215756556199999920e+02, 1.395177553439999940e+02, 9.527438721599999383e+01, 9.157474137599999153e+01, 1.207147307039999902e+02, 1.223601845759999946e+02
1.867000000000000000e+03, 1.324920548879999842e+02, 9.987381820799998877e+01, 1.252233458999999840e+02, 9.472742683199999192e+01, 1.073469593159999960e+02, 9.436019799599999658e+01, 8.560397530799998833e+01, 1.393132759199999953e+02, 9.304910456399998964e+01, 1.092668473439999985e+02, 1.220387933159999960e+02, 1.389566825999999935e+02, 9.326225638799999729e+01, 9.179233977599999150e+01, 1.181389411799999891e+02, 1.213944497639999867e+02
1.868000000000000000e+03, 1.352047185360000014e+02, 9.790423732799999357e+01, 1.231268956919999908e+02, 9.631178758799998718e+01, 1.084070734919999950e+02, 9.352879865999999254e+01, 8.642808194399999877e+01, 1.387068386400000009e+02, 9.147641212799999266e+01, 1.102358618999999891e+02, 1.189289731679999846e+02, 1.397924812079999981e+02, 9.675478954799999087e+01, 9.427117186799999615e+01, 1.188320866919999901e+02, 1.224990296999999941e+02
1.869000000000000000e+03, 1.359285643439999944e+02, 9.963136943999998607e+01, 1.217354012279999864e+02, 9.655045991999999444e+01, 1.086228901079999929e+02, 9.188338420799999540e+01, 8.608255776000000026e+01, 1.397696018399999787e+02, 9.151692800399999328e+01, 1.128582379799999984e+02, 1.192182528959999956e+02, 1.394988652799999898e+02, 9.726285815999999329e+01, 9.455076215999999079e+01, 1.250159257439999863e+02, 1.244500358759999870e+02
1.870000000000000000e+03, 1.365496658639999907e+02, 1.015496412479999861e+02, 1.218703280039999868e+02, 9.687621891599999913e+01, 1.068799426919999860e+02, 9.350661308399999427e+01, 8.706193189199998983e+01, 1.423075718159999781e+02, 9.059588758799999653e+01, 1.127533807799999863e+02, 1.174476562919999907e+02, 1.395932682959999909e+02, 9.586294358399999282e+01, 9.462443025599999658e+01, 1.223290900799999861e+02, 1.236031129439999887e+02
1.871000000000000000e+03, 1.358700650639999878e+02, 1.008013156199999969e+02, 1.238839962119999853e+02, 9.745746681599999306e+01, 1.084153674599999846e+02, 9.286482394799999440e+01, 8.560156280399999673e+01, 1.422542759760000024e+02, 9.424643975999998702e+01, 1.115409477239999916e+02, 1.201785635159999970e+02, 1.431356598719999909e+02, 9.440623267199998736e+01, 9.526603017599998680e+01, 1.184836927319999944e+02, 1.218918749759999969e+02
1.872000000000000000e+03, 1.385713757519999945e+02, 1.014852683879999944e+02, 1.217337928919999968e+02, 9.715961717999999792e+01, 1.078047043559999878e+02, 9.339893341199999099e+01, 8.899589285999999788e+01, 1.416494470319999834e+02, 9.218705223599999954e+01, 1.106830739159999979e+02, 1.204603061399999859e+02, 1.410013506960000029e+02, 9.675572774399999787e+01, 9.552585527999998760e+01, 1.150976093399999911e+02, 1.240732910519999876e+02
