year, CESM2-WACCM, INM-CM4-8, CanESM5, IPSL-CM6A-LR, CMCC-CM2-SR5, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-MM, INM-CM5-0, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg
1.870000000000000000e+03, 2.914377360139042139e+00, 3.009933570865541697e+00, 2.858346118591725826e+00, 2.985156245995312929e+00, 3.097058425191789865e+00, 2.855604293290525675e+00, 2.969444578047841787e+00, 2.922936959657818079e+00, 3.052225511055439711e+00, 2.854569547343999147e+00, 2.999373001512140036e+00, 3.225842176470905542e+00, 3.199822653550654650e+00, 2.840568101964890957e+00, 3.101392916869372129e+00, 2.858637808822095394e+00
1.871000000000000000e+03, 2.921043802052736282e+00, 3.025652782525867224e+00, 2.857231220696121454e+00, 2.989151270594447851e+00, 3.062065027188509703e+00, 2.856933244038373232e+00, 2.969851624220609665e+00, 2.936409402173012495e+00, 3.058063087519258261e+00, 2.850430877879261971e+00, 2.998948667664080858e+00, 3.213938826229423285e+00, 3.213683597277849913e+00, 2.844515664037317038e+00, 3.114783007185906172e+00, 2.863879431970417500e+00
1.872000000000000000e+03, 2.897945267613977194e+00, 3.010809270199388266e+00, 2.865393832325935364e+00, 2.999180008191615343e+00, 3.061582543887197971e+00, 2.869801560882478952e+00, 2.977848274167627096e+00, 2.939077990595251322e+00, 3.103079565335065126e+00, 2.852725738193839788e+00, 3.008973319083452225e+00, 3.218777803704142570e+00, 3.226615407038480043e+00, 2.839499723631888628e+00, 3.100050764624029398e+00, 2.868336823303252459e+00
1.873000000000000000e+03, 2.914143505040556192e+00, 2.996175095904618502e+00, 2.865788934286683798e+00, 3.005882911384105682e+00, 3.070082108024507761e+00, 2.847058209590613842e+00, 2.952242398168891668e+00, 2.944714401382952929e+00, 3.118646959774196148e+00, 2.846478286664932966e+00, 2.983680507168173790e+00, 3.223370667546987534e+00, 3.192073374520987272e+00, 2.827136521227657795e+00, 3.120413760188966990e+00, 2.860991132911294699e+00
1.874000000000000000e+03, 2.915887674316763878e+00, 3.000486013479530811e+00, 2.864404034335166216e+00, 2.996165666263550520e+00, 3.078587644267827272e+00, 2.845786151010543108e+00, 2.973176515661180019e+00, 2.935949235688894987e+00, 3.079946141224354506e+00, 2.878855902235955000e+00, 2.989342063665390015e+00, 3.228128235787153244e+00, 3.191518597304821014e+00, 2.828550967387855053e+00, 3.089692932553589344e+00, 2.869574620854109526e+00
1.875000000000000000e+03, 2.914430480450391769e+00, 3.028955671470612288e+00, 2.861678239423781633e+00, 3.003009071107953787e+00, 3.058509423863142729e+00, 2.859960787463933229e+00, 2.970595937222242355e+00, 2.903608081396669149e+00, 3.069836937356740236e+00, 2.891068544704467058e+00, 2.995138778351247311e+00, 3.230720758438110352e+00, 3.212042211089283228e+00, 2.823150611948221922e+00, 3.104705549776554108e+00, 2.854254283010959625e+00
1.876000000000000000e+03, 2.901675947941839695e+00, 3.016795206349343061e+00, 2.860085887368768454e+00, 3.000727726612240076e+00, 3.055672673508524895e+00, 2.847582183312624693e+00, 2.964549651369452477e+00, 2.930550451856106520e+00, 3.074646368622779846e+00, 2.843942341860383749e+00, 2.992306428495794535e+00, 3.221828606911003590e+00, 3.224366751965135336e+00, 2.815782919060438871e+00, 3.116758202668279409e+00, 2.860654809046536684e+00
1.877000000000000000e+03, 2.907039213459938765e+00, 2.999329310841858387e+00, 2.864877402316778898e+00, 3.006261354312300682e+00, 3.058455360587686300e+00, 2.871581877116113901e+00, 2.961163467261940241e+00, 2.936390228569507599e+00, 3.088329406455159187e+00, 2.871706348378211260e+00, 3.012390935327857733e+00, 3.219898045063018799e+00, 3.202979697380214930e+00, 2.824693615548312664e+00, 3.116139932535588741e+00, 2.858800312969833612e+00
1.878000000000000000e+03, 2.920354495290666819e+00, 2.991976391058415174e+00, 2.861349459271878004e+00, 3.003562905360013247e+00, 3.064797108527272940e+00, 2.878741489257663488e+00, 2.975948201492428780e+00, 2.951151703018695116e+00, 3.110665082931518555e+00, 2.883079438470304012e+00, 2.994030795525759459e+00, 3.221274458337575197e+00, 3.192014282103627920e+00, 2.812241145875304937e+00, 3.111011150758713484e+00, 2.869099052622914314e+00
1.879000000000000000e+03, 2.955764054786413908e+00, 3.004962578415870667e+00, 2.864168607629835606e+00, 2.995425753761082888e+00, 3.062817512545734644e+00, 2.868416346609592438e+00, 2.984388673212379217e+00, 2.927250391803681850e+00, 3.096073970664292574e+00, 2.838571218308061361e+00, 2.995892835315316916e+00, 3.210439486429095268e+00, 3.202362998854368925e+00, 2.839321189094334841e+00, 3.113831870723515749e+00, 2.872795157600194216e+00
1.880000000000000000e+03, 2.927444642409682274e+00, 3.003017243463546038e+00, 2.864766132552176714e+00, 2.993261965457350016e+00, 3.064203669782727957e+00, 2.867303963284939528e+00, 2.963848400395363569e+00, 2.918702422175556421e+00, 3.091290313750505447e+00, 2.839907712768763304e+00, 2.991633466444909573e+00, 3.214156965259462595e+00, 3.196251962799578905e+00, 2.831957896705716848e+00, 3.097359545063227415e+00, 2.866195037495344877e+00
1.881000000000000000e+03, 2.913023263681679964e+00, 3.003788273781538010e+00, 2.868339337874203920e+00, 2.988224336877465248e+00, 3.066132974345237017e+00, 2.855069318320602179e+00, 2.971781557425856590e+00, 2.959833573549985886e+00, 3.072340821381658316e+00, 2.878617960959672928e+00, 2.988122811075299978e+00, 3.203384857624769211e+00, 3.190121438819915056e+00, 2.837774413637816906e+00, 3.111694799736142159e+00, 2.876415511127561331e+00
1.882000000000000000e+03, 2.929809596389532089e+00, 3.006107022520154715e+00, 2.864393661729991436e+00, 2.986404101829975843e+00, 3.064075112342834473e+00, 2.861059026326984167e+00, 2.957994479220360518e+00, 2.926724532153457403e+00, 3.077774809207767248e+00, 2.884428820107132196e+00, 3.010223375167697668e+00, 3.214414394460618496e+00, 3.205366025213152170e+00, 2.826619462575763464e+00, 3.119274659547954798e+00, 2.881498401984572411e+00
1.883000000000000000e+03, 2.922030456829816103e+00, 3.000594768673181534e+00, 2.850567293353378773e+00, 2.962632605340331793e+00, 3.025292570237070322e+00, 2.852035174146294594e+00, 2.967855683527886868e+00, 2.943946514278650284e+00, 3.099264961201697588e+00, 2.834927290678024292e+00, 3.002882399596273899e+00, 3.210922284051775932e+00, 3.185940650291740894e+00, 2.823981991969048977e+00, 3.096068941522389650e+00, 2.872358250897377729e+00
1.884000000000000000e+03, 2.891912497580051422e+00, 2.977101760916411877e+00, 2.828786394093185663e+00, 2.950046549085527658e+00, 3.016047435812652111e+00, 2.833149174693971872e+00, 2.936370426323264837e+00, 2.894355717580765486e+00, 3.058030712418258190e+00, 2.817280660383403301e+00, 2.979150193277746439e+00, 3.178733261302113533e+00, 3.170433605555444956e+00, 2.800690149888396263e+00, 3.082801436539739370e+00, 2.824252622667700052e+00
1.885000000000000000e+03, 2.911340072751045227e+00, 2.971510612405836582e+00, 2.850007172673940659e+00, 2.961987617891281843e+00, 3.047935967333614826e+00, 2.858488506171852350e+00, 2.938393398653715849e+00, 2.916400961112231016e+00, 3.052131214644759893e+00, 2.809669368434697390e+00, 2.978091244585812092e+00, 3.191321517806500196e+00, 3.169804334174841642e+00, 2.802698663435876369e+00, 3.105619910638779402e+00, 2.847719227429479361e+00
1.886000000000000000e+03, 2.914738201070576906e+00, 2.994194871280342340e+00, 2.848788234405219555e+00, 2.978364389855414629e+00, 3.047012491151690483e+00, 2.851299347821623087e+00, 2.960376720875501633e+00, 2.918519487138837576e+00, 3.062825999222695827e+00, 2.825595403555780649e+00, 2.965535363182425499e+00, 3.196939069312065840e+00, 3.174208605196326971e+00, 2.818238083273172379e+00, 3.072004183195531368e+00, 2.844711171928793192e+00
1.887000000000000000e+03, 2.914818981662392616e+00, 3.006254124920815229e+00, 2.840104477945715189e+00, 2.984453109093010426e+00, 3.042994835413992405e+00, 2.844608703162521124e+00, 2.941838360857218504e+00, 2.913594071287661791e+00, 3.073299815878272057e+00, 2.850752428639680147e+00, 2.968519844580441713e+00, 3.202586167026311159e+00, 3.188406501431018114e+00, 2.815108385402709246e+00, 3.078600531443953514e+00, 2.859872777480632067e+00
1.888000000000000000e+03, 2.906052244361490011e+00, 3.004184947349131107e+00, 2.861952956300228834e+00, 2.972811588551849127e+00, 3.042259009089320898e+00, 2.852422418072819710e+00, 2.965076453983783722e+00, 2.932537905871868134e+00, 3.093709645327180624e+00, 2.845892391633242369e+00, 2.977330272551625967e+00, 3.202057164162397385e+00, 3.206311503890901804e+00, 2.818537002895027399e+00, 3.106412000488489866e+00, 2.855717763304710388e+00
1.889000000000000000e+03, 2.902826678473502398e+00, 2.994274080265313387e+00, 2.874555357266217470e+00, 2.979346329811960459e+00, 3.040359565056860447e+00, 2.855018398258835077e+00, 2.979240403510630131e+00, 2.900321537163108587e+00, 3.085754171479493380e+00, 2.857512223999947309e+00, 3.007997351232916117e+00, 3.216650476679205894e+00, 3.177204402163624763e+00, 2.833762730006128550e+00, 3.082185680978000164e+00, 2.861972129903733730e+00
1.890000000000000000e+03, 2.896561624947935343e+00, 3.005315561313182116e+00, 2.864764560945332050e+00, 2.986090409103780985e+00, 3.039819875266402960e+00, 2.867875085212290287e+00, 2.975370478816330433e+00, 2.924739278387278318e+00, 3.085568093229085207e+00, 2.835035731550306082e+00, 2.988193219061940908e+00, 3.220395615790039301e+00, 3.177849389612674713e+00, 2.823634981177747250e+00, 3.092842118348926306e+00, 2.878167852759361267e+00
1.891000000000000000e+03, 2.904887998010963202e+00, 3.000397060532122850e+00, 2.846775634679943323e+00, 2.978339244145900011e+00, 3.036903601605445147e+00, 2.877380477730184793e+00, 2.972210291773080826e+00, 2.941078017465770245e+00, 3.100676264148205519e+00, 2.834133629221469164e+00, 2.985510800499469042e+00, 3.224006853997707367e+00, 3.183947224169969559e+00, 2.818689134437590837e+00, 3.105764498468488455e+00, 2.877818641718477011e+00
1.892000000000000000e+03, 2.907825645525008440e+00, 2.999212383292615414e+00, 2.865040849428623915e+00, 2.986978681292384863e+00, 3.041803243104368448e+00, 2.865662577096372843e+00, 2.959504479076713324e+00, 2.903095737565308809e+00, 3.116098442114889622e+00, 2.846150763798505068e+00, 2.986313577275723219e+00, 3.219248657114803791e+00, 3.183998458553105593e+00, 2.812125475611537695e+00, 3.082274319604039192e+00, 2.868719038087874651e+00
1.893000000000000000e+03, 2.909449744038283825e+00, 3.012854559347033501e+00, 2.863688638899475336e+00, 2.987941133324056864e+00, 3.069446550216525793e+00, 2.841891394928097725e+00, 2.977361390367150307e+00, 2.932886488270014524e+00, 3.071200463455170393e+00, 2.837513841222971678e+00, 2.990710933227092028e+00, 3.221149358432739973e+00, 3.197594115044921637e+00, 2.829310996457934380e+00, 3.072909743059426546e+00, 2.861050225328654051e+00
1.894000000000000000e+03, 2.916420134715735912e+00, 2.998990786727517843e+00, 2.854762540664523840e+00, 2.977875620126724243e+00, 3.077848046086728573e+00, 2.856014796998351812e+00, 2.974557329434901476e+00, 2.949622529558837414e+00, 3.071185061708092690e+00, 2.854467078577727079e+00, 2.980172366369515657e+00, 3.208053472917526960e+00, 3.184557007625699043e+00, 2.838603279087692499e+00, 3.088593750726431608e+00, 2.870688890106976032e+00
1.895000000000000000e+03, 2.911413938272744417e+00, 3.005206806119531393e+00, 2.878307097125798464e+00, 2.998190524522215128e+00, 3.052392415702342987e+00, 2.890775597188621759e+00, 2.966651518363505602e+00, 2.929515705909579992e+00, 3.078819613438099623e+00, 2.841794898267835379e+00, 2.991047257091850042e+00, 3.223141527269035578e+00, 3.167933493386954069e+00, 2.827129291836172342e+00, 3.129554225597530603e+00, 2.880267833825200796e+00
1.896000000000000000e+03, 2.906756638549268246e+00, 3.011729917488992214e+00, 2.862573426682502031e+00, 2.988474851008504629e+00, 3.043461288325488567e+00, 2.862882718909531832e+00, 2.988693618681281805e+00, 2.921514341142028570e+00, 3.091632295399904251e+00, 2.844113018363714218e+00, 3.002577822189778090e+00, 3.217001573648303747e+00, 3.171245497651398182e+00, 2.826584887225180864e+00, 3.092155640479177237e+00, 2.897589455824345350e+00
1.897000000000000000e+03, 2.911708143074065447e+00, 3.012590843718498945e+00, 2.869950549211353064e+00, 2.986576349940150976e+00, 3.044743090867996216e+00, 2.855349692981690168e+00, 2.986991568468511105e+00, 2.921742224134504795e+00, 3.084605326876044273e+00, 2.867217839229851961e+00, 2.995868946891278028e+00, 3.204934147652238607e+00, 3.185683535411953926e+00, 2.838977007195353508e+00, 3.069007757585495710e+00, 2.874983462970703840e+00
1.898000000000000000e+03, 2.942492149304598570e+00, 3.005560417659580708e+00, 2.860190870705991983e+00, 2.981371816713362932e+00, 3.055330377537757158e+00, 2.877094445284456015e+00, 2.965316281188279390e+00, 2.935209951829165220e+00, 3.088425274472683668e+00, 2.853848494123667479e+00, 2.995041967369616032e+00, 3.222216165158897638e+00, 3.211695514619350433e+00, 2.819264342542737722e+00, 3.093478304799646139e+00, 2.864693838637322187e+00
1.899000000000000000e+03, 2.925845375284552574e+00, 3.004357824102044106e+00, 2.879580098669975996e+00, 2.988689846824854612e+00, 3.051892330404371023e+00, 2.864310366567224264e+00, 2.974013867788016796e+00, 2.927782852202653885e+00, 3.082291921600699425e+00, 2.855538285803049803e+00, 2.986656501889228821e+00, 3.211703372653573751e+00, 3.181405307259410620e+00, 2.832249272614717484e+00, 3.083035920280963182e+00, 2.875400567427277565e+00
1.900000000000000000e+03, 2.930092485621571541e+00, 2.998844941612333059e+00, 2.866499300580471754e+00, 2.991070516873151064e+00, 3.071947919670492411e+00, 2.860934555064886808e+00, 2.984339010436087847e+00, 2.909184771124273539e+00, 3.090111294295638800e+00, 2.868731925264000893e+00, 2.997595199849456549e+00, 3.227344318293035030e+00, 3.162647865246981382e+00, 2.830375917255878448e+00, 3.084141702856868505e+00, 2.888595464173704386e+00
1.901000000000000000e+03, 2.924691501539200544e+00, 3.022069518920034170e+00, 2.876877249218523502e+00, 2.990144526120275259e+00, 3.079699713271111250e+00, 2.865319338161498308e+00, 2.962160494644194841e+00, 2.957978134509176016e+00, 3.073582705110311508e+00, 2.863369917031377554e+00, 3.015325439628213644e+00, 3.223948704544454813e+00, 3.190409985836595297e+00, 2.827341773081570864e+00, 3.109465318266302347e+00, 2.874578931368887424e+00
1.902000000000000000e+03, 2.901674690656363964e+00, 3.018041804898530245e+00, 2.864093484822660685e+00, 2.986034145578742027e+00, 3.073133225552737713e+00, 2.857919898815453053e+00, 2.973676600959151983e+00, 2.932827710174024105e+00, 3.075168456416577101e+00, 2.837762783747166395e+00, 3.022006654646247625e+00, 3.209120908286422491e+00, 3.209839446935802698e+00, 2.824576373677700758e+00, 3.081182681489735842e+00, 2.888210734818130732e+00
1.903000000000000000e+03, 2.903345623053610325e+00, 2.992048684973269701e+00, 2.853169874288141727e+00, 2.983155276160687208e+00, 3.040828846860677004e+00, 2.859128464478999376e+00, 2.966092026326805353e+00, 2.911701856646686792e+00, 3.078563441522419453e+00, 2.848603099118918180e+00, 3.006455604918301105e+00, 3.199420322198420763e+00, 3.170063334982842207e+00, 2.815229084808379412e+00, 3.089061146602034569e+00, 2.877164224628359079e+00
1.904000000000000000e+03, 2.926942671183496714e+00, 2.989354636520147324e+00, 2.853957877960056067e+00, 2.980187139473855495e+00, 3.047378989867866039e+00, 2.869200264103710651e+00, 2.984311350155621767e+00, 2.950629929546266794e+00, 3.062759991735219955e+00, 2.855428273323923349e+00, 2.980294637382030487e+00, 3.204602538608014584e+00, 3.185463510453701019e+00, 2.819090208504348993e+00, 3.100699523929506540e+00, 2.858742477837949991e+00
1.905000000000000000e+03, 2.910022751893848181e+00, 3.008557471912354231e+00, 2.851096924860030413e+00, 2.974584361072629690e+00, 3.049532719887793064e+00, 2.858925098553299904e+00, 2.980632532853633165e+00, 2.904276957269757986e+00, 3.068697208072990179e+00, 2.833104226738214493e+00, 3.013941168319433928e+00, 3.194476047065109015e+00, 3.186271002050489187e+00, 2.829133404884487391e+00, 3.080520406365394592e+00, 2.866444608662277460e+00
1.906000000000000000e+03, 2.919379470404237509e+00, 3.014720056671649218e+00, 2.842402167152613401e+00, 2.981984114740043879e+00, 3.043756750412285328e+00, 2.861323684919625521e+00, 2.959636179730296135e+00, 2.912629419006407261e+00, 3.064783278387039900e+00, 2.839070360641926527e+00, 3.010352875571697950e+00, 3.203272016253322363e+00, 3.185159561689943075e+00, 2.831708325538784266e+00, 3.078799182549118996e+00, 2.885448792949318886e+00
1.907000000000000000e+03, 2.925179013982415199e+00, 3.007802157662808895e+00, 2.842610876541584730e+00, 2.973816788289695978e+00, 3.057148412335664034e+00, 2.861946355551481247e+00, 2.967273874673992395e+00, 2.939225721638649702e+00, 3.088341979309916496e+00, 2.823198388796299696e+00, 3.008578217122703791e+00, 3.199543536175042391e+00, 3.190205676946789026e+00, 2.819573949091136456e+00, 3.096705756615847349e+00, 2.870060561690479517e+00
1.908000000000000000e+03, 2.893519622739404440e+00, 3.007474320475012064e+00, 2.856463333591818810e+00, 2.987648185808211565e+00, 3.048185538500547409e+00, 2.858349576126784086e+00, 2.970041160006076097e+00, 2.915195852983742952e+00, 3.091393096838146448e+00, 2.834700036328285933e+00, 3.001674776896834373e+00, 3.215136390645056963e+00, 3.203155088704079390e+00, 2.824814629275351763e+00, 3.069015615619719028e+00, 2.865698724053800106e+00
1.909000000000000000e+03, 2.913003147114068270e+00, 2.994067571125924587e+00, 2.857654925901442766e+00, 2.987083978950977325e+00, 3.079365903977304697e+00, 2.881531405728310347e+00, 2.974763838574290276e+00, 2.938755182549357414e+00, 3.080123418476432562e+00, 2.833980240393429995e+00, 3.001651831436902285e+00, 3.213803668040782213e+00, 3.181267948821187019e+00, 2.825134294107556343e+00, 3.058624779805541039e+00, 2.886925160419195890e+00
