year, MIROC-ES2L, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, CMCC-CM2-SR5, TaiESM1, INM-CM5-0, CESM2-WACCM, EC-Earth3-Veg, MPI-ESM1-2-LR, CanESM5, INM-CM4-8, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, NorESM2-LM
1.870000000000000000e+03, -5.240987549999999162e-01, 6.335319394687499717e-01, -2.898284975156250054e-01, 1.415402078062499847e+00, -3.497711654531249770e-01, 1.259951894999999933e-01, 3.681327858749999793e-01, -2.965080317343749550e-01, 1.809075728671874772e-01, -1.560867421499999796e+00, 8.766770864062499724e-01, 1.818880067812499890e+00, 1.738212950812499935e+00, -5.977412895937499471e-01, 3.885319313964843632e-03, 1.472263087499999824e-02
1.871000000000000000e+03, -9.207822765937498932e-01, -1.112258828812499933e+00, -3.717627827343749636e-01, 4.201099344843749472e-01, 1.854934338937499927e+00, 5.724858810937499820e-01, 2.497971487499999643e+00, -3.530134604531249831e-01, -2.405636296875000024e+00, 5.087812824843749304e-01, 1.597885542421874916e-01, 7.329690126562499186e-01, 3.931744948593749456e-01, -1.111657057875000021e+00, -1.304147135249999812e+00, -7.167687477187499878e-01
1.872000000000000000e+03, -2.035791327937499950e+00, 1.048207488187499870e+00, -1.084166643164062444e-01, 1.185571282499999990e+00, -1.617091797937499908e+00, -1.665423058499999831e+00, 1.122080075437499991e+00, -4.535129334374999877e-01, -1.007761151531249899e+00, -1.708413525000000016e-02, 1.302164432437499908e+00, 4.013950123124999658e-01, -2.031950588062499730e+00, -2.428528999921874820e-01, -2.073350087999999758e+00, -8.922712688437499651e-01
1.873000000000000000e+03, -1.102853340000000015e+00, -8.462768751562499414e-01, -5.208057683437499197e-01, 2.363316925078124686e-01, -4.855711560468749521e-01, 3.013832386406249952e-01, -9.533391314062499289e-01, -1.123744215374999911e+00, -9.760852105312499694e-01, -2.350008024749999702e+00, 4.162897361249999761e-01, 7.003288830937499654e-01, -1.773622458562499782e+00, -5.196723201562499783e-01, -1.735084727437499863e+00, -5.427333281249999697e-01
1.874000000000000000e+03, 6.401208615820312697e-02, 1.031070998249999926e+00, -9.437396222812499680e-01, -4.590463927499999763e-01, 9.019453679999999141e-01, 3.521633435156249492e-01, 9.196252379999999560e-01, -7.279321837499999059e-01, -9.527735159999999315e-01, -1.527258545437499837e+00, 9.229008552187499825e-01, -1.453758939140624984e-01, 1.315569080249999967e+00, -2.917929377812499836e-01, -1.170537479999999908e+00, -3.736845077343749488e-01
1.875000000000000000e+03, -3.398126263593749807e-01, -5.489442570937499433e-01, -4.701988034999999844e-01, -2.315744684296874856e-01, 2.007855236249999897e-01, -9.966425557499999366e-01, 1.930716701999999785e+00, -3.981970648124999457e-01, -1.088942637937500013e+00, 1.414596093046874836e-01, 1.400738084437499920e+00, 7.038653498437499323e-01, -3.347342832656249878e-01, 1.314351618187499904e+00, -1.011132054281249859e+00, -3.164417094374999961e-01
1.876000000000000000e+03, -2.855761943624999688e+00, -4.334879429999999867e-01, 1.638882457910156160e-02, 1.653188568749999754e-01, -7.666282724062499776e-01, -1.103112033749999998e+00, 1.372716377437499968e+00, -8.004351723749999481e-01, -6.005886454687499043e-01, -6.411745285400389897e-03, -1.392365153249999876e+00, 1.696483893515624841e-01, 1.159096194562500015e+00, -4.583282096249999826e-01, 8.575529661562499850e-01, -2.163041459296874969e-01
1.877000000000000000e+03, -1.867915098562499931e+00, 2.963287631249999499e-01, -1.324010010937499926e+00, 6.711512461874999946e-01, 9.045167222812499075e-01, 1.247750049937499828e+00, 2.451797116874999682e-01, -8.023838138437499046e-01, 9.978229999687499019e-01, -1.092902253749999941e+00, 3.987916908749999934e-01, 2.142103741874999745e+00, -1.626770393437499962e+00, -9.876048432187499726e-01, -3.736632578906249891e-01, -9.822204407812499261e-01
1.878000000000000000e+03, 9.230078281640624605e-02, 2.582912502421874645e-01, 2.271912108046874879e-01, 1.638279801562499971e+00, 2.810076565781249869e-01, -8.132230819687499279e-01, 9.226026952734374398e-02, -4.893823925156249866e-01, -1.913853811499999891e+00, -1.454586789937499791e+00, -3.618430784999999705e-01, 2.848971109499999876e+00, -2.088555613874999661e+00, 6.975903017812499218e-01, 9.662975324999999172e-02, -3.053458725468749524e-01
1.879000000000000000e+03, 5.881030995937499561e-01, 9.408413899687498860e-01, -5.840265172499999879e-01, 5.769691669687500024e-01, -1.322392405078124944e-01, -7.232610985312499796e-01, 2.917835632124999634e+00, -1.513914382687499893e+00, 9.389824289999999518e-01, -2.313332395874999836e+00, -2.688521300156249683e-01, 2.292992414999999617e+00, 1.063723692937500021e+00, 7.120993255312499937e-01, -1.197755881312499993e+00, -1.214393461874999858e+00
1.880000000000000000e+03, -7.398648641249999658e-01, -5.051231064843749730e-01, -1.607775034921875013e-01, -1.598571369580078019e-02, -2.518618174453124969e-01, 6.144804998437499721e-01, 1.333360434937499894e+00, -2.024657549296874914e-01, -7.504772824687498955e-01, 4.917259731093749364e-01, -6.615689217187499249e-01, 6.535283504062499027e-01, 4.558359725156249653e-01, -6.910017415312499356e-01, -1.209812611499999857e+00, -7.713007742812499901e-01
1.881000000000000000e+03, 8.570021332499999644e-01, -1.256246030039062378e-01, -1.585827672749999806e+00, 1.193092495312499945e+00, -5.981973297187499483e-01, 3.470429318906249616e-01, 2.501784602578124850e-01, -2.702802427031250065e-01, -1.243922121562499816e+00, 1.588930889062499796e+00, -3.283465802343749629e-01, -3.244563497812499864e-01, 1.520754614999999810e-01, -3.429070963593749966e-01, -7.867518282421874509e-02, -7.593849089999999968e-01
1.882000000000000000e+03, -1.968506684999999923e-01, -7.087847656640625105e-02, -9.943823114999998936e-01, 3.456374241093749800e-01, -3.035757913593749580e-01, -1.689266861437499934e+00, 6.726008550937498942e-01, -1.805685701062499815e+00, -3.429352015874999715e+00, 1.614375113203124767e-01, 1.122825482999999958e+00, 8.088173426249999354e-01, -7.099329501562499090e-01, 9.305777770312499697e-02, 1.670238088312499869e+00, -4.979734271718749827e-01
1.883000000000000000e+03, -3.533855174999999543e-02, -2.760558886406249690e-01, -4.021164291093749510e-01, 2.748572742656249512e-01, 2.647166086124999929e+00, 8.151230643749999283e-01, 1.876055574937499859e+00, -1.021139929968750026e+00, -8.826308614687499166e-01, -6.340133562187499905e-01, -1.371904325437499850e+00, 1.916068599562499752e+00, -4.835273522343749852e-01, 3.069304025624999821e-01, -2.284041857624999672e+00, -7.961813694140625064e-02
1.884000000000000000e+03, 1.558729871999999794e+00, 8.940353138437499014e-01, 5.094561036093749884e-01, 2.526605929124999594e+00, 6.103871024062499373e-01, -2.680352737031249655e-01, 5.212905234750000005e+00, -2.349383494921874760e-01, 7.142049694687498951e-01, -3.595961384999999955e-01, 4.576278578906249894e-01, 5.163219773999999873e+00, 1.415398751999999982e+00, 4.893338181445312102e-02, 1.624716703828124886e-01, -3.914853170624999490e-01
1.885000000000000000e+03, 6.206088315937499100e-01, 3.001336862343749745e-01, 3.989658472031249459e-01, 2.250329380874999785e+00, -1.122449268374999809e+00, -4.637190178124999673e-01, 2.302743198374999967e+00, -6.904376659687498918e-01, -9.474826744687498969e-01, 1.249826005687499908e+00, 5.368946640820312227e-02, 4.254483263906249646e-01, 1.523582630437499974e+00, -3.283660130624999618e-01, -3.338509364999999729e-01, -3.762962675156249492e-01
1.886000000000000000e+03, 7.483101679687499397e-01, 2.921326581093749986e-01, -3.734687756249999713e-01, 2.773214246249999793e-01, -3.788376256406249531e-01, 7.213521850312499817e-01, 6.934685712187499407e-01, -1.254048873187499913e+00, -3.933820349999999633e-01, -8.844211454062499422e-01, 9.797494227187498739e-01, 7.317768656249999948e-01, 1.129995241874999889e+00, -1.198126167539062398e-01, 1.916344169999999902e+00, -7.367448327187499091e-01
