year, GFDL-ESM4, MIROC-ES2L, CanESM5, CNRM-ESM2-1, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, EC-Earth3-Veg, TaiESM1, NorESM2-LM, UKESM1-0-LL, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM, IPSL-CM6A-LR, ACCESS-ESM1-5
1.870000000000000000e+03, 4.093373946265600125e+02, 5.292834831728639529e+02, 5.074912217661440081e+02, 5.027186406850560161e+02, 5.758553235128320011e+02, 4.138804969472000153e+02, 5.335004364144639339e+02, 4.016555100733439758e+02, 5.610800320348159858e+02, 5.161084025569280129e+02, 5.861025786101760104e+02, 3.941971987005439928e+02, 5.756153422151679706e+02, 5.167004369551359559e+02, 3.628619561697279892e+02, 6.350945994670080381e+02
1.871000000000000000e+03, 4.084755825950720123e+02, 5.288568721244159860e+02, 5.070994066636799857e+02, 5.018681029427199860e+02, 5.766498924625919926e+02, 4.133434918174719996e+02, 5.330809724600319441e+02, 4.011723598069759760e+02, 5.620547211755520038e+02, 5.156494450360320343e+02, 5.858662211911679378e+02, 3.962537162833920092e+02, 5.760303434301439438e+02, 5.167701966192639702e+02, 3.617832147353599908e+02, 6.355569795399679833e+02
1.872000000000000000e+03, 4.073362083020799673e+02, 5.284128798801920084e+02, 5.079065585254400048e+02, 5.018038797598720180e+02, 5.771681742192639604e+02, 4.130169400852479953e+02, 5.330157426442240194e+02, 4.008084619919359852e+02, 5.616131112959999427e+02, 5.148416220856320251e+02, 5.852776764538880343e+02, 3.961442617262080148e+02, 5.763938050375679722e+02, 5.159910627082240353e+02, 3.619762869370879912e+02, 6.358333338419199663e+02
1.873000000000000000e+03, 4.060895940444160033e+02, 5.275728446750720195e+02, 5.084499389972480117e+02, 5.011631243264000091e+02, 5.758535786823680382e+02, 4.116456375582719716e+02, 5.318773078753280288e+02, 4.005289200189440066e+02, 5.602406008094719709e+02, 5.135826933514240409e+02, 5.848235507711999617e+02, 3.939774507253760021e+02, 5.757200320430080183e+02, 5.151681738178559726e+02, 3.618345865707519806e+02, 6.361001586851839420e+02
1.874000000000000000e+03, 4.056019139297279708e+02, 5.272285762027520377e+02, 5.090290884935679969e+02, 5.015187677511680135e+02, 5.756168186101759829e+02, 4.097950099701760109e+02, 5.309533530357759901e+02, 3.991691602165760173e+02, 5.611109356666879648e+02, 5.130558887690240226e+02, 5.847943584153599659e+02, 3.955051840143360096e+02, 5.758931729121279659e+02, 5.144669868523519654e+02, 3.610667269488640159e+02, 6.356449592606719534e+02
1.875000000000000000e+03, 4.046119910768640011e+02, 5.273009195581439599e+02, 5.102041647022080042e+02, 5.005784047943679980e+02, 5.764197761679359928e+02, 4.099312745185279709e+02, 5.305535519784959888e+02, 3.982626201272319690e+02, 5.601484603392000281e+02, 5.131052808929280218e+02, 5.848896530022400384e+02, 3.966142251008000130e+02, 5.755052836782080021e+02, 5.137391241134080246e+02, 3.620663134781439680e+02, 6.353104215736319702e+02
1.876000000000000000e+03, 4.045806847918079825e+02, 5.266829811384319555e+02, 5.089453030768639792e+02, 4.996036485447679638e+02, 5.765484238602240339e+02, 4.096474040238080079e+02, 5.305181184983040339e+02, 3.971702220390399702e+02, 5.586835409469439355e+02, 5.128195313500159500e+02, 5.852798239375359799e+02, 3.957651301990400157e+02, 5.758953203957760252e+02, 5.133290218455040304e+02, 3.622860278988799791e+02, 6.350999010672639997e+02
1.877000000000000000e+03, 4.041644756172800044e+02, 5.256386329968639757e+02, 5.086038196224000103e+02, 4.989698053242880178e+02, 5.768283349319680156e+02, 4.089144074567680036e+02, 5.294826287267840144e+02, 3.972711537704959710e+02, 5.600266913054720135e+02, 5.119192994938879906e+02, 5.848531457802239402e+02, 3.964051138805759820e+02, 5.760757090222080024e+02, 5.128419457105919719e+02, 3.617436540600319859e+02, 6.355415445012480404e+02
1.878000000000000000e+03, 4.041163250073599897e+02, 5.251937347829759801e+02, 5.083225663733759916e+02, 4.993830952632320077e+02, 5.764835966975999781e+02, 4.074804923596799995e+02, 5.293495182950399567e+02, 3.981050485145599964e+02, 5.601891954196479446e+02, 5.112134149079039958e+02, 5.843015780270079631e+02, 3.975350929326079950e+02, 5.769292666634239595e+02, 5.129321400238079605e+02, 3.618372038164479818e+02, 6.362197466808320314e+02
1.879000000000000000e+03, 4.037459511869440121e+02, 5.253443270737919875e+02, 5.079389049978880166e+02, 4.995235205611519973e+02, 5.767482740572160083e+02, 4.057213677076479712e+02, 5.281915548467200097e+02, 3.968612863836160045e+02, 5.592248410439680129e+02, 5.102996941701119908e+02, 5.837109529149439595e+02, 3.970562711879679796e+02, 5.776021001338880296e+02, 5.123816795668479926e+02, 3.621121488322559685e+02, 6.371471240724480367e+02
