year, CMCC-CM2-SR5, CanESM5, EC-Earth3-Veg, MIROC-ES2L, INM-CM4-8, NorESM2-LM, ACCESS-ESM1-5, IPSL-CM6A-LR, MPI-ESM1-2-LR, NorESM2-MM, TaiESM1, CNRM-ESM2-1, INM-CM5-0, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4
1.873000000000000000e+03, 2.873263549804687500e+02, 2.867189941406250000e+02, 2.867857360839843750e+02, 2.882281799316406250e+02, 2.865239562988281250e+02, 2.874444274902343750e+02, 2.878226013183593750e+02, 2.862095642089843750e+02, 2.866964111328125000e+02, 2.870585021972656250e+02, 2.872041931152343750e+02, 2.869510192871093750e+02, 2.863467712402343750e+02, 2.866962585449218750e+02, 2.869424743652343750e+02, 2.865170593261718750e+02
1.874000000000000000e+03, 2.873091430664062500e+02, 2.866428222656250000e+02, 2.867639465332031250e+02, 2.881765136718750000e+02, 2.865133361816406250e+02, 2.874584655761718750e+02, 2.878639221191406250e+02, 2.861187438964843750e+02, 2.865836486816406250e+02, 2.873216247558593750e+02, 2.870227355957031250e+02, 2.867836914062500000e+02, 2.862368774414062500e+02, 2.864881286621093750e+02, 2.870024108886718750e+02, 2.866270446777343750e+02
1.875000000000000000e+03, 2.872540588378906250e+02, 2.867668151855468750e+02, 2.866690979003906250e+02, 2.884383239746093750e+02, 2.866040954589843750e+02, 2.875537719726562500e+02, 2.878085632324218750e+02, 2.860249328613281250e+02, 2.865098571777343750e+02, 2.872141418457031250e+02, 2.871683349609375000e+02, 2.868050537109375000e+02, 2.863058166503906250e+02, 2.864519958496093750e+02, 2.869193115234375000e+02, 2.866252441406250000e+02
1.876000000000000000e+03, 2.871642150878906250e+02, 2.868316955566406250e+02, 2.866112365722656250e+02, 2.885940551757812500e+02, 2.865257263183593750e+02, 2.876216430664062500e+02, 2.877283020019531250e+02, 2.861434936523437500e+02, 2.865287170410156250e+02, 2.870471191406250000e+02, 2.872822570800781250e+02, 2.868435058593750000e+02, 2.863258056640625000e+02, 2.864896545410156250e+02, 2.868857727050781250e+02, 2.865230712890625000e+02
1.877000000000000000e+03, 2.871685485839843750e+02, 2.867831115722656250e+02, 2.866653137207031250e+02, 2.883719482421875000e+02, 2.864490051269531250e+02, 2.877654113769531250e+02, 2.877293090820312500e+02, 2.861531677246093750e+02, 2.866030273437500000e+02, 2.872841491699218750e+02, 2.872438659667968750e+02, 2.869585876464843750e+02, 2.864945373535156250e+02, 2.866197814941406250e+02, 2.869592895507812500e+02, 2.865425720214843750e+02
1.878000000000000000e+03, 2.872575378417968750e+02, 2.868157653808593750e+02, 2.868404235839843750e+02, 2.881834411621093750e+02, 2.863813781738281250e+02, 2.878133850097656250e+02, 2.875953674316406250e+02, 2.860430908203125000e+02, 2.866551818847656250e+02, 2.871110534667968750e+02, 2.872788085937500000e+02, 2.869770202636718750e+02, 2.863727416992187500e+02, 2.867575988769531250e+02, 2.871872863769531250e+02, 2.865469665527343750e+02
1.879000000000000000e+03, 2.872140808105468750e+02, 2.867814025878906250e+02, 2.866263427734375000e+02, 2.881732482910156250e+02, 2.864427490234375000e+02, 2.877063293457031250e+02, 2.876855468750000000e+02, 2.859710388183593750e+02, 2.867466125488281250e+02, 2.869902954101562500e+02, 2.872192077636718750e+02, 2.867146911621093750e+02, 2.862072143554687500e+02, 2.865695190429687500e+02, 2.872832946777343750e+02, 2.867146301269531250e+02
1.880000000000000000e+03, 2.871385803222656250e+02, 2.868474426269531250e+02, 2.867343444824218750e+02, 2.881705322265625000e+02, 2.864594726562500000e+02, 2.877416076660156250e+02, 2.876784057617187500e+02, 2.860545654296875000e+02, 2.866554565429687500e+02, 2.870065612792968750e+02, 2.871217956542968750e+02, 2.867680969238281250e+02, 2.863312683105468750e+02, 2.865749511718750000e+02, 2.870466003417968750e+02, 2.865602722167968750e+02
1.881000000000000000e+03, 2.872447204589843750e+02, 2.868331604003906250e+02, 2.868836059570312500e+02, 2.882015075683593750e+02, 2.865007324218750000e+02, 2.876095886230468750e+02, 2.875927734375000000e+02, 2.859568176269531250e+02, 2.866068420410156250e+02, 2.873164672851562500e+02, 2.871482849121093750e+02, 2.870018005371093750e+02, 2.863267822265625000e+02, 2.864949645996093750e+02, 2.869734497070312500e+02, 2.865201416015625000e+02
1.882000000000000000e+03, 2.872223815917968750e+02, 2.867259216308593750e+02, 2.868800354003906250e+02, 2.883431701660156250e+02, 2.866180114746093750e+02, 2.875122680664062500e+02, 2.876336059570312500e+02, 2.858005981445312500e+02, 2.865874328613281250e+02, 2.871893005371093750e+02, 2.872918395996093750e+02, 2.868603210449218750e+02, 2.863676147460937500e+02, 2.865718994140625000e+02, 2.871751098632812500e+02, 2.864357604980468750e+02
