year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2, IPSL-CM6A-LR, NorESM2-MM, TaiESM1, NorESM2-LM, CNRM-ESM2-1, MPI-ESM1-2-LR
2.048000000000000000e+03, 3.513223909818440564e-11, 1.023984653271399513e-13, 2.673144367919661273e-12, 4.525826317688414666e-12, 1.169135562225736986e-11, 2.851841553744368933e-10, 6.352189299979376846e-12, 2.767338917220547852e-10, 3.560081639522284264e-11, 4.720663232596106239e-12
2.049000000000000000e+03, 3.554063357854387018e-11, 1.143836604642346319e-13, 2.636256278306285526e-12, 4.900627312174302838e-12, 1.173336961239807815e-11, 2.856529615676193888e-10, 6.227913868634178031e-12, 3.039102329875121182e-10, 3.702485242935934269e-11, 4.700866084380791681e-12
2.050000000000000000e+03, 3.552228997549537625e-11, 1.074393784173182413e-13, 3.025910315743506606e-12, 3.372027193403466573e-12, 1.177235785630478285e-11, 2.845806698077411504e-10, 5.440601306405791681e-12, 2.687471406561209603e-10, 3.875747244765031940e-11, 4.044520218620432478e-12
2.051000000000000000e+03, 3.448252177676599768e-11, 8.980882949716803715e-14, 1.916902978432386095e-12, 2.894508169205909304e-12, 9.873794582167774758e-12, 3.690641868713009685e-10, 5.508148305904524607e-12, 2.498456935063640246e-10, 4.809027509677056344e-11, 3.660287443008487395e-12
2.052000000000000000e+03, 3.536705090362060524e-11, 9.172491737693993361e-14, 1.753165157622089397e-12, 2.891042305289096116e-12, 9.759698502881747860e-12, 3.513709434443071209e-10, 5.579742799249143977e-12, 2.438315548771736301e-10, 4.812971808283756773e-11, 3.585711741920333104e-12
2.053000000000000000e+03, 3.602911036858077306e-11, 1.169718155490072931e-13, 2.065308552584793388e-12, 3.195172947502540683e-12, 9.665906598498907521e-12, 3.532918372510326911e-10, 5.767296719844498282e-12, 2.310881969469414688e-10, 4.879089143127486322e-11, 3.505640360404233513e-12
2.054000000000000000e+03, 3.799766984780164666e-11, 1.002499641884414228e-13, 1.814528666371190100e-12, 2.883789352933394298e-12, 9.656279124816187005e-12, 3.734186510628715861e-10, 5.504727658227860508e-12, 2.827250866746056842e-10, 4.961854006932750270e-11, 3.495332719977915253e-12
2.055000000000000000e+03, 3.456003106722922049e-11, 8.401268156620914625e-14, 1.657048028864968861e-12, 2.433817499457307312e-12, 9.547716354839840576e-12, 4.202665269634008817e-10, 4.706657944126688564e-12, 3.088785063140160886e-10, 5.080544985433582115e-11, 3.520288359873169625e-12
2.056000000000000000e+03, 2.907788793846608297e-11, 5.343514826947439310e-14, 2.165217783727977518e-12, 2.411803716985159483e-12, 8.434588914921572140e-12, 3.614027486098665884e-10, 4.643594044540150668e-12, 3.478663246603434859e-10, 3.227681267563994053e-11, 3.605366582991982048e-12
2.057000000000000000e+03, 3.051978655230656363e-11, 4.714105156199029765e-14, 2.482209846872349422e-12, 2.220641891390450945e-12, 8.345514804916690065e-12, 3.892254527406944799e-10, 4.783226792866856634e-12, 3.450834356176005083e-10, 3.218975009677789432e-11, 3.897283130525570850e-12
2.058000000000000000e+03, 2.934399394703707046e-11, 6.465843923252353851e-14, 2.332528102974616680e-12, 2.210281008030104113e-12, 8.203872683070807889e-12, 4.211800362957003521e-10, 4.806835453437999655e-12, 3.247467085133017877e-10, 3.243523178721613078e-11, 3.771095892840191606e-12
2.059000000000000000e+03, 2.941631161794644313e-11, 6.523411808176786275e-14, 2.405980510325852802e-12, 2.449595804886343268e-12, 8.070272268131861822e-12, 3.623133430170949649e-10, 4.672577056233694268e-12, 2.929029367729630396e-10, 3.184278403454422039e-11, 3.457210735972774970e-12
2.060000000000000000e+03, 3.102486530932588037e-11, 5.450093791008592080e-14, 2.668588986047478380e-12, 2.682739675033541761e-12, 7.921043521305955936e-12, 4.027208233153981222e-10, 5.256601237542743129e-12, 2.507286050723014394e-10, 3.169377652700209121e-11, 3.938242735776563897e-12
2.061000000000000000e+03, 3.410151913126427208e-11, 6.585709518215026332e-14, 1.713148048126523670e-12, 2.524288818826140062e-12, 8.730553032649277107e-12, 3.869556838417393498e-10, 5.089840539599189673e-12, 2.700354062254123808e-10, 4.081115265669206943e-11, 4.565119721123830521e-12
2.062000000000000000e+03, 3.299155054094126625e-11, 8.794784791713574332e-14, 1.678913720092343375e-12, 2.531862514310289935e-12, 8.759946841733611592e-12, 4.116252321319626484e-10, 5.120761312187219537e-12, 3.101632067523536936e-10, 4.073517800212665042e-11, 4.703508960461076354e-12
