year, GFDL-ESM4, INM-CM4-8, NorESM2-MM, CMCC-CM2-SR5, UKESM1-0-LL, CESM2-WACCM, CanESM5, IPSL-CM6A-LR, NorESM2-LM, EC-Earth3-Veg, ACCESS-ESM1-5, INM-CM5-0, MIROC-ES2L, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1
2.025000000000000000e+03, 1.503854441081465376e+00, 2.798507995846184038e+00, 1.893458238303260543e+00, 1.227685199586691533e+00, 2.413679072197968178e+00, 1.649999464911397817e+00, 3.241646110905992195e+00, 1.688667160440212589e+00, 1.072570624618574220e+00, 6.783926638546324384e+00, 2.253743788365645706e+00, 3.035958008373524475e+00, 1.517972666785637470e+00, 1.249407619608220221e+00, 3.379098138394617035e+00, 2.125299648019332466e+00
2.026000000000000000e+03, 1.537314339735941005e+00, 3.027305220360608118e+00, 1.940354352917307512e+00, 1.404427776100106717e+00, 2.587129898291067764e+00, 2.090300707699759286e+00, 3.089431170125031212e+00, 1.803521409904722095e+00, 1.492113174513181262e+00, 5.881209086534428643e+00, 1.997154744737447363e+00, 3.282782083069293755e+00, 1.526898979044751359e+00, 1.241053752294457801e+00, 3.633884348853556823e+00, 2.013600572872406680e+00
2.027000000000000000e+03, 1.476346429090985124e+00, 2.964201388031931561e+00, 2.058028571250416050e+00, 1.338097036248169891e+00, 2.338738630798752993e+00, 2.083952222396758813e+00, 3.093853166219243889e+00, 1.760495070771095127e+00, 1.782206225696828961e+00, 5.367950833752357376e+00, 2.132405606634168116e+00, 3.184825003369862628e+00, 1.639510722583438884e+00, 1.168610639973645116e+00, 4.216776278716511506e+00, 2.225804400934153104e+00
2.028000000000000000e+03, 1.500087063244100349e+00, 2.591538548223640603e+00, 2.139744551641885817e+00, 1.211488990068756877e+00, 2.342500992647623459e+00, 2.278978041758596973e+00, 3.386934183858945069e+00, 1.815537297964707530e+00, 2.073630189487025266e+00, 5.515900885524009034e+00, 2.082113892671071831e+00, 3.297048656735043881e+00, 1.701949875825039982e+00, 1.206555591178193554e+00, 4.035775132893589578e+00, 1.932873237239568276e+00
2.029000000000000000e+03, 1.401166691771956740e+00, 2.610819548394465617e+00, 1.914665218198835506e+00, 1.245664230878311463e+00, 1.751280535378372916e+00, 2.125140629934346936e+00, 3.195459572767656020e+00, 2.039654089558605055e+00, 1.639179862738669335e+00, 5.803569247291134658e+00, 2.121403301030471145e+00, 3.325193313562639919e+00, 1.485474954380792800e+00, 1.339414849637510452e+00, 3.882681245986987495e+00, 1.814581670239357347e+00
2.030000000000000000e+03, 1.347879700939066172e+00, 2.658163133592047256e+00, 1.825055278586052321e+00, 1.121575591648972692e+00, 1.565901787228901831e+00, 2.284362723694074671e+00, 3.278067072320105968e+00, 1.694806190890866704e+00, 1.403174606925189360e+00, 5.652625073262591116e+00, 1.948778773802824382e+00, 3.070832470910008993e+00, 1.516017128856692375e+00, 1.426073556196454817e+00, 3.050951719073879964e+00, 2.267269019836220867e+00
2.031000000000000000e+03, 1.370256843035208894e+00, 2.351018391719609024e+00, 1.805739238528811130e+00, 1.199279018986257439e+00, 1.648482634081406717e+00, 2.294975594461485358e+00, 3.274574397501884615e+00, 1.609368069409951030e+00, 1.669963117638808781e+00, 5.894516079192646529e+00, 2.074312320276991084e+00, 3.520338389562991388e+00, 1.852821881151639705e+00, 1.209617299914536481e+00, 3.129353546649614959e+00, 2.204428485134098725e+00
2.032000000000000000e+03, 1.429678790105231689e+00, 2.300489292183454548e+00, 1.774191919356674196e+00, 1.393010123189776461e+00, 2.024301469382768559e+00, 2.094452737058129621e+00, 3.422747307585244592e+00, 1.766734119265497727e+00, 1.632573476120703804e+00, 8.293824839009410255e+00, 2.304682777402440763e+00, 3.678176017251976848e+00, 2.096198859171603424e+00, 1.182514640660030647e+00, 4.362399347309128039e+00, 2.071067420598427411e+00
2.033000000000000000e+03, 1.490417480884233647e+00, 2.847742751628325575e+00, 1.653043605348797129e+00, 1.365791090570157129e+00, 2.261800881411152986e+00, 1.852665305648980798e+00, 3.242672996411013475e+00, 1.969910490358654842e+00, 1.856535772138005580e+00, 5.076264159161618217e+00, 2.448927994878078884e+00, 3.304532085317118284e+00, 1.706437840702008657e+00, 1.238168924706660512e+00, 4.285769650108673723e+00, 2.053222500786105797e+00
2.034000000000000000e+03, 1.403755102427376222e+00, 2.572655252728313968e+00, 1.381905406750292276e+00, 1.400408988033031710e+00, 2.379696905596029310e+00, 1.661838354685299501e+00, 3.325029402504541487e+00, 1.992026445047881511e+00, 2.045796291764195196e+00, 5.347523582645571594e+00, 2.296074123033478465e+00, 3.159402279081652498e+00, 1.263301299518624576e+00, 1.220703698926682179e+00, 4.153113538267443339e+00, 2.348555551873057645e+00
2.035000000000000000e+03, 1.462645305188227551e+00, 2.683330253332985471e+00, 1.826253897163483852e+00, 1.285619034571541031e+00, 2.083912930171976097e+00, 1.862884412457987082e+00, 3.368485687614426016e+00, 2.222809174334691384e+00, 1.771891364353050946e+00, 5.293442094054784164e+00, 2.279387906502589711e+00, 3.226708208774970998e+00, 1.681251071844015677e+00, 1.244117717321569394e+00, 3.643056301139884212e+00, 2.550028962284791589e+00
2.036000000000000000e+03, 1.551048834682341004e+00, 3.508128834708997168e+00, 2.063417509815245410e+00, 1.295416108876925376e+00, 2.403960706043188900e+00, 1.924649649739532675e+00, 3.524698933446317461e+00, 1.931038718637521301e+00, 1.873797034727519684e+00, 7.196624731937099284e+00, 2.316141795192345310e+00, 3.960087161596813843e+00, 1.787867997929149189e+00, 1.401739103624960014e+00, 3.853343133674486332e+00, 1.943125706284767773e+00
2.037000000000000000e+03, 1.491219434240047104e+00, 3.129335790865153122e+00, 2.040027761501428838e+00, 1.314779927994968345e+00, 2.161272616551134007e+00, 2.298694977022458730e+00, 3.567303190531470936e+00, 1.727304518315836646e+00, 1.783501718619070031e+00, 6.548475952408873368e+00, 2.484226305167731574e+00, 3.540178758289262095e+00, 1.481954244419620981e+00, 1.254553646975790082e+00, 3.851491893829020796e+00, 2.144128407780509171e+00
2.038000000000000000e+03, 1.602768890173938976e+00, 2.968167967372716820e+00, 1.663147825837330007e+00, 1.605470832940028014e+00, 2.368371803526105879e+00, 2.464618148260003139e+00, 3.432232336823191954e+00, 2.198384952150055582e+00, 1.734574961980034580e+00, 6.263487803767009865e+00, 2.385004354361348611e+00, 3.359491743656300766e+00, 1.764150764501470237e+00, 1.259918396087069459e+00, 3.962545711978962881e+00, 2.553873172658368329e+00
2.039000000000000000e+03, 1.467573015460953645e+00, 2.565056087239468319e+00, 1.814885583317718876e+00, 1.534911145281749878e+00, 2.175946250497404311e+00, 2.476304288217926697e+00, 3.488575676048492724e+00, 2.266326051985004142e+00, 1.581888842274976392e+00, 6.852089833298129484e+00, 2.233910622432459192e+00, 3.299289098464271319e+00, 1.511750038225571746e+00, 1.392343963445773047e+00, 4.653606106420906663e+00, 2.545200968627474580e+00
2.040000000000000000e+03, 1.619846941701824639e+00, 2.568426295395502823e+00, 1.718106115484770768e+00, 1.150940471655808039e+00, 2.959938569411569631e+00, 2.282677294626143105e+00, 3.386238080072077494e+00, 2.138298935347913599e+00, 1.823141382060774918e+00, 7.011350954353927634e+00, 2.128898634138916002e+00, 3.501080108273637137e+00, 1.794741472300128260e+00, 1.346183529562005043e+00, 3.520371988983451050e+00, 2.105664320310367987e+00
2.041000000000000000e+03, 1.776229453005033765e+00, 2.612485814156245478e+00, 2.130882173590842310e+00, 1.427944229477028815e+00, 2.188741680804562773e+00, 2.441207071101169301e+00, 3.459921014427603581e+00, 2.310142815518935855e+00, 1.627384462626785711e+00, 6.337969691429125696e+00, 2.215656409988904230e+00, 3.174980365165960716e+00, 1.801890819429198487e+00, 1.313939954355044071e+00, 3.159238764900999641e+00, 2.614846840413834972e+00
2.042000000000000000e+03, 1.724913427037657598e+00, 2.751169580675799420e+00, 2.232975403914656543e+00, 1.545319300258842343e+00, 1.678787543848341945e+00, 2.248519377521516649e+00, 3.635542145899376631e+00, 2.029722927099741447e+00, 2.218873248710087953e+00, 6.375730029899617790e+00, 2.201631968763825498e+00, 3.054201919202768511e+00, 2.031530859906669040e+00, 1.307949963893423551e+00, 3.602163052863776027e+00, 2.333962166193332521e+00
2.043000000000000000e+03, 1.470105520108428321e+00, 2.903833157213080440e+00, 2.042533309428482546e+00, 1.409103164133944652e+00, 2.414989825424074699e+00, 2.193442710319041478e+00, 3.502474866201389148e+00, 1.827643094340717811e+00, 2.015183686641678573e+00, 6.282522588704589239e+00, 2.163288335039927013e+00, 3.645776706974714454e+00, 1.747767707130867043e+00, 1.233345739010858866e+00, 4.470754388294905013e+00, 2.461664503118115022e+00
2.044000000000000000e+03, 1.577755129364163622e+00, 2.744357826486324203e+00, 2.027447068001464903e+00, 1.770055638300401801e+00, 2.335124390371949410e+00, 2.201407636182658223e+00, 3.687997872983830749e+00, 1.951717762580587268e+00, 2.109116567456803093e+00, 5.401579099654149729e+00, 2.233604834706807374e+00, 3.137443680766930587e+00, 1.848299100107027026e+00, 1.488602065470954416e+00, 4.161880773527566468e+00, 2.380257935342491749e+00
2.045000000000000000e+03, 1.613949647743860183e+00, 2.930514073608310621e+00, 1.842268704973405447e+00, 1.525972823946565748e+00, 2.353338654736812252e+00, 2.302392030721410965e+00, 3.674458112460212256e+00, 2.176100225030678015e+00, 1.677057143373034798e+00, 6.167306877087554540e+00, 2.187359003666835999e+00, 3.513894958831879300e+00, 2.045944657421627788e+00, 1.442480949542128021e+00, 4.417902592262529460e+00, 2.380241019484456988e+00
2.046000000000000000e+03, 1.591191212563487944e+00, 2.814021741455881020e+00, 1.646853830790584228e+00, 1.436195218217993563e+00, 2.241101112332414491e+00, 2.602960598835616146e+00, 3.765039716408675297e+00, 2.224249422518635111e+00, 1.817060913299930913e+00, 6.067016843597309972e+00, 2.313548503440838289e+00, 3.368747805995077726e+00, 2.046765800707336602e+00, 1.294857830074401583e+00, 3.890938409887501059e+00, 2.662320743795002276e+00
2.047000000000000000e+03, 1.640923763592419871e+00, 3.024177631949378497e+00, 2.066941744489683597e+00, 1.326048958202610928e+00, 2.332182378098059061e+00, 1.829890200289893798e+00, 3.914332003578476549e+00, 2.401871620224679038e+00, 1.872918231491416563e+00, 7.717215334011314987e+00, 2.348494780284354988e+00, 3.387498050973090535e+00, 1.818321956771819625e+00, 1.391941094139313329e+00, 3.894733421989133859e+00, 2.711882853773947222e+00
2.048000000000000000e+03, 1.650998758781072384e+00, 2.764635950025283950e+00, 1.738683934711076962e+00, 1.439077467707912117e+00, 2.569941056194797735e+00, 2.126796936556476947e+00, 3.713393633590281073e+00, 2.380636371123598938e+00, 1.881260869647985334e+00, 6.494596761655584416e+00, 2.510165734143345428e+00, 3.128091836416917459e+00, 1.695839050355196331e+00, 1.427084150716150468e+00, 3.875319938613764226e+00, 2.280163575374081208e+00
2.049000000000000000e+03, 1.618722525900364806e+00, 3.517252701605168674e+00, 1.815393951665525529e+00, 1.592806614239056451e+00, 2.927911911128648903e+00, 2.583273368728604247e+00, 3.891468934173253569e+00, 1.924027893024529812e+00, 1.976015882882998564e+00, 6.638306286284575641e+00, 2.527144029844418327e+00, 3.214399838311800206e+00, 1.984876239962100719e+00, 1.316463908075219180e+00, 4.091304088070582878e+00, 2.486833529014511601e+00
2.050000000000000000e+03, 1.507037361818459598e+00, 3.026548609436427562e+00, 1.836745667945123062e+00, 1.522011924050634679e+00, 2.758894866805311707e+00, 2.388536904233020675e+00, 3.918251263142344065e+00, 1.999961758830027581e+00, 1.962436144266071603e+00, 6.415257303273104839e+00, 2.413529070034449386e+00, 3.377369774122926938e+00, 2.161730400028684329e+00, 1.243431194150646846e+00, 4.064072465689039682e+00, 2.401880149589402880e+00
2.051000000000000000e+03, 1.606059694526379866e+00, 2.821775951266582538e+00, 2.368824409440343892e+00, 1.448267894759175833e+00, 2.594272629373718608e+00, 2.077859449462400754e+00, 3.856906552191631476e+00, 2.084755807001814176e+00, 1.600221669937664570e+00, 5.748818693004430713e+00, 2.097254318541041052e+00, 3.592192644208781260e+00, 1.826538278822993799e+00, 1.342034189358688678e+00, 4.151367754149153377e+00, 2.220615370762958118e+00
2.052000000000000000e+03, 1.574814638287020729e+00, 2.814204195311252654e+00, 2.195736701796327406e+00, 1.475745728047177519e+00, 2.779458738857267353e+00, 3.082160825930897907e+00, 3.836236898064178114e+00, 2.309224736041425974e+00, 1.682468177476233784e+00, 6.365965632273518970e+00, 2.358877338453262418e+00, 3.828968999160698772e+00, 1.718880287113378369e+00, 1.421263060412972346e+00, 3.888805344971441258e+00, 2.485648059466520898e+00
2.053000000000000000e+03, 1.782721586186149842e+00, 2.820052501973474346e+00, 2.412190577606978525e+00, 1.580304194116404437e+00, 3.330146065934754152e+00, 2.198456610257508714e+00, 3.896367246314992538e+00, 2.265888237911248826e+00, 1.708712750344065556e+00, 8.788324543197063576e+00, 2.392026860793599496e+00, 3.634618705502211000e+00, 1.685544887786367685e+00, 1.512422049091083354e+00, 3.820736301852555528e+00, 2.339418093684417332e+00
2.054000000000000000e+03, 1.688405439886487391e+00, 3.078929705338246947e+00, 2.112031461954741118e+00, 1.787014263295338745e+00, 2.293729050695829219e+00, 1.566541155510352779e+00, 3.861823690709674128e+00, 2.126373959011676806e+00, 2.122848916317003898e+00, 6.096443481208909887e+00, 2.557885806370857829e+00, 3.448944229538843498e+00, 1.640665400237657279e+00, 1.602770379957538127e+00, 3.093248476815484871e+00, 2.524005022825697608e+00
2.055000000000000000e+03, 1.553022367773340351e+00, 3.813648256081807464e+00, 2.556643413050996738e+00, 1.486478228114856082e+00, 2.088003176166441488e+00, 2.399994486673895366e+00, 4.006861081320812978e+00, 2.666708401907726955e+00, 1.621370327631702413e+00, 5.877338576478353005e+00, 2.520639967565535322e+00, 3.532542646005956577e+00, 1.973540497158695173e+00, 1.470030741499205318e+00, 4.190638959445792011e+00, 2.808899783090999858e+00
2.056000000000000000e+03, 1.722065236464781712e+00, 3.331554519512849755e+00, 2.394953017737187384e+00, 1.617525510345236173e+00, 2.167855745794311062e+00, 2.701470606808664687e+00, 4.136118626376068974e+00, 2.490695001098534256e+00, 2.433285627365628034e+00, 7.285778404505313333e+00, 2.573356309344128068e+00, 3.289954231673711149e+00, 1.881895248799370091e+00, 1.466024724681251223e+00, 4.448635820672111052e+00, 2.216123550587549840e+00
2.057000000000000000e+03, 1.772065735802814013e+00, 3.630422103928891087e+00, 2.757427108574934227e+00, 1.615612349715230600e+00, 2.225379405650604880e+00, 1.858351725514189479e+00, 4.186268877591058590e+00, 2.281638830302077370e+00, 2.135700730864463992e+00, 7.774884354946376419e+00, 2.624498053670913045e+00, 3.861106938417820267e+00, 2.020641049983252557e+00, 1.565954066781554577e+00, 3.493927123685196090e+00, 2.526958289923920464e+00
2.058000000000000000e+03, 1.851673731081265872e+00, 3.107740125149393240e+00, 2.119982394127266190e+00, 1.483433983673712486e+00, 2.912539411330737238e+00, 2.690691726133052519e+00, 3.942604802981939383e+00, 2.510962930077335287e+00, 2.186807838281916272e+00, 7.437741453542011882e+00, 2.656004817848651278e+00, 3.467143376912994235e+00, 1.847514782149918489e+00, 1.563505362595328130e+00, 3.711372971423089862e+00, 2.761994473296340402e+00
2.059000000000000000e+03, 1.823898251745295296e+00, 2.787364147267715087e+00, 1.672447385700916334e+00, 1.396377370200488244e+00, 2.339417790977417422e+00, 2.746667597252219650e+00, 4.302380594916226819e+00, 2.193246520102402286e+00, 1.856218253267798213e+00, 7.979558328103847131e+00, 2.255370706016520899e+00, 3.516497256411236005e+00, 2.239385462586479747e+00, 1.680855456287673633e+00, 3.889523184401369349e+00, 2.530404097345196224e+00
2.060000000000000000e+03, 1.990657924517696520e+00, 2.998032443787448820e+00, 2.415127538323937895e+00, 1.562130401301366600e+00, 2.154948725442146884e+00, 1.896262416640124515e+00, 4.068492657908736376e+00, 2.152381729555257195e+00, 1.634837533914488716e+00, 8.179993160279837028e+00, 2.308559552416816096e+00, 4.240042704467527734e+00, 1.992643632640048956e+00, 1.440635031397614618e+00, 4.362197132606963734e+00, 2.661092452989104462e+00
2.061000000000000000e+03, 1.881557569078993630e+00, 2.856810411220156887e+00, 2.050442030495121859e+00, 1.622486010180720140e+00, 2.714214407977136201e+00, 2.399399239574176335e+00, 4.382672458603245502e+00, 2.180871016454795530e+00, 2.118309464180555768e+00, 7.033111469993091447e+00, 2.569728967136196029e+00, 3.728590139155687044e+00, 1.760049607108300052e+00, 1.376062998690180672e+00, 5.104375253861079820e+00, 2.506048028952912343e+00
2.062000000000000000e+03, 1.989276070293627185e+00, 3.295846180780211743e+00, 2.039448836052609515e+00, 1.638077853888919355e+00, 3.066811286281122761e+00, 2.937082977854896360e+00, 4.316313061686550157e+00, 2.324415687678940134e+00, 2.292027709025278970e+00, 6.376612120430966257e+00, 2.531844582278684808e+00, 3.796624192879809456e+00, 1.869480511024138147e+00, 1.526902987019836955e+00, 5.082198198251782983e+00, 2.960507197802495050e+00
2.063000000000000000e+03, 1.712236980518892171e+00, 3.279439306533170839e+00, 1.422598990037788003e+00, 1.431515473768764091e+00, 2.624211865338986538e+00, 2.507368742026225394e+00, 4.484455357096702954e+00, 2.390162759792664460e+00, 1.798264227721478203e+00, 5.896241287674917508e+00, 2.660885660539196174e+00, 3.630996157927226076e+00, 2.079196891389146540e+00, 1.770991194212170328e+00, 3.212642007900549768e+00, 3.152727747023044369e+00
2.064000000000000000e+03, 1.856634199890520698e+00, 3.606713127332690672e+00, 2.178931705830242649e+00, 1.237192545471808236e+00, 2.631472911766451261e+00, 2.505039822609599121e+00, 4.286857878044128434e+00, 2.282161829112486107e+00, 1.928377247804062167e+00, 7.294792419057435140e+00, 2.578925231268135665e+00, 3.669443273337845479e+00, 1.745261139373640580e+00, 1.579538517024103417e+00, 4.660452117448355303e+00, 2.862678219876946706e+00
2.065000000000000000e+03, 2.056009588962585344e+00, 3.522124224783445001e+00, 2.249118077946953065e+00, 1.448253269789927744e+00, 3.282205413016261897e+00, 2.233721745765198552e+00, 4.437733393753710232e+00, 2.541446741533538223e+00, 2.009755286304422572e+00, 6.829185288683686572e+00, 2.645864941413065718e+00, 3.253172429318285541e+00, 1.830423797513868411e+00, 1.394756463212729392e+00, 4.329368013499188095e+00, 2.812321228442242305e+00
2.066000000000000000e+03, 1.719613804826768177e+00, 3.354520733740732563e+00, 2.375201307976262388e+00, 1.522875610583997119e+00, 2.593114494682056570e+00, 3.003052246540541148e+00, 4.437831264394683117e+00, 2.249487051389611025e+00, 2.501190712619742129e+00, 7.225151059986232305e+00, 2.729946010602458450e+00, 3.961523540290193157e+00, 1.837084638286891058e+00, 1.568590374747582006e+00, 4.381349061208359430e+00, 2.783555830070931769e+00
2.067000000000000000e+03, 1.754889644522605652e+00, 3.234934155854751747e+00, 2.320156141647125914e+00, 1.605103764839338476e+00, 2.854197373632352264e+00, 2.527547500253796819e+00, 4.746898128989220034e+00, 2.388277002302757079e+00, 2.171610825550176038e+00, 8.800995806412087674e+00, 2.697730195924617380e+00, 3.730293132668041522e+00, 1.990788538829449505e+00, 1.863935709196559376e+00, 3.885156837884961689e+00, 3.402835881838030652e+00
2.068000000000000000e+03, 1.647046890715547773e+00, 3.498029665727975690e+00, 2.665010669801456178e+00, 1.848601279691576282e+00, 2.755908681057183784e+00, 2.225121126922102732e+00, 4.724586182877095197e+00, 2.283239362983770171e+00, 1.792810883044650749e+00, 8.812921999569480747e+00, 2.629805714507635894e+00, 3.394870399892943702e+00, 1.653389178656082370e+00, 1.534449926292231092e+00, 3.932607687360269111e+00, 2.873868350160853957e+00
2.069000000000000000e+03, 1.943487956435150155e+00, 3.292159287582433702e+00, 1.993099399055771270e+00, 1.781620994363696031e+00, 3.206060112307028476e+00, 2.950527083835838393e+00, 4.488537805798108238e+00, 2.551383124284413384e+00, 2.079195580262421572e+00, 6.725975095445666518e+00, 2.666715021862254620e+00, 3.883423734962053064e+00, 1.807901702466713889e+00, 1.498678288551341664e+00, 4.124910930917128127e+00, 2.951018503311934271e+00
2.070000000000000000e+03, 1.727876401784557592e+00, 3.285289148244593616e+00, 2.292337222769726068e+00, 1.973058273058418299e+00, 2.509178772095351562e+00, 2.667054178382550322e+00, 4.562215444583421764e+00, 2.323576881255021043e+00, 2.316800179286751415e+00, 5.950498450862887090e+00, 2.639862459923467686e+00, 3.779172955622869701e+00, 1.806266464660056581e+00, 1.671937830865654284e+00, 4.638520277322362162e+00, 3.024694579189050714e+00
2.071000000000000000e+03, 1.852466916356306781e+00, 3.485886575098795959e+00, 2.156126345539036038e+00, 1.734079160678622111e+00, 2.057777586473111597e+00, 3.013812201161195414e+00, 4.251649658766681661e+00, 2.569757043763664761e+00, 2.218188526559141227e+00, 6.589663841982372539e+00, 2.657018483806873999e+00, 4.055150522123648571e+00, 2.162850663428329767e+00, 1.756940967166189083e+00, 4.415663956723562045e+00, 2.734326760066498885e+00
2.072000000000000000e+03, 1.988443064234759694e+00, 3.608656761080656139e+00, 2.678485004182485696e+00, 1.600472494054340666e+00, 2.863913245796396279e+00, 2.946779567871181893e+00, 4.669056079419124039e+00, 2.597370939517716248e+00, 1.956242924416005557e+00, 9.061759434471783337e+00, 2.822155987408873745e+00, 3.419851291594190101e+00, 1.687839345726299678e+00, 1.538703059291192998e+00, 3.164461409174681439e+00, 2.746627997940866539e+00
2.073000000000000000e+03, 2.354044132303137360e+00, 3.709511791220893695e+00, 2.855262471152701487e+00, 1.630224347498609117e+00, 2.731098655297393485e+00, 2.463078399559600840e+00, 4.693265399139450622e+00, 2.348731795879851703e+00, 1.848274617925149244e+00, 9.434865982519275107e+00, 2.702519810320007654e+00, 3.856301605057667281e+00, 1.627942918245848247e+00, 1.631993445583385327e+00, 4.561591884671424957e+00, 3.172144018017222233e+00
2.074000000000000000e+03, 2.268883354305013977e+00, 3.659413611253505394e+00, 2.638154311721775613e+00, 1.772410351951423602e+00, 2.394314451329369930e+00, 3.093240918157034614e+00, 4.709803330606991523e+00, 2.532238545380711692e+00, 2.426732444189713789e+00, 7.579977562714796946e+00, 2.641226997532577059e+00, 4.036396269745099019e+00, 1.614608514840403242e+00, 1.502514477902561207e+00, 4.941611358837749712e+00, 3.302494902333075633e+00
2.075000000000000000e+03, 2.055255782838454337e+00, 3.681044301808766850e+00, 3.091509268908541941e+00, 1.879249676803642854e+00, 2.657585918147204573e+00, 3.140844241824035432e+00, 5.231083210241807890e+00, 2.597765871970895368e+00, 2.331008345266930792e+00, 8.181222464657357918e+00, 2.583855870544150779e+00, 3.504538830623548318e+00, 2.395009807981565153e+00, 1.673240256092007883e+00, 4.445124761732427210e+00, 3.115755747266395037e+00
2.076000000000000000e+03, 1.826323973002954126e+00, 3.345238879530917586e+00, 2.399308199469681657e+00, 1.625395716363135401e+00, 3.275746086313189309e+00, 2.421357300431290938e+00, 4.984219881053502554e+00, 2.920470521895389027e+00, 2.810653060822081883e+00, 9.521553242573018494e+00, 2.474531310786503013e+00, 3.974026472753881212e+00, 2.591047730371230262e+00, 1.656233768886317126e+00, 4.249213115085349379e+00, 3.062708853258493846e+00
