year, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, EC-Earth3-Veg, MIROC-ES2L, GFDL-ESM4, NorESM2-MM, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, ACCESS-ESM1-5
2.035000000000000000e+03, 6.002690079824188452e+00, 1.111856478943631377e+00, 2.310068254969568802e+00, 1.001052488745688640e+00, 1.695798690236913764e+00, 4.457643931774633472e+00, 1.174312325344504693e+00, 9.741003340139063882e-01, 9.764768496728448710e-01, 8.217371024598206120e+00, 2.095972466964557135e-01, 1.246363211048091557e+01, 1.788236508590003826e+00
2.036000000000000000e+03, 5.951325575903049447e+00, 1.114774464226577777e+00, 2.377727449466605414e+00, 1.035629293102363402e+00, 1.542578208014514063e+00, 4.448421113912414349e+00, 1.149794028355030751e+00, 9.638572966493275107e-01, 9.981027935522353012e-01, 8.222428158640166629e+00, 1.750813880167511605e-01, 1.260382161155518688e+01, 1.783477709810496581e+00
2.037000000000000000e+03, 6.004850332776353383e+00, 1.057202895142030696e+00, 2.357537170968571516e+00, 1.003535216517625228e+00, 1.634016849620702372e+00, 4.458716610514352752e+00, 1.164479718198789371e+00, 1.007306554187349157e+00, 1.040098439591433888e+00, 8.246912401212650678e+00, 2.295757980218335881e-01, 1.262721807971895416e+01, 1.804402651900998356e+00
2.038000000000000000e+03, 5.995992974712396339e+00, 1.052845864608855875e+00, 2.348313634079711054e+00, 9.280264523268749732e-01, 1.880559537808329296e+00, 4.448646267734234883e+00, 1.181111305434069170e+00, 1.011092819165789303e+00, 1.020049693632964161e+00, 8.246242308861088333e+00, 2.183256892606415256e-01, 1.266079961854471136e+01, 1.860834462523919486e+00
2.039000000000000000e+03, 5.987054030714127784e+00, 1.115897277882208272e+00, 2.396668854747563859e+00, 9.585578759822558359e-01, 1.858211703777358892e+00, 4.457599864984741700e+00, 1.189253391283388472e+00, 1.053833814891719012e+00, 9.893401283450991013e-01, 8.270538669576710689e+00, 2.066831104698390043e-01, 1.275171588155067326e+01, 1.874544990157028579e+00
2.040000000000000000e+03, 6.200807665397855217e+00, 1.173432109340265761e+00, 2.427049179916187516e+00, 1.214778756566754936e+00, 1.658635814118569751e+00, 4.446017829282005174e+00, 1.171628526575044793e+00, 1.067273790926542398e+00, 9.497939115011833078e-01, 8.359703024189396814e+00, 2.298835161301402419e-01, 1.289319796044780375e+01, 1.853477739263470259e+00
2.041000000000000000e+03, 6.374538340671090708e+00, 1.173378591941896865e+00, 2.447322740270577057e+00, 1.104016113209262295e+00, 1.741714178269829549e+00, 4.450147613890178988e+00, 1.181359635269160435e+00, 1.033618841154932522e+00, 9.866010766264412535e-01, 8.376630319836726457e+00, 2.294093132792528744e-01, 1.290517543671835732e+01, 1.850813719820220582e+00
2.042000000000000000e+03, 6.378519214399352322e+00, 1.187178171575228314e+00, 2.480635990099540944e+00, 1.030118978215328385e+00, 1.872211762420785020e+00, 4.479832355773937458e+00, 1.199650647449499008e+00, 1.039900465403832852e+00, 9.630011414216752552e-01, 8.334656713638828762e+00, 2.111333922854640444e-01, 1.298336188405253822e+01, 1.859739729456138191e+00
2.043000000000000000e+03, 6.343529134649775081e+00, 1.233887054748725731e+00, 2.471885779619653167e+00, 1.130898612474258380e+00, 1.805528788796411099e+00, 4.517557871361384869e+00, 1.243227388949495360e+00, 1.051578736151258298e+00, 9.910275783145214845e-01, 8.344147200680273713e+00, 2.350807287976135473e-01, 1.303173989782217213e+01, 1.852525073409535761e+00
2.044000000000000000e+03, 6.318409030175370589e+00, 1.197723359050669956e+00, 2.457759713789558820e+00, 1.003165269926226122e+00, 1.647510477105667670e+00, 4.542096475895066376e+00, 1.226484637738235461e+00, 1.081659761156096078e+00, 1.037658775073612594e+00, 8.410150042707813967e+00, 1.839860367365186156e-01, 1.307917991042647010e+01, 1.842188109995388068e+00
2.045000000000000000e+03, 6.101835715685020922e+00, 1.187882860198605339e+00, 2.471788893898376305e+00, 1.113273413869644735e+00, 1.647770931869544819e+00, 4.555724062441753652e+00, 1.225255428471901498e+00, 1.127826344327717445e+00, 1.107563033463025093e+00, 8.439137377396887629e+00, 2.030344595550323261e-01, 1.313605696535603151e+01, 1.824682393634655231e+00
2.046000000000000000e+03, 5.945640972417878700e+00, 1.152553081173626648e+00, 2.511951372465838883e+00, 1.136496963935939686e+00, 1.608202909906430333e+00, 4.540360764211836653e+00, 1.215701904585746229e+00, 1.110757145237815546e+00, 1.076410884975992799e+00, 8.453601136322717480e+00, 2.496608682798814038e-01, 1.317630984560821439e+01, 1.805574218029003974e+00
