year, UKESM1-0-LL, CanESM5, EC-Earth3-Veg, MIROC-ES2L, GFDL-ESM4, INM-CM4-8, IPSL-CM6A-LR, CNRM-ESM2-1, CMCC-CM2-SR5, INM-CM5-0, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, NorESM2-LM, CESM2-WACCM, MPI-ESM1-2-LR
2.033000000000000000e+03, 1.067710950615639726e-01, 8.788808912136436557e-02, -1.236852527280723202e-01, 6.098141063727155475e-02, 1.515387235712689368e-03, 1.245651941458088691e-01, 9.445350609181693557e-02, 1.698787712391501836e-01, 2.553819231702583042e-02, 2.976148020947580811e-02, 9.015891233825790163e-03, 1.935061513989014270e-01, 2.614984832575572432e-02, 7.373518981701744635e-02, -7.636474871768919289e-04, 7.021525872853333350e-02
2.034000000000000000e+03, 1.123080452675016272e-01, -6.126481726412739276e-02, -7.543336776391376119e-01, -2.340666746443933466e-01, -6.921773137896140848e-02, 8.305592032231980115e-02, 6.879728373059061652e-02, 2.082981918174862390e-01, 6.796188112883676247e-02, -2.605717604932720685e-02, -6.595893585030428163e-02, 5.088331236944122066e-02, 2.910427132906668463e-03, 9.377269259727225026e-02, -4.289091157641474611e-02, 1.847697228854241480e-01
2.035000000000000000e+03, -8.829259772533307182e-03, -1.021377508959953606e-01, 8.831810637137327280e-02, 5.133174435388839635e-02, -1.618850070905566638e-02, 5.716357083470479522e-02, 1.880597681778231889e-01, 3.177526216060092001e-01, -1.093919442610111550e-02, -4.327803082088132157e-03, 9.706070721002701962e-02, 2.608874661403530817e-02, 7.315335064852321496e-03, 5.337119288288401375e-02, 5.028232350755355157e-02, 4.323224732219792948e-02
2.036000000000000000e+03, 1.162594202452342518e-01, 1.053340472295265229e-01, 1.050065223722281837e+00, 8.617088345699161489e-02, 4.730380383612175187e-03, 4.200249969008248985e-01, -4.769902539175271267e-02, 1.564457248841739645e-01, 4.394240958243526146e-02, 4.571629772333783426e-01, 1.483703186740292501e-01, 4.262224019785195578e-02, 9.775554931243977952e-02, 7.880270437067050937e-02, -5.831671563459609126e-04, 9.021973448863680745e-02
2.037000000000000000e+03, 2.688249968856254446e-02, 3.407436987840680581e-02, 3.652830017129598539e-01, -1.189067165016733374e-01, -4.471754427318585384e-02, 2.362923709748425138e-01, -3.761477416013558200e-02, 2.058419487728356811e-01, 6.578402956032874081e-03, 1.522435652419611429e-01, 1.018781848407577934e-01, 1.755805049941162876e-01, -2.403020064090127805e-02, 1.332671381634338743e-02, 1.476485387625052492e-01, -2.520934243012913981e-02
2.038000000000000000e+03, 9.184932088924359361e-02, -3.597822047500463111e-02, -5.249910238389760009e-01, 7.145021046964317168e-02, 4.167107508971137214e-02, 1.699028410276725298e-01, 1.438786999240669329e-01, 2.580320912611744344e-01, 1.416133075537071295e-01, 6.645482444487690876e-02, -1.096734502303177081e-02, 9.359899901810420086e-02, 1.955814358388777152e-03, -7.735312719817461109e-03, 1.995195092222664390e-01, 9.435092932923112852e-02
2.039000000000000000e+03, 1.858024251746583089e-02, 1.262815250248740251e-01, -1.076893259107083584e-01, -9.384331251347131919e-02, -5.681300779826131686e-02, -9.578675445995914195e-02, 1.240773157795597437e-01, 2.893291485347158631e-01, 1.420547200125905907e-01, 2.395063214022015788e-02, 9.107354157601951772e-02, -4.638780797119736003e-03, 7.647740145199970196e-02, -1.233095727888135033e-02, 1.510882407094758795e-01, 2.355544225389376023e-01
2.040000000000000000e+03, 2.200475845245613016e-01, 2.145379506280582771e-01, 6.492066084063897735e-01, 7.719255019656298678e-02, 7.406337043759095295e-02, -7.580385903959988014e-02, 3.920678564316668058e-02, 1.655510314570406982e-01, -1.433816556623185579e-01, 1.239637491114925077e-01, 1.263681039316799605e-03, -5.865615146138322689e-02, -1.908415085503499878e-02, 8.268104101062967448e-02, 5.550914004991283623e-02, 5.525134184942061266e-02
2.041000000000000000e+03, -2.901181882755446938e-03, 7.561384197927368926e-03, 1.265729902342370428e-01, 9.781564297891709447e-02, 9.309949616384509408e-02, -3.995763992409486626e-02, 1.254102487078099792e-01, 2.203345105904235823e-01, 7.757038820606608487e-02, -8.810921240155343559e-02, 9.547676964142425005e-02, 5.239258098197038110e-02, -1.048892743205027435e-02, 8.474976073092770068e-03, 8.092297607846098140e-02, -3.921162424099523813e-02
2.042000000000000000e+03, -1.501987056916530006e-01, 7.856001538915315108e-02, -4.278565910768371561e-01, 2.392070068626896417e-01, 4.330637444739121600e-02, 8.954345461713676679e-02, -1.477125598532034491e-02, 2.357386258310940341e-01, 7.679663388772324517e-02, -1.237047951017205688e-01, 1.032841354433345626e-01, 1.277895119751964494e-02, 3.070004578684739846e-02, 1.356892290101896770e-01, 7.752432924881864917e-02, -7.692871196426670499e-02
2.043000000000000000e+03, 1.349267197779512595e-01, -4.901455794033490743e-03, -9.592253126111460748e-02, 5.594556765111267232e-02, -1.218032353489075098e-01, 1.182539267620527773e-01, -3.844352228400446658e-02, 1.958056641853273272e-01, -2.960337398670491449e-02, 2.131171141181134043e-01, 9.012956787953699256e-02, 3.801025861027594686e-03, -3.181430711267830419e-02, 1.485572171691323939e-01, -1.540421193259891054e-02, 2.225984737531103708e-01
2.044000000000000000e+03, 7.457145111840134122e-02, -6.779592531188757820e-02, -2.684762224698624689e-01, 7.655821191603674747e-02, 3.266284136700230937e-03, 5.324479995874981803e-02, 3.926422843337847024e-02, 1.588911828813233951e-01, 1.982146076187490669e-01, -1.050187419493858604e-01, 7.578972414109766409e-02, 1.837006488859507444e-02, 1.342361745406004947e-01, 1.541057337520319037e-01, 5.777608446616506327e-02, 1.578862796080849062e-01
2.045000000000000000e+03, 1.023825930854124905e-01, -1.612899208272872698e-01, -5.108675306840965852e-02, 2.127386819171896426e-01, -2.609233250379196581e-02, 2.032992225449924695e-01, 1.287803529060890240e-01, 2.104874914035063660e-01, 1.846513012692935565e-02, 8.601860271270163338e-02, 2.258587430972359283e-02, -2.142970779205599988e-02, 3.873767685589230014e-02, -2.554032112415588127e-02, 4.472750051558715273e-02, 1.180091023087272151e-02
2.046000000000000000e+03, 3.712550748379168930e-02, 5.535431901004230631e-02, -2.165286051101060136e-02, 1.681916683745489083e-01, -2.062230093099519726e-02, 2.701552691813763254e-03, 7.444640790652182205e-02, 2.775050193979803903e-01, -4.656351615348454376e-02, -3.280013825691069362e-02, -1.028142278487737260e-01, 7.232382117677089994e-02, -6.672442196985702012e-02, -2.642178948429959370e-03, 2.350557882821584510e-01, 5.392680437533512589e-02
2.047000000000000000e+03, 1.066262134771393949e-01, 3.818561670979642164e-01, 7.798758236002185651e-01, 4.707279463843212081e-02, -1.715348317618372448e-02, 1.931723986255317327e-01, 1.260778771101093432e-01, 3.377840151930506796e-01, -4.414809585272835846e-02, 3.806661214205776800e-02, 1.610441082238883437e-01, 4.699707258802487964e-02, 3.135971890683438013e-02, 4.582793345140778046e-02, -5.822798831150756416e-02, 2.634224983325800587e-02
2.048000000000000000e+03, 7.767080918631891207e-02, 8.404022039972848523e-02, 8.870654738943360706e-02, -2.628355477991732581e-02, 5.470092943282923309e-03, 1.839094807438253210e-02, 1.114670482067087326e-01, 1.672236724364575267e-01, 1.067023048924225712e-02, -1.263098610444341741e-01, -1.432663857356077444e-02, 1.551728041388304169e-01, 5.436259046980267129e-02, 2.385756829699981971e-02, -5.400251255975426629e-02, 8.547278564677693313e-02
2.049000000000000000e+03, 1.859553473698220549e-01, -6.971547324871182894e-02, -2.098925178890483911e-01, 1.660055348781477313e-01, -6.158040402875687713e-02, 4.527689039806297444e-01, -1.207665558410365159e-01, 1.773520806014220463e-01, 1.355493085514635765e-01, -6.083284100153189822e-02, 5.425945573821477214e-02, 1.091690207020668824e-01, -5.614167142076406658e-02, 7.851788495665532053e-02, 1.730621516878038391e-01, 8.111679210317805644e-02
2.050000000000000000e+03, 1.182766600725141393e-01, -5.496789654268607189e-02, 9.290297141970081662e-02, 2.571850777907276342e-01, -1.224183321094451105e-01, 1.843117867513533181e-01, 5.313975477592890011e-03, 2.592788393496036625e-01, 7.347690253568008034e-02, 1.118575207280042838e-01, 1.199420896051825967e-02, 4.245687708091375884e-02, -3.531730230901397594e-02, 1.073215130211130075e-01, 1.069692186019347985e-01, 1.351522525889385928e-01
2.051000000000000000e+03, 9.805777002731023984e-02, 1.264299252077118463e-01, -3.828758391090181790e-01, 3.634467203457897311e-02, -9.629410693020770684e-03, -3.297927349047114626e-02, 4.535929390277519679e-02, 1.617262189629012636e-01, -1.601023940606867424e-02, 1.823084255167044809e-01, 1.943040956193912705e-01, -1.394368117045042543e-01, 5.512619954000003153e-02, -3.435104473098062050e-02, -8.947108849457741098e-02, -3.237853009899438646e-03
2.052000000000000000e+03, 3.651054228463317813e-02, 2.056201280018281341e-01, -1.134696505350451384e-01, -3.477299750626310082e-02, -5.816735779625278185e-02, -1.343252118929319332e-02, 1.211003324771400963e-01, 1.958584635465847601e-01, -2.878341918777516453e-02, 2.672369980339291962e-01, 1.016506992976413531e-01, 2.006065964607077132e-02, 5.572808231496977072e-02, 9.198436374837564572e-03, 4.262616588530410144e-01, 3.207895129275912388e-02
2.053000000000000000e+03, 2.318022294062937194e-01, 2.121366602826267600e-02, 7.300272948868151701e-01, -5.880966266022129990e-02, 1.106885917038249317e-01, -1.385151506643871565e-02, 5.814624011924674624e-02, 2.259628316403788084e-01, 3.874588994351146204e-02, 1.069581529207178083e-01, 1.350899395407968440e-01, 5.815859355395879005e-02, 6.266782963978399790e-02, -2.841501376998292056e-02, 1.881279088072172409e-02, 1.109369086022808301e-02
2.054000000000000000e+03, -1.752071161814993880e-02, 2.073016117120898057e-03, 2.284961651914376168e-01, -9.141178072294565971e-02, 1.882565676196119864e-02, 1.241711011138656590e-01, -1.226012599892904731e-03, 2.977476710184251973e-01, 1.939264099445477674e-01, 7.494098227492951292e-02, 3.509022172379076127e-02, 1.806769291550289203e-01, 7.016617569513068642e-02, 1.847958743238609647e-01, -2.223422850603192225e-01, -1.323043428280513134e-01
2.055000000000000000e+03, -1.470503377284137179e-02, 1.052233462837719180e-01, -9.377873378654417724e-01, 1.140578124429540707e-01, -7.610679824789666481e-02, 5.495024001916124501e-01, 2.138616410266972190e-01, 1.443210039200149564e-01, -4.173960267449844386e-02, 8.043288791113202552e-02, 1.107471594432600098e-01, 4.944741716987902796e-02, -2.958563358884647512e-02, -1.003491178371544584e-01, 2.877871404657611140e-02, 1.162169975147782225e-01
2.056000000000000000e+03, 2.660061205101233242e-02, -9.192023205207976166e-03, 2.520919638839986820e-01, 4.682634659427067914e-02, 3.419913673681638372e-02, 2.071208052713762460e-01, 8.731984680686934175e-02, 1.748763995115835412e-01, 4.314828816674966261e-02, -8.734328639480867795e-02, 5.230265859685689217e-02, 6.631443884470286654e-02, -1.280705506128462269e-02, 2.634272925102355556e-01, 2.791610084266762382e-01, 1.209975688964152057e-01
2.057000000000000000e+03, -8.967044417926664165e-03, 6.189213844186036012e-02, 1.149213569889858011e+00, 1.276885005898495407e-01, 2.193341118157304814e-02, 3.559637365675456522e-01, 4.240014431952509460e-02, 1.815130220949609796e-01, 9.673460313450869819e-02, 2.860800909006273041e-01, 2.293392624236308408e-01, 1.122726562415797963e-01, 6.629856396219897807e-02, 9.209398366044654893e-02, -1.001126828075873942e-01, 2.982430044266943039e-02
2.058000000000000000e+03, 1.878539012261195296e-01, 4.003998950872809243e-02, 2.647127939088120274e-02, 2.921636804583668812e-02, 4.876703857984916735e-02, 3.270622895959745136e-03, 9.279533731180145129e-02, 2.695926862491268006e-01, -1.586420020377436388e-02, -3.980798822918337615e-02, -6.410166577691353215e-03, 1.085234003032509165e-01, 1.853787433910897633e-02, 9.157785541471227114e-03, 8.177871449428755768e-02, 3.944273497646799687e-02
