year, CMCC-ESM2, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, CanESM5, UKESM1-0-LL, CESM2-WACCM
2.033000000000000000e+03, -6.020548500269880853e-11, 1.805295970700692443e-10, 5.023543755524279979e-10, 2.057275749966505123e-10, 2.598969006368944296e-10, 3.157364890001026439e-10, -2.265190756266303088e-12
2.034000000000000000e+03, 1.554230507205500080e-10, -6.929318626692555039e-10, 6.159657696832809907e-10, 5.488879738246807083e-10, -1.811683048774110095e-10, 3.321099954887560868e-10, -1.272263682683011823e-10
2.035000000000000000e+03, -1.702965351908833510e-11, 1.519626887648182628e-10, 9.396372403843165735e-10, 1.317012142461203642e-10, -3.020350671094473692e-10, -2.610930869859598935e-11, 1.491513510166484392e-10
2.036000000000000000e+03, -3.624594710931370405e-10, 2.551006070062045506e-10, 4.626310507120271530e-10, 2.665192692834215839e-10, 3.114869452752668532e-10, 3.437947427649060293e-10, -1.729835917874214746e-12
2.037000000000000000e+03, -2.187385069832814744e-10, -3.520118900931427601e-10, 6.087023286311710951e-10, -7.586270301881175439e-11, 1.007624947940796117e-10, 7.949516732331960005e-11, 4.379666152212206192e-10
2.038000000000000000e+03, -2.448959563540926207e-10, 2.115214714100528033e-10, 7.630355996366037651e-10, 2.769164714517867640e-10, -1.063924370795263187e-10, 2.716107957672637652e-10, 5.918303347737951114e-10
2.039000000000000000e+03, -3.030724924755058971e-10, -2.778140947992928317e-10, 8.555852075045886211e-10, 6.969784179811917849e-10, 3.734314545893006283e-10, 5.494427619996312548e-11, 4.481697275019845513e-10
2.040000000000000000e+03, 4.324235812832521523e-11, 2.285211155033411673e-10, 4.895566669279969608e-10, 1.651498432059990559e-10, 6.344175757448513464e-10, 6.507103042324141666e-10, 1.646555420409940389e-10
2.041000000000000000e+03, -1.462110494820465166e-10, 2.895737968275332585e-10, 6.515587832012374804e-10, -1.154539915041257246e-10, 2.236003009295608094e-11, -8.579185041454745139e-12, 2.400400452572010314e-10
2.042000000000000000e+03, -2.633064691912684855e-11, 7.081493214731379990e-10, 6.971108238489230038e-10, -2.275855153192455124e-10, 2.323125319681620103e-10, -4.441577747244995443e-10, 2.299587138685779005e-10
2.043000000000000000e+03, -2.690852626003941228e-10, 1.656214685814221118e-10, 5.790236852076996837e-10, 6.595229159818822800e-10, -1.449426403751895688e-11, 3.989964582682909936e-10, -4.569317527159934204e-11
2.044000000000000000e+03, -3.169918445271759695e-10, 2.266432180753743406e-10, 4.698625989280680907e-10, 4.666213153467984218e-10, -2.004816698203396893e-10, 2.205178109505279960e-10, 1.713799294355597175e-10
2.045000000000000000e+03, -2.642438860192075968e-11, 6.297923929010348536e-10, 6.224398230238484759e-10, 3.546495115693025782e-11, -4.769559896688228343e-10, 3.027590983952658060e-10, 1.326742016704041478e-10
2.046000000000000000e+03, -7.445911490237668718e-12, 4.979152467103138798e-10, 8.206196672807664522e-10, 1.590949798121817101e-10, 1.636901665675057524e-10, 1.097851190766622167e-10, 6.972408182629144024e-10
2.047000000000000000e+03, -2.071517115467533203e-10, 1.393544780324302385e-10, 9.988727654794265392e-10, 7.909645934498312700e-11, 1.129200046445432652e-09, 3.153080546681272183e-10, -1.727204018791676131e-10
2.048000000000000000e+03, 2.041645774284913462e-11, -7.780993427999630890e-11, 4.945028912773328700e-10, 2.529042045598139157e-10, 2.485182352817989092e-10, 2.296830296265581259e-10, -1.601864660325590764e-10
2.049000000000000000e+03, -2.980646939431055204e-10, 4.914434088974071230e-10, 5.244539565101279366e-10, 2.391997882396185254e-10, -2.061580312521562608e-10, 5.498949734990389896e-10, 5.133504566511622600e-10
2.050000000000000000e+03, 3.820899580919595272e-11, 7.613716701662680833e-10, 7.667224014239345096e-10, 4.025662093043201235e-10, -1.625474633570210392e-10, 3.497599922565337151e-10, 3.173004419590321892e-10
2.051000000000000000e+03, 5.732445539819057937e-10, 1.075949035858499127e-10, 4.782461819387122328e-10, -1.229130799411203562e-11, 3.738702938900417945e-10, 2.899700149160288089e-10, -2.653961232298990318e-10
2.052000000000000000e+03, -3.339350335202111549e-10, -1.029421124097019110e-10, 5.791798200205463229e-10, 9.730483889100092216e-11, 6.080463747760117600e-10, 1.079665842688324281e-10, 1.264410589438612083e-09
2.053000000000000000e+03, -5.555732526689937625e-10, -1.741003462026747124e-10, 6.682024855651925925e-10, 3.039474117708457155e-11, 6.273166372155684397e-11, 6.854703701684360024e-10, 5.580396808496350141e-11
2.054000000000000000e+03, 2.736307795900832293e-10, -2.706157789548514139e-10, 8.804799107952329903e-10, -3.892240560886568981e-10, 6.130187482698188592e-12, -5.181110082188696847e-11, -6.595290330983529641e-10
2.055000000000000000e+03, -4.526219931078748889e-10, 3.376571763073486487e-10, 4.267766200243755512e-10, 3.439587652936654527e-10, 3.111595876891955018e-10, -4.348476271960845953e-11, 8.536566692117578605e-11
2.056000000000000000e+03, -1.590451863004422697e-10, 1.386248923169437273e-10, 5.171330345439454749e-10, 3.576514337813717579e-10, -2.718204896134484539e-11, 7.866158766469271174e-11, 8.280691633463173918e-10
2.057000000000000000e+03, 2.301901965559702609e-10, 3.780095166883173832e-10, 5.367584201605880255e-10, 8.825783803171311589e-11, 1.830233779757866949e-10, -2.651675642730513280e-11, -2.969620505386894917e-10
2.058000000000000000e+03, 1.831122380177563505e-11, 8.649224568678709902e-11, 7.972218339366605315e-10, 1.170193088106647510e-10, 1.184036344274389289e-10, 5.555092526109964788e-10, 2.425784033109653614e-10
2.059000000000000000e+03, -3.168788866609677532e-10, 7.837128955521587217e-10, 3.933414889108695141e-10, 3.484149354268567203e-11, 2.842397497294308469e-11, -1.709118331155921826e-10, 6.168135657558143873e-10
2.060000000000000000e+03, -4.056264170424325225e-10, 3.233405357042818364e-10, 6.650786361327597031e-10, 2.165613843220474143e-10, 3.223150790521771969e-10, -9.154658416977205036e-11, -2.785707891855582317e-10
2.061000000000000000e+03, -1.068761529141647983e-11, -2.231637045317211593e-10, 6.550435387889922759e-10, 5.032339272619180835e-10, 5.696384544854770670e-10, 2.125114300610643176e-10, -7.105224763075982070e-12
2.062000000000000000e+03, -1.560723577522465219e-10, -2.113379187094268680e-12, 1.122747963957416601e-09, 3.638500959005228908e-10, 1.371592178155565293e-10, 5.854726119007831793e-10, 7.755418144710239038e-10
2.063000000000000000e+03, -1.219544921908371182e-10, 4.822024966030702356e-10, 6.889801061308092354e-10, -3.286976493092499438e-10, 2.082399107538359384e-10, 1.837446402002804791e-10, 2.346127165643033075e-10
2.064000000000000000e+03, -4.782764167697354271e-10, -1.791504295356229488e-10, 5.545042158547423301e-10, 3.705555349457646871e-10, 2.753448695815167486e-10, 1.702478428253990093e-10, 1.919674516549152797e-10
2.065000000000000000e+03, 7.667689708922988154e-12, -7.269970398820135625e-11, 6.771306481482756706e-10, 5.828602697741247417e-10, 7.401407761787752095e-10, 5.830299990049872348e-10, -3.443070631807728675e-10
2.066000000000000000e+03, 2.079055785127010734e-10, -8.989576272580446243e-11, 7.416467806314953691e-10, 1.672165715326090433e-10, 8.359178398925077639e-11, 2.879915028938506332e-11, 6.875381552607432905e-10
2.067000000000000000e+03, 3.374832702293953767e-10, 9.315820890906431110e-11, 9.651307499381971870e-10, -8.894457032056142589e-12, 4.301765222158899037e-10, 2.727338413074566606e-10, 2.083236298812970224e-10
2.068000000000000000e+03, -5.262869300125065809e-10, -3.888145600943711959e-10, 3.305356497741669097e-10, -2.287306673542593021e-10, 2.894369291725131330e-10, 8.646945445338005367e-11, -1.267882311215444739e-10
2.069000000000000000e+03, -5.872375843885112054e-10, -1.619531329228933894e-10, 5.926589066964105184e-10, 1.115393568657850541e-10, 4.666312070324497274e-10, 4.066563754318216795e-10, 3.093660050518784169e-10
2.070000000000000000e+03, 3.382341952776308711e-10, -2.170110714434310665e-10, 8.613587015106332278e-10, 4.551284399150708209e-10, 8.134559627725109889e-10, -9.830433604349793355e-11, 2.317654047240987357e-10
2.071000000000000000e+03, 2.442506179522718640e-11, 4.878354096507550061e-10, 9.461503199517628217e-10, 3.618882096074928903e-10, -2.981297033558444128e-11, -3.218629496335322837e-10, 5.860624152107960657e-10
2.072000000000000000e+03, -1.033939171544537590e-10, -3.675297481676247968e-10, 5.311773957211247845e-10, -2.532643558521238560e-10, 5.826998511366644668e-10, 4.263439235605163700e-10, 6.864305841939030806e-10
2.073000000000000000e+03, -2.744644681828654599e-10, -5.760721442115651460e-10, 6.406615954364584485e-10, 1.866092371298193358e-10, -8.432314862901950024e-11, 4.721647800519462520e-11, -3.085982045838618388e-10
2.074000000000000000e+03, -4.089337087065554988e-10, -5.061089741755786621e-10, 8.864433537428775256e-10, 1.362829672849491488e-10, 3.267269562521158680e-11, -1.227406953849260179e-10, 3.733291354889483373e-10
2.075000000000000000e+03, 1.352773440354475992e-10, 1.016454457104871325e-09, 6.284736223179940631e-10, 5.416715774857869803e-11, 1.374610236291388514e-10, 9.287763992343898135e-11, 6.305789265233578156e-10
2.076000000000000000e+03, 5.024963440037638586e-10, 1.254679878377588974e-09, 4.089465275876637314e-10, 2.048393092802772022e-11, 4.688575722378840040e-10, 6.923435090762912686e-10, -2.882257986205371053e-10
2.077000000000000000e+03, -1.267828196283398667e-10, -2.336793959184457316e-10, 5.935096784342116951e-10, 2.787991133838529641e-10, 5.348096123569949657e-10, -1.342624300094655867e-10, -1.403947737262789518e-10
2.078000000000000000e+03, -4.539879739114353560e-10, 1.594890539679333806e-10, 6.605411332643876832e-10, 1.614006420093369582e-10, 2.052395738860492337e-10, -1.817053528182080978e-10, 7.046897163623178158e-10
2.079000000000000000e+03, -7.249506673384099464e-10, -1.647909178447479253e-10, 4.114825609474566947e-10, 2.702185066902902106e-10, 3.549113307828420492e-11, 1.566731053747742253e-10, -3.124866141397891761e-10
2.080000000000000000e+03, 2.104004536487057857e-10, 5.159811076951074346e-10, 6.982469685139470638e-10, 2.485408690824133546e-10, 8.561596294505505251e-10, -2.894043551760267329e-11, -1.986567371163618352e-10
2.081000000000000000e+03, 2.203442189311761926e-10, 5.604403823684272850e-10, 9.421252111408744832e-10, 3.116419592723085775e-11, 4.148862407344034686e-10, 6.650401437665733445e-10, 8.836456964883734730e-10
2.082000000000000000e+03, 1.408142279742472962e-10, 1.051749167840288792e-10, 6.315805486367801643e-10, 4.155788861268891613e-10, 4.457932834216427749e-11, 8.621156000287569446e-11, 8.195048823458765529e-11
2.083000000000000000e+03, -2.775765237087063531e-10, -3.240019381753881262e-10, 8.542810157576108392e-10, 2.729788551289219746e-11, 9.000860017995417704e-10, 9.480957019403320777e-11, 6.280470922584705414e-10
2.084000000000000000e+03, -7.181768851644785318e-10, -1.914924453010751947e-10, 7.212194095884102046e-10, 4.447715346316250081e-10, -8.614210271345037176e-11, 3.077310553630616441e-10, -1.735960534668133975e-10
2.085000000000000000e+03, -2.507364658821483925e-10, 9.164049678441164519e-10, 1.019008374865782376e-09, 2.363115203685835977e-10, 2.107427741914624293e-10, 4.680564660534928906e-10, 8.346139675843343916e-10
2.086000000000000000e+03, -3.922245793339293017e-10, 5.911206725612657205e-10, 8.941650875601838107e-10, -2.178173778116580595e-10, 3.688116912894108679e-10, 1.032383010939164375e-10, 5.493730839503264813e-11
2.087000000000000000e+03, 3.211777214443282269e-10, 2.063896412318209763e-10, 7.555079698273695402e-10, 1.678757968863912309e-10, -6.468358935849683386e-11, -3.304203157031400609e-10, 1.401650619472458311e-10
2.088000000000000000e+03, -4.938969126138681773e-11, -2.391512494695706717e-10, 1.113012560674864707e-09, 5.131218130143014495e-10, 1.997139773572432697e-10, 5.592686275242672923e-11, 5.240568516794141236e-10
2.089000000000000000e+03, -2.164738223317772316e-10, 1.235517865081495479e-10, 6.309268410134122600e-10, 3.030631315228788203e-10, 2.930543052134125293e-10, 5.453206749125733350e-11, 1.793611009481324900e-10
2.090000000000000000e+03, -1.160831752975416409e-10, -4.097356905403539953e-11, 6.632813723678277794e-10, 1.037914850526903381e-09, 3.054876440180761777e-10, 5.399513345177948895e-10, -3.910976780821515872e-10
2.091000000000000000e+03, 3.470528299657171748e-11, -5.688376076738383281e-10, 3.588755561696295140e-10, -4.169692917191340161e-10, -6.895650637536460944e-11, 1.147409433447257796e-10, 6.040190138618445637e-10
2.092000000000000000e+03, -7.996239726691734953e-11, -4.707914150636499257e-11, 5.113692937921698180e-10, 4.269200557368765266e-10, 9.496367515745176562e-10, -2.131881731125906176e-10, -4.832703402801292555e-10
2.093000000000000000e+03, 3.842475626620869615e-10, 6.300353442297500649e-10, 6.649753998926909913e-10, 4.641877631075358154e-11, 4.887475498073246518e-10, -9.716399412985058854e-11, 5.881572429928745687e-10
2.094000000000000000e+03, -8.593663040939090265e-10, 2.206201017905201584e-10, 6.614033267847450896e-10, 1.758531803133459932e-11, 3.638812317325962781e-11, 1.091001387500131971e-10, 4.622682744991675907e-10
2.095000000000000000e+03, -4.484979616734879422e-11, -8.005278657965368043e-11, 7.167137109169994849e-10, 8.070971278963293308e-10, 7.657069240229884281e-10, 5.697103076634630539e-10, -1.015438151120878110e-10
2.096000000000000000e+03, 5.377714699001539525e-11, -4.046001447715630914e-11, 3.960604818901397976e-10, -1.825094668172025270e-10, 4.605547557808717464e-10, -1.979220987280457136e-10, 9.403174439288571564e-10
2.097000000000000000e+03, -5.091581242204823093e-11, 9.384937868975911402e-10, 7.266103241025621161e-10, 3.280029574035856335e-10, 4.812945392657784196e-10, 2.603592084151799678e-10, -6.596777142898464152e-10
2.098000000000000000e+03, 1.236556602481944488e-10, 1.078069315055580260e-09, 8.063987329122803790e-10, 5.131650199574932995e-10, 4.048618588488411751e-10, 6.495227258062865337e-10, 7.312719973221532262e-10
2.099000000000000000e+03, -1.048746096231349123e-09, -1.507410647207157289e-10, 6.189458377958385969e-10, 1.273275994585496355e-11, -9.929932782636752128e-11, 1.782519724596598520e-10, 1.983680806846056803e-10
2.100000000000000000e+03, -2.106388433930207091e-11, -5.946312804733819791e-10, 2.391097631075573266e-10, 1.505139602937523250e-10, 4.849762027625635703e-10, 2.835906459444614114e-10, -4.517939607016174483e-10
