year, NorESM2-MM, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, NorESM2-LM, MPI-ESM1-2-LR, CESM2-WACCM
2.038000000000000000e+03, 4.286070415050252726e-12, 5.940675199964042587e-10, 3.166188859047159515e-12, 2.066292713206707952e-10, 1.023084823495997085e-09, 5.043740367811031264e-11, 2.413896682467403012e-12, 2.269590622089133805e-10, 2.339037833626748137e-10
2.039000000000000000e+03, 3.478263586402838435e-12, 6.387762653315379694e-10, 3.144403626369976170e-12, 1.930251238891107852e-10, 1.094760578500316535e-09, 7.325506496307473695e-11, 2.428349455534124997e-12, 2.395690281987735311e-10, 2.567790689818844503e-10
2.040000000000000000e+03, 3.348769546982848437e-12, 5.782216941067288946e-10, 3.119308710918258233e-12, 2.669947292519044234e-10, 1.128765623558383913e-09, 5.021151940836079120e-11, 2.444791080439407170e-12, 2.325415703056290392e-10, 2.536119489334145176e-10
2.041000000000000000e+03, 3.258098954503837503e-12, 6.577768218511334068e-10, 3.086458362774023794e-12, 2.164984953269585619e-10, 1.149395765159025510e-09, 5.818560875008295210e-11, 2.314382222320698333e-12, 2.094602095089695857e-10, 2.747796982802123699e-10
2.042000000000000000e+03, 2.836448567479713796e-12, 5.558926521269831181e-10, 3.029331289592768478e-12, 1.549885830102083285e-10, 1.114604696554966153e-09, 8.266538080892418643e-11, 2.172928525362223186e-12, 1.923470420267856578e-10, 2.548795082626191977e-10
2.043000000000000000e+03, 2.704065969798870776e-12, 5.036829409604389214e-10, 2.993451685637860636e-12, 2.076791393611590764e-10, 1.055331102592717863e-09, 8.033339965029082990e-11, 2.173970380940438453e-12, 2.212303011909923917e-10, 2.322432006519984184e-10
2.044000000000000000e+03, 2.591618842699733216e-12, 5.351630020361529153e-10, 2.990606025693112371e-12, 2.027420057627433494e-10, 1.021718697877165100e-09, 2.601240084901356833e-11, 1.956657079077309143e-12, 2.467522406230825867e-10, 2.403007969909430973e-10
2.045000000000000000e+03, 2.575533214933644394e-12, 5.801183486040395032e-10, 2.962410760990234360e-12, 2.141136167000910754e-10, 1.060004863065870699e-09, 5.742076631081857263e-11, 1.282437007421420250e-12, 2.498774875823617996e-10, 2.660278110870555065e-10
2.046000000000000000e+03, 2.299219802806814717e-12, 5.918579732468699325e-10, 2.918460814653459440e-12, 2.088510573955298426e-10, 1.058771692711387760e-09, 6.806937208712530856e-11, 1.264410762117748345e-12, 2.359837365886044376e-10, 3.030926523582249266e-10
2.047000000000000000e+03, 2.245485861337054329e-12, 6.462857710998969159e-10, 2.882682630157250886e-12, 2.060047583473547037e-10, 1.217708640685401098e-09, 6.224870046490275346e-11, 1.261839653112898954e-12, 2.166732947406699426e-10, 2.602883134102766100e-10
2.048000000000000000e+03, 1.988691100101796035e-12, 6.762575397738817020e-10, 2.863018872978354234e-12, 2.185097281483173110e-10, 1.320157900122169274e-09, 6.976961591056881862e-11, 1.257810093905316411e-12, 2.227285202972096532e-10, 2.455906103004580080e-10
2.049000000000000000e+03, 1.786065738428020356e-12, 5.440174425342010032e-10, 2.857489768280931080e-12, 2.611331897571755481e-10, 1.180782146547729240e-09, 7.540513491302945883e-11, 1.255127506449730896e-12, 2.215856696930335611e-10, 2.694497444055067273e-10
2.050000000000000000e+03, 1.767127395198357784e-12, 5.580729856039076881e-10, 2.833404557144904438e-12, 2.438244637817188071e-10, 1.168716657721981075e-09, 6.664791150216088995e-11, 1.251037543304629766e-12, 2.160670568995163843e-10, 2.752084937407208528e-10
2.051000000000000000e+03, 1.429580890436613516e-12, 5.744093034637861092e-10, 2.828850220798142346e-12, 2.167557967634181829e-10, 1.199388364121084604e-09, 7.413783174606974740e-11, 1.249235075021453402e-12, 2.240113827979263816e-10, 2.546733954490853368e-10
2.052000000000000000e+03, 1.279180401559235088e-12, 6.594770522225077184e-10, 2.825246682745946248e-12, 2.493100484788759158e-10, 1.093019598200416767e-09, 7.315936725492527644e-11, 1.260057226256210275e-12, 2.289192015452509064e-10, 3.157302992144940361e-10
2.053000000000000000e+03, 9.905290175990624508e-13, 5.994304736948903667e-10, 2.813841778812936561e-12, 2.885299174406870968e-10, 1.392695241561319176e-09, 7.287708919066914214e-11, 1.270948041838994714e-12, 2.239241416781989155e-10, 2.955589739973628971e-10
2.054000000000000000e+03, 9.338688077989644157e-13, 5.768700751084088616e-10, 2.795726752759444216e-12, 2.075095795109352846e-10, 1.249748677631841116e-09, 7.050945216233382460e-11, 1.218793742846996693e-12, 2.075409193974898904e-10, 2.306146714105988664e-10
