year, CNRM-ESM2-1, NorESM2-MM, TaiESM1, GFDL-ESM4, NorESM2-LM
2.058000000000000000e+03, 2.638619147995014565e-10, 1.619791351984555610e-10, 2.814464344212395728e-11, 1.031581318476697691e-10, 1.563651188789223735e-10
2.059000000000000000e+03, 2.208694170412710410e-10, 2.109087278140696904e-10, 2.490723056390246676e-11, 1.340029274534948875e-10, 1.327044737199418241e-10
2.060000000000000000e+03, 2.969503132144905816e-10, 1.324947981291195495e-10, 3.952919832844062532e-11, 8.762469764228812354e-11, 1.236045626677283163e-10
2.061000000000000000e+03, 2.292343367482666145e-10, 1.714522099775809329e-10, 4.179454471138162560e-11, 1.008736107165597584e-10, 1.189384713131077218e-10
2.062000000000000000e+03, 2.222451708514990491e-10, 1.646212553917511128e-10, 3.015718179348786954e-11, 9.680671487783570840e-11, 1.484680478158802615e-10
2.063000000000000000e+03, 2.696058949390912556e-10, 1.999234105045357743e-10, 2.585133222602636548e-11, 1.364791990022014763e-10, 1.782249218533147346e-10
2.064000000000000000e+03, 3.044980898433586212e-10, 1.653214003175685550e-10, 3.631462554247723640e-11, 9.331378774694676274e-11, 1.675945913200987414e-10
2.065000000000000000e+03, 2.602894200142738689e-10, 1.624316359723019760e-10, 3.980370592026965166e-11, 1.023196224229880895e-10, 1.219126293018833203e-10
2.066000000000000000e+03, 2.461459547578486100e-10, 1.584010558531363627e-10, 3.017626983910757879e-11, 1.380549074967700116e-10, 1.504783837522530261e-10
2.067000000000000000e+03, 2.823367407486081572e-10, 1.781730834702444425e-10, 2.600562892887102949e-11, 1.497787724318026656e-10, 1.647370398354402125e-10
2.068000000000000000e+03, 3.227021287867527498e-10, 1.695674768520127354e-10, 3.827807337263324827e-11, 1.059635915862143054e-10, 1.603637482013892124e-10
2.069000000000000000e+03, 2.877472822522533125e-10, 1.824623162670569427e-10, 3.846085259899348591e-11, 6.569665629485712286e-11, 1.077962332343764263e-10
2.070000000000000000e+03, 3.391078201536482181e-10, 1.934655085108835453e-10, 3.444347976052390877e-11, 1.107843718459134494e-10, 1.638385256338941926e-10
2.071000000000000000e+03, 2.511558878110677020e-10, 1.491258985127970015e-10, 3.420084887963622634e-11, 1.001498269248270359e-10, 1.698215402538173193e-10
2.072000000000000000e+03, 2.594969542317105262e-10, 1.874037711034647651e-10, 3.502920954971584254e-11, 8.428482679200622976e-11, 1.467374044434225002e-10
2.073000000000000000e+03, 3.428303612914374840e-10, 1.597647511258560298e-10, 3.024038705295101779e-11, 8.535741153923418292e-11, 1.620806799954718089e-10
2.074000000000000000e+03, 3.273708247573360538e-10, 1.801217135789677967e-10, 3.715147578233885497e-11, 9.804740017718184005e-11, 1.513483125993791634e-10
2.075000000000000000e+03, 3.941688121441062430e-10, 1.753062260949994889e-10, 3.380504419297006936e-11, 1.288671460850663078e-10, 1.633614815528680186e-10
2.076000000000000000e+03, 2.953060426691708809e-10, 1.985917616417775243e-10, 2.726475411728089116e-11, 1.611136920348874912e-10, 1.608422540788138781e-10
2.077000000000000000e+03, 3.259622940892258247e-10, 2.418816154378506390e-10, 2.331610950475003278e-11, 1.028284209859747084e-10, 2.119534648920334452e-10
2.078000000000000000e+03, 2.500618032451937568e-10, 2.136750979362771914e-10, 3.645689968881604608e-11, 1.098105644518077656e-10, 2.104618737414722722e-10
2.079000000000000000e+03, 3.110588485872563237e-10, 1.437747713762036872e-10, 2.769703051829955539e-11, 1.321525759603748349e-10, 1.776249223267040697e-10
2.080000000000000000e+03, 2.644907968672023021e-10, 1.247911218262675187e-10, 2.993151941200115490e-11, 1.042540959957971869e-10, 1.358138929186555617e-10
2.081000000000000000e+03, 3.913906033998430275e-10, 1.916656030015218803e-10, 2.777426418533471866e-11, 1.353527431473705658e-10, 1.930866664175537456e-10
2.082000000000000000e+03, 2.985666105128040330e-10, 1.311292924734152608e-10, 2.420923546597906082e-11, 1.234876898991278600e-10, 2.370994127014667731e-10
2.083000000000000000e+03, 2.574814317009183465e-10, 2.068347570601596805e-10, 2.585184389357369972e-11, 1.810877828628024905e-10, 1.673952341339076553e-10
2.084000000000000000e+03, 3.827739440138420037e-10, 2.720795613914387238e-10, 2.857177373819740825e-11, 1.677336855743651108e-10, 1.731482784476355795e-10
2.085000000000000000e+03, 3.456291410987062877e-10, 2.494760536158253326e-10, 2.900283078228884733e-11, 1.338972327348450541e-10, 2.486172595313776374e-10
2.086000000000000000e+03, 3.868469695376654487e-10, 2.674701275778787000e-10, 2.120205367623443036e-11, 1.551273423002450448e-10, 2.211703054631054012e-10
2.087000000000000000e+03, 3.454554419821442798e-10, 2.327673327285636995e-10, 4.294701151043519487e-11, 1.578571769346019153e-10, 1.912886764112826574e-10
2.088000000000000000e+03, 4.774120211027162441e-10, 2.119216189621191743e-10, 3.231436228307814383e-11, 1.237301946063927859e-10, 1.689182774502558662e-10
2.089000000000000000e+03, 3.302347086116992974e-10, 2.314246081679614643e-10, 2.428014316216523801e-11, 1.822758122568204796e-10, 2.076549819139580380e-10
2.090000000000000000e+03, 3.463633867943389150e-10, 1.941935988122191897e-10, 3.087314084636492364e-11, 1.857768716096085760e-10, 2.436991198583329691e-10
2.091000000000000000e+03, 3.929825002421959938e-10, 2.591683203489920060e-10, 3.449424695017337776e-11, 1.600378667741622061e-10, 1.890121520488829395e-10
2.092000000000000000e+03, 3.491689684067607606e-10, 2.393762154098642688e-10, 2.679194929773369916e-11, 2.413439221683998518e-10, 1.550196125366033147e-10
2.093000000000000000e+03, 4.643308729714791944e-10, 2.271013050858136750e-10, 3.710971563350983525e-11, 1.712996326836241280e-10, 1.953499232520853760e-10
2.094000000000000000e+03, 3.166896239484602986e-10, 2.407008336803108328e-10, 2.845687174365953448e-11, 1.420063396888405964e-10, 2.480632652349297228e-10
2.095000000000000000e+03, 3.580699259039974763e-10, 1.995019538553678443e-10, 3.219745641170071650e-11, 1.743009963244696489e-10, 2.721979730344482344e-10
2.096000000000000000e+03, 3.169063226463481036e-10, 2.571876290783467354e-10, 3.058608712806876590e-11, 2.049751146500387822e-10, 1.977322888564075930e-10
2.097000000000000000e+03, 4.010396765435374200e-10, 2.454768309917421021e-10, 3.531011168102189368e-11, 1.521786917342012064e-10, 2.073300593944890368e-10
2.098000000000000000e+03, 3.273812340420972760e-10, 2.097871805287267203e-10, 2.918689157944429072e-11, 1.599650761476643721e-10, 2.061939924413707195e-10
2.099000000000000000e+03, 4.413863537021361024e-10, 2.138561087313974412e-10, 2.952207012902230518e-11, 2.076671857482854591e-10, 2.486851212519639877e-10
2.100000000000000000e+03, 3.277707623056707497e-10, 2.535972630965594928e-10, 3.818696862606966410e-11, 2.018919874815985147e-10, 1.642914082485309846e-10
