year, MPI-ESM1-2-LR, CNRM-ESM2-1, MIROC-ES2L, NorESM2-MM, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL, ACCESS-ESM1-5, TaiESM1, CanESM5, CESM2-WACCM
2.028000000000000000e+03, 3.201648740542140104e+01, 5.538648190358345147e+01, 1.380998767245267089e+01, 1.648844545570313969e+01, 5.290783189099494876e+01, 9.785780993043164955e+00, 5.059634293847522457e+01, 1.999655282095223896e+01, 5.916155959252337482e+01, 3.651228051075960934e+01, 8.080566533332213197e+00, 3.715861989150693034e+01, 1.970606357161963729e+01
2.029000000000000000e+03, 3.205954885700932522e+01, 5.549967667712392938e+01, 1.382061734474313219e+01, 1.653574838938974167e+01, 5.293900101493573374e+01, 9.807058365774429021e+00, 5.054768935827982546e+01, 2.003475308553957035e+01, 5.922743981243920786e+01, 3.653212576285440605e+01, 8.074962226788951369e+00, 3.712119193026403963e+01, 1.975855484650285732e+01
2.030000000000000000e+03, 3.215444952969750858e+01, 5.559915845066355189e+01, 1.381224051945323339e+01, 1.659566990952444954e+01, 5.296844717388666623e+01, 9.835572278784999511e+00, 5.049505476895681255e+01, 2.008117484404167286e+01, 5.921876382007751971e+01, 3.654953631690179350e+01, 8.070179170900276588e+00, 3.708363444380662344e+01, 1.979985884715610922e+01
2.031000000000000000e+03, 3.219146056209054052e+01, 5.569634478148431356e+01, 1.379964811760040000e+01, 1.665881883371909566e+01, 5.299301378023004361e+01, 9.852373187212846162e+00, 5.047432841328689790e+01, 2.011489332131640850e+01, 5.913950852731293395e+01, 3.655936921181110932e+01, 8.095572818180196251e+00, 3.705700798248117422e+01, 1.984592983601799077e+01
2.032000000000000000e+03, 3.215487432098007048e+01, 5.580613640727353442e+01, 1.383224535449910952e+01, 1.671603274609914180e+01, 5.298320347293543620e+01, 9.860320420101180261e+00, 5.044878101982011742e+01, 2.014502266240929274e+01, 5.911509836226723991e+01, 3.657488146972356446e+01, 8.133766920807417478e+00, 3.701767324761145517e+01, 1.990921247634549474e+01
2.033000000000000000e+03, 3.220761667063512590e+01, 5.592236175088276440e+01, 1.387086936009464821e+01, 1.676481929480904753e+01, 5.297859932488000112e+01, 9.876923083148458460e+00, 5.044575715124259574e+01, 2.017709682760989409e+01, 5.914332409695597192e+01, 3.660074780783292425e+01, 8.145915536018636161e+00, 3.698393474588740304e+01, 1.997800128915326923e+01
2.034000000000000000e+03, 3.225829004582683979e+01, 5.603384393046546563e+01, 1.387020212882784698e+01, 1.680466606957510933e+01, 5.298924829625497068e+01, 9.900948076676902687e+00, 5.052179154228175406e+01, 2.020973464655182994e+01, 5.923167483834485836e+01, 3.663807525645072616e+01, 8.172175515952559977e+00, 3.695762953112303251e+01, 2.002906837141390284e+01
2.035000000000000000e+03, 3.234508950012558870e+01, 5.614349062749760577e+01, 1.386084569965018787e+01, 1.683482743608798771e+01, 5.300408503676321459e+01, 9.928167409487636874e+00, 5.054991975817775085e+01, 2.024306031030196351e+01, 5.926176085195825749e+01, 3.667081202406811968e+01, 8.181975253605575205e+00, 3.694739130387533521e+01, 2.006586510718421223e+01
2.036000000000000000e+03, 3.239845251075234245e+01, 5.626690504983637453e+01, 1.387053214715755090e+01, 1.686256103250185490e+01, 5.303607873393048067e+01, 9.965787104492653370e+00, 5.049246787909053324e+01, 2.027773822944914883e+01, 5.928808616436582213e+01, 3.669478657921058584e+01, 8.182945734725501907e+00, 3.693115754170743514e+01, 2.010325713369982736e+01
2.037000000000000000e+03, 3.243082759326627240e+01, 5.640214681647696437e+01, 1.386070884687315719e+01, 1.690433761374648824e+01, 5.305389792817121730e+01, 9.987683873824538594e+00, 5.048418126515720417e+01, 2.031820577516847237e+01, 5.935130454977323211e+01, 3.671877970469530084e+01, 8.182712803899793386e+00, 3.691338882115800857e+01, 2.013962328265319712e+01
2.038000000000000000e+03, 3.244428717754333036e+01, 5.651650365498452544e+01, 1.385727683939710353e+01, 1.694572936288976450e+01, 5.306497769823153021e+01, 9.998774456290529855e+00, 5.054902915384516859e+01, 2.036596194326201470e+01, 5.936114901061905869e+01, 3.675755045817790290e+01, 8.214873653461220115e+00, 3.690431470241266254e+01, 2.016722921284637238e+01
2.039000000000000000e+03, 3.247377321196751865e+01, 5.663419832382160735e+01, 1.384503546531743723e+01, 1.698409434726569245e+01, 5.305419765011858146e+01, 1.002651986845942211e+01, 5.061910918815406291e+01, 2.040328514040337993e+01, 5.940894654715365419e+01, 3.681130646719475408e+01, 8.213442121855367262e+00, 3.689534074810460851e+01, 2.020630986652081873e+01
2.040000000000000000e+03, 3.258442792989377779e+01, 5.676580755107906384e+01, 1.383350963441524328e+01, 1.702947420495287290e+01, 5.309822579534959175e+01, 1.006233835379528685e+01, 5.061201599951196783e+01, 2.043095546939501617e+01, 5.942874609385684437e+01, 3.685432801722570417e+01, 8.225794331476990351e+00, 3.687415510301939037e+01, 2.026527012623402157e+01
2.041000000000000000e+03, 3.265112524045065356e+01, 5.689110041765717796e+01, 1.382668567039542573e+01, 1.707407563499159053e+01, 5.314819724192714290e+01, 1.008846046177391642e+01, 5.061527132280266272e+01, 2.045798486617088585e+01, 5.951455188841116239e+01, 3.687588750246092673e+01, 8.260369024509531144e+00, 3.685937464544235809e+01, 2.032475894187210486e+01
2.042000000000000000e+03, 3.263686247896434622e+01, 5.701290002972051241e+01, 1.384071790190200346e+01, 1.712581183806264562e+01, 5.315954817435367374e+01, 1.012113572978728193e+01, 5.068541970897732796e+01, 2.049233276158223305e+01, 5.951342450906006576e+01, 3.689502205440000893e+01, 8.268352713374595098e+00, 3.685523928803880267e+01, 2.038125931192606188e+01
2.043000000000000000e+03, 3.263699471305918820e+01, 5.714561320710645020e+01, 1.386387822748782206e+01, 1.717566740315958285e+01, 5.318986065220944681e+01, 1.013983180229090841e+01, 5.070756100162407876e+01, 2.052533304778377854e+01, 5.944969997443183729e+01, 3.692143891307556913e+01, 8.294660945230679872e+00, 3.684942376677832243e+01, 2.044594157966170656e+01
2.044000000000000000e+03, 3.271535751893751609e+01, 5.727121686994195215e+01, 1.387400279826508509e+01, 1.722331788532081731e+01, 5.320899174723638936e+01, 1.015477247110731973e+01, 5.068563852470598619e+01, 2.056346182085680141e+01, 5.950776280954730879e+01, 3.694872976111636831e+01, 8.294095319656968002e+00, 3.683997665318765513e+01, 2.050473535304002937e+01
2.045000000000000000e+03, 3.276877827774868734e+01, 5.739647148476849026e+01, 1.390096409897500251e+01, 1.727319429322085043e+01, 5.322688588328090731e+01, 1.017419014632839769e+01, 5.065904123586467023e+01, 2.061321386066802575e+01, 5.957479781435625910e+01, 3.696494492787875430e+01, 8.275604475811887184e+00, 3.685013948545923057e+01, 2.055442138499357441e+01
2.046000000000000000e+03, 3.280647902472666289e+01, 5.751101571345740382e+01, 1.394693866432387885e+01, 1.732687359375734815e+01, 5.326256840712444074e+01, 1.020978359656854551e+01, 5.063207381294275677e+01, 2.065866507938064345e+01, 5.965826114431265381e+01, 3.696932022101748316e+01, 8.313308731500223203e+00, 3.684186408217694009e+01, 2.059843580471338598e+01
2.047000000000000000e+03, 3.283613853085662271e+01, 5.763955376304782874e+01, 1.397490163059171486e+01, 1.736284038706677180e+01, 5.330700119443318385e+01, 1.024035403189275328e+01, 5.058790119851863665e+01, 2.070348831793761946e+01, 5.970503058819242170e+01, 3.698529482428290294e+01, 8.334938677639204485e+00, 3.680267474575993703e+01, 2.064108883982499165e+01
2.048000000000000000e+03, 3.291876054869318580e+01, 5.778791480491975108e+01, 1.396898878128742538e+01, 1.739786668097942623e+01, 5.332994683361726374e+01, 1.027645599076340588e+01, 5.058192257084338905e+01, 2.074888800251698839e+01, 5.975337429617636076e+01, 3.700814316967993989e+01, 8.336833168108624292e+00, 3.678523829102943665e+01, 2.069995011948610397e+01
2.049000000000000000e+03, 3.293285456605759975e+01, 5.792406089381107392e+01, 1.397243262319939383e+01, 1.743037562039021182e+01, 5.334122652980337165e+01, 1.031408302457372272e+01, 5.061433778508287418e+01, 2.078282576302584772e+01, 5.979757295678425777e+01, 3.704344618406008038e+01, 8.358346806154166586e+00, 3.679518309949202859e+01, 2.074881461281008299e+01
2.050000000000000000e+03, 3.297544469486437890e+01, 5.805816274828140422e+01, 1.402535069283216629e+01, 1.746784534975693148e+01, 5.333982070809571496e+01, 1.032617439405870208e+01, 5.066037017049993096e+01, 2.082262618615777328e+01, 5.991832002379464939e+01, 3.708083224072584017e+01, 8.399982822804386018e+00, 3.681551923414552618e+01, 2.079741199715881095e+01
2.051000000000000000e+03, 3.303393804720608529e+01, 5.819248050483725621e+01, 1.407304564284994086e+01, 1.749996316822867826e+01, 5.337372120916325713e+01, 1.034109999621255405e+01, 5.067583114502468788e+01, 2.086360907325114056e+01, 5.998619024321244098e+01, 3.710557051935874995e+01, 8.405002695983775141e+00, 3.681478819969171212e+01, 2.085329402928586262e+01
2.052000000000000000e+03, 3.305980003329259631e+01, 5.832141362018050756e+01, 1.410488883869874144e+01, 1.753705907202886038e+01, 5.340878393299162497e+01, 1.036310143359622060e+01, 5.066801022319233994e+01, 2.090785797254530820e+01, 6.004539556167798509e+01, 3.710973795865285751e+01, 8.410063105328548616e+00, 3.678719902031870959e+01, 2.088135315786094992e+01
2.053000000000000000e+03, 3.312665749948101990e+01, 5.844085591407795022e+01, 1.412082498031510269e+01, 1.759122596955428364e+01, 5.343844256462148223e+01, 1.039553184739563285e+01, 5.063061864821582958e+01, 2.094765903071937885e+01, 6.004815114455911385e+01, 3.711635560082887508e+01, 8.397452348860937832e+00, 3.678569360659283660e+01, 2.092546670397821984e+01
2.054000000000000000e+03, 3.320034316249363116e+01, 5.858207915678425337e+01, 1.413069424163271037e+01, 1.764985677914800632e+01, 5.344142599942667715e+01, 1.042738924975169290e+01, 5.059707223420226541e+01, 2.097130390025338542e+01, 6.017418706233038250e+01, 3.713807958152160893e+01, 8.399720873053768244e+00, 3.679549015229817144e+01, 2.099650173489432703e+01
2.055000000000000000e+03, 3.314658044027761008e+01, 5.870702192990474799e+01, 1.415082791405082041e+01, 1.771010860426331135e+01, 5.345185859622080926e+01, 1.045288400639711845e+01, 5.063175860926195782e+01, 2.100051054097554726e+01, 6.020848323397485302e+01, 3.718741401014747794e+01, 8.401399436404712873e+00, 3.679511129121085844e+01, 2.104912049676370955e+01
2.056000000000000000e+03, 3.317204135038771540e+01, 5.884439787502953578e+01, 1.418704698976350009e+01, 1.777392699120925812e+01, 5.350331160651352036e+01, 1.048986283140251174e+01, 5.064079263745662729e+01, 2.101586173048772466e+01, 6.020950321699685759e+01, 3.722524569478559897e+01, 8.447555998643929698e+00, 3.680251394170797141e+01, 2.107318516213977588e+01
2.057000000000000000e+03, 3.328620134547330878e+01, 5.898330709003274563e+01, 1.421441303859950089e+01, 1.783307621944186039e+01, 5.353118768731700072e+01, 1.052377965441422702e+01, 5.060644886934132103e+01, 2.105587560960852400e+01, 6.023151246894717303e+01, 3.724516774326990287e+01, 8.452278132703687774e+00, 3.682447181940386116e+01, 2.111210331577703769e+01
2.058000000000000000e+03, 3.333605038678625476e+01, 5.909948520617998469e+01, 1.423884254828647933e+01, 1.789005105289021458e+01, 5.356140083325693979e+01, 1.055788062300253571e+01, 5.061531841178739199e+01, 2.111175009155221716e+01, 6.025555837770306766e+01, 3.728581461011413722e+01, 8.464835687885585713e+00, 3.682400966872646819e+01, 2.118148078913507604e+01
2.059000000000000000e+03, 3.337589070641647737e+01, 5.923567722334973240e+01, 1.428147880965370753e+01, 1.795233772054323040e+01, 5.360292864874035956e+01, 1.059707178120763871e+01, 5.072685620431155940e+01, 2.116892178233749888e+01, 6.030455364037741361e+01, 3.733450068582265402e+01, 8.473601865723949800e+00, 3.682144150931136295e+01, 2.123214920056665989e+01
2.060000000000000000e+03, 3.336508245932629535e+01, 5.935977354852126098e+01, 1.433051084022136656e+01, 1.800168945854624880e+01, 5.363592061146735546e+01, 1.061334782073928373e+01, 5.079773251595318584e+01, 2.121220307744506428e+01, 6.029837922852809129e+01, 3.734921895013646775e+01, 8.505549806834416415e+00, 3.682432046795121749e+01, 2.128776118425935593e+01
2.061000000000000000e+03, 3.336275169414860642e+01, 5.949665140456495038e+01, 1.434031684437210430e+01, 1.804511914373286174e+01, 5.364745339604246510e+01, 1.063018626941052780e+01, 5.081646073209208225e+01, 2.124062601136421335e+01, 6.025486461106726210e+01, 3.736347887809778712e+01, 8.564999759833696658e+00, 3.682318322292435653e+01, 2.133863749530970111e+01
2.062000000000000000e+03, 3.342041077226092227e+01, 5.963151806887958628e+01, 1.433975800990555882e+01, 1.808966627646865533e+01, 5.364791253778419389e+01, 1.065419360188185394e+01, 5.087628302739067010e+01, 2.127124196036838910e+01, 6.030666280207783814e+01, 3.738588136427365782e+01, 8.581578844970637832e+00, 3.684169557455813049e+01, 2.136523505579973303e+01
2.063000000000000000e+03, 3.350905985559096223e+01, 5.977349160965368924e+01, 1.436936436512627679e+01, 1.813538984959562939e+01, 5.367927568885071565e+01, 1.067995386881842990e+01, 5.092522697463517289e+01, 2.130646796159641809e+01, 6.041996414826212458e+01, 3.740140298344332592e+01, 8.557745133113082048e+00, 3.687671322966312459e+01, 2.139363863257521103e+01
2.064000000000000000e+03, 3.351705244250528892e+01, 5.991985919530642946e+01, 1.439627834775479620e+01, 1.816982786669199967e+01, 5.372292055422218482e+01, 1.069530935165633423e+01, 5.088362425349840379e+01, 2.134432687740019929e+01, 6.047122073352097260e+01, 3.742243104048872482e+01, 8.560645377773584030e+00, 3.689172695653149248e+01, 2.144583621672952845e+01
2.065000000000000000e+03, 3.356963672497565909e+01, 6.005475945510690394e+01, 1.438422952807981225e+01, 1.820954605026486561e+01, 5.375366327824624335e+01, 1.071848587515279938e+01, 5.078668268652173623e+01, 2.138488507856888532e+01, 6.054073754063112034e+01, 3.744268442801153896e+01, 8.618950078695048589e+00, 3.690446065740640336e+01, 2.151659841759492053e+01
2.066000000000000000e+03, 3.365130899306320345e+01, 6.020435631544180666e+01, 1.437619197624732337e+01, 1.824512150874929617e+01, 5.374883017226187576e+01, 1.074553430005285648e+01, 5.077265716230973425e+01, 2.140525549214493850e+01, 6.061394863318547976e+01, 3.746471678718944531e+01, 8.646600094329572883e+00, 3.692380500015001843e+01, 2.156496728059391188e+01
2.067000000000000000e+03, 3.370597587141882912e+01, 6.035296240013894931e+01, 1.439211687273920859e+01, 1.827986133669590529e+01, 5.376788405537445215e+01, 1.076042607501584669e+01, 5.083734043741839059e+01, 2.143571793690813720e+01, 6.063434320791716203e+01, 3.749885740674824319e+01, 8.624938264988463388e+00, 3.696549543577064156e+01, 2.160369643146693619e+01
2.068000000000000000e+03, 3.369948289665484253e+01, 6.049658978507974894e+01, 1.438202440974486684e+01, 1.831956134877793474e+01, 5.376940330672780988e+01, 1.078012483493282936e+01, 5.086827211316973063e+01, 2.149048599442574314e+01, 6.067478628581417155e+01, 3.752651413240154454e+01, 8.630168034962595769e+00, 3.699618740205381329e+01, 2.166514143718467622e+01
2.069000000000000000e+03, 3.367269960140524887e+01, 6.062668474520237538e+01, 1.435458654311059767e+01, 1.838566315973476151e+01, 5.378185231924719290e+01, 1.079694394514250178e+01, 5.087540066589086507e+01, 2.152896703396981692e+01, 6.070120120239410966e+01, 3.754792426611954426e+01, 8.697772708188786339e+00, 3.701487514003213164e+01, 2.171067252613537235e+01
2.070000000000000000e+03, 3.368858969179019169e+01, 6.075787810075071604e+01, 1.431457634885850183e+01, 1.845225619848070409e+01, 5.381077353996049339e+01, 1.082796168761725042e+01, 5.095244345194108604e+01, 2.155095806298147210e+01, 6.075748129206179726e+01, 3.757525590319878006e+01, 8.701277756588661205e+00, 3.702268942735371837e+01, 2.173908780645030348e+01
2.071000000000000000e+03, 3.380740388251936679e+01, 6.090563830943527535e+01, 1.429573830072875928e+01, 1.851054463631805191e+01, 5.384321246743193967e+01, 1.084688651176909779e+01, 5.096629323215168483e+01, 2.159489279922550864e+01, 6.075759232396985965e+01, 3.759635023162534395e+01, 8.686815661957520973e+00, 3.704369765982412588e+01, 2.178510816256741478e+01
2.072000000000000000e+03, 3.390740733078320090e+01, 6.106822028353988685e+01, 1.429129465380223962e+01, 1.854503419106381301e+01, 5.390358379715014081e+01, 1.086691295832078907e+01, 5.084670383565234886e+01, 2.164202141226098419e+01, 6.074334292774883437e+01, 3.761933107535546128e+01, 8.735366288952874925e+00, 3.709165494045029732e+01, 2.183596715665983723e+01
2.073000000000000000e+03, 3.387490863545079378e+01, 6.121457801898884554e+01, 1.425339827569336215e+01, 1.858344965130713788e+01, 5.396133809508364720e+01, 1.089766179347513209e+01, 5.074770713126868316e+01, 2.167385297910212927e+01, 6.077588257832038465e+01, 3.765297627590248908e+01, 8.768846530513471293e+00, 3.713676041298035102e+01, 2.190875814796553200e+01
2.074000000000000000e+03, 3.384916686457273727e+01, 6.134480001263381865e+01, 1.421473222225857924e+01, 1.864881245055956427e+01, 5.398404386572003233e+01, 1.091488113816316741e+01, 5.080875797363105306e+01, 2.168618327183618177e+01, 6.078180772383397823e+01, 3.767281419756538696e+01, 8.795234359997003537e+00, 3.717302912845237728e+01, 2.198381082597172664e+01
2.075000000000000000e+03, 3.389980536626095642e+01, 6.149738269309202110e+01, 1.421345778840333907e+01, 1.871435713694839009e+01, 5.401194228774402717e+01, 1.093828768829280129e+01, 5.092982568542737454e+01, 2.172200107967402616e+01, 6.077013228952252888e+01, 3.768721599973810754e+01, 8.809048841824839826e+00, 3.723468270866037955e+01, 2.204456747139314032e+01
2.076000000000000000e+03, 3.390949326108229656e+01, 6.165540385011889413e+01, 1.426242844200928239e+01, 1.877976024220347284e+01, 5.403510574018820023e+01, 1.096433448481178097e+01, 5.090968635781193541e+01, 2.175526310197908231e+01, 6.079597127728243322e+01, 3.769518900440248643e+01, 8.822214076024822660e+00, 3.727540268030245585e+01, 2.210599492300337232e+01
2.077000000000000000e+03, 3.394566968203788093e+01, 6.177489180071875552e+01, 1.428431051704860977e+01, 1.885413741968798362e+01, 5.408133803705815268e+01, 1.100080322631374585e+01, 5.089850152823012053e+01, 2.180507285540308615e+01, 6.089892380902176683e+01, 3.769126604204264197e+01, 8.812618200651622047e+00, 3.730932785003661678e+01, 2.218572356305951487e+01
2.078000000000000000e+03, 3.397350949456112090e+01, 6.191099856614553687e+01, 1.427775664117684329e+01, 1.890146358390431303e+01, 5.410896680141516413e+01, 1.100769129935190627e+01, 5.095532943877292098e+01, 2.186093310575546056e+01, 6.088466715271110985e+01, 3.769308092365409379e+01, 8.841132703524960945e+00, 3.733673139709056699e+01, 2.223088407401708722e+01
2.079000000000000000e+03, 3.399271017075830770e+01, 6.203257920641753742e+01, 1.426790027371793101e+01, 1.893883973020707145e+01, 5.414970554410512449e+01, 1.103224515373546311e+01, 5.099305868048595158e+01, 2.190417241264230341e+01, 6.084882410471004022e+01, 3.771540253829853384e+01, 8.869163267135895978e+00, 3.740052372231909317e+01, 2.228310917586168216e+01
2.080000000000000000e+03, 3.407806132735699833e+01, 6.215827645825262238e+01, 1.427525639350983333e+01, 1.895989093629864186e+01, 5.417404844227225169e+01, 1.105933928045558368e+01, 5.091181803567516795e+01, 2.192531236615540635e+01, 6.086258558607561042e+01, 3.773838624699627786e+01, 8.881297099709762222e+00, 3.745252252538336535e+01, 2.235235278368595502e+01
2.081000000000000000e+03, 3.413530022508021489e+01, 6.228298663590604889e+01, 1.430106196355674619e+01, 1.899799380641631075e+01, 5.418764062775139223e+01, 1.107601843004390219e+01, 5.088304361509883478e+01, 2.195697559192438320e+01, 6.085031556059367830e+01, 3.774552588390000096e+01, 8.904344123432926139e+00, 3.748645540660172770e+01, 2.237819715784485908e+01
2.082000000000000000e+03, 3.414944621648884748e+01, 6.243646526430691779e+01, 1.431465913445952154e+01, 1.905219912044340447e+01, 5.423175391156257064e+01, 1.109088574567560848e+01, 5.096901233937649067e+01, 2.199869469626750274e+01, 6.097476918270803736e+01, 3.776593905071095492e+01, 8.912908255299859306e+00, 3.753813161631511974e+01, 2.241008278811804644e+01
2.083000000000000000e+03, 3.423733941735137165e+01, 6.259641961266301280e+01, 1.430868555681957766e+01, 1.909067597206034961e+01, 5.428141319696279510e+01, 1.111025797505472568e+01, 5.098963130030006141e+01, 2.205903124982857832e+01, 6.101498877084568306e+01, 3.776760094273252122e+01, 8.928795145274886380e+00, 3.755396585130542064e+01, 2.245842711900791144e+01
2.084000000000000000e+03, 3.426871923129630204e+01, 6.273854658665585760e+01, 1.430038275756423261e+01, 1.915120529106028258e+01, 5.432360744281042741e+01, 1.112019673019324806e+01, 5.090344450567404522e+01, 2.209540598522475108e+01, 6.103164993493938084e+01, 3.774958234065513807e+01, 8.939543939294754438e+00, 3.758362736209846844e+01, 2.251433305354575509e+01
2.085000000000000000e+03, 3.441185542128019392e+01, 6.288929820932170145e+01, 1.431442204648064376e+01, 1.922413291687351844e+01, 5.434689438649743920e+01, 1.114732074499885606e+01, 5.082679372995908551e+01, 2.213011968242788896e+01, 6.108487794647040658e+01, 3.774704579120601267e+01, 8.970042380308667518e+00, 3.764027901185900049e+01, 2.256644866319362919e+01
2.086000000000000000e+03, 3.446216317041554333e+01, 6.305121622903399015e+01, 1.435936964296805129e+01, 1.929788807920487415e+01, 5.433135093932276760e+01, 1.118156475398496141e+01, 5.085059648793237841e+01, 2.216831671653957159e+01, 6.117771872172011882e+01, 3.774262344548712633e+01, 8.974390128090902863e+00, 3.768484794671879712e+01, 2.261692747461131603e+01
2.087000000000000000e+03, 3.446225806281438508e+01, 6.319559988711754528e+01, 1.437921853161429731e+01, 1.936708389496835636e+01, 5.436316415340062491e+01, 1.119916539833775104e+01, 5.089083482543725978e+01, 2.220314838950933378e+01, 6.120551445955518943e+01, 3.774365632035006968e+01, 8.976241946554910811e+00, 3.773371071909127039e+01, 2.269706992365416909e+01
2.088000000000000000e+03, 3.448251097439534618e+01, 6.334811883852156456e+01, 1.437119680815706602e+01, 1.942747836724416999e+01, 5.442893780780110546e+01, 1.121996163474309149e+01, 5.083640313386518983e+01, 2.224558327159639859e+01, 6.115901541455573209e+01, 3.775094745516329908e+01, 9.045970098884879462e+00, 3.778617307086413035e+01, 2.275495086733309691e+01
2.089000000000000000e+03, 3.450481779065663090e+01, 6.353026816615282968e+01, 1.437148643993091923e+01, 1.947179944661493423e+01, 5.448382311000049327e+01, 1.123165614632062415e+01, 5.081076811938424953e+01, 2.228273687101800604e+01, 6.117014187295096406e+01, 3.775357546410744192e+01, 9.068395975256873243e+00, 3.781358031750030335e+01, 2.281478989877624031e+01
