year, CNRM-ESM2-1, TaiESM1, CMCC-CM2-SR5, NorESM2-MM, MIROC-ES2L, CanESM5, CESM2-WACCM, NorESM2-LM, INM-CM4-8, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, ACCESS-ESM1-5, GFDL-ESM4, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.047000000000000000e+03, 5.564115957907864285e+00, 1.666104286179585392e+00, 1.300083911451691332e+00, 1.742867601112313203e+00, 5.704018314400594036e+00, 5.633036005436203197e+00, 2.156981472828634061e+00, 1.783749872928975577e+00, 8.949757447094116358e+00, 4.416873979840866049e+00, 1.065122467469978673e+01, 5.596976664323666029e+00, 5.481487950273727705e+00, 4.284425462019352260e+00, 2.466670638319210962e+00, 2.439869354220556730e+00
2.048000000000000000e+03, 5.544634101590381725e+00, 1.695941166070351835e+00, 1.374355279257336360e+00, 1.734572665176883799e+00, 5.645185878373881749e+00, 5.644987344954814468e+00, 2.096348772969300445e+00, 1.795971946409585351e+00, 8.969739231973637317e+00, 4.655215114423403300e+00, 1.061515962988122297e+01, 5.622637479243979719e+00, 5.568668668083059714e+00, 4.295419060417335899e+00, 2.467566365483436108e+00, 2.483355616150689116e+00
2.049000000000000000e+03, 5.601296865807806391e+00, 1.655285214532003391e+00, 1.487122077803117781e+00, 1.748458042428152615e+00, 5.614227075106634324e+00, 5.702069243167260382e+00, 2.185888351718949796e+00, 1.844086382133387936e+00, 9.145468756115311848e+00, 4.508424893423300439e+00, 1.059573222760213795e+01, 5.693045829993717000e+00, 5.664362805276083712e+00, 4.310678922006605518e+00, 2.494025641384146841e+00, 2.410777038476519696e+00
2.050000000000000000e+03, 5.586174125817210623e+00, 1.566979854620914603e+00, 1.552693707438761672e+00, 1.738612506477439812e+00, 5.769649703489676540e+00, 5.773904180950736986e+00, 2.227474800168305791e+00, 1.836281627718842735e+00, 9.263034450231719674e+00, 4.454624331487508471e+00, 1.064753240953104729e+01, 5.740583673870397696e+00, 5.680960261004087464e+00, 4.223747848824885409e+00, 2.508767926081918009e+00, 2.397703260320223073e+00
2.051000000000000000e+03, 5.557464427175473176e+00, 1.608767419027234080e+00, 1.440780520171670354e+00, 1.861454079346582580e+00, 5.841104720743631518e+00, 5.821408042684488748e+00, 2.167823545830268372e+00, 1.791809801448920547e+00, 9.205522285294410523e+00, 4.403351213455431790e+00, 1.074963391760933007e+01, 5.767745036218225430e+00, 5.605516119580915557e+00, 4.212885962039060850e+00, 2.518833730366449863e+00, 2.427288586846001905e+00
2.052000000000000000e+03, 5.618912006202942067e+00, 1.646360129645669801e+00, 1.454245955571658921e+00, 1.926555505536775126e+00, 5.759174434236347118e+00, 5.838129290700166507e+00, 2.402665264291062641e+00, 1.755390318271328631e+00, 9.148916725064808020e+00, 4.317391092250797868e+00, 1.089477714264506680e+01, 5.816070396821080735e+00, 5.574636282642885021e+00, 4.210089396060112676e+00, 2.481207220978578043e+00, 2.481386669232649389e+00
2.053000000000000000e+03, 5.612465935978291576e+00, 1.751642755406745966e+00, 1.453443573143462508e+00, 1.952730680498407922e+00, 5.689303611475041045e+00, 5.849199586031066822e+00, 2.393388340841324347e+00, 1.761129400204058060e+00, 9.163096137730038393e+00, 4.578922334167113917e+00, 1.098009208669567904e+01, 5.909720206136179321e+00, 5.597188098243503163e+00, 4.256518031204219454e+00, 2.441108399844706067e+00, 2.511237488737477985e+00
2.054000000000000000e+03, 5.612339632105972420e+00, 1.812911804172592900e+00, 1.651864476039977214e+00, 1.902811795894979952e+00, 5.583842299769123052e+00, 5.903180665419126782e+00, 2.178201446380457096e+00, 1.884314400901017761e+00, 9.257341082357873674e+00, 4.646350788496965478e+00, 1.096301608565954311e+01, 5.896224440447038084e+00, 5.678394886351151527e+00, 4.339479842583529035e+00, 2.338564159147582977e+00, 2.498516217580999399e+00
2.055000000000000000e+03, 5.741202471613256364e+00, 1.818195075892916845e+00, 1.591769224123315229e+00, 1.945376604424638334e+00, 5.601647326495781343e+00, 5.959143630821771787e+00, 2.196087165766135829e+00, 1.855017479189039920e+00, 9.500923236039312769e+00, 4.494420325574266073e+00, 1.098475187988282009e+01, 5.861095769730388483e+00, 5.740494704065218556e+00, 4.311764984685452440e+00, 2.454421793423880782e+00, 2.609885452181600840e+00
2.056000000000000000e+03, 5.610581653807054536e+00, 1.717257079000053643e+00, 1.449701523421254912e+00, 1.964488949506536519e+00, 5.707742708905716000e+00, 6.032795951197080342e+00, 2.371411885653166074e+00, 1.985774657014687694e+00, 9.630297926124645969e+00, 4.109224712062409246e+00, 1.098533406932487644e+01, 5.848080382173017178e+00, 5.773812221940009870e+00, 4.316939051750804168e+00, 2.516953995623162577e+00, 2.648197173839536234e+00
2.057000000000000000e+03, 5.653115776311195440e+00, 1.775861044974542891e+00, 1.580165470016051898e+00, 2.033454906618033853e+00, 5.787981029047569947e+00, 6.152097041116727283e+00, 2.247676988220379979e+00, 2.003064275252931736e+00, 9.687131464317390694e+00, 4.449328946972512355e+00, 1.105603002432158988e+01, 5.855429073619666802e+00, 5.835043231487804682e+00, 4.370733987219621142e+00, 2.420387492826979070e+00, 2.632585143701050345e+00
2.058000000000000000e+03, 5.762436350011746811e+00, 1.776408425418844583e+00, 1.522070559985877702e+00, 1.979753364216599421e+00, 5.819841634697004551e+00, 6.186736941204207696e+00, 2.269632913826582943e+00, 1.981050469049948859e+00, 9.741474021990891075e+00, 4.681865846708351597e+00, 1.114585245552185455e+01, 5.911022002764286576e+00, 5.881268435601607614e+00, 4.426161439924106489e+00, 2.380744603907664292e+00, 2.675125136105343859e+00
2.059000000000000000e+03, 5.723918973707666780e+00, 1.859805251228090706e+00, 1.419396282875525772e+00, 1.821487108418444745e+00, 5.934068912724071332e+00, 6.235599871443780806e+00, 2.378193083367790006e+00, 1.873741004910211450e+00, 9.596261049218501427e+00, 4.696794192797626444e+00, 1.112787660136587498e+01, 5.919502110864659272e+00, 5.813195107617532109e+00, 4.461236937301511496e+00, 2.404881299287223939e+00, 2.648077390372470585e+00
2.060000000000000000e+03, 5.801349626585361463e+00, 1.787226673607969385e+00, 1.444109839327211597e+00, 1.897836091114752488e+00, 6.066400327912159440e+00, 6.270309783320184849e+00, 2.247609635662590755e+00, 1.838214947888236139e+00, 9.562751924724867791e+00, 4.925805583351693606e+00, 1.134061668994224803e+01, 5.911877344246255994e+00, 5.714163657669477203e+00, 4.520041734718326154e+00, 2.465432873611682840e+00, 2.629093619820975558e+00
2.061000000000000000e+03, 5.780860207582886545e+00, 1.650350087853464709e+00, 1.547953371996787064e+00, 1.898402356091222654e+00, 6.047356044703892763e+00, 6.328674998833159648e+00, 2.275371252729140981e+00, 1.894351154378813407e+00, 9.572142489238833818e+00, 4.918989865258486915e+00, 1.144152986857217869e+01, 5.957267922138848704e+00, 5.733228593657243799e+00, 4.562218983492411617e+00, 2.593631809317861858e+00, 2.630398926369563295e+00
2.062000000000000000e+03, 5.887652112425702633e+00, 1.688040437882606160e+00, 1.590462045796581902e+00, 1.860144096380461409e+00, 5.962357826706889519e+00, 6.402452578247722847e+00, 2.458923232261655212e+00, 2.008055670138104265e+00, 9.660602500388542069e+00, 4.812850113474627101e+00, 1.144658505360848544e+01, 6.034199666295255504e+00, 5.790407159975362816e+00, 4.598385808938243891e+00, 2.602706143025520280e+00, 2.664223306936877034e+00
2.063000000000000000e+03, 5.972273566604303419e+00, 1.849555147771421382e+00, 1.425447146535402165e+00, 1.759762995643757044e+00, 6.007770219998723071e+00, 6.516075850018464344e+00, 2.490181490217134197e+00, 1.968367879146909249e+00, 9.755502753272951466e+00, 4.407099241725449090e+00, 1.149531572122350731e+01, 6.047966689995678990e+00, 5.842567682619130842e+00, 4.571816190644207190e+00, 2.439842229177081823e+00, 2.692178467862567981e+00
2.064000000000000000e+03, 5.957624965158204944e+00, 1.877289431048948742e+00, 1.271805573637716735e+00, 1.830959960051141033e+00, 6.030151399614285701e+00, 6.569848254191126280e+00, 2.438283660958746157e+00, 1.921010968594693225e+00, 9.897669729434852570e+00, 4.520122427068098858e+00, 1.152268050844199720e+01, 6.062793422668839582e+00, 5.889690521195006134e+00, 4.527494648160153901e+00, 2.518928439466172620e+00, 2.687233624664679965e+00
2.065000000000000000e+03, 5.961091261085186943e+00, 1.709739854764265488e+00, 1.337324163069042449e+00, 1.887770442064733212e+00, 5.971707572359882477e+00, 6.594512058238925611e+00, 2.282180269962763575e+00, 1.897436783504327984e+00, 1.003590418111627081e+01, 4.665277879230449898e+00, 1.143273697011700740e+01, 6.145975385597369112e+00, 5.915441714637966975e+00, 4.643561952917773183e+00, 2.541118449581254879e+00, 2.748420036163951696e+00
2.066000000000000000e+03, 5.963951266928851247e+00, 1.720787621467866346e+00, 1.473883919594883185e+00, 1.973975517615198516e+00, 5.889876277139315164e+00, 6.625449716279443457e+00, 2.466575751289001861e+00, 2.059250228658050741e+00, 1.009988093641975837e+01, 4.946381761168335167e+00, 1.154128149773391954e+01, 6.138802112786359899e+00, 5.966781673607852277e+00, 4.640038939865434919e+00, 2.530315234161002014e+00, 2.727981150272759781e+00
2.067000000000000000e+03, 6.125530696163118627e+00, 1.896139807106683284e+00, 1.465726824134059969e+00, 2.022529470159909692e+00, 5.932899461658892371e+00, 6.692816993297954653e+00, 2.513051224659030414e+00, 2.080087248792227950e+00, 1.010117699820928650e+01, 4.892246090395562241e+00, 1.166496945577544153e+01, 6.163997725615712575e+00, 6.005723454238403036e+00, 4.592648973682782909e+00, 2.493355464464555471e+00, 2.751203236161050114e+00
2.068000000000000000e+03, 6.092694256973759437e+00, 1.896734627191571265e+00, 1.664905890471922056e+00, 2.110664611727336659e+00, 5.877938405096687191e+00, 6.799384597615750536e+00, 2.396819167537699524e+00, 1.919267605678569799e+00, 1.013208397385938397e+01, 5.140181642254893823e+00, 1.158474242180042957e+01, 6.188421005737828828e+00, 6.011864381277585601e+00, 4.514440211863255392e+00, 2.487468416203903576e+00, 2.746772569481734649e+00
2.069000000000000000e+03, 6.066317994952519221e+00, 1.720987603531990873e+00, 1.682275104290698264e+00, 1.963140916025810645e+00, 5.826256668569148367e+00, 6.810747730670479783e+00, 2.514095020385451740e+00, 1.898844320304000854e+00, 1.023529372535728577e+01, 5.155262693721128109e+00, 1.168377602363761625e+01, 6.246212634198539781e+00, 5.993460537975315638e+00, 4.529263737611518792e+00, 2.524418550472098399e+00, 2.798725616679610173e+00
