year, EC-Earth3-Veg, NorESM2-LM, INM-CM5-0, ACCESS-ESM1-5, CNRM-ESM2-1, CanESM5, TaiESM1, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-MM, INM-CM4-8, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, GFDL-ESM4, UKESM1-0-LL
2.038000000000000000e+03, 2.113120195711622351e+00, 7.841546927264024802e-01, 1.812610097631323525e+00, 1.384556142152942204e+00, 1.464728765373581210e+00, 2.271990284434249663e+00, 5.365051514926056919e-01, 9.492392482052118829e-01, 1.709154285203949630e+00, 7.688108278355718639e-01, 1.603519466144735839e+00, 1.162802275135161878e+00, 8.873832400121833830e-01, 1.035429559418851619e+00, 6.919493959648833625e-01, 1.256332112878766116e+00
2.039000000000000000e+03, 2.464812698497406362e+00, 7.244332449560378917e-01, 1.784293347275652142e+00, 1.284169036266538555e+00, 1.473398610137074627e+00, 2.317387756218211248e+00, 5.960046902935079993e-01, 7.768829326476690555e-01, 1.910155476666691055e+00, 8.449462380886614277e-01, 1.372246631205022771e+00, 1.132090494422180349e+00, 8.067830476756183700e-01, 1.064037557084820174e+00, 5.911235245981694142e-01, 1.170831994396727138e+00
2.040000000000000000e+03, 2.738830937888626416e+00, 8.547533970395115865e-01, 1.873332021783968848e+00, 1.222814971661732475e+00, 1.295779057554757197e+00, 2.248562044555219241e+00, 5.628908095055188410e-01, 9.660664573043680203e-01, 1.488297643055905617e+00, 7.948518785205024306e-01, 1.387187777986810477e+00, 1.041173806322241324e+00, 6.058604647947947175e-01, 9.775754323428438308e-01, 7.076667673874391662e-01, 1.535784052865185823e+00
2.041000000000000000e+03, 2.392952299104152747e+00, 7.361702959957424630e-01, 1.713952615107947386e+00, 1.294343122812652291e+00, 1.493988343579812916e+00, 2.289960666021416458e+00, 5.763875280864922956e-01, 9.669485564633706343e-01, 1.281732000148807504e+00, 9.984577274576350581e-01, 1.407685009555340372e+00, 1.117332194407114843e+00, 8.147326708384686755e-01, 1.084051181158937505e+00, 7.886872185610974695e-01, 1.181440001824866970e+00
2.042000000000000000e+03, 2.248602122454417263e+00, 1.038175746983932113e+00, 1.650077214146996818e+00, 1.279894280690928365e+00, 1.371232535818017739e+00, 2.419288750380482522e+00, 5.604208843364287818e-01, 1.122609977362805767e+00, 1.573675785240419289e+00, 1.045701143703246627e+00, 1.499316992006998195e+00, 1.034005410177788686e+00, 8.275520550581940693e-01, 9.133613723046634103e-01, 7.447850415127182933e-01, 9.346698734927164631e-01
2.043000000000000000e+03, 2.299557287591313948e+00, 9.248276073022827504e-01, 1.957197761966948057e+00, 1.255480290273137234e+00, 1.434381826085060041e+00, 2.326981288754879085e+00, 5.215740161868178681e-01, 9.312797656146731828e-01, 1.860968195279367743e+00, 9.509682371026929593e-01, 1.573330169225427566e+00, 9.832173473455759760e-01, 7.457883586236834228e-01, 8.202337005805435677e-01, 5.620522706987810535e-01, 1.336089355712493321e+00
2.044000000000000000e+03, 1.904718828285824950e+00, 9.542916816826717552e-01, 1.687267238923233936e+00, 1.290690019818022227e+00, 1.357902713667030969e+00, 2.447111874048378599e+00, 6.733496486941965564e-01, 9.796934660549003748e-01, 1.731480137442707568e+00, 9.453265389598410895e-01, 1.482380688185616968e+00, 1.021531415627140005e+00, 9.653871640591404901e-01, 9.053203390505153436e-01, 6.554091591011127482e-01, 1.241844397530220689e+00
2.045000000000000000e+03, 2.266595059477637619e+00, 7.390195814196028889e-01, 1.868216929485467359e+00, 1.260033739512643747e+00, 1.392819410699394744e+00, 2.442176686420260978e+00, 5.790473536349963757e-01, 1.125805452891579739e+00, 1.789241644696924594e+00, 8.375709028055721150e-01, 1.617216085578447649e+00, 1.062632632509646236e+00, 7.937053032314794754e-01, 1.022477667966603665e+00, 6.593200601792930104e-01, 1.255883479539150915e+00
2.046000000000000000e+03, 2.261395999474389296e+00, 7.938395158460347378e-01, 1.794371117761738743e+00, 1.347119732025771288e+00, 1.532029733216346168e+00, 2.485271439952526862e+00, 5.193808245553588332e-01, 1.117154745016015971e+00, 1.592936501701031071e+00, 7.429923270489662279e-01, 1.497757499792179425e+00, 1.217880070054234265e+00, 7.573614655761792269e-01, 1.019187780435346413e+00, 6.686602769638351207e-01, 1.179632631505765916e+00
2.047000000000000000e+03, 2.981128168055507732e+00, 8.606939716795748430e-01, 1.823388226997575856e+00, 1.352367359592893781e+00, 1.569154926234518577e+00, 2.608566930096525294e+00, 5.922786727856630407e-01, 9.561034632590629245e-01, 1.636536178642013395e+00, 9.975936462375474267e-01, 1.645355694837697280e+00, 8.102354730113823233e-01, 7.200162997020209676e-01, 1.126948757036087212e+00, 6.733389496972610466e-01, 1.229265001649997968e+00
2.048000000000000000e+03, 2.401693612139236489e+00, 8.473965437221072650e-01, 1.676176912942478836e+00, 1.459621225582117932e+00, 1.346526592660054478e+00, 2.457302757242863844e+00, 6.137113053573848287e-01, 8.748638426284600644e-01, 1.571366803145838098e+00, 8.006806389642627808e-01, 1.513907015408120893e+00, 9.261699635087310423e-01, 7.674775876477127889e-01, 1.115758183887299637e+00, 6.966042276075840034e-01, 1.328677985846954179e+00
2.049000000000000000e+03, 2.344977286721130039e+00, 9.131746213988357619e-01, 1.727319130873755881e+00, 1.464048394559121391e+00, 1.421650976149958723e+00, 2.585432814210284036e+00, 5.281683382789537085e-01, 1.084873245527392394e+00, 1.736394923376671562e+00, 8.481473989078465170e-01, 1.909386815422354999e+00, 1.231180414896677844e+00, 8.891156546748907319e-01, 8.257082095758995210e-01, 6.285698161367921921e-01, 1.485157269545486658e+00
2.050000000000000000e+03, 2.473804304358074191e+00, 9.100328395569060591e-01, 1.829743183567662523e+00, 1.388846963021829195e+00, 1.428888060915155744e+00, 2.605254717851835711e+00, 5.316053296550915519e-01, 1.197729735642692805e+00, 1.649631871673898020e+00, 8.646561623246367123e-01, 1.649769668240659071e+00, 1.090225646138299753e+00, 7.944474718629858101e-01, 9.127435493864620719e-01, 5.593997248617388340e-01, 1.384178090512675485e+00
2.051000000000000000e+03, 2.098133293520752840e+00, 7.137659414612328446e-01, 1.964641408979895587e+00, 1.183641046994682977e+00, 1.309172420893576883e+00, 2.560873733559056120e+00, 5.835578535929046851e-01, 9.658585757168191011e-01, 1.699250487413145549e+00, 1.164943593891271334e+00, 1.522115002509631720e+00, 9.320536738820799361e-01, 7.652871299918748704e-01, 9.489465852211194097e-01, 6.588420839092903325e-01, 1.325587101091504572e+00
2.052000000000000000e+03, 2.320287747636569087e+00, 7.696802556298628639e-01, 2.054336621893128711e+00, 1.350207378712846351e+00, 1.459450460842277586e+00, 2.526875858551206111e+00, 6.123708333022417349e-01, 9.014714205328729912e-01, 1.578871169634258331e+00, 1.023391933477149074e+00, 1.520271785085549832e+00, 1.496041410185750653e+00, 7.769596369846730743e-01, 1.078006597366786723e+00, 6.121494272968821537e-01, 1.403462713484699087e+00
2.053000000000000000e+03, 3.276711086501420844e+00, 7.893228420400683065e-01, 1.958726762402273724e+00, 1.376120973013107873e+00, 1.338675877981823525e+00, 2.591132526890900678e+00, 6.308167223670376744e-01, 8.735325578598619467e-01, 1.549233245426553163e+00, 1.130659300861414973e+00, 1.527889776900228203e+00, 9.851018901016117546e-01, 8.517365400481772264e-01, 1.029225378418313408e+00, 8.038624918351032766e-01, 1.649601862854193079e+00
2.054000000000000000e+03, 2.258689092027482470e+00, 1.006861635326988358e+00, 1.863314570672947257e+00, 1.498916478080933867e+00, 1.554584451760637087e+00, 2.555675585069347555e+00, 6.468153046630362724e-01, 8.527416545945895043e-01, 1.261727139136707754e+00, 9.624297643483091802e-01, 1.660297291539131637e+00, 6.910290936975530540e-01, 9.687546227599033166e-01, 9.492831403276438262e-01, 6.963630155930755627e-01, 1.189581348389186610e+00
2.055000000000000000e+03, 1.948805909728431596e+00, 7.268614098365222542e-01, 1.896000701905264263e+00, 1.442639468214112375e+00, 1.469946778281561395e+00, 2.653897520677299671e+00, 5.613386912392376304e-01, 1.075497417635477682e+00, 1.763558299017613296e+00, 1.181934061612606612e+00, 2.059566503038047891e+00, 1.150437722450332823e+00, 7.506881683633480629e-01, 1.262827986574804662e+00, 5.962992288166817367e-01, 1.127809463360839315e+00
