year, CMCC-ESM2, CNRM-ESM2-1, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL
2.028000000000000000e+03, 1.797664917760006421e-12, 1.035810763055706804e-11, 3.980857734165991965e-12, 2.383007024075540577e-10, 3.108604472688569693e-10, 1.895433552290632722e-10, 5.204128488243982406e-10, 1.191327265433889442e-13
2.029000000000000000e+03, 2.775294329993497562e-12, 9.589779464731693762e-12, 3.789656408675374311e-12, 2.391279467402410569e-10, 3.086653113093793718e-10, 1.940290948336816139e-10, 5.687331078333955570e-10, 8.300098262307297564e-14
2.030000000000000000e+03, 3.576055932001163891e-12, 8.811556047898723561e-12, 3.615826834269800481e-12, 2.181917478886979622e-10, 3.023350985017049590e-10, 1.909619337845264530e-10, 4.842418335861636449e-10, 4.740395621458178416e-14
2.031000000000000000e+03, 4.213414622509298753e-12, 8.573946423580986391e-12, 3.542869518944789880e-12, 2.042215858267806424e-10, 3.051799419271191375e-10, 2.154269600098037987e-10, 4.165766411026181048e-10, 5.113177836900764992e-14
2.032000000000000000e+03, 4.696119826998054655e-12, 8.541699274126375933e-12, 3.337728753484568852e-12, 2.177907264100042947e-10, 3.130410312684204897e-10, 2.246248172873360015e-10, 4.665491313711784845e-10, 4.630661542488368078e-14
2.033000000000000000e+03, 5.012837173416562504e-12, 8.494290304046177715e-12, 3.287198584433445136e-12, 2.369626295678890241e-10, 3.181411390553546336e-10, 1.927261560698413347e-10, 5.335434200028442962e-10, 4.223843504743698559e-14
2.034000000000000000e+03, 5.164490300765278292e-12, 8.448758722207547011e-12, 3.102789834686632980e-12, 2.432872171535178297e-10, 3.116526224256927140e-10, 1.947843140037930310e-10, 5.704923989685251132e-10, 6.635966434477281163e-14
2.035000000000000000e+03, 5.163911020384291531e-12, 8.403858916871779468e-12, 3.009963787964050339e-12, 2.522759270308716871e-10, 3.078480417784934616e-10, 1.941620862446091530e-10, 6.040475420263588214e-10, 6.676225042111760097e-14
2.036000000000000000e+03, 5.021913233335601015e-12, 8.528642791145640920e-12, 2.742571991420689521e-12, 2.427272188964436843e-10, 3.126027593065576148e-10, 2.110552966156289557e-10, 5.347930389307139290e-10, 6.026468816515412866e-14
2.037000000000000000e+03, 4.794805545944346885e-12, 8.557581587835257838e-12, 2.619313614518472700e-12, 2.374782636670411109e-10, 3.102588376119244267e-10, 2.280299608874178591e-10, 4.605463321037979362e-10, 7.290679790992084187e-14
2.038000000000000000e+03, 4.518779177071218840e-12, 8.599880649344966938e-12, 2.516482427633315327e-12, 2.316939890439726101e-10, 3.104615284452432350e-10, 2.349554962029019435e-10, 6.041499863402523770e-10, 8.397026512600860572e-14
2.039000000000000000e+03, 4.230258423344721213e-12, 8.653207024737385847e-12, 2.425928387645553316e-12, 2.444063135292721064e-10, 3.096984719301077077e-10, 2.578214443763345838e-10, 6.490624313967360296e-10, 7.171023771338908637e-14
2.040000000000000000e+03, 3.960936371694979881e-12, 8.769522242923689240e-12, 2.344194938636327606e-12, 2.374750259151420757e-10, 3.090948030094613202e-10, 2.546477511340855070e-10, 5.886885491786594003e-10, 9.331969451858518583e-14
2.041000000000000000e+03, 3.715443014186718498e-12, 8.497725061035941569e-12, 2.267062678303629478e-12, 2.144100918529401221e-10, 3.140074373586009647e-10, 2.758002961152417009e-10, 6.687651813230101371e-10, 1.353613251063555129e-13
2.042000000000000000e+03, 3.480027868984162641e-12, 8.743779372491198533e-12, 2.197566228819192789e-12, 1.972295992760841260e-10, 3.219214235608252619e-10, 2.558900123864571424e-10, 5.671564681817057694e-10, 9.364455658221769855e-14
2.043000000000000000e+03, 3.264104849238969369e-12, 9.090517250493840508e-12, 2.134036079835159283e-12, 2.262709885039669091e-10, 3.254269306578634162e-10, 2.332441023177076301e-10, 5.151919621334687861e-10, 9.020472254917767890e-14
2.044000000000000000e+03, 3.046365987775905709e-12, 9.302652898312920921e-12, 2.075666565647058940e-12, 2.518435711027352177e-10, 3.275858156853027725e-10, 2.412904567066977815e-10, 5.469545631918037836e-10, 9.778252719044045760e-14
2.045000000000000000e+03, 2.804099425870349715e-12, 9.417500408354703151e-12, 2.021864041576423948e-12, 2.548108000598270978e-10, 3.328082026776711757e-10, 2.670174486214567094e-10, 5.922018123103384881e-10, 9.391893220729417579e-14
2.046000000000000000e+03, 2.564539086120265338e-12, 9.781273285180271596e-12, 1.992584914483569805e-12, 2.407454228009171913e-10, 3.390888826889552972e-10, 3.040839246782026072e-10, 6.034873071234483615e-10, 1.085716427782847852e-13
2.047000000000000000e+03, 2.341932666327489317e-12, 1.028751432431063839e-11, 1.955741799131538848e-12, 2.213981793236037523e-10, 3.424475482728276862e-10, 2.612736319218367014e-10, 6.579038385934796812e-10, 1.055912885180578461e-13
2.048000000000000000e+03, 2.149680128238521005e-12, 1.083761219446816620e-11, 1.917776826941242363e-12, 2.274519539124609789e-10, 3.444491214376894251e-10, 2.465697010049462395e-10, 6.879489022667126393e-10, 1.023984638175541272e-13
2.049000000000000000e+03, 1.989763214334577983e-12, 1.152944755136056884e-11, 1.881208103005491217e-12, 2.262903176104066337e-10, 3.466371046748222543e-10, 2.704239623949606813e-10, 5.557508231388070431e-10, 1.143836616415780542e-13
2.050000000000000000e+03, 1.862831302262839800e-12, 1.225691380797494714e-11, 1.846708924081913227e-12, 2.201123338282064707e-10, 3.524947192593698023e-10, 2.761785539122661759e-10, 5.698453367318206445e-10, 1.074393785430365299e-13
2.051000000000000000e+03, 1.758920888383025249e-12, 1.262838220731997409e-11, 1.799244992936626165e-12, 2.276747569361185476e-10, 3.558649313609973706e-10, 2.556056732839138089e-10, 5.842830969694934709e-10, 8.980882736311915056e-14
2.052000000000000000e+03, 1.667041665555139372e-12, 1.347737165741752535e-11, 1.762067838653336501e-12, 2.325089087475512146e-10, 3.507403100730845671e-10, 3.166326946374162687e-10, 6.692367513250351408e-10, 9.172492025318991554e-14
2.053000000000000000e+03, 1.589853295231123451e-12, 1.427232914204105712e-11, 1.729866794477809429e-12, 2.274304866181422937e-10, 3.442327264692378933e-10, 2.964339099363119778e-10, 6.090963804123902737e-10, 1.169718169882673540e-13
2.054000000000000000e+03, 1.527214643773741020e-12, 1.508675013463782077e-11, 1.700642000436411338e-12, 2.110345996624195915e-10, 3.367741682204145198e-10, 2.314585621577796402e-10, 5.865263588622530388e-10, 1.002499642246772247e-13
2.055000000000000000e+03, 1.477090518878275817e-12, 1.591324314324130387e-11, 1.673670505088079998e-12, 2.217837507838617733e-10, 3.296009135535478522e-10, 2.856989314126076056e-10, 7.330097524430605248e-10, 8.401268035034034476e-14
2.056000000000000000e+03, 1.437392710804839897e-12, 1.672299884641381245e-11, 1.927467280443849395e-12, 2.487670307077123276e-10, 3.296751677003171638e-10, 3.592378312776560844e-10, 6.923557278437580837e-10, 5.343514827207365191e-14
2.057000000000000000e+03, 1.403413518503785719e-12, 1.642415335155166316e-11, 1.932304177161300704e-12, 2.376197589569588191e-10, 3.321075297178237870e-10, 2.846239801010459977e-10, 6.179065118903322310e-10, 4.714105106931231850e-14
2.058000000000000000e+03, 1.375985085191983396e-12, 1.593949674056038674e-11, 1.933206322438600395e-12, 2.139840810948161376e-10, 3.360260331463686330e-10, 3.006146534372552979e-10, 6.389087204074097209e-10, 6.465843989090033718e-14
2.059000000000000000e+03, 1.353296315306804149e-12, 1.545559999674251801e-11, 1.932331085483676099e-12, 2.061029219337948528e-10, 3.413694151933203919e-10, 3.337692911629197995e-10, 5.753568124859014134e-10, 6.523411706584252199e-14
2.060000000000000000e+03, 1.336985970942396408e-12, 1.491473258521150192e-11, 1.932423361705477958e-12, 2.203129765076736986e-10, 3.460059279986700011e-10, 2.939685623077597370e-10, 6.078003384038835344e-10, 5.450093796960751452e-14
2.061000000000000000e+03, 1.325112650526350725e-12, 1.400212919868903159e-11, 2.064550211305680689e-12, 2.705027688741012354e-10, 3.451877517619448841e-10, 2.762679798506136273e-10, 5.979716278518266073e-10, 6.585709396817636883e-14
2.062000000000000000e+03, 1.311518842058991996e-12, 1.366902795475901967e-11, 2.123052992236290011e-12, 2.903404060326742458e-10, 3.442901198839304033e-10, 3.651990112214431460e-10, 6.459887331924192927e-10, 8.794784694362534560e-14
2.063000000000000000e+03, 1.298496943349174269e-12, 1.335932356190560904e-11, 2.153337428311504813e-12, 2.608616603898213423e-10, 3.462845815261702016e-10, 3.595612129175301892e-10, 6.416760402028115962e-10, 1.036296522320943725e-13
2.064000000000000000e+03, 1.288066004486588158e-12, 1.308442047589908390e-11, 2.172250466704983168e-12, 2.591312291975939253e-10, 3.485797504697027470e-10, 3.380428026118891305e-10, 5.961409294779126291e-10, 8.392964791137079783e-14
2.065000000000000000e+03, 1.280338281249525010e-12, 1.278803155391993104e-11, 2.185580203826298990e-12, 2.721222640415159377e-10, 3.517189240909709721e-10, 3.028592449506146537e-10, 7.268165569946763950e-10, 8.911205766392187280e-14
2.066000000000000000e+03, 1.274551493529880000e-12, 1.348704309407740865e-11, 2.475070779892258272e-12, 2.682147644193217187e-10, 3.482322878089010367e-10, 3.323949506505915652e-10, 6.414584947659316595e-10, 9.971586056267980848e-14
2.067000000000000000e+03, 1.270841735473803781e-12, 1.409470529739122617e-11, 2.746178074187587486e-12, 2.561455177211103176e-10, 3.478551283253855107e-10, 3.311817841929382069e-10, 6.592613299685468566e-10, 1.086437927985474516e-13
2.068000000000000000e+03, 1.265289062909177954e-12, 1.467794453090134211e-11, 2.881626344979962056e-12, 2.425839095604598998e-10, 3.451107521754684071e-10, 2.880958273690287625e-10, 6.381796490144273848e-10, 1.054451873062380091e-13
2.069000000000000000e+03, 1.259632773837201902e-12, 1.529535684670031975e-11, 2.962206723332985784e-12, 2.323446503237568163e-10, 3.444081488108844243e-10, 3.903670284823262059e-10, 6.903520868489967014e-10, 1.249782767264792954e-13
2.070000000000000000e+03, 1.251387471117648332e-12, 1.586332338318613218e-11, 3.020915694028739423e-12, 2.521159147963036770e-10, 3.454725327712270510e-10, 3.449171291909433998e-10, 6.278645879320130200e-10, 1.097370695343350213e-13
2.071000000000000000e+03, 1.239039700724282422e-12, 1.596853538607135316e-11, 2.876412465780561218e-12, 2.688846611958535461e-10, 3.477223516345953713e-10, 3.893949209256070232e-10, 7.165064089902152071e-10, 9.761696527424192947e-14
2.072000000000000000e+03, 1.229569061288778619e-12, 1.609440843587400383e-11, 2.832295806375015102e-12, 2.347075128522986447e-10, 3.456316395557777380e-10, 4.034210907707467164e-10, 7.263425336454827697e-10, 1.217135503522699372e-13
