year, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, IPSL-CM6A-LR, INM-CM5-0, GFDL-ESM4, NorESM2-LM, NorESM2-MM, CNRM-ESM2-1, MIROC-ES2L, INM-CM4-8, MPI-ESM1-2-LR, CanESM5, EC-Earth3-Veg
2.044000000000000000e+03, 6.409229636958163612e-01, 6.188803559230493523e-01, 9.068171394962624143e-01, 8.031262720129176413e-01, 8.612681763227421072e-01, 1.002439468481433504e+00, 7.582383499367248980e-01, 7.802163528245648072e-01, 5.353611641985108749e-01, 5.765371404664656474e-01, 9.183766940479340946e-01, 9.276585847929934570e-01, 6.707829920668783030e-01, 6.581979088967765401e-01, 7.926932019775825289e-01, 5.144124744888567413e-01
2.045000000000000000e+03, 6.604332990031744899e-01, 5.798962143780514999e-01, 7.043803216001437439e-01, 8.319481507512535012e-01, 6.054161308904747463e-01, 9.842026797822597262e-01, 8.242544450044213544e-01, 8.177190654854207263e-01, 4.343539041281478941e-01, 4.659427118726073846e-01, 1.077748838275933263e+00, 9.096122639251226216e-01, 6.644066146783558224e-01, 6.851634962294569364e-01, 1.007865230357935848e+00, 6.686171558052276254e-01
2.046000000000000000e+03, 6.447017772368963673e-01, 6.791514412313244264e-01, 6.426440754985752735e-01, 8.910860361807360075e-01, 5.710570333407173349e-01, 1.017603723085705569e+00, 8.057707345187147263e-01, 8.013953855741368093e-01, 4.678007079596638307e-01, 4.903903649886390270e-01, 9.777432198803561736e-01, 9.333822350503689913e-01, 6.519910760243501358e-01, 6.035545749849098307e-01, 8.061678602588249198e-01, 6.612369570412134356e-01
2.047000000000000000e+03, 4.565102365497639147e-01, 5.691709602191495909e-01, 7.305874115600359264e-01, 8.793984572636882602e-01, 6.565828443670322923e-01, 1.148443221533784087e+00, 7.555690842137470220e-01, 7.805772952313404511e-01, 4.833331850941033903e-01, 5.872906234110987223e-01, 9.036525494232048317e-01, 7.923716673045517744e-01, 7.049740768981949124e-01, 6.354820534993100845e-01, 4.683849590690248310e-01, 6.470795679837154646e-01
2.048000000000000000e+03, 6.095104869895746624e-01, 7.073502997741092368e-01, 6.369563189806582981e-01, 8.951686047441402838e-01, 8.271408094404962830e-01, 1.058756495798199415e+00, 7.331314551445645700e-01, 8.098990621068056228e-01, 5.294532465466893489e-01, 4.963892194851989847e-01, 8.580042295281656850e-01, 7.403737584122517257e-01, 6.777813877015407273e-01, 5.520850084181909700e-01, 5.841063050617336661e-01, 5.897934976830183640e-01
2.049000000000000000e+03, 7.328165775311863417e-01, 6.617367734746193442e-01, 7.994427573285991517e-01, 9.148626893118994019e-01, 5.259513877766192058e-01, 8.755278694479777801e-01, 7.505653340888495118e-01, 6.529410057233280273e-01, 6.300379781912274213e-01, 4.963026980553558731e-01, 9.937760968703693853e-01, 1.109479879988124029e+00, 8.376167764296187368e-01, 6.594509791129237186e-01, 8.103945079355405756e-01, 6.106243963615584081e-01
2.050000000000000000e+03, 5.658528788329115766e-01, 6.940850394142253910e-01, 5.870636512718890865e-01, 8.840725474470790823e-01, 5.611321618710649606e-01, 9.052715487093311308e-01, 7.621881614671636163e-01, 7.107214434447786111e-01, 5.321588047392907805e-01, 5.114798969098461878e-01, 8.695502446429235199e-01, 9.832349039777651400e-01, 6.794173927845059691e-01, 5.362543125794781984e-01, 8.839189588659825958e-01, 6.767606145288186381e-01
2.051000000000000000e+03, 6.358472472845416723e-01, 7.087352322727310527e-01, 7.422920426562723550e-01, 8.587019794541953521e-01, 5.501270595205280944e-01, 8.784596704200995365e-01, 8.561057524158126597e-01, 7.353882574423401541e-01, 4.407463495510656193e-01, 6.238008193407280633e-01, 8.632424430236900204e-01, 9.011961433835848911e-01, 5.996339872149375472e-01, 6.673717543354020787e-01, 6.808071756521213436e-01, 5.052417874375277895e-01
2.052000000000000000e+03, 8.126270240727294647e-01, 7.614685696670240311e-01, 6.555930103758859095e-01, 1.014613942556340520e+00, 7.168444769418981233e-01, 1.082171583519171865e+00, 8.612562956424266725e-01, 6.307812932289258434e-01, 4.426823965229252922e-01, 5.649890736895605281e-01, 9.870830818582657651e-01, 7.893587573184148720e-01, 6.375443408006549184e-01, 5.771627771826295383e-01, 4.835819039394717023e-01, 6.256332639412106600e-01
2.053000000000000000e+03, 5.894012869755425044e-01, 7.051391016533600231e-01, 8.793230411333318175e-01, 1.012635216923897019e+00, 7.700831424877397913e-01, 9.690651750034959822e-01, 7.953906023000293368e-01, 1.025176292395492350e+00, 5.703554999854288932e-01, 6.545125398148198270e-01, 7.438874636069644497e-01, 8.109331064816036605e-01, 6.596219073549109968e-01, 5.872488902359825902e-01, 5.540231925986850436e-01, 8.758120644876791205e-01
2.054000000000000000e+03, 4.435459778325837599e-01, 5.213735583528619211e-01, 8.934311143670174982e-01, 9.698366910291358334e-01, 8.014393667837206303e-01, 9.194115474325633697e-01, 8.783999112840538137e-01, 7.307111145535457597e-01, 5.280206540090065515e-01, 5.083690876391492308e-01, 1.072764495481564717e+00, 8.215429718687570215e-01, 6.551063877051878093e-01, 5.280102061519799106e-01, 7.531859535781521009e-01, 4.077997445071701033e-01
2.055000000000000000e+03, 7.459661712033412995e-01, 4.598112963923704499e-01, 7.177542980148878815e-01, 9.830724403335691086e-01, 5.788906251027465810e-01, 1.120770702455694323e+00, 7.331531430286057915e-01, 7.162823554559963890e-01, 4.445260869415523231e-01, 6.335594584100580073e-01, 9.818048242259923564e-01, 1.046103252366087366e+00, 9.403400713460267069e-01, 6.891195181269492709e-01, 6.056140221711556748e-01, 5.279385954855398966e-01
