year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, TaiESM1, GFDL-ESM4, NorESM2-LM, CESM2-WACCM
2.038000000000000000e+03, 9.199227386828086235e-11, 2.129642809868368584e-10, 1.353850353955380398e-10, 3.149986773947379586e-10, 2.129642809868368584e-10, 5.384331738612218462e-10, 2.263760010561415847e-11, 1.353850353955380398e-10, 2.263760010561415847e-11, 8.930240454899497377e-11, 1.193569651675054324e-10, 1.534975522385087363e-10
2.039000000000000000e+03, 9.116034145274772609e-11, 1.719453034276333977e-10, 1.499443134536635911e-10, 1.899215900187530395e-10, 1.719453034276333977e-10, 4.120180989145281096e-10, 1.967308966363025945e-11, 1.499443134536635911e-10, 1.967308966363025945e-11, 8.834415518799879507e-11, 1.230964522332643517e-10, 1.523640337339005917e-10
2.040000000000000000e+03, 5.373800627195861867e-11, 1.843135786915490406e-10, 1.488626218496450263e-10, 1.324235595870947609e-10, 1.843135786915490406e-10, 5.391677362577554721e-10, 2.408408559804509969e-11, 1.488626218496450263e-10, 2.408408559804509969e-11, 5.102715944655270271e-11, 9.946907927192255780e-11, 1.701182132889874107e-10
2.041000000000000000e+03, 7.367044581063995453e-11, 2.388039491733224789e-10, 1.273027381421025785e-10, 2.229852433967177323e-10, 2.388039491733224789e-10, 5.779417399911312468e-10, 2.455917894695839526e-11, 1.273027381421025785e-10, 2.455917894695839526e-11, 7.084629040537319447e-11, 1.557667881584929261e-10, 1.391711100945502631e-10
2.042000000000000000e+03, 8.343326878526211302e-11, 2.232780950112397002e-10, 9.175950973205999510e-11, 2.003287969752844296e-10, 2.232780950112397002e-10, 4.442723098935471899e-10, 3.441051541949549113e-11, 9.175950973205999510e-11, 3.441051541949549113e-11, 8.067872565691546801e-11, 7.983952676232561043e-11, 1.908132865101149506e-10
2.043000000000000000e+03, 8.474414841533691086e-11, 1.989274310803280021e-10, 1.503240338288910404e-10, 1.960152395772578231e-10, 1.989274310803280021e-10, 4.521204048111457542e-10, 2.709723342793917669e-11, 1.503240338288910404e-10, 2.709723342793917669e-11, 8.193703601485558069e-11, 1.059533763876450274e-10, 1.954610510050833436e-10
2.044000000000000000e+03, 6.980072560651477057e-11, 2.818645952551443700e-10, 1.506990521639451837e-10, 2.415789676312674202e-10, 2.818645952551443700e-10, 4.928992161219106915e-10, 2.091421701639056122e-11, 1.506990521639451837e-10, 2.091421701639056122e-11, 6.702906799224817233e-11, 1.269198913663356570e-10, 1.521125394253655364e-10
2.045000000000000000e+03, 7.656016098301206349e-11, 1.876725706795219782e-10, 1.380653388418163633e-10, 2.010689730349735891e-10, 1.876725706795219782e-10, 5.391185362825487963e-10, 2.667236652506274798e-11, 1.380653388418163633e-10, 2.667236652506274798e-11, 7.373048016594086372e-11, 1.596898420520916401e-10, 1.398028411543219459e-10
2.046000000000000000e+03, 8.365949615332036125e-11, 2.300665108457657600e-10, 1.684189308723818337e-10, 1.837904115680785940e-10, 2.300665108457657600e-10, 5.646340006789351400e-10, 3.236275488429079570e-11, 1.684189308723818337e-10, 3.236275488429079570e-11, 8.090066398572081590e-11, 1.245046608613394608e-10, 1.327478443160779677e-10
2.047000000000000000e+03, 9.030983072220706457e-11, 2.116894162745733182e-10, 1.299211793657182277e-10, 1.587251987211491228e-10, 2.116894162745733182e-10, 4.806524961591638014e-10, 2.348494371839130110e-11, 1.299211793657182277e-10, 2.348494371839130110e-11, 8.747871645745886069e-11, 1.406684956025906405e-10, 1.838196520597190775e-10
