year, INM-CM4-8, EC-Earth3-Veg, ACCESS-ESM1-5, CanESM5, TaiESM1, NorESM2-MM, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM5-0, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-LM
2.037000000000000000e+03, 2.899782510479527673e+02, 2.900412328827484316e+02, 2.897978766307094247e+02, 2.908931677344951936e+02, 2.917499718191901934e+02, 2.912406717150599889e+02, 2.908661166763840242e+02, 2.936950642717877713e+02, 2.899085174616045606e+02, 2.886230502845181149e+02, 2.915513290929513346e+02, 2.897173655733257647e+02, 2.905102908724007875e+02, 2.916111441755006695e+02, 2.900138192636534313e+02, 2.909986327974617097e+02
2.038000000000000000e+03, 2.905240216190812816e+02, 2.900082634570272830e+02, 2.899414840791534971e+02, 2.901723302777307367e+02, 2.914932763751375546e+02, 2.903944034283488804e+02, 2.909279014266732020e+02, 2.935535093598205094e+02, 2.906383659223120617e+02, 2.893281822894469997e+02, 2.917103966208758266e+02, 2.893684995931516255e+02, 2.905478287193392930e+02, 2.911103071516612886e+02, 2.899795958066675325e+02, 2.917880424825505088e+02
2.039000000000000000e+03, 2.899899943067154595e+02, 2.903796566840621836e+02, 2.896154961475909886e+02, 2.906782798759313664e+02, 2.922995467040544781e+02, 2.906574780409964092e+02, 2.909286922360223002e+02, 2.937117830246107815e+02, 2.900354996728660240e+02, 2.887254279384624169e+02, 2.915166252550611148e+02, 2.899831607977264412e+02, 2.909772561944975564e+02, 2.919335500002180197e+02, 2.894612057926914872e+02, 2.913845361487190644e+02
2.040000000000000000e+03, 2.900817819489197973e+02, 2.899174191118939348e+02, 2.899173746187775578e+02, 2.899542489580023812e+02, 2.920071188479759030e+02, 2.913344956071995284e+02, 2.910732072205468057e+02, 2.935408050934944413e+02, 2.898927153136209540e+02, 2.893014857078084674e+02, 2.920653947165207569e+02, 2.897692318614856504e+02, 2.909955971424357131e+02, 2.907398218071134011e+02, 2.892777316448960505e+02, 2.912878128090958967e+02
2.041000000000000000e+03, 2.899204126493774538e+02, 2.890421795848098441e+02, 2.895325026976934168e+02, 2.907937768180838702e+02, 2.921682451611140436e+02, 2.911459948133634725e+02, 2.910314926884703937e+02, 2.932871972878649558e+02, 2.906441134774137254e+02, 2.891733237955854179e+02, 2.922449461835751663e+02, 2.898188729249179687e+02, 2.907066552270741795e+02, 2.918540580937040545e+02, 2.898096487657348348e+02, 2.914043311398953051e+02
2.042000000000000000e+03, 2.899559228237149000e+02, 2.902606315293420494e+02, 2.902618253759089839e+02, 2.909748168124118024e+02, 2.926379543608578615e+02, 2.904863548391374479e+02, 2.912574196836836791e+02, 2.933277015419026270e+02, 2.905515211336963830e+02, 2.894007191600981059e+02, 2.915746958372800464e+02, 2.901137734375599280e+02, 2.913623611379495060e+02, 2.923880679057572820e+02, 2.894113559244889871e+02, 2.913860460267100052e+02
2.043000000000000000e+03, 2.901803762108407909e+02, 2.900736506537244281e+02, 2.890303757961884230e+02, 2.910979526977162664e+02, 2.923389876221262966e+02, 2.910996128630278577e+02, 2.910165253227284552e+02, 2.929236174493669864e+02, 2.903280036368013839e+02, 2.888700153761670322e+02, 2.916857273379932280e+02, 2.911743596784344845e+02, 2.914138925787970038e+02, 2.929860738811018450e+02, 2.895184360461043411e+02, 2.917142442586751372e+02
2.044000000000000000e+03, 2.899783056588392469e+02, 2.901566904481767324e+02, 2.899822254354396591e+02, 2.914443325263208635e+02, 2.924948726536300683e+02, 2.912044160134281583e+02, 2.908982597695622871e+02, 2.936482972609028934e+02, 2.906774792164647465e+02, 2.891552929422440457e+02, 2.917571746894613511e+02, 2.907776416772289849e+02, 2.911731914171429594e+02, 2.935634198107824773e+02, 2.897352306667095831e+02, 2.921430961490090112e+02
2.045000000000000000e+03, 2.903150601765612464e+02, 2.904011933518144701e+02, 2.899160705893566501e+02, 2.912693714196028623e+02, 2.924638470765305556e+02, 2.911173692428554887e+02, 2.917402915197078528e+02, 2.938262050682106974e+02, 2.903984297324981867e+02, 2.891266089165364974e+02, 2.924237516667648151e+02, 2.900173426010037474e+02, 2.913683775223925068e+02, 2.923761196086734913e+02, 2.903233103555498928e+02, 2.912804081816300368e+02
2.046000000000000000e+03, 2.907550514573360374e+02, 2.906511949084019761e+02, 2.904010217434982906e+02, 2.914479083958510159e+02, 2.931239272042867583e+02, 2.914017593334341996e+02, 2.915648620623206284e+02, 2.940888950444656302e+02, 2.906987074817017174e+02, 2.889378029549253029e+02, 2.917302271307912633e+02, 2.902356725215900610e+02, 2.917915012780286474e+02, 2.924631503118921501e+02, 2.897520939527194628e+02, 2.916563771800239238e+02
