year, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-LM, GFDL-ESM4, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, ACCESS-ESM1-5, CanESM5, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, INM-CM5-0, MIROC-ES2L
1.870000000000000000e+03, 2.976445922736411944e+02, 2.945240905698619258e+02, 2.964396460096750161e+02, 2.956319439524650079e+02, 2.956270689708711075e+02, 2.964324951802947794e+02, 2.967446179080716320e+02, 2.971230015433235963e+02, 2.968916695923507518e+02, 2.965077303967760827e+02, 2.955909004064482133e+02, 2.963971863908961950e+02, 2.961640288034466835e+02, 2.947919789704239406e+02, 2.955581045228046833e+02, 2.970451173385101242e+02
1.871000000000000000e+03, 2.970152855579491984e+02, 2.946999129552688146e+02, 2.971165330314198059e+02, 2.958114198356596489e+02, 2.957781961620345328e+02, 2.964275065456531593e+02, 2.971168758300078707e+02, 2.970124318627648563e+02, 2.968630547031060587e+02, 2.964715214041976310e+02, 2.956126924574551253e+02, 2.962037371505865053e+02, 2.967250883232935053e+02, 2.951356388044021060e+02, 2.957011337648295353e+02, 2.974141792287538237e+02
1.872000000000000000e+03, 2.973605219793546439e+02, 2.946881256788713017e+02, 2.973425427977513209e+02, 2.958940107281744076e+02, 2.957143949889817804e+02, 2.964006122046367864e+02, 2.967575688457347951e+02, 2.965999042969654624e+02, 2.967379530989816772e+02, 2.963734146283641735e+02, 2.956799367046947395e+02, 2.964138625432351546e+02, 2.969780071108107791e+02, 2.953057852744237834e+02, 2.956638828845443072e+02, 2.977314235246441854e+02
1.873000000000000000e+03, 2.971448251868309853e+02, 2.949529631219264729e+02, 2.971470145162797394e+02, 2.955416160265336885e+02, 2.954709363009449703e+02, 2.966704351820376928e+02, 2.968239394569985734e+02, 2.971628362688069274e+02, 2.968900709158265840e+02, 2.968562123752867592e+02, 2.958890437281493178e+02, 2.960149772283462539e+02, 2.971096514420351014e+02, 2.952347265660518474e+02, 2.957557814608611011e+02, 2.973805330696787905e+02
1.874000000000000000e+03, 2.972994601548052174e+02, 2.947670727499827876e+02, 2.967921054413129127e+02, 2.959398956971207326e+02, 2.956294448748627133e+02, 2.965116621409081290e+02, 2.968216715578835192e+02, 2.971255392183144295e+02, 2.964419919095739147e+02, 2.969429345760177625e+02, 2.956778810697179551e+02, 2.972471159036171571e+02, 2.967508745879721346e+02, 2.950521652874120377e+02, 2.956394021550423759e+02, 2.970437809105242195e+02
1.875000000000000000e+03, 2.972363460284460643e+02, 2.947287173319614340e+02, 2.966999117622813174e+02, 2.957961349955926948e+02, 2.958093732058455316e+02, 2.962747796659827486e+02, 2.966543669951846596e+02, 2.969598411918448733e+02, 2.967890369764154457e+02, 2.967593262392710471e+02, 2.956486325052776465e+02, 2.968123346657794173e+02, 2.965141313925863074e+02, 2.950384307244659112e+02, 2.956303857313538970e+02, 2.975433459855074148e+02
1.876000000000000000e+03, 2.970123684482335307e+02, 2.950154844122882878e+02, 2.968127688168017357e+02, 2.958983141025555028e+02, 2.956032978897112002e+02, 2.960728357696169155e+02, 2.965853895949307457e+02, 2.967340266241949962e+02, 2.970055661669622395e+02, 2.967354426679063408e+02, 2.962121358130704039e+02, 2.964300149424762481e+02, 2.965679239423500348e+02, 2.953320378661557015e+02, 2.956239280527727828e+02, 2.979357132641861767e+02
1.877000000000000000e+03, 2.970551942797408174e+02, 2.946876249417236977e+02, 2.970068802421594683e+02, 2.959597062381519663e+02, 2.953859892710462418e+02, 2.963296726497468967e+02, 2.970641999717321369e+02, 2.969368304936797927e+02, 2.969279481554481777e+02, 2.968475519932510451e+02, 2.959043638667849336e+02, 2.975083766625364206e+02, 2.970073807777911838e+02, 2.951241236383274327e+02, 2.959001883505320052e+02, 2.979199264566316288e+02
1.878000000000000000e+03, 2.971066148575982879e+02, 2.946479455813415029e+02, 2.970771678957485165e+02, 2.959321557709026251e+02, 2.954916093693204289e+02, 2.963919516545602733e+02, 2.971213435322206351e+02, 2.973304057829465137e+02, 2.967884416930929774e+02, 2.965600690558861174e+02, 2.960778079644955483e+02, 2.965621999511629383e+02, 2.973872454484858849e+02, 2.952559140659329273e+02, 2.955556272341406157e+02, 2.971603231918239203e+02
1.879000000000000000e+03, 2.970893187786932685e+02, 2.945186298359341777e+02, 2.968154131019670672e+02, 2.959618528144594052e+02, 2.957086415112610212e+02, 2.967470264107980142e+02, 2.966253459314223164e+02, 2.975927927115624811e+02, 2.969154409626235065e+02, 2.966703588499582906e+02, 2.958476264045706898e+02, 2.963648385508010961e+02, 2.971323130625456770e+02, 2.947532422020730110e+02, 2.953320340637660024e+02, 2.972370047171519332e+02
