year, TaiESM1, GFDL-ESM4, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM
1.880000000000000000e+03, 5.683355839810347735e-10, 1.302661745911807750e-09, 8.057243898228492407e-10, 1.288978175585859630e-09, 5.683355839810347735e-10, 7.502749975489599064e-10, 8.057243898228492407e-10, 6.368648007737555923e-10, 5.592409271226756391e-10, 1.598506829328424713e-09, 6.368648007737555923e-10, 4.839274071887231297e-10
1.881000000000000000e+03, 5.538997577705403023e-10, 1.365959128666362091e-09, 1.310414409894214380e-09, 1.352197512989050248e-09, 5.538997577705403023e-10, 6.294274607737718597e-10, 1.310414409894214380e-09, 6.379181715175073167e-10, 5.285091586432230479e-10, 1.360667423363543950e-09, 6.379181715175073167e-10, 5.870742727617148561e-10
1.882000000000000000e+03, 5.409612328268767779e-10, 1.263297849548931699e-09, 1.041775937010478900e-09, 1.249682321022230179e-09, 5.409612328268767779e-10, 8.700242839849101340e-10, 1.041775937010478900e-09, 8.300069380475139151e-10, 5.999496776286731575e-10, 1.072881609850986367e-09, 8.300069380475139151e-10, 5.166303269781977859e-10
1.883000000000000000e+03, 5.442740785554823999e-10, 1.631502438805949807e-09, 9.470656223525658179e-10, 1.617884773702713282e-09, 5.442740785554823999e-10, 6.229371545638175966e-10, 9.470656223525658179e-10, 9.260585145715088698e-10, 6.149247862486269607e-10, 1.872576568394603300e-09, 9.260585145715088698e-10, 4.795078979296112679e-10
1.884000000000000000e+03, 5.779734324880276556e-10, 1.478982982700360923e-09, 9.495765125157946699e-10, 1.465543588879849752e-09, 5.779734324880276556e-10, 6.380993031293961900e-10, 9.495765125157946699e-10, 5.816165259069666620e-10, 6.345087054678875115e-10, 2.091342650049270966e-09, 5.816165259069666620e-10, 7.495134936627384496e-10
1.885000000000000000e+03, 4.913360085507921719e-10, 1.617538115477180807e-09, 9.097376236404909971e-10, 1.603723488833083236e-09, 4.913360085507921719e-10, 5.787371345856476183e-10, 9.097376236404909971e-10, 7.316398416236776625e-10, 5.822280704603476721e-10, 1.622905299828233344e-09, 7.316398416236776625e-10, 5.480502700132158108e-10
1.886000000000000000e+03, 6.285705679917295368e-10, 1.472301433187420274e-09, 1.070467106762273919e-09, 1.458540101074939861e-09, 6.285705679917295368e-10, 7.551746206552702438e-10, 1.070467106762273919e-09, 1.012839753159398681e-09, 5.873607683151157521e-10, 1.431125376020952814e-09, 1.012839753159398681e-09, 5.286507516046949857e-10
1.887000000000000000e+03, 5.523985225474803322e-10, 1.444644143923780994e-09, 8.179919809510699505e-10, 1.430635121287853532e-09, 5.523985225474803322e-10, 7.340638615793767612e-10, 8.179919809510699505e-10, 7.627054224572448689e-10, 6.143826682834360390e-10, 1.993074953248304714e-09, 7.627054224572448689e-10, 3.708704752395564466e-10
1.888000000000000000e+03, 5.319847738384036345e-10, 1.914214669316149180e-09, 1.039590178455800932e-09, 1.900036812593312594e-09, 5.319847738384036345e-10, 7.083895274255205392e-10, 1.039590178455800932e-09, 7.758449975213792704e-10, 5.965903937007200180e-10, 1.691477199135001694e-09, 7.758449975213792704e-10, 4.188851848812504099e-10
1.889000000000000000e+03, 5.017205534723085522e-10, 1.432777219831874415e-09, 9.521687210826604281e-10, 1.418414592916155809e-09, 5.017205534723085522e-10, 1.079655743827454049e-09, 9.521687210826604281e-10, 8.535755122517206842e-10, 5.984007177134952775e-10, 1.713410568267203065e-09, 8.535755122517206842e-10, 3.415165015643763267e-10
1.890000000000000000e+03, 5.357400107673823776e-10, 1.554424252288933044e-09, 1.002681040583065113e-09, 1.540068234852208605e-09, 5.357400107673823776e-10, 7.578554563448917880e-10, 1.002681040583065113e-09, 6.899977832227815187e-10, 6.367308379138502381e-10, 1.353261905067515563e-09, 6.899977832227815187e-10, 4.137155613070434564e-10
1.891000000000000000e+03, 4.572938831299525339e-10, 1.351527465021628254e-09, 8.573001478210857805e-10, 1.336860712684746543e-09, 4.572938831299525339e-10, 8.577640979103373632e-10, 8.573001478210857805e-10, 7.812709797784491378e-10, 5.629235777478670682e-10, 1.057396507073577322e-09, 7.812709797784491378e-10, 4.809048985625672778e-10
1.892000000000000000e+03, 5.017116573391694210e-10, 1.685563830722065209e-09, 9.207735904818613300e-10, 1.670648128112273711e-09, 5.017116573391694210e-10, 6.569506538365934360e-10, 9.207735904818613300e-10, 6.265935012915751975e-10, 5.265334982751027261e-10, 1.506588789682619125e-09, 6.265935012915751975e-10, 6.618007749525238330e-10
1.893000000000000000e+03, 6.973398128620852181e-10, 1.500679967888011133e-09, 8.555318662703026902e-10, 1.486116751195036341e-09, 6.973398128620852181e-10, 9.654682511987903003e-10, 8.555318662703026902e-10, 5.184911711147552010e-10, 5.729628604062655973e-10, 1.567387813388456113e-09, 5.184911711147552010e-10, 6.421817328593170873e-10
1.894000000000000000e+03, 5.829286557240270310e-10, 1.713884626474219388e-09, 8.090026892535234577e-10, 1.698949600933378079e-09, 5.829286557240270310e-10, 8.461847076067725761e-10, 8.090026892535234577e-10, 4.730760216559099523e-10, 5.398198276630285202e-10, 1.353400662388345201e-09, 4.730760216559099523e-10, 6.086899073824307987e-10
1.895000000000000000e+03, 3.858731384865710783e-10, 1.531100633602793151e-09, 1.035116495178895011e-09, 1.515947531829309594e-09, 3.858731384865710783e-10, 6.134757494380567377e-10, 1.035116495178895011e-09, 6.482710292811624840e-10, 5.547757702698821475e-10, 1.247379116232947626e-09, 6.482710292811624840e-10, 4.271335496027803187e-10
1.896000000000000000e+03, 5.895412650711444221e-10, 1.575320163924697987e-09, 9.385596143538747011e-10, 1.560077484136103444e-09, 5.895412650711444221e-10, 6.511183051270054341e-10, 9.385596143538747011e-10, 4.879896319810697460e-10, 6.087846604377431711e-10, 1.809745874653092868e-09, 4.879896319810697460e-10, 5.378405506846463763e-10
1.897000000000000000e+03, 5.764201906029884857e-10, 1.124343804971017411e-09, 1.049294805144418501e-09, 1.109405422375081279e-09, 5.764201906029884857e-10, 6.034594459299864567e-10, 1.049294805144418501e-09, 5.865221556528792248e-10, 5.738497406711142940e-10, 1.725452752607412381e-09, 5.865221556528792248e-10, 4.974654153884329377e-10
1.898000000000000000e+03, 4.852664574170548861e-10, 1.388141801441348859e-09, 1.144750718808175533e-09, 1.373122483456137404e-09, 4.852664574170548861e-10, 6.779651925096481567e-10, 1.144750718808175533e-09, 6.832522091742736893e-10, 5.197903802547565928e-10, 1.762185100266707205e-09, 6.832522091742736893e-10, 4.856995198546631462e-10
1.899000000000000000e+03, 5.536583140427184245e-10, 1.570577997331436299e-09, 9.108869173195958525e-10, 1.555225871767072671e-09, 5.536583140427184245e-10, 6.601309539923543121e-10, 9.108869173195958525e-10, 9.095992252571328191e-10, 4.919576689177097383e-10, 1.416499343257730049e-09, 9.095992252571328191e-10, 5.577806565159421998e-10
1.900000000000000000e+03, 5.344487674566407330e-10, 1.749521394040986943e-09, 8.124440241931892059e-10, 1.734430058087575417e-09, 5.344487674566407330e-10, 8.438628986619866732e-10, 8.124440241931892059e-10, 7.599632985278612327e-10, 5.593233518224793989e-10, 1.445360783865374493e-09, 7.599632985278612327e-10, 5.217110780804582193e-10
1.901000000000000000e+03, 5.500078680100480532e-10, 1.327135940282010829e-09, 8.849730783646984275e-10, 1.311724899610908515e-09, 5.500078680100480532e-10, 6.037487135482337866e-10, 8.849730783646984275e-10, 7.097198296068095944e-10, 6.563816852969587925e-10, 1.994626831327616518e-09, 7.097198296068095944e-10, 6.946748660939230965e-10
1.902000000000000000e+03, 6.203569664531472048e-10, 1.273758536640823114e-09, 9.152844082374927337e-10, 1.258268059646505069e-09, 6.203569664531472048e-10, 1.072425008712550544e-09, 9.152844082374927337e-10, 6.203610230642356861e-10, 5.908999144748370191e-10, 1.191804711215408374e-09, 6.203610230642356861e-10, 5.301207549630688447e-10
1.903000000000000000e+03, 5.436559491958759238e-10, 1.238374426942812649e-09, 9.441192744633184143e-10, 1.222837342881094297e-09, 5.436559491958759238e-10, 8.454531276065405895e-10, 9.441192744633184143e-10, 8.264358382003643210e-10, 6.132103280011125870e-10, 1.321183804176438380e-09, 8.264358382003643210e-10, 5.259530146894590458e-10
1.904000000000000000e+03, 4.378141678553054187e-10, 1.490232817068333027e-09, 1.111029339348074139e-09, 1.474653711214792747e-09, 4.378141678553054187e-10, 6.941678928525596416e-10, 1.111029339348074139e-09, 8.380169498287652658e-10, 5.485059287014746756e-10, 1.571195143093481756e-09, 8.380169498287652658e-10, 5.691454692920677376e-10
1.905000000000000000e+03, 4.251972458842246632e-10, 1.506492170791681520e-09, 1.019305143873361034e-09, 1.490610592631745663e-09, 4.251972458842246632e-10, 9.641291838890228677e-10, 1.019305143873361034e-09, 5.297355708217320639e-10, 6.255069150831572454e-10, 1.227962815718945885e-09, 5.297355708217320639e-10, 7.589867207611192298e-10
