year, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CNRM-ESM2-1, CanESM5, CMCC-ESM2
1.933000000000000000e+03, 1.489378391221278517e-11, 1.473920558565074464e-10, -3.751440091723179458e-10, -1.010380738467379539e-10, -7.532010527843819328e-10, -1.526695852284252935e-10, 4.023957772457299367e-10, -1.080276045462031013e-10
1.934000000000000000e+03, 2.677313266744519154e-10, 1.357017258697966616e-10, -1.048593137153662127e-09, 1.155392237837569325e-10, -4.712648600189919867e-10, 2.031799265171891065e-11, 4.088180169078594492e-10, -3.126284664000132258e-11
1.935000000000000000e+03, -3.217963640634435746e-10, 1.090419973939104532e-10, 8.261345976787595295e-12, -1.680349851685686190e-10, -3.639044585295680913e-11, -1.043072044231056504e-10, 1.482153548155493412e-10, 1.116555609631108420e-10
1.936000000000000000e+03, -5.230189658933929673e-10, -3.862060305816083172e-10, 5.778276963829976237e-10, 1.454516479527070024e-10, 3.865846356570548845e-10, 9.078253603182462290e-11, 2.574501148248686183e-10, -3.256347173804986292e-10
1.937000000000000000e+03, -1.713748218911101026e-10, 1.173680959966226381e-10, 1.103725581168378584e-09, 4.139252976186934663e-10, 1.077238903437600038e-10, 5.646634412231781445e-10, 6.726453428135761389e-10, -9.004240969567956948e-11
1.938000000000000000e+03, 2.108939924183440733e-10, 4.977017457009409250e-10, 6.703988895866278614e-10, 2.205414522575230703e-10, -9.051670771989138084e-12, -2.169866106904163921e-10, 3.281545420790123411e-10, 2.404855851847935889e-10
1.939000000000000000e+03, -4.271507170446351699e-10, -1.224607050485770049e-10, 1.054819699751966782e-09, 3.356681955897226118e-11, -4.566842339931590303e-10, 1.717550813998861795e-10, -7.121657550153445041e-11, -1.202708178207167794e-10
1.940000000000000000e+03, -3.178468962120450855e-11, -8.879990831192572951e-11, -1.658057926773905285e-10, -4.905101653339248575e-10, -4.402707420021587319e-10, -3.440263003950161821e-10, -1.520966728386758009e-10, 3.967475855208913434e-10
1.941000000000000000e+03, -5.039434126326569928e-10, 1.471458384066423173e-10, -4.909581030199400939e-10, -7.051387466217630712e-10, -6.464484187118817477e-10, 5.281749575378734522e-10, -1.030533662725387833e-10, -2.568813616247657940e-10
1.942000000000000000e+03, -6.428688670360407480e-10, -6.213139425820034118e-10, -6.462260927783345571e-10, -2.307896231582869369e-10, 4.507681556384751619e-10, -2.206412110875864663e-10, 1.688942854793701219e-10, 5.603747843737153492e-11
1.943000000000000000e+03, -4.339931781102637618e-11, -3.106821804434130609e-10, -1.655105836652925903e-10, 7.242538981419099116e-11, -1.407973425554885116e-10, 1.693939890850458685e-10, -3.334000117373499808e-10, 2.376894135972329576e-10
1.944000000000000000e+03, -1.516659323957667699e-10, -7.879566592012278165e-10, 1.077105703113906697e-10, -2.870293527020896336e-10, -7.756773557909404423e-10, 9.209995203800430206e-10, 2.290284800972553319e-10, 2.301718903737757226e-11
1.945000000000000000e+03, -9.291591424015259890e-10, 1.540276023767384363e-10, -6.622272927683224835e-11, -9.087117992003571741e-10, 5.906734119152160481e-11, 3.792761251859415294e-10, 3.773571121206008812e-10, 1.664527415121024281e-10
1.946000000000000000e+03, -3.080564224506061052e-10, -4.460361348913402527e-10, -4.271819758009379211e-10, -5.439074420938147883e-10, -4.657432324258805465e-10, -3.927678779731770732e-10, -6.944298143234705641e-11, 1.388476639224720702e-10
1.947000000000000000e+03, 4.679638017453613047e-11, -1.565460388490291333e-10, -4.814640602755607472e-10, -2.212882062603465198e-10, -6.566857068043193815e-10, -2.879811473999822482e-10, 2.567227831237024603e-10, 3.032213260018156264e-10
1.948000000000000000e+03, -6.161940871785808569e-10, -4.019050048957288304e-12, 6.606081806973020022e-10, 1.693365249112465810e-10, -3.404430350794790191e-10, -6.025590736879112752e-10, -2.494177780929504405e-10, -7.680692641120727676e-11
1.949000000000000000e+03, -4.072473855178800475e-10, 1.776624331432505044e-10, 5.957302615894307415e-10, -2.963143458383783663e-10, 1.597332524824107159e-10, 2.479725502221720881e-10, -9.732556212619745949e-10, -1.734803448742839180e-10
1.950000000000000000e+03, -2.259549175263689323e-10, -1.995822145427910283e-10, -7.595797119385061694e-10, -9.979384847539360417e-10, -9.800331963964701339e-10, 2.764165337426086286e-10, -3.745266468584476655e-10, 5.092242865861502433e-10
1.951000000000000000e+03, -8.874994270728509311e-10, -4.616865796276564224e-11, -9.181631099613842923e-12, -1.283763448174706590e-10, -6.049721989353611751e-10, 3.113256030927570619e-10, -1.084420088853988878e-10, 1.421824986582594502e-10
1.952000000000000000e+03, -3.171210301531053147e-10, -2.558468142812586077e-10, -8.745891487579311459e-10, -5.548388327735932462e-11, 3.729079367855483076e-10, -3.163172464899738954e-10, 3.381184158247673525e-11, 1.200486898740921974e-10
1.953000000000000000e+03, -2.338809816480795587e-10, -1.043810479079168485e-09, -6.969715441850805612e-10, -4.804453768654184310e-10, -4.287426952173905313e-10, -1.475571733034918384e-10, 4.750937056425882511e-10, 7.408085652274182304e-11
1.954000000000000000e+03, -1.307347291150977944e-10, -5.123926330278561234e-10, -3.947235600237171761e-10, -3.324428219276295337e-10, -5.534656856566384719e-10, 8.459698174024851142e-12, -2.993535158317678191e-11, 1.892746884202072613e-10
1.955000000000000000e+03, -8.846287528195975147e-10, -6.060636709653281866e-11, -4.715867178153559187e-10, -3.303556233488025193e-10, -2.412355477888020496e-10, -8.837913740818996539e-10, -1.238633500292349742e-10, -1.083698088187488976e-11
1.956000000000000000e+03, -4.914803523890760221e-10, 2.400719331276772685e-10, 2.264273783484934269e-10, -5.752675900823185710e-10, 9.486335759781141785e-11, 2.663429460925069836e-10, -1.246810283218418383e-10, 2.869673725401841473e-10
1.957000000000000000e+03, -2.651811161800697038e-11, -1.489671026313711138e-10, 4.372670479051846627e-11, -8.725322675323390438e-10, -6.601855102110700514e-10, -8.045310907814584194e-11, -3.364910340734798579e-10, -1.753766410550556803e-10
1.958000000000000000e+03, 3.063157852009009469e-10, -5.313297131388793059e-11, 8.371113232535334294e-11, -3.589411526535960852e-10, -8.658746462750554265e-10, -4.029965759182534029e-10, 3.532141275264818211e-10, 8.887499282785631762e-12
1.959000000000000000e+03, -2.449864314204319300e-10, -4.180241013611842044e-10, 2.278163636459061742e-10, -2.668603390740632884e-10, 2.767739201825837564e-11, -2.346902837181146076e-10, 1.247313010085969528e-10, 4.881955217225344044e-11
