year, IPSL-CM6A-LR, INM-CM5-0, NorESM2-MM, CMCC-CM2-SR5, TaiESM1, UKESM1-0-LL, NorESM2-LM, CanESM5, INM-CM4-8, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, MIROC-ES2L, ACCESS-ESM1-5, CESM2-WACCM
1.870000000000000000e+03, 2.440516571546428537e+01, 3.193613568036479577e+01, 1.738488854260008054e+01, 1.468885323637757701e+01, 2.626283818867438313e+01, 2.039017808341340299e+01, 1.569828344903707240e+01, 2.802782585371482682e+01, 2.891991171973377206e+01, 1.529192824503595816e+01, 2.123111665401065551e+01, 2.963443634350369749e+01, 2.410564982119401733e+01, 2.138517074650044236e+01, 2.516405993837483379e+01, 1.958630541418630244e+01
1.871000000000000000e+03, 2.301877131511087526e+01, 3.120030914702660851e+01, 1.718751571290379587e+01, 1.493493008136800348e+01, 2.727805969273781272e+01, 1.809240697792555252e+01, 1.583504694879120756e+01, 2.801101065732847673e+01, 3.127255607490493716e+01, 1.439076159496733176e+01, 2.304805037273478163e+01, 2.944995507272077262e+01, 2.335853166383885338e+01, 2.153246557507002379e+01, 2.460351743121661983e+01, 2.013508645822521004e+01
1.872000000000000000e+03, 2.356950229091693672e+01, 3.112167691279476855e+01, 1.769808562140819674e+01, 1.450817156878007808e+01, 2.621939772737987084e+01, 2.025582347057925503e+01, 1.661896658494440970e+01, 2.816071990390953772e+01, 3.078948733540293858e+01, 1.555353003509724275e+01, 2.249901490786586677e+01, 2.940276087348155087e+01, 2.336659480330858329e+01, 2.133487648344524246e+01, 2.480573313286543424e+01, 2.013635278862087574e+01
1.873000000000000000e+03, 2.397978273730762311e+01, 3.096001682703777291e+01, 1.669883085607123974e+01, 1.467502312628417549e+01, 2.754910381115637819e+01, 2.038368449820577055e+01, 1.629274144457064821e+01, 2.790236297397220255e+01, 2.963537062822301138e+01, 1.546147571595747650e+01, 2.241126186239682738e+01, 3.090118065304147521e+01, 2.257806042597151119e+01, 2.138678791839787152e+01, 2.481514946764467666e+01, 1.997176322295198503e+01
1.874000000000000000e+03, 2.369830408651574771e+01, 3.158915819059505026e+01, 1.663513829752415063e+01, 1.462338868907262324e+01, 2.571492636922893027e+01, 2.036388268380044408e+01, 1.604287659480770500e+01, 2.778369216537159758e+01, 3.082864561860315789e+01, 1.620760645651390064e+01, 2.204482983391092077e+01, 3.066188524292811124e+01, 2.273832025658255418e+01, 2.170902027988699601e+01, 2.427570119616536104e+01, 1.859371867083889995e+01
1.875000000000000000e+03, 2.460471843039055528e+01, 3.260303587017989457e+01, 1.727983250781976921e+01, 1.498092701370297775e+01, 2.575087405778890925e+01, 1.992218737605835344e+01, 1.548508393198011035e+01, 2.840658316047154131e+01, 3.255052821526893325e+01, 1.376173587698209566e+01, 2.191228817056662592e+01, 2.949281260994414566e+01, 2.325572408345382058e+01, 2.181429183250604709e+01, 2.424035141421520834e+01, 1.978072863011965410e+01
1.876000000000000000e+03, 2.408641358388939580e+01, 3.165395653157019140e+01, 1.737347363108385423e+01, 1.495298908876387145e+01, 2.713767727448311007e+01, 1.937260298318953389e+01, 1.579234290926382656e+01, 2.747800440550400225e+01, 3.129764863365737071e+01, 1.535744072161910267e+01, 2.337592729212675025e+01, 2.890364368072955514e+01, 2.291303190468811124e+01, 2.089857404377157835e+01, 2.405180387465712144e+01, 1.988787184827258514e+01
1.877000000000000000e+03, 2.465170775540555681e+01, 3.235528848171595229e+01, 1.741156567131561417e+01, 1.500925680751675806e+01, 2.762586728690089188e+01, 1.988274947098670609e+01, 1.599196696693729969e+01, 2.715934002851072648e+01, 3.219599015687766297e+01, 1.557334552430743813e+01, 2.313650354783247565e+01, 2.968601319982844444e+01, 2.260715017343072120e+01, 2.101146123532913990e+01, 2.439725130832656674e+01, 1.965426468630914769e+01
1.878000000000000000e+03, 2.527111788196714315e+01, 3.079670836352884322e+01, 1.772166675556871240e+01, 1.462373275314361720e+01, 2.668995481095605271e+01, 1.954548777885333877e+01, 1.642305553133340723e+01, 2.757924656427325161e+01, 3.108937720284530926e+01, 1.570442838425946874e+01, 2.297716249435436353e+01, 2.990034682467722860e+01, 2.265076507402879713e+01, 2.108594810162819400e+01, 2.485458419763128646e+01, 2.022986373762451251e+01
1.879000000000000000e+03, 2.391426416150062906e+01, 3.180527094253309173e+01, 1.725861267003374877e+01, 1.503047875184382853e+01, 2.706242100859005362e+01, 2.204627843103090612e+01, 1.567468746764818910e+01, 2.766160690115798104e+01, 3.054024906746897727e+01, 1.613459688332793718e+01, 2.261595755031998323e+01, 2.949654957498713514e+01, 2.351233309971522090e+01, 2.120491248282520758e+01, 2.484400442444112755e+01, 2.011884840425717513e+01
1.880000000000000000e+03, 2.367732415064366691e+01, 3.141846204705307599e+01, 1.778679444545210586e+01, 1.542499516176088292e+01, 2.657739999402076947e+01, 2.065156763121506955e+01, 1.557537119685995108e+01, 2.809234250924028942e+01, 3.110145544411152230e+01, 1.574877154743070307e+01, 2.229886912268324295e+01, 2.888273859420353773e+01, 2.387816502598508706e+01, 2.122240107521319530e+01, 2.519635535535321935e+01, 2.015179794036030358e+01
1.881000000000000000e+03, 2.388838638226845035e+01, 3.169072638892651028e+01, 1.693656057730025211e+01, 1.498502590143293389e+01, 2.613525495203380444e+01, 1.941258201765718638e+01, 1.585411406901697084e+01, 2.796261824502760618e+01, 2.893672545204400137e+01, 1.691940427959879045e+01, 2.398704471080513301e+01, 3.023543130571334459e+01, 2.294532386389065692e+01, 2.149848896239833707e+01, 2.524047505344254105e+01, 2.043999707913907571e+01
1.882000000000000000e+03, 2.442371899799575985e+01, 3.240492380593973110e+01, 1.688948237864802593e+01, 1.501573738508396261e+01, 2.705036816008159306e+01, 1.873041969050555977e+01, 1.571631547988533839e+01, 2.810944984051988627e+01, 2.939914751642654878e+01, 1.634674511232589822e+01, 2.344464846661135482e+01, 3.021435720154226701e+01, 2.384663719502481172e+01, 2.156870128337741832e+01, 2.550718731224904801e+01, 1.987868831163372008e+01
1.883000000000000000e+03, 2.401644602227626990e+01, 3.304551180046219372e+01, 1.723112956604482449e+01, 1.490281281156826942e+01, 2.684538142852956355e+01, 2.081900596948655036e+01, 1.547050893656141568e+01, 2.806109683197001559e+01, 3.009936929146838835e+01, 1.452863969338327088e+01, 2.298494986837810927e+01, 2.881067183012113020e+01, 2.451820458536283454e+01, 2.190782182481892804e+01, 2.488564783070090414e+01, 2.024965838672522978e+01
1.884000000000000000e+03, 2.373744635098810818e+01, 3.128096358888610595e+01, 1.831337017176646498e+01, 1.459996105854993687e+01, 2.606735955260638349e+01, 2.124561638726508761e+01, 1.494406309895100371e+01, 2.786188805041527417e+01, 2.970586033516053703e+01, 1.501085629292769852e+01, 2.227044717056237388e+01, 2.782364074370952167e+01, 2.535401811211207956e+01, 2.151067980283322711e+01, 2.528119043176696223e+01, 2.040983319194036127e+01
1.885000000000000000e+03, 2.389477193795411480e+01, 3.107071114207182205e+01, 1.768072918255429116e+01, 1.488956309527677035e+01, 2.742723126716439097e+01, 2.052875089231481454e+01, 1.530627700573630179e+01, 2.741405821075243665e+01, 2.906159479858736461e+01, 1.515591619180434435e+01, 2.373278925953955820e+01, 2.801528012402809154e+01, 2.511560340709164763e+01, 2.145594477053905536e+01, 2.513999638156930416e+01, 2.073449899530652019e+01
1.886000000000000000e+03, 2.415899329591629652e+01, 3.124154132335980449e+01, 1.734801714086960445e+01, 1.544011982985349718e+01, 2.533415960289596569e+01, 2.016299359588868967e+01, 1.573278641814880707e+01, 2.731589010496033509e+01, 2.936112240889161740e+01, 1.526177333917126688e+01, 2.409597239165380600e+01, 2.934932799755195987e+01, 2.587142709525414119e+01, 2.167878113496712089e+01, 2.442806852237747606e+01, 2.028314715096555076e+01
1.887000000000000000e+03, 2.461116348011408661e+01, 3.184898591355030817e+01, 1.731082652115246390e+01, 1.469989064375896071e+01, 2.622359623501986192e+01, 2.035487996440279090e+01, 1.587121799327601224e+01, 2.736907361870477473e+01, 3.165662739771844514e+01, 1.492801050360221815e+01, 2.352213767419436508e+01, 2.872044279706564396e+01, 2.550587194316650752e+01, 2.221793014121976739e+01, 2.373571149494632948e+01, 1.989850339295097825e+01
1.888000000000000000e+03, 2.422734744594596634e+01, 3.147101127861344239e+01, 1.707939279811027689e+01, 1.512697952010127800e+01, 2.720140329694733339e+01, 2.148348287472760987e+01, 1.624227567542040873e+01, 2.751089930919217252e+01, 3.193068906912556315e+01, 1.492157578256651718e+01, 2.280044121917735822e+01, 2.975067238110379009e+01, 2.541238100782577547e+01, 2.181108839499150420e+01, 2.464836244198589554e+01, 1.986950533044789680e+01
