year, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-ESM2, IPSL-CM6A-LR
1.875000000000000000e+03, 1.387036934923417376e-12, 3.633608412425483164e-10, 2.707011692813699339e-10, 4.841686192681464327e-11, 5.876699880476105816e-12, 1.284951339904356109e-13, 3.032185319989975799e-12, 2.536639860067192333e-10
1.876000000000000000e+03, 1.454918161438365154e-12, 3.626952371989810449e-10, 2.750195180795284951e-10, 4.698187393066116339e-11, 5.937817359402049399e-12, 1.125920288250176607e-13, 3.133684521189969565e-12, 2.556509930114852367e-10
1.877000000000000000e+03, 1.510679779618323492e-12, 3.619720305766417063e-10, 2.737920403714432119e-10, 4.801133676119978822e-11, 5.745085598293885454e-12, 9.858799866507518087e-14, 3.223435749544878417e-12, 2.556142623177146979e-10
1.878000000000000000e+03, 1.569285151521146269e-12, 3.612111003983763101e-10, 2.756122336474274236e-10, 4.701818696386919341e-11, 6.087786426646493527e-12, 1.005789968775425939e-13, 3.304813146316823763e-12, 2.679394150661698859e-10
1.879000000000000000e+03, 1.624885168932727544e-12, 3.599967712445636266e-10, 2.731191845814225935e-10, 4.847877939049506469e-11, 6.123159572355571931e-12, 9.916361562314733362e-14, 3.379443941119683632e-12, 2.452810049527097066e-10
1.880000000000000000e+03, 1.683911666148261504e-12, 3.566866423407748879e-10, 2.681800314389412433e-10, 4.834446619886680549e-11, 6.073612103043429318e-12, 1.046757471257332998e-13, 3.409687824512893755e-12, 2.568738561556121801e-10
1.881000000000000000e+03, 1.698024798556172207e-12, 3.578205902444538460e-10, 2.691008348489605204e-10, 5.105005044975411654e-11, 6.213728720100309632e-12, 8.703951292873537239e-14, 3.412304191553143707e-12, 2.569687575355827144e-10
1.882000000000000000e+03, 1.749474840370941940e-12, 3.575085321880271431e-10, 2.735927217107583495e-10, 4.916948570183152680e-11, 6.352243191588252758e-12, 7.032627581722869390e-14, 3.427746672981015611e-12, 2.593810227518409205e-10
1.883000000000000000e+03, 1.780599904772296819e-12, 3.588586144317961154e-10, 2.744128383503450935e-10, 5.071369381897781571e-11, 6.417878048069719311e-12, 6.665895937346131308e-14, 3.447169917149309282e-12, 2.569713155614204149e-10
1.884000000000000000e+03, 1.812964586559158798e-12, 3.590631761529210060e-10, 2.689556685318648049e-10, 5.135779251903641761e-11, 6.202688097151343665e-12, 8.410663725873375559e-14, 3.469029419211773657e-12, 2.452369308459001715e-10
1.885000000000000000e+03, 1.846628036438467827e-12, 3.609521412047274018e-10, 2.666910478207326643e-10, 4.955994376956454966e-11, 6.195125451283497420e-12, 8.730540436683483904e-14, 3.492446102321707660e-12, 2.643524768071614246e-10
1.886000000000000000e+03, 1.883557483236654039e-12, 3.626700049445603611e-10, 2.740169263681095868e-10, 4.968253807142493404e-11, 6.538981205660249063e-12, 9.286304202204044829e-14, 3.517251327939700276e-12, 2.659667074915937022e-10
