year, TaiESM1, EC-Earth3-Veg, CMCC-ESM2, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, NorESM2-LM, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1
1.870000000000000000e+03, 2.739349225731631550e-11, 8.309458724675415386e-11, 6.940287841413931962e-12, 2.296778374643600809e-10, 4.503804025231854036e-11, 4.025667904205187911e-11, 3.933784035071503193e-11, 1.330258733875407835e-11, 9.985523902010872914e-14, 3.383867069290275686e-12
1.871000000000000000e+03, 2.789280113431432905e-11, 1.031892988095475806e-10, 7.175654583863233236e-12, 2.287372038052045152e-10, 5.079655221748309731e-11, 4.513290510318860374e-11, 4.379514502074425713e-11, 1.843418371358293839e-11, 1.364668809456128474e-13, 4.005968850438721054e-12
1.872000000000000000e+03, 2.808529212875651049e-11, 1.082891298731192928e-10, 7.284394275504299735e-12, 2.283858297089419572e-10, 5.451075204864067136e-11, 4.531439512134984549e-11, 4.539855457608654341e-11, 1.883544082942277685e-11, 1.315190676722575968e-13, 3.996298159942686313e-12
1.873000000000000000e+03, 2.827452310150149431e-11, 1.122392089898425264e-10, 7.488574568129872509e-12, 2.279732467678140041e-10, 5.074862432747550517e-11, 4.556115541950651856e-11, 4.468836181276412130e-11, 1.917286571018768892e-11, 1.489215565647594142e-13, 4.267769807358559536e-12
1.874000000000000000e+03, 2.844196657517884173e-11, 1.137388871985429378e-10, 7.623378966923306707e-12, 2.257753398957831458e-10, 5.011819529959249638e-11, 4.580629148631680694e-11, 4.259651999083155708e-11, 1.952516702274270529e-11, 1.369646868679552863e-13, 4.380456674586134030e-12
1.875000000000000000e+03, 2.845415630542729465e-11, 1.189269619652637787e-10, 7.755786277405832885e-12, 2.237140147290496167e-10, 5.126802005483221497e-11, 4.601831856208739008e-11, 4.160862193195792420e-11, 1.918097737138600410e-11, 1.284951337424800182e-13, 4.466481546180829416e-12
1.876000000000000000e+03, 2.863051521390630431e-11, 1.163127015803571026e-10, 7.963053993756448379e-12, 2.236926121835987218e-10, 5.252682128134594837e-11, 4.616328078588986186e-11, 4.460490933316983272e-11, 1.948835147662532700e-11, 1.125920305528109688e-13, 4.561259087809836667e-12
1.877000000000000000e+03, 2.881310284419412077e-11, 1.147899984075125812e-10, 7.997741465106120816e-12, 2.232998762958939822e-10, 5.490298917288295726e-11, 4.640539939072425330e-11, 4.385204658785485723e-11, 1.964973171249424477e-11, 9.858799863316868550e-14, 4.630564287928293020e-12
1.878000000000000000e+03, 2.870828763365893926e-11, 1.163664347330490785e-10, 8.054043158398720271e-12, 2.239375498358280150e-10, 5.548907384974375552e-11, 4.668897390302461313e-11, 4.595421478681331637e-11, 1.978464133571873396e-11, 1.005789974468766233e-13, 4.713533863592430756e-12
1.879000000000000000e+03, 2.868580946491003981e-11, 1.122532004218893697e-10, 8.158226038286207504e-12, 2.222634923267499287e-10, 5.488446124824313026e-11, 4.699313538836426802e-11, 4.570454962035852777e-11, 1.992618407018128292e-11, 9.916361634664496604e-14, 4.899107689717619918e-12
1.880000000000000000e+03, 2.737635525059468588e-11, 1.177223204973556072e-10, 7.329362540967073853e-12, 2.197953256384414056e-10, 5.782943788878508931e-11, 4.727228881697028076e-11, 4.921785831175887031e-11, 1.989580724416349947e-11, 1.046757473417694725e-13, 4.743051843680458388e-12
1.881000000000000000e+03, 2.721262859787336806e-11, 1.006542063133374838e-10, 7.324915727152017204e-12, 2.198146847365969466e-10, 5.228083450300048101e-11, 4.600056185095253310e-11, 4.907672044065062834e-11, 1.883551742248196470e-11, 8.703951266796929699e-14, 5.295053406208750312e-12
1.882000000000000000e+03, 2.722253215227076947e-11, 6.912667377211819452e-11, 7.369076369208979887e-12, 2.202215409270663683e-10, 5.235964108817251627e-11, 4.596088094244799135e-11, 4.717449414974623168e-11, 1.896097314619550186e-11, 7.032627625541602399e-14, 5.231568520738741965e-12
1.883000000000000000e+03, 2.712209403131940977e-11, 6.977575080844603739e-11, 7.382234370289795535e-12, 2.198269071851969858e-10, 4.863622225197946403e-11, 4.598698623969231294e-11, 4.450836554016351547e-11, 1.897685025698113417e-11, 6.665895939107034193e-14, 5.307447403495667371e-12
1.884000000000000000e+03, 2.704595514618671275e-11, 7.337214857268181151e-11, 7.401785691158953107e-12, 2.179980973177974180e-10, 5.778671195873540064e-11, 4.599657188111297665e-11, 4.656027697791220675e-11, 1.906713786722130809e-11, 8.410663734895442679e-14, 5.316649576493081732e-12
1.885000000000000000e+03, 2.719685542695396891e-11, 7.478601846165661784e-11, 7.431398588145548646e-12, 2.171725015663931327e-10, 5.757765976440175519e-11, 4.596157196364254114e-11, 4.732631334881191583e-11, 1.921805389458464595e-11, 8.730540406769089517e-14, 5.425533406859873594e-12
1.886000000000000000e+03, 2.705379139696693628e-11, 7.976648488836102232e-11, 7.507176672795290255e-12, 2.182032258680622571e-10, 5.778716850550329600e-11, 4.585650081031008901e-11, 5.036529133169848085e-11, 1.940426318489724690e-11, 9.286304208120863863e-14, 5.614685500606835537e-12
1.887000000000000000e+03, 2.696594259928634224e-11, 8.424935708806013933e-11, 7.488828798297191177e-12, 2.171044380178878791e-10, 5.445777187378272535e-11, 4.585335846655932255e-11, 4.609362427221336916e-11, 1.938480084793029964e-11, 9.618186285874825682e-14, 5.651201017922476858e-12
1.888000000000000000e+03, 2.692530007465384716e-11, 8.280588278042157614e-11, 7.502432212216289607e-12, 2.157345504150916301e-10, 5.594206974414147756e-11, 4.587955004850774472e-11, 5.054856129223530323e-11, 1.934982452864616148e-11, 9.127921161440993296e-14, 5.962979522280590251e-12
1.889000000000000000e+03, 2.694705250447581230e-11, 8.468197172740363690e-11, 7.557073784123205184e-12, 2.148577560593000793e-10, 5.276763159591269896e-11, 4.557498701172766388e-11, 5.098258353732555240e-11, 1.948064470125382241e-11, 7.231808025135961583e-14, 5.960730399674878857e-12
1.890000000000000000e+03, 3.269245552232524087e-11, 7.985178764873280174e-11, 1.065565323094562478e-11, 2.148270311286601586e-10, 5.219484229792256486e-11, 4.551285482315410995e-11, 5.243812428582513735e-11, 1.931811543828713250e-11, 1.085195246479215376e-13, 6.470181410530308286e-12
1.891000000000000000e+03, 3.320622005900336486e-11, 1.003514811258472227e-10, 1.103900177627662356e-11, 2.141652668784824992e-10, 6.478064024905222011e-11, 5.106341527809030540e-11, 5.114293116079991355e-11, 2.488042651167570568e-11, 1.364218912164239842e-13, 6.925441116552787829e-12
1.892000000000000000e+03, 3.357889772521012784e-11, 1.027942296569550429e-10, 1.123183369093972750e-11, 2.131801981466164763e-10, 6.306604380241537295e-11, 5.104387870087602835e-11, 5.658710359696062534e-11, 2.529586839404690595e-11, 1.529411663137549047e-13, 6.941920885094496656e-12
1.893000000000000000e+03, 3.373935901371577533e-11, 1.028838049871919002e-10, 1.140183251569152769e-11, 2.132379489334300589e-10, 6.315550990058678215e-11, 5.143250932180006850e-11, 5.202270752030124250e-11, 2.578872771727792043e-11, 1.517655209579125273e-13, 7.124544378173090633e-12
1.894000000000000000e+03, 3.399089436063131748e-11, 1.008170629860442076e-10, 1.158267141670982341e-11, 2.123913546165665693e-10, 6.218545311275791306e-11, 5.174863072206668771e-11, 5.115706913574156845e-11, 2.593609865413562008e-11, 1.505114671878157672e-13, 7.183176249034265372e-12
1.895000000000000000e+03, 3.440516027519805739e-11, 1.049879039890535402e-10, 1.179271972650687357e-11, 2.112897876753236304e-10, 6.426073106030722616e-11, 5.189496670579665138e-11, 5.227846268304340542e-11, 2.616159986925730531e-11, 1.583352770031176749e-13, 7.369508082467131316e-12
1.896000000000000000e+03, 3.447459297338358339e-11, 1.035623808270498207e-10, 1.191385464548773423e-11, 2.112939506408815930e-10, 6.436967107582240304e-11, 5.218538710810855346e-11, 5.781963857341758671e-11, 2.647851314716408703e-11, 1.411010017930067945e-13, 7.827327291013251722e-12
1.897000000000000000e+03, 3.441804144008847093e-11, 1.059711581968982407e-10, 1.194826157223053986e-11, 2.098715013938053628e-10, 6.590368588718115450e-11, 5.216164963304995589e-11, 5.126294751684074251e-11, 2.657762383436640618e-11, 1.413755775247790334e-13, 8.364383079245989278e-12
1.898000000000000000e+03, 3.449802525930483784e-11, 9.454367401940872543e-11, 1.204371988183744165e-11, 2.080170669216211628e-10, 6.589367586812629837e-11, 5.241625417716692737e-11, 5.725419033792338905e-11, 2.681613723273620960e-11, 1.583787382640009127e-13, 8.533573746999602764e-12
1.899000000000000000e+03, 3.462192768550424498e-11, 9.487329094022327373e-11, 1.219067054444295512e-11, 2.070491436148065153e-10, 6.299409173827375074e-11, 5.269485255352202442e-11, 5.928390119394916508e-11, 2.679386723393139302e-11, 1.876658624749129678e-13, 8.646259287926479408e-12
1.900000000000000000e+03, 3.807355517194021249e-11, 9.320301191777387114e-11, 1.330845460830998259e-11, 2.099408346062898406e-10, 6.338903430246851557e-11, 5.277428047760948891e-11, 5.801858248981505071e-11, 2.706442550188861838e-11, 3.295339105057886083e-13, 8.765531058176621701e-12
1.901000000000000000e+03, 3.848925190099919428e-11, 1.002103072701096494e-10, 1.354497814339003895e-11, 2.131640145353011649e-10, 7.109354639571456028e-11, 5.783947445821149572e-11, 5.976785829691792380e-11, 3.091098098928723296e-11, 6.108062208418709428e-13, 1.008890281044891233e-11
1.902000000000000000e+03, 3.869346360797755627e-11, 1.049112393228224858e-10, 1.374886543724912916e-11, 2.127320809365903289e-10, 7.304146421209591304e-11, 5.801267451565643964e-11, 6.270008259429531319e-11, 3.140263706621246039e-11, 1.036274718292106340e-12, 1.038153374994129021e-11
1.903000000000000000e+03, 3.889651121876356318e-11, 1.022311388899348795e-10, 1.385543708863320282e-11, 2.122082295143613924e-10, 7.071991093103173180e-11, 5.825816566190029230e-11, 6.567763147920000629e-11, 3.172252759656477704e-11, 1.304764601710522887e-12, 1.078593324722360758e-11
1.904000000000000000e+03, 3.921258203700491067e-11, 1.058430407364861683e-10, 1.388550318225588088e-11, 2.123669160897359029e-10, 6.811896135696023649e-11, 5.852579112899633230e-11, 6.287145237279667601e-11, 3.196804064996360924e-11, 1.785555282711182260e-12, 1.143401873339509184e-11
1.905000000000000000e+03, 3.930104252372994431e-11, 1.052091436397229072e-10, 1.407112527714645346e-11, 2.122348199810780534e-10, 7.030294590534179335e-11, 5.847849283025140092e-11, 5.994879732570480317e-11, 3.211200551047975518e-11, 1.879480252587162995e-12, 1.231427281230526824e-11
1.906000000000000000e+03, 3.945301957352894895e-11, 1.053252996420886432e-10, 1.417359957509758375e-11, 2.106806386013854145e-10, 7.288576711970005176e-11, 5.868821062563268649e-11, 5.964506762172368044e-11, 3.230853408033252704e-11, 1.942667988490349956e-12, 1.254981119418992751e-11
1.907000000000000000e+03, 3.956768905260865064e-11, 1.027506657415167511e-10, 1.416741920992831545e-11, 2.109144793587536915e-10, 7.782477871964251998e-11, 5.903026759121920768e-11, 6.182230445889973009e-11, 3.226043563570641406e-11, 2.142452753924610111e-12, 1.266725546720956745e-11
1.908000000000000000e+03, 3.947750543841235807e-11, 1.028738273620469068e-10, 1.423036900595634372e-11, 2.094261599487592120e-10, 7.653699977765055708e-11, 5.936329615964838360e-11, 6.434490185424936096e-11, 3.254123042733967401e-11, 2.195388558044989778e-12, 1.211162539659903432e-11
1.909000000000000000e+03, 3.955275386450370738e-11, 1.023046247803461683e-10, 1.435651497420955443e-11, 2.100832935021638701e-10, 7.180163219020587674e-11, 5.993187350369407792e-11, 6.420950764446627375e-11, 3.277983897689999228e-11, 2.323131330648536477e-12, 1.289927338617805043e-11
1.910000000000000000e+03, 4.852699780358004240e-11, 1.037160478011118774e-10, 1.571842335005932547e-11, 2.108928976470093726e-10, 7.057153568622713216e-11, 6.011819542449213961e-11, 6.140656093754235439e-11, 3.293975060741506957e-11, 2.205318956543797086e-12, 1.292735491731369705e-11
1.911000000000000000e+03, 4.951924095609195608e-11, 1.141518650649695687e-10, 1.583118138719299724e-11, 2.120787723651684148e-10, 7.632866029874313964e-11, 7.270035398115697023e-11, 7.213647808253877477e-11, 3.921169338012140357e-11, 1.789798252148216835e-12, 1.439345116294963213e-11
1.912000000000000000e+03, 5.018266757198860464e-11, 1.127257017779889582e-10, 1.598605761050020815e-11, 2.113358914632947915e-10, 8.010437447114164759e-11, 7.310278891454481020e-11, 6.947384561835008783e-11, 3.950581704668181192e-11, 1.674007833519466555e-12, 1.460626875011909604e-11
1.913000000000000000e+03, 5.077531341014519614e-11, 1.026367803130367798e-10, 1.617269665342919519e-11, 2.111401494636196464e-10, 8.430786083438637330e-11, 7.346517754632993774e-11, 7.040761595151855590e-11, 4.002464895970398343e-11, 1.639938637830070307e-12, 1.470041807397241689e-11
1.914000000000000000e+03, 5.134305232773447569e-11, 9.947425314077386126e-11, 1.620918408438799885e-11, 2.101382605707057557e-10, 8.562707390390377551e-11, 7.370239701111741946e-11, 6.701970670987079179e-11, 4.060770179069270648e-11, 1.678464043715330117e-12, 1.528288907507523385e-11
1.915000000000000000e+03, 5.163829257954598063e-11, 1.002416031504757297e-10, 1.644712661732237137e-11, 2.091810543630410885e-10, 8.883852299220415302e-11, 7.393185801751144914e-11, 7.675177296195278319e-11, 4.082264036831230052e-11, 1.716128596640635233e-12, 1.590246572524690589e-11
1.916000000000000000e+03, 5.185016346802611019e-11, 9.967249620069961695e-11, 1.647871615477640711e-11, 2.107669836255491178e-10, 8.958772469476832108e-11, 7.427881377611829526e-11, 7.718196757379318343e-11, 4.120757544062080602e-11, 1.852546729257995350e-12, 1.607774737925070378e-11
1.917000000000000000e+03, 5.241892534144167275e-11, 1.065708752347008354e-10, 1.645416087866130893e-11, 2.125757715340657237e-10, 8.381884147760650948e-11, 7.453827896909822904e-11, 7.812240670424260355e-11, 4.111742577918773151e-11, 1.974714418448701582e-12, 1.654082847890346797e-11
1.918000000000000000e+03, 5.267142474914279618e-11, 1.061132298135731090e-10, 1.658015607167202587e-11, 2.138024252012040828e-10, 8.590481016042296186e-11, 7.424463705742344849e-11, 7.952176845027382773e-11, 4.114732813657130302e-11, 1.982194978263096757e-12, 1.709328605176410594e-11
1.919000000000000000e+03, 5.278038188281282993e-11, 1.074994995912282010e-10, 1.661002966307626566e-11, 2.143539395797578834e-10, 9.418682288062886267e-11, 7.434161215511285542e-11, 8.244009923500433919e-11, 4.144387424993186102e-11, 1.977037060802098849e-12, 1.862241940552924699e-11
1.920000000000000000e+03, 6.457801398177447318e-11, 1.095171400086095579e-10, 2.036778724231948950e-11, 2.178332774697942663e-10, 9.192704313656460316e-11, 7.441768086215372325e-11, 7.948199653715769507e-11, 4.142679976512570371e-11, 2.308206061275436314e-12, 1.898785026868189217e-11
1.921000000000000000e+03, 6.549464352287637142e-11, 1.251889522681277250e-10, 2.100928125824893328e-11, 2.190964505815915973e-10, 9.732318905047852124e-11, 9.156084664527451189e-11, 8.973574945608536631e-11, 5.257608943343677177e-11, 2.856886453134440915e-12, 2.265616539219491009e-11
1.922000000000000000e+03, 6.674550118353885032e-11, 1.273406524772501115e-10, 2.135018212916217274e-11, 2.213625730629703431e-10, 1.007033090607299357e-10, 9.188470774314647468e-11, 8.714418197831908512e-11, 5.388200023804424340e-11, 3.724578135758199568e-12, 2.316321666943580202e-11
1.923000000000000000e+03, 6.794485976255752177e-11, 1.327913632483008850e-10, 2.159652084614218617e-11, 2.224603564357357136e-10, 1.008809810091998599e-10, 9.231413017284169783e-11, 8.953540198491954453e-11, 5.465371222879176346e-11, 4.492234856158208307e-12, 2.376049729313736717e-11
1.924000000000000000e+03, 6.900634974372335730e-11, 1.347878495021051972e-10, 2.188112551736153546e-11, 2.226121766631831219e-10, 1.059826629386824175e-10, 9.266447922165288124e-11, 9.125599431086293127e-11, 5.578705776994404017e-11, 4.932069008474585570e-12, 2.666251062679814122e-11
1.925000000000000000e+03, 6.935027524781587534e-11, 1.387173307625639096e-10, 2.206935141120730681e-11, 2.224943242751035606e-10, 1.043881102819584272e-10, 9.308294209623175812e-11, 9.171709677016010443e-11, 5.624849865436847381e-11, 5.111157049591458118e-12, 2.759312482363160600e-11
1.926000000000000000e+03, 7.028718498114088370e-11, 1.394545236745659195e-10, 2.228738331053821616e-11, 2.242569604459909055e-10, 1.044780578569432240e-10, 9.344618463290837153e-11, 9.389508778414493308e-11, 5.700768486964554446e-11, 5.413600919446482239e-12, 2.914967644363502272e-11
1.927000000000000000e+03, 7.136488126144289818e-11, 1.327278245874341261e-10, 2.271453169522963034e-11, 2.256088649952147546e-10, 1.047364440194990711e-10, 9.352784123189536723e-11, 9.172853244488832160e-11, 5.738583543762050539e-11, 5.592764925086180372e-12, 3.270239679702149210e-11
1.928000000000000000e+03, 7.203907969641512793e-11, 1.356055212717053892e-10, 2.289425417055263325e-11, 2.248216012759073266e-10, 1.056602416336416268e-10, 9.400812113844872300e-11, 9.582386952028293333e-11, 5.803252961667721997e-11, 5.837538164087140212e-12, 3.425143870107740090e-11
1.929000000000000000e+03, 7.248836656544825918e-11, 1.394268376142742296e-10, 2.304600408289161816e-11, 2.245318928696058587e-10, 1.043999238480368184e-10, 9.432749265208388515e-11, 1.075062609325891152e-10, 5.869400248749675140e-11, 5.913397970715819833e-12, 3.497746869802926244e-11
1.930000000000000000e+03, 1.009295544841116234e-10, 1.393179186331519746e-10, 3.062962752540358578e-11, 2.307325576134652506e-10, 1.098217661756279055e-10, 9.406090316386692910e-11, 1.020037265202481657e-10, 5.966765017930419293e-11, 6.563337303018611709e-12, 3.600011966924723399e-11
1.931000000000000000e+03, 1.048890098965173882e-10, 1.901697178897752685e-10, 3.167185467924262639e-11, 2.363014958913930840e-10, 1.315997480481844337e-10, 1.349936493061989695e-10, 1.222661455839940869e-10, 8.412344131455332078e-11, 8.446214097899954183e-12, 4.720761510301845389e-11
