year, NorESM2-LM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, CESM2-WACCM, INM-CM5-0, INM-CM4-8, IPSL-CM6A-LR, TaiESM1, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, GFDL-ESM4
1.874000000000000000e+03, 5.606194635804884641e+00, 1.533952458369545369e+01, 1.120890329856185730e+01, 1.095211962755714730e+01, 1.267196942974526053e+01, 1.056883420143297059e+01, 6.686463679610620936e+00, 6.655675674445752144e+00, 1.471775671011736186e+01, 1.438081239095991393e+01, 1.029424742991785102e+01, 8.867716576880031454e+00, 6.069259340954374693e+00, 9.418214258519800097e+00, 5.902349953967509499e+00, 1.067998752881951496e+01
1.875000000000000000e+03, 5.285723898519919750e+00, 1.576949814920780035e+01, 1.114238915928050488e+01, 1.095528327106215194e+01, 1.171075182935387105e+01, 1.036324302999341285e+01, 5.913467968249878304e+00, 7.430844829551386255e+00, 1.527661393297343828e+01, 1.521548966844437345e+01, 1.078838987132397342e+01, 9.248008027541935405e+00, 6.296334076419405790e+00, 9.432907555338333694e+00, 6.252687620800291945e+00, 1.109596565334872942e+01
1.876000000000000000e+03, 5.658914656401113241e+00, 1.508331166108521337e+01, 1.045294846898913832e+01, 1.184678253164742401e+01, 1.122839434489166699e+01, 1.007578541861946775e+01, 6.812578592947814649e+00, 7.284549671675782712e+00, 1.475343946620537139e+01, 1.469742814377500650e+01, 1.039676803365398072e+01, 9.832428576564364420e+00, 6.127452452355133694e+00, 9.330403138765904103e+00, 6.155941402580630495e+00, 1.075974729203592162e+01
1.877000000000000000e+03, 5.617863627874199572e+00, 1.482480271668538307e+01, 1.057505014983724401e+01, 1.161180812589180711e+01, 1.229946168044508070e+01, 1.020736452472361044e+01, 6.494263430305206697e+00, 7.215098298505560059e+00, 1.495510013282540029e+01, 1.521415091903627470e+01, 1.077523948833760592e+01, 9.664581937717290572e+00, 6.185770196834975643e+00, 9.477882748662612045e+00, 6.179399557879881044e+00, 1.063354400562161040e+01
1.878000000000000000e+03, 5.771617892126747584e+00, 1.509183886168097644e+01, 1.076951413320584727e+01, 1.154390494528534994e+01, 1.233327789645892381e+01, 9.966720184807206451e+00, 6.681609218478143930e+00, 7.642002062880776769e+00, 1.427935820224799635e+01, 1.467694675797090298e+01, 1.111249012904367106e+01, 9.108446239802258759e+00, 6.033348694303569459e+00, 9.920916169777461491e+00, 6.340440880417931524e+00, 1.067976423020943955e+01
1.879000000000000000e+03, 5.310892963465544625e+00, 1.525158777254559439e+01, 1.084866554784787951e+01, 1.125940336509833806e+01, 1.245486853578179698e+01, 1.143942365832293895e+01, 6.816234344879537943e+00, 7.305321336904379237e+00, 1.499087977639873870e+01, 1.436102696167277237e+01, 1.029836773565643782e+01, 9.704333725923795839e+00, 6.338738367698714349e+00, 9.742680121472272248e+00, 6.092371927090592720e+00, 1.106366639270082253e+01
1.880000000000000000e+03, 5.549007119618726058e+00, 1.553743976832871354e+01, 1.086644884430920754e+01, 1.118197066121204131e+01, 1.195185493416094857e+01, 1.066160527736705177e+01, 7.155728983643521168e+00, 7.467847854908350236e+00, 1.463633471247491435e+01, 1.464485664626359096e+01, 1.023281903438973650e+01, 9.380674808818763921e+00, 6.360849976402076500e+00, 1.008606363719393606e+01, 6.381003836258048345e+00, 1.135727517808669695e+01
1.881000000000000000e+03, 5.600530840237450292e+00, 1.542472782175259916e+01, 1.102111919475801116e+01, 1.225453074931182051e+01, 1.249075514448367663e+01, 1.004240651988040867e+01, 6.812333709239398516e+00, 7.550559765094894793e+00, 1.463735504239689433e+01, 1.351933167884408604e+01, 1.040123658749140034e+01, 9.157835666293944854e+00, 6.016177535109675567e+00, 1.004535716597097661e+01, 5.947852964784472896e+00, 1.078191563198275738e+01
1.882000000000000000e+03, 5.491857804748378591e+00, 1.551447460183434046e+01, 1.101622935243342027e+01, 1.174616905999675964e+01, 1.269940964534084493e+01, 9.565107301193684464e+00, 7.119901589647219531e+00, 7.241413154233355520e+00, 1.498422071776633757e+01, 1.372311332872881273e+01, 1.067577274605727844e+01, 9.579070634263990414e+00, 6.257605500039515434e+00, 1.015836346501513887e+01, 6.162053670780512249e+00, 1.137462395624035416e+01
1.883000000000000000e+03, 5.483609715365087567e+00, 1.545071817429437999e+01, 1.126322061702422239e+01, 1.149687278138577540e+01, 1.192532671207325734e+01, 1.073361590001937138e+01, 5.973041507874128797e+00, 7.455061586755083347e+00, 1.542925729975385707e+01, 1.430276312529507621e+01, 1.043934166706514155e+01, 9.351954029918639222e+00, 6.362121715949467848e+00, 9.810001685083731715e+00, 5.950413409913585028e+00, 1.193316562689781790e+01
