year, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-LM, CMCC-ESM2, EC-Earth3-Veg, TaiESM1, CanESM5, INM-CM5-0, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, MPI-ESM1-2-LR, INM-CM4-8
1.882000000000000000e+03, 8.195478431825918841e-01, 9.557999659504330392e-01, 1.378991057359924888e+00, 9.825904992582742414e-01, 2.026167668079761341e+00, 7.278794760655011853e-01, 9.185396105405879696e-01, 2.183139463751397447e+00, 1.681604630845076498e+00, 1.417992717414343851e+00, 1.509986686651371368e+00, 7.904027529158705878e-01, 1.764395101574411484e+00, 1.226915530059534465e+00, 1.341987687341439139e+00, 1.431398880268939910e+00
1.883000000000000000e+03, 7.609848714186696617e-01, 9.702743596826326478e-01, 1.377730278537160347e+00, 9.661428272560239616e-01, 2.028454050388036389e+00, 7.280726245428399412e-01, 9.665275274746758516e-01, 2.056712713601485998e+00, 1.730258119611975731e+00, 1.422742645178389331e+00, 1.513384961088108271e+00, 8.117683869080056791e-01, 1.783556431094762251e+00, 1.230363335396410518e+00, 1.329139993306569067e+00, 1.434202851177222904e+00
1.884000000000000000e+03, 7.754953765798588972e-01, 9.747761970305686141e-01, 1.374087934440290537e+00, 9.689214976224522768e-01, 2.055014507539117741e+00, 7.164028238666482196e-01, 9.462026225559219128e-01, 2.001199480211274029e+00, 1.656554763511114636e+00, 1.424402336729815977e+00, 1.460547130965179408e+00, 8.150210423004136118e-01, 1.904321795028665942e+00, 1.233020793003795079e+00, 1.278664037905131057e+00, 1.430785972324460920e+00
1.885000000000000000e+03, 7.776560057885566479e-01, 9.795710731175776287e-01, 1.372307511985071615e+00, 9.752575425699611111e-01, 2.034378185356056523e+00, 7.029824743929043995e-01, 9.272178145179336139e-01, 1.988823282897325129e+00, 1.742358652527354890e+00, 1.376669350850183937e+00, 1.465991487116814040e+00, 8.236335957547922249e-01, 1.874764542750643415e+00, 1.235750095886943845e+00, 1.363124055339409724e+00, 1.411853095370597000e+00
1.886000000000000000e+03, 7.992139935819659868e-01, 9.816088123609044702e-01, 1.369132721077173320e+00, 9.451831091505535909e-01, 2.022498400244974182e+00, 7.308872353041157011e-01, 9.804632632136044412e-01, 2.028988738076932918e+00, 1.676237329492527905e+00, 1.394383010123416256e+00, 1.470492005404278713e+00, 8.144803902250801197e-01, 1.920637231077982898e+00, 1.245750435540830647e+00, 1.378074209092335911e+00, 1.427288012778912485e+00
1.887000000000000000e+03, 7.555590168954849917e-01, 9.579132505093141958e-01, 1.384525249957557547e+00, 9.225498696250103992e-01, 2.035940256086594236e+00, 7.335889578585005344e-01, 9.497963131344002718e-01, 2.085305523083530677e+00, 1.627687253480199603e+00, 1.404617863933168787e+00, 1.468054536080473316e+00, 8.115076685867977924e-01, 1.886042276708067567e+00, 1.248903521778969461e+00, 1.371247886970153429e+00, 1.471937917021466591e+00
1.888000000000000000e+03, 7.825852198175032859e-01, 9.580229365331669467e-01, 1.388373786756894379e+00, 9.431685093051445090e-01, 2.044217576070872511e+00, 7.461052329919803938e-01, 8.886719995380032433e-01, 2.006465960014312433e+00, 1.680050485998484611e+00, 1.387732039037621323e+00, 1.460963688772901836e+00, 7.948483612367935880e-01, 1.912944551799552695e+00, 1.256057823885093017e+00, 1.341923341306074713e+00, 1.499540892436803885e+00
1.889000000000000000e+03, 8.052172663691034016e-01, 9.423760121445303728e-01, 1.398761302471698498e+00, 9.419489331486011752e-01, 2.033199699016995154e+00, 7.777772115593613034e-01, 9.188474119717168209e-01, 2.017091903339951031e+00, 1.727472278600083344e+00, 1.422130842130580719e+00, 1.502389592898151216e+00, 7.932521151914541102e-01, 1.752469588165282754e+00, 1.260913393323727538e+00, 1.284936899755092510e+00, 1.446762571495328942e+00
1.890000000000000000e+03, 8.295209668678965587e-01, 9.362839687057424864e-01, 1.397593725958456101e+00, 9.541359780912639366e-01, 2.056059595555720154e+00, 7.948885582680451645e-01, 9.227824475905814783e-01, 2.015059637938237280e+00, 1.733559123860886952e+00, 1.451811156341363374e+00, 1.472661721922551736e+00, 7.935973239487984499e-01, 1.766947986989078512e+00, 1.253270691618204147e+00, 1.260396956290522397e+00, 1.489693904263907243e+00
1.891000000000000000e+03, 8.112613149489050768e-01, 9.441178948995693210e-01, 1.360365785053137433e+00, 9.859366144609269522e-01, 2.033083243641225835e+00, 7.848000864984880920e-01, 9.809952182685961475e-01, 2.091609339716020255e+00, 1.786434593079527566e+00, 1.487128822813626128e+00, 1.462280787389851122e+00, 7.933459216736379327e-01, 1.783259024828242056e+00, 1.254133310304921256e+00, 1.248975023794818728e+00, 1.450681416919842093e+00
