year, ACCESS-ESM1-5, CMCC-CM2-SR5, IPSL-CM6A-LR, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, MIROC-ES2L, UKESM1-0-LL, EC-Earth3-Veg
1.924000000000000000e+03, 2.627015374234387690e-01, 5.054789934436314247e-02, 9.832185129083700903e-02, 5.766710938335379844e-01, 1.930165974654304492e-02, 1.392887643969340505e-01, 1.281811187547036601e+00, 1.634639123438831609e-02, 7.221234099662753037e-02
1.925000000000000000e+03, 2.697377721110504334e-01, 5.203329585302198662e-02, 1.014753310526577829e-01, 5.785877638324447014e-01, 2.087506177506485289e-02, 1.435172447903750037e-01, 1.293910226682924991e+00, 1.780080632817225908e-02, 7.438650333775055634e-02
1.926000000000000000e+03, 2.771870258767696327e-01, 5.346631821634408727e-02, 1.038990816572283454e-01, 5.815186440141278945e-01, 2.231622995542739338e-02, 1.478206092595982513e-01, 1.305630981038357730e+00, 1.942941698111442378e-02, 7.654570006280045358e-02
1.927000000000000000e+03, 2.835133082862403286e-01, 5.486917488289230760e-02, 1.060220011730706735e-01, 5.860425776287312427e-01, 2.407479206876682667e-02, 1.527449082851092821e-01, 1.315749142119492232e+00, 2.086887515707312735e-02, 7.828140034813481363e-02
1.928000000000000000e+03, 2.905236343085820794e-01, 5.626468117657888734e-02, 1.079781194408140355e-01, 5.882480510921076489e-01, 2.570476890695764377e-02, 1.569334208071004599e-01, 1.326996869913873889e+00, 2.238798935179308128e-02, 8.017083883309496228e-02
1.929000000000000000e+03, 2.966628918687618244e-01, 5.763859293133082040e-02, 1.098700829739403112e-01, 5.892356056549659105e-01, 2.711659669585168159e-02, 1.617296705269724577e-01, 1.335809968918771018e+00, 2.364325193074640757e-02, 8.214617767679864568e-02
1.930000000000000000e+03, 3.028874200107650183e-01, 6.076331576343385610e-02, 1.116461313618645201e-01, 5.973634513968121285e-01, 2.831011859871397293e-02, 1.646031445834754692e-01, 1.381134078669288945e+00, 2.581177485592130866e-02, 8.395400456579145410e-02
1.931000000000000000e+03, 3.225262395602527254e-01, 6.517568232636918035e-02, 1.217587469138126655e-01, 6.114189919993804345e-01, 3.128833848621235397e-02, 1.790381111460507546e-01, 1.415761072445733459e+00, 3.025906793627376745e-02, 8.829101189053588372e-02
1.932000000000000000e+03, 3.387962166057691404e-01, 6.895008480010222929e-02, 1.311625032429895310e-01, 6.244827706078965868e-01, 3.401664981182518643e-02, 1.918713673511755202e-01, 1.444225283669232418e+00, 3.475060533662351070e-02, 9.258201137182721363e-02
1.933000000000000000e+03, 3.560810348349725540e-01, 7.217431185622781575e-02, 1.397838959406889348e-01, 6.290648324068521813e-01, 3.702274006614027918e-02, 2.031815820102697012e-01, 1.469887274404495514e+00, 3.795185503997217796e-02, 9.700600835253712917e-02
1.934000000000000000e+03, 3.706972575980185813e-01, 7.492419353558593675e-02, 1.476243645125393522e-01, 6.327753108074479771e-01, 4.000329433202527707e-02, 2.155160483896656765e-01, 1.489870130407120241e+00, 4.025963879503378917e-02, 1.014865761773642155e-01
1.935000000000000000e+03, 3.856559351874541131e-01, 7.734621486763294806e-02, 1.546023544258065818e-01, 6.388269346286933326e-01, 4.241161651699665996e-02, 2.232687707701256630e-01, 1.511486353458526777e+00, 4.265844863082025179e-02, 1.058339846789646405e-01
1.936000000000000000e+03, 3.982466056142064392e-01, 7.954476505571529688e-02, 1.604716282857265586e-01, 6.528564926916514688e-01, 4.438193683255026167e-02, 2.283353206775280697e-01, 1.530441370374493903e+00, 4.653947655521361443e-02, 1.102763663731926441e-01
1.937000000000000000e+03, 4.121219039148934504e-01, 8.156908792711868583e-02, 1.654465780827258647e-01, 6.657844971185467031e-01, 4.601323133447439429e-02, 2.357642621822126361e-01, 1.545648942626478339e+00, 4.860338268404672951e-02, 1.148214388992570001e-01
1.938000000000000000e+03, 4.258061897142844110e-01, 8.342224601230170677e-02, 1.690692714543592101e-01, 6.774244784892607951e-01, 4.823403310639426400e-02, 2.423994262203035821e-01, 1.564293655911300984e+00, 5.123619959286251913e-02, 1.193916473436059389e-01
1.939000000000000000e+03, 4.377726396412518484e-01, 8.514420239512485167e-02, 1.721272986718097864e-01, 6.910133076403577324e-01, 5.016224841411046770e-02, 2.499721812802483401e-01, 1.580068219612515312e+00, 5.459278203048059663e-02, 1.239138664039654419e-01
1.940000000000000000e+03, 4.509283980385455082e-01, 9.509992683051596285e-02, 1.745384444454378126e-01, 7.154465851733246007e-01, 5.173913273954385689e-02, 2.551073266686128549e-01, 1.705511559628433815e+00, 6.426696093223377426e-02, 1.283357446901615684e-01
1.941000000000000000e+03, 5.209467338975592998e-01, 1.109957838642835481e-01, 2.045594446069734229e-01, 7.325456377909480565e-01, 5.693150454957830731e-02, 2.974767075013861617e-01, 1.806550128508814801e+00, 7.944470907167770768e-02, 1.420214298743120440e-01
1.942000000000000000e+03, 5.752263568680170414e-01, 1.239646095982099294e-01, 2.329416494301550511e-01, 7.507195942149404999e-01, 6.206462581265408118e-02, 3.338796777090743961e-01, 1.886521904922461079e+00, 9.125802873527112669e-02, 1.558973545658599580e-01
1.943000000000000000e+03, 6.269627198076019869e-01, 1.345465249916963091e-01, 2.586495446153286304e-01, 7.649498209348207789e-01, 6.730462403896149415e-02, 3.622761059583776699e-01, 1.951038731178040164e+00, 1.025340328683266855e-01, 1.705133163831954179e-01
1.944000000000000000e+03, 6.748087805843322462e-01, 1.430214954329324106e-01, 2.818994552629373596e-01, 7.840931079760651290e-01, 7.402467056980693849e-02, 3.860506330327578839e-01, 2.012715423983262752e+00, 1.123160654121899277e-01, 1.852184824770576332e-01
