year, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, NorESM2-MM, NorESM2-LM
1.933000000000000000e+03, 7.834932127793253899e-10, 1.456513183555870647e-09, 4.748447619617692447e-10, 8.847371368368992488e-10, 7.405163228993920086e-10
1.934000000000000000e+03, 1.057516769266408844e-09, 1.522275201858582978e-09, 4.761925460062291824e-10, 8.717413564130588558e-10, 9.944639590283766514e-10
1.935000000000000000e+03, 8.847464565332529850e-10, 1.358020648447313780e-09, 5.901857204525874947e-10, 1.062078137934643855e-09, 6.952153037252817715e-10
1.936000000000000000e+03, 8.558636900221083429e-10, 1.286765932550432912e-09, 4.791111749455859656e-10, 7.840028057924617395e-10, 7.288000911811726526e-10
1.937000000000000000e+03, 9.193276043833762998e-10, 1.304820182851617505e-09, 3.234716033817722321e-10, 6.673448681131379240e-10, 7.268298262807679010e-10
1.938000000000000000e+03, 1.112699564394220606e-09, 1.103695077655622313e-09, 5.712825492010740183e-10, 8.888525337937815610e-10, 7.448134239224003743e-10
1.939000000000000000e+03, 8.570474417152684190e-10, 1.177086703765319839e-09, 5.386696756434542464e-10, 9.811296653163564236e-10, 8.855203741524816778e-10
1.940000000000000000e+03, 9.510717072652106882e-10, 1.233190669282288309e-09, 4.739151006745410181e-10, 6.774810140306009781e-10, 8.925142444423515795e-10
1.941000000000000000e+03, 9.364936320552832380e-10, 1.259082412877041024e-09, 5.145936342461442328e-10, 1.117854306376071682e-09, 9.697306244961914959e-10
1.942000000000000000e+03, 1.064997010245094506e-09, 1.031309421997740575e-09, 5.400769691682862372e-10, 1.508004472857714238e-09, 1.016052895784386211e-09
1.943000000000000000e+03, 8.505367012225668697e-10, 1.155186244500474046e-09, 4.938753918547150125e-10, 9.943384068382289266e-10, 9.324264314785068396e-10
1.944000000000000000e+03, 8.487685920859629566e-10, 1.282360911238087572e-09, 5.126703058221776824e-10, 1.031177621562728945e-09, 8.229122917825636432e-10
1.945000000000000000e+03, 1.060623058614402978e-09, 1.411395657738923311e-09, 4.762842922126633839e-10, 9.229969082632878834e-10, 9.825408630768801706e-10
1.946000000000000000e+03, 1.052456418758963431e-09, 1.323930595927708349e-09, 5.406789141260497310e-10, 1.495142994251463038e-09, 9.105142000387066625e-10
1.947000000000000000e+03, 9.609437726556108668e-10, 1.266072198417152293e-09, 4.603026905268661689e-10, 1.055748501275292823e-09, 8.570593502683703076e-10
1.948000000000000000e+03, 9.215184877789005616e-10, 1.162275107937221010e-09, 4.485407096259643259e-10, 1.395035245712522820e-09, 8.297014969320387049e-10
1.949000000000000000e+03, 8.369876009920286942e-10, 1.263260087795091995e-09, 4.833168079130018061e-10, 1.448564993543885461e-09, 9.271516351255857583e-10
1.950000000000000000e+03, 8.900010740509540308e-10, 1.235738811276148801e-09, 6.679599265990457075e-10, 1.082125428634550604e-09, 8.804398272840741360e-10
1.951000000000000000e+03, 9.752708148357327820e-10, 1.157493578640707463e-09, 4.939497718011026981e-10, 1.322931191981013430e-09, 9.067604453301216787e-10
1.952000000000000000e+03, 1.065617650538837820e-09, 8.999730685647110169e-10, 5.791369194954497685e-10, 1.156837879394122022e-09, 1.042009991994491027e-09
1.953000000000000000e+03, 1.030855883751941689e-09, 1.276160125624178811e-09, 4.592569641361297898e-10, 9.592998257761912683e-10, 9.338378861769892357e-10
1.954000000000000000e+03, 8.156725519886592624e-10, 1.207326849681636624e-09, 5.719772140477453621e-10, 1.067410329281264585e-09, 9.900039893971037069e-10
1.955000000000000000e+03, 9.911227925471062472e-10, 1.042255005874656910e-09, 4.814606406798169051e-10, 9.722116605994737626e-10, 7.688148179615322062e-10
1.956000000000000000e+03, 1.065202741868646093e-09, 1.052575490776113034e-09, 3.733726430288043220e-10, 6.527950130312387802e-10, 7.019853633128843909e-10
1.957000000000000000e+03, 9.392956724300713492e-10, 1.090042623253185936e-09, 4.638526414885262772e-10, 1.219699296504361636e-09, 6.250146415978666361e-10
1.958000000000000000e+03, 8.858704684363938132e-10, 9.729310566613671501e-10, 5.420316339138755454e-10, 1.106251444504607844e-09, 7.742976785897369910e-10
1.959000000000000000e+03, 1.016830078313796910e-09, 9.587315156130558990e-10, 4.786115868252450487e-10, 9.810210155461427554e-10, 8.172492844307545323e-10
1.960000000000000000e+03, 8.213554745109847286e-10, 8.938741346953096245e-10, 4.489435378868345737e-10, 7.552816449913095254e-10, 8.470157865565336529e-10
1.961000000000000000e+03, 6.281740748341205804e-10, 1.180343244064708702e-09, 3.940627153347656073e-10, 6.601565732189785709e-10, 6.299095246298543598e-10
1.962000000000000000e+03, 1.089939995119319708e-09, 1.007036814824494656e-09, 4.345520893092554035e-10, 8.462173342215676413e-10, 5.902183342994386964e-10
1.963000000000000000e+03, 9.928880990744389562e-10, 1.240172287279781954e-09, 5.584153057515434175e-10, 8.463260796060679759e-10, 7.124704991724972788e-10
1.964000000000000000e+03, 1.182061547278584086e-09, 1.073747645960316462e-09, 3.534594027796409827e-10, 8.686507068362084365e-10, 5.893117223385734038e-10
1.965000000000000000e+03, 1.055607236631364389e-09, 9.851147934780090568e-10, 4.969559225199095045e-10, 7.567480686537300343e-10, 5.158133043901276331e-10
1.966000000000000000e+03, 7.805748558970881699e-10, 1.196596729800089983e-09, 5.223969431023430504e-10, 8.545018184025085145e-10, 7.943645789900621722e-10
1.967000000000000000e+03, 7.582030492872619636e-10, 1.428180155037274715e-09, 4.550942425195392004e-10, 8.513047029040592796e-10, 6.082981559251933567e-10
1.968000000000000000e+03, 9.801791420777460894e-10, 1.000056102285297741e-09, 4.099591739744619361e-10, 8.927262224948234550e-10, 9.846852724197635022e-10
1.969000000000000000e+03, 9.515391839583730130e-10, 1.234191551432654418e-09, 4.613815469773688120e-10, 1.093633910980104514e-09, 7.315851207664801648e-10
1.970000000000000000e+03, 7.625260939312429733e-10, 1.363075536645228815e-09, 4.143368543629160270e-10, 6.638036146906324838e-10, 5.707265448613966526e-10
1.971000000000000000e+03, 9.593114558776614164e-10, 9.442500109550209259e-10, 3.765632715346089731e-10, 7.929925713796983232e-10, 7.223354366012584447e-10
1.972000000000000000e+03, 7.536286911512324103e-10, 1.018614157186283298e-09, 5.278527637529109770e-10, 8.623713942286478759e-10, 6.938469662668622240e-10
1.973000000000000000e+03, 9.591041671792563041e-10, 1.189874044672116228e-09, 4.371792472935705040e-10, 7.668767617513580615e-10, 5.198824038973177122e-10
1.974000000000000000e+03, 1.011396715223761030e-09, 1.039914733358495519e-09, 4.060682085677404017e-10, 7.810574604221313042e-10, 7.807943457371837433e-10
