year, CESM2-WACCM, INM-CM5-0, CNRM-ESM2-1, UKESM1-0-LL, ACCESS-ESM1-5, NorESM2-LM, CMCC-CM2-SR5, NorESM2-MM, TaiESM1, CanESM5, MIROC-ES2L, EC-Earth3-Veg, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM4-8, GFDL-ESM4
1.885000000000000000e+03, 2.018522073159452646e+00, 2.180362348243007897e+00, 2.243085733747499422e+00, 2.048428390072559058e+00, 2.356391036171729514e+00, 1.947868299959502947e+00, 2.177903214378948071e+00, 1.927416079334613785e+00, 2.223685389318920791e+00, 2.160668498850293329e+00, 2.340682208340122639e+00, 2.044242583956459303e+00, 2.476024449706265340e+00, 2.104244978611474526e+00, 2.035293092143886540e+00, 2.358200167156219607e+00
1.886000000000000000e+03, 1.944246628309032277e+00, 2.163815995482343268e+00, 2.229787882974717750e+00, 2.169339141682153915e+00, 2.355402482135517950e+00, 1.982765197104796373e+00, 2.127502000791243741e+00, 1.922891892167488903e+00, 2.060111571931044772e+00, 2.184801645214592636e+00, 2.364122802444552640e+00, 2.033438482381272117e+00, 2.471262823402400777e+00, 2.083554107348569051e+00, 2.070821051464953211e+00, 2.311862575256398156e+00
1.887000000000000000e+03, 2.164784371420481079e+00, 2.138760151894219863e+00, 2.162597816542501938e+00, 2.110109106974811244e+00, 2.509047961024464701e+00, 2.044847050886667184e+00, 2.136644037310416078e+00, 1.995370794523889657e+00, 2.035091296198813904e+00, 2.144650853041065730e+00, 2.315498428766258332e+00, 2.039458292868929323e+00, 2.532979749656384616e+00, 2.151199239144848896e+00, 2.106229839733717135e+00, 2.342668025167251145e+00
1.888000000000000000e+03, 1.962029665640345755e+00, 2.165739697168550304e+00, 2.210878605302000643e+00, 2.223818118253368503e+00, 2.421626690821184091e+00, 1.914755591933493095e+00, 2.040025443306191288e+00, 1.995697124885272178e+00, 2.147360263399423541e+00, 2.073658214074273420e+00, 2.298813724748211662e+00, 1.966157087807065773e+00, 2.461981377508535740e+00, 2.117215503858277614e+00, 2.116751597515306393e+00, 2.368818036239494607e+00
1.889000000000000000e+03, 2.031484055095968966e+00, 2.207017314553302523e+00, 2.280944781880173355e+00, 2.078481092399647956e+00, 2.436865373988829742e+00, 1.992387660673496041e+00, 2.067899113197814831e+00, 1.997369257709163515e+00, 2.070932589467944673e+00, 2.177233281620858385e+00, 2.286489008892801156e+00, 2.027241468767484900e+00, 2.534638019395826447e+00, 2.220652050492276874e+00, 2.136056619622417330e+00, 2.295459947697398473e+00
1.890000000000000000e+03, 1.977436466025048523e+00, 2.215637371126149446e+00, 2.154004773721935884e+00, 2.167216677765348543e+00, 2.383523797394567101e+00, 1.982657414972025745e+00, 2.081106810397412410e+00, 1.935822612128665909e+00, 2.080828142249378399e+00, 2.110553850150668431e+00, 2.236938939619836031e+00, 2.047152250737971801e+00, 2.503021152158459106e+00, 2.127197701345553860e+00, 2.171762560056451630e+00, 2.410004339682168428e+00
1.891000000000000000e+03, 1.920789111621598710e+00, 2.178919391495818925e+00, 2.230873145086991194e+00, 2.241641618196377195e+00, 2.359938133017279505e+00, 1.902783431640483247e+00, 2.076498703756668451e+00, 1.905540941418192968e+00, 2.183809398414743974e+00, 2.172482320196239325e+00, 2.297101341403693375e+00, 1.966088420860358843e+00, 2.488033721354461658e+00, 2.128406081495914925e+00, 2.076830076434642791e+00, 2.319518322851871428e+00
1.892000000000000000e+03, 1.848055097920589862e+00, 2.203401287376728135e+00, 2.188485253733797098e+00, 2.198310611269204351e+00, 2.309340007846237164e+00, 1.991215884104502232e+00, 2.133371240329838603e+00, 1.865845752750423303e+00, 1.993468650427143718e+00, 2.207549229209048836e+00, 2.321589985905997189e+00, 2.040003040799056144e+00, 2.476832275761985613e+00, 2.115375052372499454e+00, 2.218016106392969533e+00, 2.426283797991268809e+00
1.893000000000000000e+03, 2.062886446763495307e+00, 2.137317330931278736e+00, 2.180440450032530286e+00, 2.038997709176850304e+00, 2.401967433982287847e+00, 1.895577615983971231e+00, 2.248153193023556984e+00, 1.888087295212440564e+00, 2.047710713864115295e+00, 2.156569497717105488e+00, 2.301888195422967076e+00, 2.059537978720186402e+00, 2.503845752535251101e+00, 2.236930476490273545e+00, 2.172461723407679735e+00, 2.379075799586803264e+00
1.894000000000000000e+03, 2.002145983719944677e+00, 2.098968038470624631e+00, 2.279307876519294229e+00, 2.029213605899003792e+00, 2.374710698641289142e+00, 2.056051438134962162e+00, 2.270401652375731327e+00, 1.872596974738867326e+00, 2.145499674223358522e+00, 2.065220135401972357e+00, 2.358464340775412893e+00, 1.995812765050070992e+00, 2.494037452418522705e+00, 2.240501962797378344e+00, 2.059675900416487959e+00, 2.372156285178394164e+00
