year, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, NorESM2-MM, NorESM2-LM
1.867000000000000000e+03, 7.464209471333509788e-10, 2.309306465232229593e-10, 4.964737779110367661e-10, 2.576738186400370162e-10, 1.115135671500014449e-10
1.868000000000000000e+03, 6.408807117399539691e-10, 3.424509787678660497e-10, 4.301960004108135541e-10, 1.731467850771334708e-10, 5.644390671009874848e-11
1.869000000000000000e+03, 8.083859300632082852e-10, 2.841609665243398960e-10, 4.531914270697733996e-10, 1.989999118991444645e-10, 1.040314453164715367e-10
1.870000000000000000e+03, 6.428073498165302640e-10, 2.868629784380615969e-10, 3.705785657077778604e-10, 1.066568440302729465e-10, 9.938949644179298912e-11
1.871000000000000000e+03, 7.489513108746053871e-10, 2.382747066049256710e-10, 5.802796770412999642e-10, 2.289813833835153868e-10, 8.769795627967134289e-11
1.872000000000000000e+03, 8.232406017892749285e-10, 2.276639475025277344e-10, 4.229738727271023051e-10, 2.152573264168620989e-10, 1.190687143270515783e-10
1.873000000000000000e+03, 9.583432428766518747e-10, 1.992711026788520102e-10, 4.196897165681763439e-10, 1.849436264716993527e-10, 1.335335713029336801e-10
1.874000000000000000e+03, 4.872683272170365651e-10, 2.370918939997514065e-10, 5.056886234928463329e-10, 1.450770783152720174e-10, 1.196380985626548836e-10
1.875000000000000000e+03, 6.194643395096746786e-10, 2.895679165238230576e-10, 4.756595811325494110e-10, 1.790362316062428279e-10, 1.443248446721402410e-10
1.876000000000000000e+03, 7.602599653647958196e-10, 2.446232254548529944e-10, 4.675385118507410382e-10, 1.395294213436208596e-10, 1.009045457429982366e-10
1.877000000000000000e+03, 7.496956701900883291e-10, 2.204645189288663819e-10, 4.038586483796496220e-10, 1.057486363055211991e-10, 9.876620620758231160e-11
1.878000000000000000e+03, 6.634728125994308860e-10, 2.828560033574825864e-10, 5.391766414381118291e-10, 1.483623303967158795e-10, 9.130727342839664725e-11
1.879000000000000000e+03, 5.604835410046000629e-10, 2.161296858873826625e-10, 5.028775158143920057e-10, 1.817934568364355532e-10, 7.789280829231802313e-11
1.880000000000000000e+03, 6.120119446895350438e-10, 2.372710512656874314e-10, 3.899436461615290876e-10, 2.295480785691173870e-10, 8.092576342586533255e-11
1.881000000000000000e+03, 5.138949848987881940e-10, 2.087913554771187311e-10, 4.884003573275865874e-10, 1.721253401196543406e-10, 1.481345123543240596e-10
1.882000000000000000e+03, 6.151244742638520834e-10, 2.416731243646454328e-10, 3.994406053580567340e-10, 3.188765293458789504e-10, 1.831884989961729801e-10
1.883000000000000000e+03, 6.627358941209818841e-10, 2.990354221856114091e-10, 5.204293869848489152e-10, 2.849272406741562074e-10, 1.233963284428534829e-10
1.884000000000000000e+03, 6.001269234552823165e-10, 2.471906374384825758e-10, 4.465223388514378055e-10, 2.217477673440549128e-10, 1.087517810359127570e-10
1.885000000000000000e+03, 6.841775513363110589e-10, 2.256157583245339857e-10, 4.376142718004172792e-10, 2.103433861338556048e-10, 1.512530131180792526e-10
1.886000000000000000e+03, 5.486660570034479173e-10, 2.721183589458542846e-10, 6.644747314889710732e-10, 1.981722533013623965e-10, 1.038469249360891800e-10
1.887000000000000000e+03, 6.060538767832736898e-10, 1.957836649006440383e-10, 4.427618771793144513e-10, 1.818859360963794512e-10, 1.093537487604796577e-10
1.888000000000000000e+03, 5.215381115264300894e-10, 2.268949745065443075e-10, 4.733832379446259896e-10, 2.405965616654472092e-10, 9.871556653287062515e-11
1.889000000000000000e+03, 7.067508766788187166e-10, 2.317145508757055056e-10, 3.956096438265902886e-10, 1.097608554900429656e-10, 1.262482592289792972e-10
1.890000000000000000e+03, 5.823406757178263897e-10, 2.274772087140516082e-10, 4.760174908762549247e-10, 1.226331333179251493e-10, 1.307329787892266942e-10
1.891000000000000000e+03, 7.735471206265254904e-10, 2.614278030340871830e-10, 5.225847893992510902e-10, 1.681824096346339257e-10, 1.401591947013635694e-10
1.892000000000000000e+03, 5.923642412410079855e-10, 2.563095302197370577e-10, 4.208883665270484997e-10, 2.930952479688948534e-10, 1.489430811346482724e-10
1.893000000000000000e+03, 6.641318320337298753e-10, 2.107670276824791768e-10, 4.541543366505969895e-10, 1.889339271466449692e-10, 1.227825898273199957e-10
1.894000000000000000e+03, 6.043744726191386907e-10, 1.826484454158764118e-10, 4.509970763735008286e-10, 2.091782391514251496e-10, 1.507175957238150491e-10
1.895000000000000000e+03, 5.725354355241382414e-10, 2.637611066351663830e-10, 3.688348600007908834e-10, 1.722119247528128279e-10, 1.920458930518861182e-10
1.896000000000000000e+03, 6.398446733845809661e-10, 2.253569957452387713e-10, 3.669180119713119553e-10, 1.148195016690276863e-10, 1.215573550302413061e-10
1.897000000000000000e+03, 6.733937106029660405e-10, 2.633299912052579008e-10, 5.414374041218571660e-10, 2.765819948289744478e-10, 2.221589053575123654e-10
1.898000000000000000e+03, 5.355228123629273781e-10, 2.257281949148592856e-10, 6.239935679969200189e-10, 2.034081659364314928e-10, 3.125451825656606829e-10
1.899000000000000000e+03, 5.170529164586412416e-10, 2.156975790459429494e-10, 4.865849320091005558e-10, 1.997601609498388365e-10, 1.596226639750765572e-10
1.900000000000000000e+03, 5.445777378557459773e-10, 1.996248502298391896e-10, 3.956840397695304497e-10, 1.407155944523929183e-10, 2.033676711367979900e-10
1.901000000000000000e+03, 9.820883433712348830e-10, 2.396062905210768734e-10, 3.800972617157182836e-10, 2.104705219725551833e-10, 1.506239446890709133e-10
1.902000000000000000e+03, 7.264274920734665814e-10, 2.338448685645467188e-10, 3.990992101806825538e-10, 1.749875744231520650e-10, 1.107997257423216504e-10
1.903000000000000000e+03, 7.358211598167100589e-10, 1.927858974460630040e-10, 3.440197972440436880e-10, 1.221453109818557679e-10, 8.600119795339012416e-11
1.904000000000000000e+03, 6.188678382957935414e-10, 2.284482659743836810e-10, 5.334812714185116361e-10, 1.586389495206947523e-10, 1.202120568477407185e-10
1.905000000000000000e+03, 7.718749170656637756e-10, 1.992032358105841456e-10, 4.447290881488088250e-10, 2.584347398860338234e-10, 1.024945588960925196e-10
1.906000000000000000e+03, 8.127142855042357975e-10, 2.431643724499483392e-10, 4.153736784619426834e-10, 2.079285141463209944e-10, 1.068060599942764831e-10
1.907000000000000000e+03, 9.887970156491103168e-10, 2.205817428554955088e-10, 3.993439663103132551e-10, 1.758871723239180039e-10, 9.613945511313411834e-11
1.908000000000000000e+03, 9.818301025463445531e-10, 2.271090555759798018e-10, 3.459140535651173654e-10, 1.697023009009504690e-10, 9.206479672986645115e-11
1.909000000000000000e+03, 5.331000490538697452e-10, 2.142968821541762774e-10, 4.535169217296325224e-10, 1.753623882786997516e-10, 8.771160367328164465e-11
1.910000000000000000e+03, 5.662844833931127956e-10, 2.319798459576425477e-10, 3.761833806664729126e-10, 1.511394805402433853e-10, 8.620675363408612794e-11
1.911000000000000000e+03, 5.956798068038411519e-10, 2.590293603754376620e-10, 4.132496006196717282e-10, 1.134428211864570353e-10, 1.011731934791531840e-10
1.912000000000000000e+03, 6.594024054796621634e-10, 2.546622725938396267e-10, 3.914159176809112657e-10, 1.148641605279661484e-10, 9.337819829713910732e-11
1.913000000000000000e+03, 5.588238295323097453e-10, 2.132384395045241472e-10, 5.261841744215015439e-10, 1.862732623270850788e-10, 1.388591814203768432e-10
1.914000000000000000e+03, 6.134343390195675509e-10, 2.334288194636654024e-10, 4.897320801454215412e-10, 1.071335753587154529e-10, 1.594331108796155247e-10
1.915000000000000000e+03, 6.198223290696394362e-10, 2.295368531975142406e-10, 4.462250066270400686e-10, 1.072896124761020456e-10, 1.047755915968873844e-10
1.916000000000000000e+03, 6.617206436625720390e-10, 2.148340212296990969e-10, 3.832420413472567752e-10, 1.271075310921120840e-10, 1.583429893810391007e-10
1.917000000000000000e+03, 6.129116932467467566e-10, 2.280641940980057448e-10, 3.735254767673002850e-10, 1.876781768263337852e-10, 1.715845812014809233e-10
1.918000000000000000e+03, 6.575246415430915883e-10, 2.301592363595962032e-10, 3.377446402472166826e-10, 1.387471202408204043e-10, 1.035617926202952865e-10
1.919000000000000000e+03, 6.784563952883271622e-10, 2.197388130522304216e-10, 3.817305819324623796e-10, 1.505400718233113978e-10, 1.167326811741337816e-10
1.920000000000000000e+03, 4.838146952903324692e-10, 2.333410491520399036e-10, 4.386612280551174467e-10, 2.222195670851313590e-10, 1.259042755216611612e-10
1.921000000000000000e+03, 6.400432603875156496e-10, 2.471410804043301119e-10, 4.100940705470295443e-10, 2.755316742604795377e-10, 1.077841541839844155e-10
1.922000000000000000e+03, 7.228852600876997062e-10, 2.243486910098050952e-10, 4.257602811215967771e-10, 2.222694451141903268e-10, 1.356917293521662603e-10
1.923000000000000000e+03, 5.647229288455116842e-10, 2.025084591276756404e-10, 4.222074725445814096e-10, 1.576489003935579351e-10, 1.380902296578507518e-10
1.924000000000000000e+03, 5.582328577488525368e-10, 2.085894819663537810e-10, 4.468371930076507551e-10, 1.627201802502895071e-10, 1.594050087621615111e-10
1.925000000000000000e+03, 8.785046147860566610e-10, 2.732442311459036977e-10, 3.723137731429974058e-10, 2.357573801209551912e-10, 1.435359841014137498e-10
1.926000000000000000e+03, 4.637329351349723583e-10, 2.229735994441139914e-10, 3.800848792881557333e-10, 1.821812742884971361e-10, 1.956316217871819832e-10
1.927000000000000000e+03, 4.819964220037730346e-10, 1.858212307987327439e-10, 3.826769654204066263e-10, 2.201362075593051665e-10, 1.339042885044038981e-10
1.928000000000000000e+03, 6.586348040510338244e-10, 2.391647465732497783e-10, 4.660737310069438077e-10, 2.060087363173072732e-10, 1.283765346779909404e-10
1.929000000000000000e+03, 4.467955947583412724e-10, 2.211690949520167244e-10, 5.060168150005228341e-10, 2.123373320395491318e-10, 1.278270579514475814e-10
1.930000000000000000e+03, 6.440264873168051526e-10, 1.894539202084586038e-10, 4.923367140884103880e-10, 2.033112058828023933e-10, 1.473404403471821535e-10
1.931000000000000000e+03, 7.736227464129896003e-10, 2.046780284499649890e-10, 3.017735606922536208e-10, 2.469389962290175586e-10, 1.820506863201331685e-10
1.932000000000000000e+03, 4.754970015098536376e-10, 2.298726602246259239e-10, 3.966417254686673717e-10, 1.643284236228017739e-10, 2.059875380491209492e-10
1.933000000000000000e+03, 7.056770613466376510e-10, 2.342966142048033845e-10, 4.136768267262478562e-10, 1.659156591106146649e-10, 1.632962253537817677e-10
1.934000000000000000e+03, 6.819899575573331354e-10, 2.102919006003846359e-10, 3.394216197391618617e-10, 3.192143941882923301e-10, 1.808149735997981120e-10
1.935000000000000000e+03, 8.620540843431817172e-10, 2.193249579655217979e-10, 4.338448400805621962e-10, 1.358673456730905684e-10, 1.475125980701990480e-10
1.936000000000000000e+03, 4.666914913623673868e-10, 1.982202644261208119e-10, 3.823375275201374978e-10, 1.687479498384571110e-10, 1.810248878909940514e-10
1.937000000000000000e+03, 7.075257810109183698e-10, 1.906845355243199294e-10, 4.685743563404429036e-10, 1.483906630820094185e-10, 2.013456346072028190e-10
1.938000000000000000e+03, 6.178009664467664305e-10, 2.121772631761433950e-10, 5.416338490412045161e-10, 2.024013908818526835e-10, 2.152587983214657596e-10
1.939000000000000000e+03, 5.784415114697583204e-10, 2.034210369916868135e-10, 3.789406100318030933e-10, 2.003783495590744775e-10, 1.512590864811451698e-10
1.940000000000000000e+03, 5.883657667550113837e-10, 2.077323264117565775e-10, 3.794061846551840228e-10, 2.619455250943853203e-10, 1.406771036782741571e-10
1.941000000000000000e+03, 5.706004920795479681e-10, 2.329098400805747182e-10, 4.104593098385628557e-10, 4.154019647248931684e-10, 2.281501644400077663e-10
1.942000000000000000e+03, 5.846090654721752514e-10, 2.060220748276296924e-10, 4.207168407075890178e-10, 3.734881031778961165e-10, 1.895117381943550887e-10
1.943000000000000000e+03, 5.033908154527827100e-10, 2.190641569434216536e-10, 3.482267993960601934e-10, 2.306841446665044876e-10, 2.392027318408314885e-10
1.944000000000000000e+03, 5.150930749629288407e-10, 2.125207279381729928e-10, 4.289091146298382348e-10, 2.562960007543450857e-10, 2.520812756646358122e-10
1.945000000000000000e+03, 4.640025550559822480e-10, 2.373825502194637834e-10, 3.538929286106522214e-10, 2.953949611978614101e-10, 2.395776172720801526e-10
1.946000000000000000e+03, 4.036144508705158676e-10, 2.158118553724274923e-10, 3.784808736402144791e-10, 3.422746250553811625e-10, 2.063090708387243081e-10
1.947000000000000000e+03, 4.074141317946585384e-10, 1.845023549274502682e-10, 3.991571603012852449e-10, 2.330034450232899566e-10, 2.386881273588364716e-10
1.948000000000000000e+03, 4.052872983295340554e-10, 1.738925203144595994e-10, 3.747814897119652590e-10, 3.182765505350524708e-10, 2.003993151659016179e-10
1.949000000000000000e+03, 5.431818415812105490e-10, 2.429590172443787779e-10, 3.687670499738612477e-10, 1.950953913420460711e-10, 1.901636272799261902e-10
1.950000000000000000e+03, 3.604124189707280231e-10, 2.456068094836120808e-10, 4.844495372858605940e-10, 2.703727070456756319e-10, 2.098187666365651161e-10
1.951000000000000000e+03, 5.628514768089019624e-10, 1.977399804399582087e-10, 4.308947834604367233e-10, 4.538663164535511674e-10, 2.526109568417386068e-10
1.952000000000000000e+03, 5.791521193589658836e-10, 2.188628605338587006e-10, 4.155176174898259512e-10, 3.002908690840508126e-10, 2.672253858063529117e-10
1.953000000000000000e+03, 4.357758966143772613e-10, 2.232961719463828838e-10, 4.380269030896455058e-10, 2.706249802910851135e-10, 1.713339203872151151e-10
1.954000000000000000e+03, 5.356126566781727696e-10, 2.116378865510115404e-10, 4.087223122140065155e-10, 2.048526326493284473e-10, 2.066905942993649932e-10
1.955000000000000000e+03, 6.504430493494497659e-10, 1.926696455513013386e-10, 5.830015527426300561e-10, 2.222331229292608237e-10, 2.510913055581197808e-10
1.956000000000000000e+03, 8.049909284257598357e-10, 2.222040521376600749e-10, 4.002725649603922710e-10, 2.241706102231980572e-10, 2.352100375370519208e-10
1.957000000000000000e+03, 5.340413773509878930e-10, 2.558394885774704831e-10, 3.265077225365392357e-10, 2.306569422504119866e-10, 2.378812440057848660e-10
1.958000000000000000e+03, 4.428184651600763684e-10, 2.473519877608143812e-10, 4.467062328436773313e-10, 1.978700988959722893e-10, 2.514908370278183044e-10
1.959000000000000000e+03, 5.565348913476152618e-10, 2.287208823953184729e-10, 4.108862287959921644e-10, 3.341024882899300651e-10, 2.468824352958191950e-10
1.960000000000000000e+03, 4.116357846211139299e-10, 1.844619634357117826e-10, 4.065261863112078865e-10, 2.738015853584130728e-10, 1.318472886285877054e-10
1.961000000000000000e+03, 5.374376149628957608e-10, 1.799686836822841042e-10, 3.917432467055413857e-10, 8.119495303345061770e-11, 6.884570128277341779e-11
1.962000000000000000e+03, 4.964347450877284534e-10, 1.945990536264601395e-10, 4.358377692224720503e-10, 1.744881628293156904e-10, 6.872275743141706122e-11
1.963000000000000000e+03, 4.770080055625489857e-10, 2.201635381635407472e-10, 3.742177826985525801e-10, 8.130520350400676125e-11, 6.034780140988009828e-11
1.964000000000000000e+03, 5.544822419871597491e-10, 1.781892714950139396e-10, 4.383631452673633065e-10, 8.532580384022812485e-11, 4.472400512582014251e-11
1.965000000000000000e+03, 6.320649960101886435e-10, 2.088744819939976551e-10, 4.601976724016788779e-10, 1.116869402106276702e-10, 5.045513545131404185e-11
1.966000000000000000e+03, 6.432520095496788279e-10, 2.027510422296122242e-10, 4.022212834708936881e-10, 1.147397216911202035e-10, 7.776658201069331069e-11
1.967000000000000000e+03, 4.764539331418220892e-10, 1.972566986137493442e-10, 4.365923193601746424e-10, 1.541465887875961690e-10, 7.657107909827799697e-11
1.968000000000000000e+03, 3.443332062443825415e-10, 1.850337002071775916e-10, 3.886153228649400363e-10, 1.020942283364291193e-10, 5.645680718461645366e-11
1.969000000000000000e+03, 4.283928930529596082e-10, 1.986203608831367533e-10, 3.855199318701364339e-10, 1.089043433705834670e-10, 5.566167812741277932e-11
1.970000000000000000e+03, 3.886547959127331687e-10, 2.055657130666987727e-10, 3.733246598443464627e-10, 1.056690519480999523e-10, 5.288507851192973148e-11
1.971000000000000000e+03, 6.590094663096610815e-10, 2.123619683944876841e-10, 4.716561002329649768e-10, 1.131653887510486364e-10, 1.259561818997927332e-10
1.972000000000000000e+03, 3.777949921316204955e-10, 2.318768020972540355e-10, 4.038283275035366983e-10, 2.368179793053738009e-10, 1.154915214212616431e-10
1.973000000000000000e+03, 4.377094715802386538e-10, 2.264378264643676097e-10, 4.445582009940062003e-10, 1.339883973342457908e-10, 1.221662949684398189e-10
1.974000000000000000e+03, 5.445420737926019964e-10, 2.225400766662634617e-10, 4.777969758852922340e-10, 1.288910654596133378e-10, 1.208233786378844145e-10
1.975000000000000000e+03, 6.139503844400364584e-10, 1.766234703733747556e-10, 3.916189451002422887e-10, 1.710564159342047107e-10, 9.611090969692783494e-11
1.976000000000000000e+03, 5.213209753097778113e-10, 2.216825926469177178e-10, 4.253011861386796413e-10, 1.752362206776474730e-10, 1.177588920523558759e-10
1.977000000000000000e+03, 3.888553562642006828e-10, 2.424407096849522383e-10, 3.706512093743845569e-10, 1.421657635281844207e-10, 1.474825252211065874e-10
1.978000000000000000e+03, 4.686627761485560676e-10, 2.748298423528856619e-10, 3.735568077384953986e-10, 1.600574355324906565e-10, 1.189346114892244728e-10
1.979000000000000000e+03, 6.123440981469910829e-10, 2.236585483755285420e-10, 4.482128960611107728e-10, 1.799517460105076973e-10, 1.111620678331634724e-10
1.980000000000000000e+03, 1.102265336669157792e-09, 2.402651390007435381e-10, 4.123507329965646732e-10, 1.526418733334404254e-10, 1.066035854245781669e-10
1.981000000000000000e+03, 4.862169368440716836e-10, 2.590572037275800044e-10, 5.079714960378785025e-10, 1.402515883890506939e-10, 1.378449619454504055e-10
1.982000000000000000e+03, 5.648574656782291967e-10, 1.809826016711062363e-10, 4.007916185308727911e-10, 1.266519618698920944e-10, 1.317771527217651225e-10
1.983000000000000000e+03, 5.312504309915404214e-10, 1.887715621050968331e-10, 3.682471881557083753e-10, 1.791442030694507734e-10, 1.711044707975201044e-10
1.984000000000000000e+03, 3.733900744085109714e-10, 2.205254469046977835e-10, 4.495520077615352390e-10, 1.452292028076452855e-10, 1.470820441072650998e-10
1.985000000000000000e+03, 5.167988594659173985e-10, 2.765388230329451640e-10, 4.061527145701394498e-10, 1.571765356554737277e-10, 1.243314079484776957e-10
1.986000000000000000e+03, 4.702989292280946043e-10, 2.177190783407341990e-10, 5.223062602165646893e-10, 1.683346126681151784e-10, 1.869951772285532619e-10
1.987000000000000000e+03, 7.884769017245900947e-10, 1.932284272940705574e-10, 5.682916901674567077e-10, 1.793273789615126903e-10, 1.396184820482300268e-10
1.988000000000000000e+03, 5.223599200904220066e-10, 2.072498704669654771e-10, 4.289351439420007924e-10, 1.854667217908807164e-10, 1.118854913857995344e-10
1.989000000000000000e+03, 7.229173559483731459e-10, 2.075614194820127254e-10, 5.590920385397607649e-10, 1.503353857229861117e-10, 8.624640813503757781e-11
1.990000000000000000e+03, 5.715768060127524205e-10, 2.173987577187349530e-10, 5.910228360964942895e-10, 1.273437264763932854e-10, 1.434866382549918637e-10
1.991000000000000000e+03, 5.101632400257835124e-10, 1.775887092405808044e-10, 5.212432051415531014e-10, 1.383138680398176784e-10, 9.946150405359105493e-11
1.992000000000000000e+03, 5.884745000491669156e-10, 1.887293000863302948e-10, 5.853443769722255544e-10, 1.218307541514862287e-10, 1.153273306585238630e-10
1.993000000000000000e+03, 4.725848152045571955e-10, 2.476040050580139067e-10, 5.184433186859807119e-10, 1.055433270237436567e-10, 1.030794955518836541e-10
1.994000000000000000e+03, 4.380960490623447111e-10, 2.256101508700059302e-10, 4.214090678947680473e-10, 9.687880290289744203e-11, 7.618668751569796360e-11
1.995000000000000000e+03, 6.848161460693179987e-10, 2.800788288217348682e-10, 5.956974400853525191e-10, 8.394084268795848135e-11, 8.736936896116789827e-11
1.996000000000000000e+03, 3.734711020931145650e-10, 2.096293165774341030e-10, 4.261900053236112279e-10, 9.121432920770315084e-11, 7.454076781087992517e-11
1.997000000000000000e+03, 4.003835176006491359e-10, 1.878511697032487933e-10, 4.603603546956472998e-10, 1.516000740548989717e-10, 9.263348516966277923e-11
1.998000000000000000e+03, 4.834222992646952486e-10, 2.275357795415282603e-10, 4.090540535660814972e-10, 1.444627170913776302e-10, 1.100458226855664282e-10
1.999000000000000000e+03, 5.100319284033373736e-10, 2.038706976262938275e-10, 4.873337873191140866e-10, 1.321681690622939546e-10, 7.521367016922783134e-11
2.000000000000000000e+03, 4.433299490266233236e-10, 2.748715602701578849e-10, 4.512296023694953937e-10, 1.230872957905470652e-10, 6.978062382743495252e-11
2.001000000000000000e+03, 4.765189532838704299e-10, 2.520127821111209175e-10, 4.636721156783324852e-10, 2.036915074271006155e-10, 8.840706277896164898e-11
2.002000000000000000e+03, 6.410151626635592846e-10, 2.361570957256663439e-10, 5.413939115724172750e-10, 1.748850592469630185e-10, 7.940211507172475788e-11
2.003000000000000000e+03, 4.179579693948145802e-10, 2.299454054038852240e-10, 5.309856746592652911e-10, 1.876877648904231734e-10, 2.801332063712495630e-10
2.004000000000000000e+03, 5.741436727765031282e-10, 1.984417444604494551e-10, 5.779056965891002686e-10, 6.699796980665488675e-11, 8.010614654283796849e-11
2.005000000000000000e+03, 4.374115623793722759e-10, 2.810931461403509938e-10, 5.414635189744276396e-10, 2.544489581753400242e-10, 7.660433744939973229e-11
2.006000000000000000e+03, 4.402940686028822481e-10, 2.812964245978054491e-10, 5.529545350218985483e-10, 1.528683214308924605e-10, 4.554450923086765710e-11
2.007000000000000000e+03, 6.153132210543251230e-10, 2.396155138954197916e-10, 5.021558636182625495e-10, 1.585485546022144372e-10, 1.210422823834625937e-10
2.008000000000000000e+03, 6.640627429450241474e-10, 2.265108137582770095e-10, 4.758856249847309168e-10, 1.510337618014846223e-10, 8.731589621312326383e-11
2.009000000000000000e+03, 4.721453001871318490e-10, 2.623748843905275249e-10, 5.627766304752132720e-10, 1.169981940719772900e-10, 1.146056231280994441e-10
2.010000000000000000e+03, 5.383799114863457138e-10, 2.189978917627257401e-10, 6.041330020428918737e-10, 1.089840264552250520e-10, 6.164549080175456292e-11
2.011000000000000000e+03, 4.559641778456681209e-10, 2.308594550026349776e-10, 5.156804710297979314e-10, 1.292090367098924745e-10, 1.221400920880957490e-10
2.012000000000000000e+03, 4.616484520634193833e-10, 2.340615377101081566e-10, 4.619588053379209372e-10, 1.389142746912324581e-10, 7.517547393993418011e-11
2.013000000000000000e+03, 6.051581435482131511e-10, 2.285445920921306864e-10, 6.955556413664817346e-10, 1.307065761289935638e-10, 7.201962188787088783e-11
2.014000000000000000e+03, 8.736199981951699979e-10, 2.496614143195282861e-10, 5.020972955019552185e-10, 9.768623598185649048e-11, 7.242868942360248896e-11
