year, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL
1.979000000000000000e+03, -1.441551663063478497e-09, 1.398119269670383655e-10, 5.559016110930822922e-11, 5.833017625939883819e-10
1.980000000000000000e+03, -1.565360261524225428e-09, 1.429310279291711510e-10, 5.409760275540426175e-11, 5.663634173861232549e-10
1.981000000000000000e+03, -1.513896155359493778e-09, 1.510316792717097422e-10, 6.505076167015880787e-11, 6.260501183811492675e-10
1.982000000000000000e+03, -1.523014292662322966e-09, 1.514884495806350251e-10, 6.541242682213720341e-11, 6.506663380598443780e-10
1.983000000000000000e+03, -1.542076916555645618e-09, 1.519247914342678670e-10, 6.627039904232591293e-11, 6.093689760266840857e-10
1.984000000000000000e+03, -1.499086835552354098e-09, 1.546703289781145038e-10, 6.656887357028615225e-11, 5.996229154900260363e-10
1.985000000000000000e+03, -1.374784970583595666e-09, 1.580583285920126336e-10, 6.661499666910827653e-11, 4.772696424133663313e-10
1.986000000000000000e+03, -1.434660998403576774e-09, 1.604558256504629820e-10, 6.708556000393724437e-11, 5.398521582256436725e-10
1.987000000000000000e+03, -1.478382340994249898e-09, 1.639283718379066566e-10, 6.745261299142270554e-11, 5.310189478215273872e-10
1.988000000000000000e+03, -1.526814234070125503e-09, 1.668640863907605344e-10, 6.816904587859794633e-11, 5.412716521982177354e-10
1.989000000000000000e+03, -1.514435590189619776e-09, 1.693600809390019556e-10, 6.831482937218615256e-11, 5.370294325121406958e-10
1.990000000000000000e+03, -1.472378613023197744e-09, 1.715389781872996962e-10, 6.822478047811735201e-11, 5.655548378411102259e-10
1.991000000000000000e+03, -1.430878399799956121e-09, 1.777726931108656160e-10, 7.935836016747376030e-11, 5.185340769083012514e-10
1.992000000000000000e+03, -1.440240599387828617e-09, 1.786340599492568887e-10, 7.993771812077037120e-11, 5.105899617702698251e-10
1.993000000000000000e+03, -1.503522568003313456e-09, 1.800941889670831520e-10, 8.102405372453044737e-11, 5.753109689466729960e-10
1.994000000000000000e+03, -1.579025552891367959e-09, 1.812333288932960595e-10, 8.113878938083130049e-11, 5.629255024659422986e-10
1.995000000000000000e+03, -1.520388552177478012e-09, 1.828837953151429075e-10, 8.204546335882830195e-11, 5.644613149976195792e-10
1.996000000000000000e+03, -1.668836376259930987e-09, 1.844094417952746731e-10, 8.202801270985917209e-11, 5.616664631443546664e-10
1.997000000000000000e+03, -1.484677889650745315e-09, 1.858454694978997063e-10, 8.339465411383328129e-11, 5.190481840535125034e-10
1.998000000000000000e+03, -1.500740743415243996e-09, 1.871763709822023293e-10, 8.418127378862987801e-11, 5.924976273197142275e-10
1.999000000000000000e+03, -1.483364000094525617e-09, 1.877434459858524471e-10, 8.536271951310835632e-11, 5.856483544993733898e-10
2.000000000000000000e+03, -1.615373402439084129e-09, 1.884092484753255136e-10, 8.661622585506865059e-11, 6.212331950364295504e-10
2.001000000000000000e+03, -1.463317165570911533e-09, 1.716681720067447191e-10, 6.875783529897059098e-11, 6.078386687464970261e-10
2.002000000000000000e+03, -1.505404051315359905e-09, 1.719736454138203973e-10, 4.302138065017922452e-11, 6.321935835888066218e-10
2.003000000000000000e+03, -1.552140034595669183e-09, 2.163198990268047189e-10, 1.312842410969186038e-10, 5.429076165340154049e-10
2.004000000000000000e+03, -1.472123650203395446e-09, 1.633376568821390537e-10, 5.262678322254873133e-11, 5.695014715234151026e-10
