year, EC-Earth3-Veg, CMCC-ESM2, CNRM-ESM2-1, TaiESM1, NorESM2-LM, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
1.874000000000000000e+03, 3.977748194927409280e-10, 1.314035090401820136e-10, 3.978392417248406002e-10, 1.793386899623967614e-10, 1.648563856124786859e-10, 1.087286136162338557e-10, 1.401431267688020582e-10, 1.366631209898987854e-11, 1.354982070315372459e-10, 1.445413480583516746e-10
1.875000000000000000e+03, 3.950529666882213152e-10, 1.280664511326158221e-10, 4.121899890957799803e-10, 1.823856819579679593e-10, 1.745741501553531811e-10, 1.113224426093630038e-10, 1.540381581137868634e-10, 1.838761495349354105e-11, 1.388866413685099106e-10, 1.465568843370467284e-10
1.876000000000000000e+03, 3.685444712854636003e-10, 1.306859870190186983e-10, 4.262416535616706907e-10, 1.862400233451071591e-10, 1.721001991821751020e-10, 1.133783724720084418e-10, 1.560456377255729791e-10, 2.145161717612390724e-11, 1.424200979853279899e-10, 1.482034129703402648e-10
1.877000000000000000e+03, 3.717765381871561142e-10, 1.346544284833287327e-10, 4.473644242835196331e-10, 1.914358890957835457e-10, 1.715510114680939480e-10, 1.158933034941071497e-10, 1.618180657115573365e-10, 2.477693920316147257e-11, 1.458347898623409527e-10, 1.502788073188030981e-10
1.878000000000000000e+03, 3.695212694863389377e-10, 1.350627229872983816e-10, 4.654970273242499578e-10, 1.939564722418732985e-10, 1.864836670281706591e-10, 1.184882112737835517e-10, 1.710798789577908927e-10, 3.130901143157624108e-11, 1.495132177012554683e-10, 1.520520917494113980e-10
1.879000000000000000e+03, 3.765616418506823650e-10, 1.361691694856688459e-10, 4.821506709915806100e-10, 1.956900082860495795e-10, 1.959449745697238906e-10, 1.204434986641866014e-10, 1.672248602158771629e-10, 4.022447020268515092e-11, 1.530424828401144025e-10, 1.516392948718517249e-10
1.880000000000000000e+03, 3.756052783897009009e-10, 9.965357751531584371e-11, 5.004577349035556916e-10, 1.366920066356059993e-10, 1.914006953420272409e-10, 1.217960070659390491e-10, 1.628098225075888802e-10, 3.284333580842900889e-11, 1.566198065572284124e-10, 1.421462925379369816e-10
1.881000000000000000e+03, 2.202564725605479922e-10, 9.810901190000684937e-11, 3.483725726673857775e-10, 1.340231598731284931e-10, 1.503008574656394420e-10, 9.344937406673636149e-11, 1.516268552787675416e-10, 1.850707394993089657e-11, 1.235746577625049239e-10, 1.377345660200458802e-10
1.882000000000000000e+03, 2.194404248275273882e-10, 1.003830571056962150e-10, 3.439593295039334098e-10, 1.318622400005749145e-10, 1.411376058258568622e-10, 9.275144435444837511e-11, 1.587491495391043282e-10, 1.286842117492838474e-11, 1.215582685952064694e-10, 1.372601574964821850e-10
1.883000000000000000e+03, 2.178992241136174024e-10, 9.865651262038029074e-11, 3.385567983896927917e-10, 1.278523698005678541e-10, 1.554983748489067806e-10, 9.317339530704317645e-11, 1.499229667036813360e-10, 1.138193459875304379e-11, 1.193526396619554583e-10, 1.355667911615215863e-10
