year, ACCESS-ESM1-5, CNRM-ESM2-1, MPI-ESM1-2-LR, UKESM1-0-LL, CESM2-WACCM, CMCC-CM2-SR5, EC-Earth3-Veg, IPSL-CM6A-LR, MIROC-ES2L
1.861000000000000000e+03, 6.833422413687607611e-01, 2.570856950968386512e-01, 2.597722407873037098e-01, 9.217683373188624053e-04, 1.375135345725202185e-01, 1.272221707309827976e-01, 3.086446503391008372e-02, 1.844123909978494236e-01, 8.804137785495751434e-01
1.862000000000000000e+03, 6.803184596428958342e-01, 2.392511982968119066e-01, 2.583550321301719688e-01, 9.083881706156835727e-04, 1.352654916515793060e-01, 1.254148225097257430e-01, 3.153262028310114401e-02, 1.723656791629518958e-01, 8.737262545716298900e-01
1.863000000000000000e+03, 6.812065139890645105e-01, 2.232455403134382399e-01, 2.616644015919284416e-01, 9.609060491486412980e-04, 1.362891143187217602e-01, 1.249621544521395539e-01, 3.228461404621716518e-02, 1.616291655157758023e-01, 8.707893214577022700e-01
1.864000000000000000e+03, 6.826150747395962615e-01, 2.090441876547963762e-01, 2.713724688390939388e-01, 9.164450889871246335e-04, 1.373367166397950756e-01, 1.255962134816848985e-01, 3.311438995777112038e-02, 1.523130820104673655e-01, 8.707354582116966224e-01
1.865000000000000000e+03, 6.848492581835948778e-01, 1.966664830804416564e-01, 2.788807559780335232e-01, 9.254124734760022430e-04, 1.355080245322531074e-01, 1.271976968961134324e-01, 3.399302801047975747e-02, 1.447412458696433202e-01, 8.726697077912392020e-01
1.866000000000000000e+03, 6.881779999962215344e-01, 1.861173740740917626e-01, 2.859369125700171876e-01, 8.908757423779178853e-04, 1.364893119316651637e-01, 1.294028078292495387e-01, 3.482363164767342950e-02, 1.387797989643100582e-01, 8.770445007944921434e-01
1.867000000000000000e+03, 6.923528379215034834e-01, 1.773964297511738952e-01, 2.950014883352226613e-01, 8.540484972347131944e-04, 1.377335302643999115e-01, 1.322773787400471079e-01, 3.570558218818668111e-02, 1.343495008636670651e-01, 8.827065591555116608e-01
1.868000000000000000e+03, 6.970503699303680634e-01, 1.704917474727889737e-01, 2.993140913239312750e-01, 8.835510029671569000e-04, 1.406229370829418790e-01, 1.357164679523452655e-01, 3.666157304882627921e-02, 1.314901850337481526e-01, 8.892815594322677208e-01
1.869000000000000000e+03, 7.019910776165517730e-01, 1.653900848465856555e-01, 3.081246246271218125e-01, 8.492453061198199137e-04, 1.431345301787942115e-01, 1.395222433311869847e-01, 3.767286266036579817e-02, 1.300664900400570478e-01, 8.991081764241064533e-01
1.870000000000000000e+03, 7.072110246164126091e-01, 1.642554719979362199e-01, 3.378795282453569970e-01, 1.014713496213963135e-03, 1.461712490790335328e-01, 1.544944029636205751e-01, 3.874685027291357997e-02, 1.302802334186599631e-01, 1.037496890818713213e+00
1.871000000000000000e+03, 8.196213031145646033e-01, 2.181641513132210330e-01, 3.728327055214605279e-01, 1.523735483036953555e-03, 1.737798041731495324e-01, 1.784890153651046696e-01, 4.591159377349059850e-02, 1.682432247447523399e-01, 1.126723894177493523e+00
1.872000000000000000e+03, 9.175119312642250335e-01, 2.665262853888230588e-01, 4.047236620310615263e-01, 5.002581840718945717e-03, 1.982810974051614217e-01, 2.001097764100633614e-01, 5.364529490387352079e-02, 2.031414849258648680e-01, 1.199095111339774977e+00
1.873000000000000000e+03, 1.006809956643798465e+00, 3.095341702867728806e-01, 4.251275284506897401e-01, 1.236835516407501154e-02, 2.174300143952884456e-01, 2.200555328096165941e-01, 6.189812210228450712e-02, 2.350907031250681900e-01, 1.257967411080286313e+00
1.874000000000000000e+03, 1.092103854766490079e+00, 3.485370475266237333e-01, 4.460926620586195823e-01, 2.092798614612063554e-02, 2.370805771921270788e-01, 2.385448192555887637e-01, 7.065820349768692221e-02, 2.640511535676797195e-01, 1.308499122574327878e+00
1.875000000000000000e+03, 1.174479070139399228e+00, 3.810880783667795479e-01, 4.684849837215734891e-01, 3.111447936066394013e-02, 2.557235824623406706e-01, 2.555993286674941856e-01, 7.980985396914644370e-02, 2.899890059469340531e-01, 1.357693905413007940e+00
1.876000000000000000e+03, 1.253155013428198572e+00, 4.072745124959589180e-01, 4.933333385252428593e-01, 4.040401939750398741e-02, 2.743045218539871266e-01, 2.717316670632945463e-01, 8.884403958579158156e-02, 3.133552289572236194e-01, 1.404780354494430616e+00
1.877000000000000000e+03, 1.328641878926949405e+00, 4.296449865732200890e-01, 5.179715840380807457e-01, 5.058164731069782205e-02, 2.909281840820734932e-01, 2.870223228266874371e-01, 9.827617048670225786e-02, 3.336589574961797422e-01, 1.450262828414985883e+00
1.878000000000000000e+03, 1.401519223928784585e+00, 4.468780682838860985e-01, 5.398694702196832340e-01, 6.567273446840783679e-02, 3.085500222648830393e-01, 3.019029950153092057e-01, 1.080390292377885891e-01, 3.513356442952288994e-01, 1.492283615317934187e+00
1.879000000000000000e+03, 1.470629302004409888e+00, 4.587949495011059975e-01, 5.573946256112526365e-01, 8.567007753269838266e-02, 3.270295247321451937e-01, 3.165461360022827630e-01, 1.181946134173012530e-01, 3.663543372486212646e-01, 1.530792749545963671e+00
1.880000000000000000e+03, 1.537679894248305645e+00, 4.625504765534933505e-01, 5.753132473524350532e-01, 8.559961335253386816e-02, 3.385889876444784230e-01, 3.245028188464588736e-01, 1.286017014804076153e-01, 3.783987506673834322e-01, 1.502625304292040775e+00
1.881000000000000000e+03, 1.526253122590357947e+00, 4.472649485766627686e-01, 5.949955727887509260e-01, 7.265924851311748867e-02, 3.388540984459746386e-01, 3.269567154177894230e-01, 1.293829047903425900e-01, 3.690132725235431566e-01, 1.500599360719421682e+00
1.882000000000000000e+03, 1.524367163154371374e+00, 4.328292845003179901e-01, 6.088109700528236967e-01, 6.626901031707234380e-02, 3.443502678268099970e-01, 3.312486898410992309e-01, 1.303849355623790396e-01, 3.607843428873466207e-01, 1.507096253205806757e+00
1.883000000000000000e+03, 1.527956445210368441e+00, 4.191209678021779461e-01, 6.227832486573895432e-01, 6.352027600068928248e-02, 3.514183854762111259e-01, 3.371719703982375971e-01, 1.315371748918764683e-01, 3.541245236209931702e-01, 1.522181383893281170e+00
1.884000000000000000e+03, 1.532381711098893540e+00, 4.065849889096470049e-01, 6.354588529631911564e-01, 6.275085886319356487e-02, 3.577647516977052744e-01, 3.445840532191266625e-01, 1.329320088546900036e-01, 3.490646500348364434e-01, 1.541600802718125385e+00
1.885000000000000000e+03, 1.538540051099549721e+00, 3.951439121346443928e-01, 6.590096869201998997e-01, 6.310370665283338010e-02, 3.684991197056201595e-01, 3.532753460566372961e-01, 1.345044311256990699e-01, 3.454919250015461296e-01, 1.559682916452699741e+00
1.886000000000000000e+03, 1.546122203826871377e+00, 3.846450128189817796e-01, 6.840721875549095055e-01, 6.348635476537264899e-02, 3.781399744198952195e-01, 3.630773588453113931e-01, 1.368686026525149646e-01, 3.431359438856665389e-01, 1.579527887932237418e+00
1.887000000000000000e+03, 1.554324341781134322e+00, 3.752329974190665718e-01, 6.947855277045795752e-01, 6.451355496574737169e-02, 3.861867090423579674e-01, 3.738929366411428146e-01, 1.394794188945409907e-01, 3.423565825594374057e-01, 1.600506450538091041e+00
1.888000000000000000e+03, 1.564189652728549484e+00, 3.673061680489045355e-01, 7.128715931849499698e-01, 6.632362856960102859e-02, 3.945432054773524433e-01, 3.856448864792280107e-01, 1.422398515774715988e-01, 3.431385525103446965e-01, 1.620487371147091960e+00
1.889000000000000000e+03, 1.574593934108428295e+00, 3.607449568055715039e-01, 7.270430513111952875e-01, 6.751653308064449466e-02, 4.051983610791250467e-01, 3.981883905459490114e-01, 1.450992257891771942e-01, 3.456884687108932042e-01, 1.642696435398328880e+00
1.890000000000000000e+03, 1.585046826645135631e+00, 3.568205833234391333e-01, 7.362474644500532905e-01, 7.306834443336675255e-02, 4.187490614583624926e-01, 4.174721361472271686e-01, 1.481066517901660218e-01, 3.510463102018192005e-01, 1.712887896459333259e+00
1.891000000000000000e+03, 1.652146775340036067e+00, 3.721603171676964861e-01, 7.492662320692109468e-01, 8.349483904657188649e-02, 4.485474233515575615e-01, 4.432183023159902424e-01, 1.600523224618120022e-01, 3.769448859933965390e-01, 1.763737737730725064e+00
1.892000000000000000e+03, 1.713532213614153532e+00, 3.853154364101887830e-01, 7.625776752301074435e-01, 9.620231165676054741e-02, 4.726476474158284313e-01, 4.685138744598959515e-01, 1.730440973628717682e-01, 4.009873403248576662e-01, 1.803395304873434357e+00
1.893000000000000000e+03, 1.770165964335025155e+00, 3.965180226517859841e-01, 7.801940215511737886e-01, 1.076854652639728099e-01, 4.979043804276440666e-01, 4.926616865760618524e-01, 1.869314250372030306e-01, 4.235320737958097048e-01, 1.840759803136171380e+00
1.894000000000000000e+03, 1.822338066847335236e+00, 4.059600612102002293e-01, 8.055222613034878076e-01, 1.182865988881542790e-01, 5.242718871467120234e-01, 5.159695008430194019e-01, 2.017487069614975481e-01, 4.446534567738170685e-01, 1.877910687233954157e+00
1.895000000000000000e+03, 1.872752998636970867e+00, 4.126788624024872454e-01, 8.308675582304011487e-01, 1.296701562390377427e-01, 5.459682209228735594e-01, 5.387401774040427860e-01, 2.172443827680035910e-01, 4.648818683309481337e-01, 1.917271835189645390e+00
1.896000000000000000e+03, 1.922759746220016774e+00, 4.172111710571643206e-01, 8.547296712779759442e-01, 1.418622994320248576e-01, 5.692726184938678990e-01, 5.609627783763750930e-01, 2.335801879638199074e-01, 4.839524838297870613e-01, 1.953110572374415765e+00
1.897000000000000000e+03, 1.969402709562880549e+00, 4.189988747234596467e-01, 8.752107410808408483e-01, 1.585189639776909964e-01, 5.889905615887667256e-01, 5.825820537517657494e-01, 2.507272184629908973e-01, 5.015595671848027681e-01, 1.981222524250804140e+00
1.898000000000000000e+03, 2.014629822892103128e+00, 4.186519775657244757e-01, 8.984020671277040959e-01, 1.750173117309800908e-01, 6.114605967499091577e-01, 6.037380860212699929e-01, 2.685854909028982385e-01, 5.176728549527904732e-01, 2.008789821019038246e+00
1.899000000000000000e+03, 2.059189572956277470e+00, 4.157768860038923986e-01, 9.248016746897181894e-01, 1.892833939377372432e-01, 6.313749895067926055e-01, 6.247132969269603153e-01, 2.866816677227803090e-01, 5.323492369834895710e-01, 2.037043002462790131e+00
1.900000000000000000e+03, 2.103385709584608687e+00, 4.098138482746415123e-01, 9.610184573304586531e-01, 1.788262123065559317e-01, 6.554912899141306371e-01, 6.395509572605219129e-01, 3.042886213778101534e-01, 5.499177583322840679e-01, 2.013433873757370485e+00
1.901000000000000000e+03, 2.080097836620275586e+00, 3.868292103953777650e-01, 9.940523184217479047e-01, 1.566692109585305082e-01, 6.666037090459903114e-01, 6.528565449574391666e-01, 3.006658275046566464e-01, 5.461461556947961871e-01, 2.008229136607436072e+00
1.902000000000000000e+03, 2.066397197768793159e+00, 3.658469180750035243e-01, 1.027320427724712992e+00, 1.439157270521057574e-01, 6.737476668520231415e-01, 6.705889840431150661e-01, 2.976664030348802337e-01, 5.371600074663795965e-01, 2.004313186487201914e+00
1.903000000000000000e+03, 2.055748523570292363e+00, 3.470495568730493363e-01, 1.062668043083047076e+00, 1.349122545695838615e-01, 6.910816421153637146e-01, 6.892261226287234033e-01, 2.952768219612215139e-01, 5.293210164124195760e-01, 2.004482320873488099e+00
1.904000000000000000e+03, 2.048043477561931613e+00, 3.299032286529161584e-01, 1.105012646284966316e+00, 1.279964893618406319e-01, 7.074527204846340345e-01, 7.085859086243201377e-01, 2.933821959963835435e-01, 5.248179309213243382e-01, 2.015454253848330435e+00
1.905000000000000000e+03, 2.042727542272407160e+00, 3.142461658518140855e-01, 1.152829487649362106e+00, 1.235307334435975374e-01, 7.234841642177857191e-01, 7.280958363058664951e-01, 2.919617492306975648e-01, 5.216013759962966345e-01, 2.036248969900844141e+00
1.906000000000000000e+03, 2.038104587696120351e+00, 2.998731996911004338e-01, 1.193976285872292431e+00, 1.201183150279611644e-01, 7.379377211821467331e-01, 7.474155912851614403e-01, 2.908839649006851880e-01, 5.205698632973787543e-01, 2.058790505313992991e+00
1.907000000000000000e+03, 2.036173876960462259e+00, 2.868276312088652857e-01, 1.231471242499909247e+00, 1.172168166041798465e-01, 7.506211870577682577e-01, 7.668943166429194047e-01, 2.903761198096904139e-01, 5.214784931819557157e-01, 2.080584051004692014e+00
1.908000000000000000e+03, 2.034606799672482591e+00, 2.757621637182244845e-01, 1.265770499442638197e+00, 1.157236169743115078e-01, 7.708023948761008048e-01, 7.866087606252601949e-01, 2.903800783627727422e-01, 5.244430646509864458e-01, 2.101508730559362270e+00
1.909000000000000000e+03, 2.034997749261238997e+00, 2.660422223176153178e-01, 1.303924447111204588e+00, 1.148605984158493076e-01, 7.934762055137233316e-01, 8.065517281712393238e-01, 2.907111278169479118e-01, 5.294234892916900304e-01, 2.123194905237691721e+00
1.910000000000000000e+03, 2.036091635623184626e+00, 2.592461163413133374e-01, 1.332505060581467449e+00, 1.096043283208508190e-01, 8.088859197571196535e-01, 8.251025541750767189e-01, 2.913655673455841089e-01, 5.381984597309973362e-01, 2.106028487224344214e+00
1.911000000000000000e+03, 2.025023146567625609e+00, 2.438089670140126397e-01, 1.359938169858546875e+00, 1.025903960531014264e-01, 8.209591684209055495e-01, 8.439072871922527197e-01, 2.875205947312523547e-01, 5.379909586075840577e-01, 2.101660740072925471e+00
1.912000000000000000e+03, 2.018071701051896039e+00, 2.292992694397566478e-01, 1.389035308581215267e+00, 9.732908067824549980e-02, 8.389339013538086309e-01, 8.643767265051982562e-01, 2.841005003653702121e-01, 5.386579683060382928e-01, 2.102138165827863947e+00
1.913000000000000000e+03, 2.012360506793933634e+00, 2.162003015376162962e-01, 1.408368161851077938e+00, 9.317997933373660391e-02, 8.554345436710821815e-01, 8.849098904564388635e-01, 2.811136936792966723e-01, 5.402049362736539573e-01, 2.106387006371843729e+00
1.914000000000000000e+03, 2.007703242491517326e+00, 2.042379457555176525e-01, 1.435836238643144691e+00, 8.959978940546964310e-02, 8.713852612949682941e-01, 9.050784835514212867e-01, 2.785053017495404126e-01, 5.428022817088971053e-01, 2.112101120180553959e+00
1.915000000000000000e+03, 2.004750348495334400e+00, 1.932903553963677135e-01, 1.474624807073156241e+00, 8.632592274602618465e-02, 8.900818612030724220e-01, 9.252046656286133652e-01, 2.762868963996178984e-01, 5.458828645126491130e-01, 2.122583666382994672e+00
1.916000000000000000e+03, 2.002907837764705157e+00, 1.834543423437150211e-01, 1.508767097598874063e+00, 8.325814228597432087e-02, 9.133784573988950051e-01, 9.457778911687513279e-01, 2.741737177832339056e-01, 5.500521796979681577e-01, 2.139357431074331739e+00
1.917000000000000000e+03, 2.001705501142978072e+00, 1.747878854523260417e-01, 1.540508379073095124e+00, 8.035096637210592529e-02, 9.308385175197099182e-01, 9.667698551190841982e-01, 2.723765272683335570e-01, 5.555581157687577987e-01, 2.158055232835542903e+00
1.918000000000000000e+03, 2.001959680001690334e+00, 1.678034255978665679e-01, 1.564561076157802599e+00, 7.763497070884242679e-02, 9.502705375298704515e-01, 9.881104051680358324e-01, 2.709799084026698890e-01, 5.615837716661571388e-01, 2.174046336654746003e+00
1.919000000000000000e+03, 2.002715702994451785e+00, 1.622918934182917272e-01, 1.601421203010283900e+00, 7.537197749865161278e-02, 9.688574579141815413e-01, 1.009568087610785758e+00, 2.698393104522939234e-01, 5.685206947422792867e-01, 2.184545203676695913e+00
1.920000000000000000e+03, 2.004495994690783878e+00, 1.589320146570295800e-01, 1.642052617219540656e+00, 7.356159964872470425e-02, 9.940053552916531254e-01, 1.031160386153946229e+00, 2.690080603240890822e-01, 5.768180595309505554e-01, 2.222044650709348534e+00
1.921000000000000000e+03, 2.007455542404493531e+00, 1.628733303650954922e-01, 1.687082189933792886e+00, 7.150847553596037520e-02, 1.018994950506820096e+00, 1.053172648371066167e+00, 2.716383327295386896e-01, 5.852990482571589492e-01, 2.248097933178469177e+00
1.922000000000000000e+03, 2.010888882757551510e+00, 1.654260225362796377e-01, 1.729857939158711000e+00, 7.022354829656547726e-02, 1.041531603285828389e+00, 1.073825495542600983e+00, 2.743906507818312801e-01, 5.939398994670812559e-01, 2.266567014221983367e+00
1.923000000000000000e+03, 2.014675875541229289e+00, 1.666236251225409193e-01, 1.760991536242215494e+00, 6.975583336831814307e-02, 1.058886021076290485e+00, 1.091958808614274856e+00, 2.777820849060261277e-01, 6.024886185792250881e-01, 2.276899046158510576e+00
1.924000000000000000e+03, 2.019464949995587233e+00, 1.667255631690292006e-01, 1.795198756672458984e+00, 6.940029769984733254e-02, 1.075382888363147327e+00, 1.108316131672913540e+00, 2.814486326062771715e-01, 6.101544580959998854e-01, 2.280085503969608851e+00
1.925000000000000000e+03, 2.024872891040574885e+00, 1.654369018330949237e-01, 1.832303710262516150e+00, 7.061581041525355484e-02, 1.085881038469577176e+00, 1.123087603306748949e+00, 2.853461451865170750e-01, 6.178111599280724509e-01, 2.281157445294787145e+00
1.926000000000000000e+03, 2.031077610196991845e+00, 1.631172711905463091e-01, 1.863227034776549829e+00, 7.265575620151593084e-02, 1.097100423242799438e+00, 1.136752417326035269e+00, 2.892765318819897624e-01, 6.247581859750303002e-01, 2.286402374231489176e+00
1.927000000000000000e+03, 2.036348265401762614e+00, 1.601654584297198813e-01, 1.894191073461519492e+00, 7.493212718634999214e-02, 1.109552761776622987e+00, 1.149637023276904202e+00, 2.934839504631407414e-01, 6.317220403430409137e-01, 2.300062553350270989e+00
1.928000000000000000e+03, 2.042057070175781419e+00, 1.564248844729333177e-01, 1.926136932757524400e+00, 7.741557619409931978e-02, 1.122802511190246211e+00, 1.161550396168104848e+00, 2.979010388107456442e-01, 6.376366310843254448e-01, 2.315510316603285990e+00
1.929000000000000000e+03, 2.048505277942193725e+00, 1.522880669018831790e-01, 1.948702324440111378e+00, 8.193072832255780813e-02, 1.137520329900996163e+00, 1.172330977031678101e+00, 3.025824310005541529e-01, 6.427970665236653058e-01, 2.330871909680245935e+00
1.930000000000000000e+03, 2.054527557470719579e+00, 1.472141737430673614e-01, 1.953104411412370123e+00, 8.046155753858127979e-02, 1.143891996952864476e+00, 1.184503722505570789e+00, 3.074494728603664462e-01, 6.477345745055455017e-01, 2.333404640635142968e+00
1.931000000000000000e+03, 2.078530929659305748e+00, 1.475085083657090013e-01, 1.960076210141914244e+00, 7.500018995381139975e-02, 1.162033125022605917e+00, 1.197408336436303511e+00, 3.146247682259472600e-01, 6.527368631570846791e-01, 2.343641239167125967e+00
1.932000000000000000e+03, 2.100016169305630509e+00, 1.479188741871438617e-01, 1.961467169438757985e+00, 7.186143496138525100e-02, 1.175519762961878545e+00, 1.208337189072045570e+00, 3.222441228021101223e-01, 6.569948497298183643e-01, 2.355310652419750905e+00
1.933000000000000000e+03, 2.119633093525171930e+00, 1.488916947592247575e-01, 1.961035035362342471e+00, 6.972168776307428872e-02, 1.185529508309042024e+00, 1.217709919444873723e+00, 3.303549786190718152e-01, 6.606771239198099277e-01, 2.362668771578912530e+00
1.934000000000000000e+03, 2.137822187251896988e+00, 1.492384202798434367e-01, 1.972287817063497872e+00, 6.801026954759907539e-02, 1.190123290401445377e+00, 1.224625479901032987e+00, 3.382123743767059265e-01, 6.639927785489571077e-01, 2.365793667124998390e+00
1.935000000000000000e+03, 2.156406025568583296e+00, 1.491841172678256278e-01, 2.001136101505548659e+00, 6.676985681711651577e-02, 1.204902307672279349e+00, 1.230097782475101820e+00, 3.464086977638045628e-01, 6.677095740271516977e-01, 2.371270206031118821e+00
1.936000000000000000e+03, 2.172980726917375982e+00, 1.485719179432240800e-01, 2.006410351494583910e+00, 6.652305305380787348e-02, 1.217818039899706495e+00, 1.234196206223736381e+00, 3.546755797420264034e-01, 6.706717647416808870e-01, 2.378276658759949758e+00
1.937000000000000000e+03, 2.189899935604860737e+00, 1.475224750913392835e-01, 2.019572971893962343e+00, 6.622498063658963097e-02, 1.218591843922992579e+00, 1.236799187546712364e+00, 3.632328966837290452e-01, 6.725557546278120302e-01, 2.387273859783801022e+00
1.938000000000000000e+03, 2.206025528262334223e+00, 1.459469500520375329e-01, 2.024472008294632364e+00, 6.597727030138240967e-02, 1.220859445424619105e+00, 1.238218030181477580e+00, 3.715192267283106697e-01, 6.744887621087579666e-01, 2.392574282467854641e+00
1.939000000000000000e+03, 2.222020140200986926e+00, 1.441539721552396458e-01, 2.028106163364175263e+00, 6.548706609121281164e-02, 1.224692851183335041e+00, 1.238799769385213079e+00, 3.803888778260190451e-01, 6.755903824923120693e-01, 2.394236399809958726e+00
1.940000000000000000e+03, 2.236213211470207796e+00, 1.422369682772016142e-01, 2.042421971350399712e+00, 6.567513397068902581e-02, 1.227323386206893741e+00, 1.239409909598039539e+00, 3.897420373115178527e-01, 6.768465564227035269e-01, 2.441991384277774291e+00
1.941000000000000000e+03, 2.269678244268395151e+00, 1.417550289472226666e-01, 2.057552622425092625e+00, 6.609529136722486209e-02, 1.238805319408239125e+00, 1.239825121114955131e+00, 3.952651669374520615e-01, 6.889534691427131596e-01, 2.473519276330244931e+00
1.942000000000000000e+03, 2.300917267970239433e+00, 1.407962830215926109e-01, 2.068229753748087152e+00, 6.670032836514819263e-02, 1.246029829990362714e+00, 1.239844221787821832e+00, 4.007017731036133790e-01, 6.989155179633016468e-01, 2.496747584419263699e+00
1.943000000000000000e+03, 2.329357732946686355e+00, 1.396831226176130369e-01, 2.081757314332707498e+00, 6.750668397503756246e-02, 1.255086383543786432e+00, 1.240199306429806025e+00, 4.066754101788106479e-01, 7.078618480780620725e-01, 2.512326171798672014e+00
1.944000000000000000e+03, 2.355883053125813476e+00, 1.386815435088803172e-01, 2.090074411291144241e+00, 6.842130730381380810e-02, 1.262587278190739237e+00, 1.240595521059341344e+00, 4.131274343870354193e-01, 7.152101335808480620e-01, 2.523572674454480413e+00
1.945000000000000000e+03, 2.382248415757883375e+00, 1.373391802656857008e-01, 2.098468347875223738e+00, 6.997569691463129127e-02, 1.263439434470434941e+00, 1.240811504302091750e+00, 4.199925883775922908e-01, 7.215895988920840720e-01, 2.535644499609807756e+00
1.946000000000000000e+03, 2.406746283638983464e+00, 1.357857418028730057e-01, 2.114815238438541023e+00, 7.242990764434466266e-02, 1.274323969210278795e+00, 1.240709282781471856e+00, 4.275539490023091416e-01, 7.266638068973247933e-01, 2.547899530715628025e+00
1.947000000000000000e+03, 2.429739042793731763e+00, 1.338957978391689119e-01, 2.128553923449251428e+00, 7.613569360159411215e-02, 1.274478108721230019e+00, 1.240186166997669259e+00, 4.351331529007581023e-01, 7.310303814682115320e-01, 2.563658615839158106e+00
1.948000000000000000e+03, 2.452089397662961190e+00, 1.317451920013275046e-01, 2.121635130148070481e+00, 8.073174462790527750e-02, 1.267307958856018768e+00, 1.239167809784905927e+00, 4.426986008383881899e-01, 7.345350393286428359e-01, 2.579647257654975601e+00
1.949000000000000000e+03, 2.474375576882177796e+00, 1.296456738046595503e-01, 2.130482582845968142e+00, 8.732741340931719776e-02, 1.273870268085447233e+00, 1.237414792141375619e+00, 4.506452824349234665e-01, 7.343246232474504032e-01, 2.597552355119918222e+00
1.950000000000000000e+03, 2.513946474103371465e+00, 1.275062059013021276e-01, 2.135851620240078130e+00, 9.393196503381283369e-02, 1.245141590326456216e+00, 1.222386771827381757e+00, 4.588702819889332596e-01, 7.353235590955486956e-01, 2.598737402668952257e+00
1.951000000000000000e+03, 2.521004530711729252e+00, 1.209792595450590730e-01, 2.147669248300887013e+00, 9.912936856188776791e-02, 1.220575741812539583e+00, 1.196065802420008373e+00, 4.532265410056979804e-01, 7.305459840211515621e-01, 2.609855407881304767e+00
1.952000000000000000e+03, 2.526326472816943447e+00, 1.159012026594461037e-01, 2.161419021356187464e+00, 1.062502274001361352e-01, 1.209720892542378579e+00, 1.171715369934106965e+00, 4.481977878916270086e-01, 7.260727024644850758e-01, 2.617544244905317008e+00
1.953000000000000000e+03, 2.531587503512280346e+00, 1.115785796089305698e-01, 2.162301401228171382e+00, 1.143486358816147436e-01, 1.191242136828575271e+00, 1.148875059194028880e+00, 4.438142015018358699e-01, 7.263010663003995893e-01, 2.626321946647437233e+00
1.954000000000000000e+03, 2.532244212088632818e+00, 1.080323060861045764e-01, 2.154371525432874357e+00, 1.226252740834865712e-01, 1.168736897776140538e+00, 1.132581967046319082e+00, 4.397479473582041054e-01, 7.237540386029776007e-01, 2.631289408757475190e+00
1.955000000000000000e+03, 2.526290705305282547e+00, 1.050845039669444508e-01, 2.156469534209092487e+00, 1.315447573227921663e-01, 1.180344618302272997e+00, 1.128097192198685095e+00, 4.357976705236296655e-01, 7.205190176839665339e-01, 2.632463129404510660e+00
