year, GFDL-ESM4, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg
1.870000000000000000e+03, 6.428073498165302640e-10, 1.066568440302729465e-10, 3.705785657077778604e-10, 8.759760108695201555e-11, 2.868629784380615969e-10, 2.868629784380615969e-10, 3.705785657077778604e-10, 1.066568440302729465e-10, 6.435616836521993113e-10, 3.506672557886213955e-10, 9.938949644179298912e-11, 6.242580082667927457e-10
1.871000000000000000e+03, 7.489513108746053871e-10, 2.289813833835153868e-10, 5.802796770412999642e-10, 1.616534249558543127e-10, 2.382747066049256710e-10, 2.382747066049256710e-10, 5.802796770412999642e-10, 2.289813833835153868e-10, 7.497902426307779245e-10, 4.194283064595368909e-10, 8.769795627967134289e-11, 5.770302598438871770e-10
1.872000000000000000e+03, 8.232406017892749285e-10, 2.152573264168620989e-10, 4.229738727271023051e-10, 1.599783629569960866e-10, 2.276639475025277344e-10, 2.276639475025277344e-10, 4.229738727271023051e-10, 2.152573264168620989e-10, 8.241599387542041833e-10, 5.142267537826483336e-10, 1.190687143270515783e-10, 9.577732170338204499e-10
1.873000000000000000e+03, 9.583432428766518747e-10, 1.849436264716993527e-10, 4.196897165681763439e-10, 1.482275975676674720e-10, 1.992711026788520102e-10, 1.992711026788520102e-10, 4.196897165681763439e-10, 1.849436264716993527e-10, 9.593114807554467296e-10, 4.176921334157888920e-10, 1.335335713029336801e-10, 7.234812957883353290e-10
1.874000000000000000e+03, 4.872683272170365651e-10, 1.450770783152720174e-10, 5.056886234928463329e-10, 1.554421281879802280e-10, 2.370918939997514065e-10, 2.370918939997514065e-10, 5.056886234928463329e-10, 1.450770783152720174e-10, 4.882884692159427783e-10, 4.201186316200338920e-10, 1.196380985626548836e-10, 7.420665590363428397e-10
1.875000000000000000e+03, 6.194643395096746786e-10, 1.790362316062428279e-10, 4.756595811325494110e-10, 1.560190128126187889e-10, 2.895679165238230576e-10, 2.895679165238230576e-10, 4.756595811325494110e-10, 1.790362316062428279e-10, 6.205380200252343638e-10, 5.186563084279096915e-10, 1.443248446721402410e-10, 6.374600625813061759e-10
1.876000000000000000e+03, 7.602599653647958196e-10, 1.395294213436208596e-10, 4.675385118507410382e-10, 1.535748686664595342e-10, 2.446232254548529944e-10, 2.446232254548529944e-10, 4.675385118507410382e-10, 1.395294213436208596e-10, 7.613558903801016284e-10, 3.952803172739195153e-10, 1.009045457429982366e-10, 4.148448377877406986e-10
1.877000000000000000e+03, 7.496956701900883291e-10, 1.057486363055211991e-10, 4.038586483796496220e-10, 1.455584713784404960e-10, 2.204645189288663819e-10, 2.204645189288663819e-10, 4.038586483796496220e-10, 1.057486363055211991e-10, 7.508040756332977372e-10, 5.463586758058719796e-10, 9.876620620758231160e-11, 5.038227947833635328e-10
1.878000000000000000e+03, 6.634728125994308860e-10, 1.483623303967158795e-10, 5.391766414381118291e-10, 1.668178824075223201e-10, 2.828560033574825864e-10, 2.828560033574825864e-10, 5.391766414381118291e-10, 1.483623303967158795e-10, 6.645933290474358921e-10, 4.163058025601946555e-10, 9.130727342839664725e-11, 6.387530691912270700e-10
1.879000000000000000e+03, 5.604835410046000629e-10, 1.817934568364355532e-10, 5.028775158143920057e-10, 1.244953698221998660e-10, 2.161296858873826625e-10, 2.161296858873826625e-10, 5.028775158143920057e-10, 1.817934568364355532e-10, 5.616360298936865418e-10, 3.405679990842037631e-10, 7.789280829231802313e-11, 9.009675679068916033e-10
1.880000000000000000e+03, 6.120119446895350438e-10, 2.295480785691173870e-10, 3.899436461615290876e-10, 1.152120624316948569e-10, 2.372710512656874314e-10, 2.372710512656874314e-10, 3.899436461615290876e-10, 2.295480785691173870e-10, 6.131963162301198683e-10, 3.994752080063324031e-10, 8.092576342586533255e-11, 6.236936868789821412e-10
1.881000000000000000e+03, 5.138949848987881940e-10, 1.721253401196543406e-10, 4.884003573275865874e-10, 1.868362090629472299e-10, 2.087913554771187311e-10, 2.087913554771187311e-10, 4.884003573275865874e-10, 1.721253401196543406e-10, 5.151087326901562930e-10, 5.621345823033052333e-10, 1.481345123543240596e-10, 5.267240419133463282e-10
1.882000000000000000e+03, 6.151244742638520834e-10, 3.188765293458789504e-10, 3.994406053580567340e-10, 1.392314057021297194e-10, 2.416731243646454328e-10, 2.416731243646454328e-10, 3.994406053580567340e-10, 3.188765293458789504e-10, 6.163751859095403505e-10, 5.082897422851488832e-10, 1.831884989961729801e-10, 5.303691703646735578e-10
1.883000000000000000e+03, 6.627358941209818841e-10, 2.849272406741562074e-10, 5.204293869848489152e-10, 1.354824289773082969e-10, 2.990354221856114091e-10, 2.990354221856114091e-10, 5.204293869848489152e-10, 2.849272406741562074e-10, 6.640240097399743523e-10, 4.671267133721680765e-10, 1.233963284428534829e-10, 4.017744640823294843e-10
1.884000000000000000e+03, 6.001269234552823165e-10, 2.217477673440549128e-10, 4.465223388514378055e-10, 1.144559952137566985e-10, 2.471906374384825758e-10, 2.471906374384825758e-10, 4.465223388514378055e-10, 2.217477673440549128e-10, 6.014755927395384115e-10, 3.967045644566899402e-10, 1.087517810359127570e-10, 4.870528705163454253e-10
1.885000000000000000e+03, 6.841775513363110589e-10, 2.103433861338556048e-10, 4.376142718004172792e-10, 2.001719102886334265e-10, 2.256157583245339857e-10, 2.256157583245339857e-10, 4.376142718004172792e-10, 2.103433861338556048e-10, 6.855745916889561067e-10, 5.723897927902964318e-10, 1.512530131180792526e-10, 7.125942633646150137e-10
1.886000000000000000e+03, 5.486660570034479173e-10, 1.981722533013623965e-10, 6.644747314889710732e-10, 1.547865637372690035e-10, 2.721183589458542846e-10, 2.721183589458542846e-10, 6.644747314889710732e-10, 1.981722533013623965e-10, 5.500881438983555021e-10, 4.324853660816045706e-10, 1.038469249360891800e-10, 5.969280033878222258e-10
1.887000000000000000e+03, 6.060538767832736898e-10, 1.818859360963794512e-10, 4.427618771793144513e-10, 1.368765700598930663e-10, 1.957836649006440383e-10, 1.957836649006440383e-10, 4.427618771793144513e-10, 1.818859360963794512e-10, 6.075069227408196718e-10, 4.445045864326414269e-10, 1.093537487604796577e-10, 8.599737353864217352e-10
1.888000000000000000e+03, 5.215381115264300894e-10, 2.405965616654472092e-10, 4.733832379446259896e-10, 2.367712982086152735e-10, 2.268949745065443075e-10, 2.268949745065443075e-10, 4.733832379446259896e-10, 2.405965616654472092e-10, 5.230832480218908493e-10, 4.311920823281680229e-10, 9.871556653287062515e-11, 5.595934436889398948e-10
1.889000000000000000e+03, 7.067508766788187166e-10, 1.097608554900429656e-10, 3.956096438265902886e-10, 1.586493223447347055e-10, 2.317145508757055056e-10, 2.317145508757055056e-10, 3.956096438265902886e-10, 1.097608554900429656e-10, 7.083362359414796392e-10, 3.557623034608134393e-10, 1.262482592289792972e-10, 5.200753074330654344e-10
1.890000000000000000e+03, 5.823406757178263897e-10, 1.226331333179251493e-10, 4.760174908762549247e-10, 1.669795405999634759e-10, 2.274772087140516082e-10, 2.274772087140516082e-10, 4.760174908762549247e-10, 1.226331333179251493e-10, 5.839536026117269807e-10, 4.787762857323440138e-10, 1.307329787892266942e-10, 5.638285433167640063e-10
